"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","HN","Honduras","AMRO",0,0,0,0
"2020-01-04","HN","Honduras","AMRO",0,0,0,0
"2020-01-05","HN","Honduras","AMRO",0,0,0,0
"2020-01-06","HN","Honduras","AMRO",0,0,0,0
"2020-01-07","HN","Honduras","AMRO",0,0,0,0
"2020-01-08","HN","Honduras","AMRO",0,0,0,0
"2020-01-09","HN","Honduras","AMRO",0,0,0,0
"2020-01-10","HN","Honduras","AMRO",0,0,0,0
"2020-01-11","HN","Honduras","AMRO",0,0,0,0
"2020-01-12","HN","Honduras","AMRO",0,0,0,0
"2020-01-13","HN","Honduras","AMRO",0,0,0,0
"2020-01-14","HN","Honduras","AMRO",0,0,0,0
"2020-01-15","HN","Honduras","AMRO",0,0,0,0
"2020-01-16","HN","Honduras","AMRO",0,0,0,0
"2020-01-17","HN","Honduras","AMRO",0,0,0,0
"2020-01-18","HN","Honduras","AMRO",0,0,0,0
"2020-01-19","HN","Honduras","AMRO",0,0,0,0
"2020-01-20","HN","Honduras","AMRO",0,0,0,0
"2020-01-21","HN","Honduras","AMRO",0,0,0,0
"2020-01-22","HN","Honduras","AMRO",0,0,0,0
"2020-01-23","HN","Honduras","AMRO",0,0,0,0
"2020-01-24","HN","Honduras","AMRO",0,0,0,0
"2020-01-25","HN","Honduras","AMRO",0,0,0,0
"2020-01-26","HN","Honduras","AMRO",0,0,0,0
"2020-01-27","HN","Honduras","AMRO",0,0,0,0
"2020-01-28","HN","Honduras","AMRO",0,0,0,0
"2020-01-29","HN","Honduras","AMRO",0,0,0,0
"2020-01-30","HN","Honduras","AMRO",0,0,0,0
"2020-01-31","HN","Honduras","AMRO",0,0,0,0
"2020-02-01","HN","Honduras","AMRO",0,0,0,0
"2020-02-02","HN","Honduras","AMRO",0,0,0,0
"2020-02-03","HN","Honduras","AMRO",0,0,0,0
"2020-02-04","HN","Honduras","AMRO",0,0,0,0
"2020-02-05","HN","Honduras","AMRO",0,0,0,0
"2020-02-06","HN","Honduras","AMRO",0,0,0,0
"2020-02-07","HN","Honduras","AMRO",0,0,0,0
"2020-02-08","HN","Honduras","AMRO",0,0,0,0
"2020-02-09","HN","Honduras","AMRO",0,0,0,0
"2020-02-10","HN","Honduras","AMRO",0,0,0,0
"2020-02-11","HN","Honduras","AMRO",0,0,0,0
"2020-02-12","HN","Honduras","AMRO",0,0,0,0
"2020-02-13","HN","Honduras","AMRO",0,0,0,0
"2020-02-14","HN","Honduras","AMRO",0,0,0,0
"2020-02-15","HN","Honduras","AMRO",0,0,0,0
"2020-02-16","HN","Honduras","AMRO",0,0,0,0
"2020-02-17","HN","Honduras","AMRO",0,0,0,0
"2020-02-18","HN","Honduras","AMRO",0,0,0,0
"2020-02-19","HN","Honduras","AMRO",0,0,0,0
"2020-02-20","HN","Honduras","AMRO",0,0,0,0
"2020-02-21","HN","Honduras","AMRO",0,0,0,0
"2020-02-22","HN","Honduras","AMRO",0,0,0,0
"2020-02-23","HN","Honduras","AMRO",0,0,0,0
"2020-02-24","HN","Honduras","AMRO",0,0,0,0
"2020-02-25","HN","Honduras","AMRO",0,0,0,0
"2020-02-26","HN","Honduras","AMRO",0,0,0,0
"2020-02-27","HN","Honduras","AMRO",0,0,0,0
"2020-02-28","HN","Honduras","AMRO",0,0,0,0
"2020-02-29","HN","Honduras","AMRO",0,0,0,0
"2020-03-01","HN","Honduras","AMRO",0,0,0,0
"2020-03-02","HN","Honduras","AMRO",0,0,0,0
"2020-03-03","HN","Honduras","AMRO",0,0,0,0
"2020-03-04","HN","Honduras","AMRO",0,0,0,0
"2020-03-05","HN","Honduras","AMRO",0,0,0,0
"2020-03-06","HN","Honduras","AMRO",0,0,0,0
"2020-03-07","HN","Honduras","AMRO",0,0,0,0
"2020-03-08","HN","Honduras","AMRO",0,0,0,0
"2020-03-09","HN","Honduras","AMRO",0,0,0,0
"2020-03-10","HN","Honduras","AMRO",0,0,0,0
"2020-03-11","HN","Honduras","AMRO",0,0,0,0
"2020-03-12","HN","Honduras","AMRO",6,6,0,0
"2020-03-13","HN","Honduras","AMRO",0,6,0,0
"2020-03-14","HN","Honduras","AMRO",0,6,0,0
"2020-03-15","HN","Honduras","AMRO",0,6,0,0
"2020-03-16","HN","Honduras","AMRO",0,6,0,0
"2020-03-17","HN","Honduras","AMRO",6,12,0,0
"2020-03-18","HN","Honduras","AMRO",1,13,0,0
"2020-03-19","HN","Honduras","AMRO",-1,12,0,0
"2020-03-20","HN","Honduras","AMRO",12,24,0,0
"2020-03-21","HN","Honduras","AMRO",0,24,0,0
"2020-03-22","HN","Honduras","AMRO",0,24,0,0
"2020-03-23","HN","Honduras","AMRO",2,26,0,0
"2020-03-24","HN","Honduras","AMRO",4,30,0,0
"2020-03-25","HN","Honduras","AMRO",0,30,0,0
"2020-03-26","HN","Honduras","AMRO",22,52,1,1
"2020-03-27","HN","Honduras","AMRO",0,52,0,1
"2020-03-28","HN","Honduras","AMRO",15,67,0,1
"2020-03-29","HN","Honduras","AMRO",0,67,0,1
"2020-03-30","HN","Honduras","AMRO",43,110,1,2
"2020-03-31","HN","Honduras","AMRO",29,139,0,2
"2020-04-01","HN","Honduras","AMRO",0,139,0,2
"2020-04-02","HN","Honduras","AMRO",33,172,8,10
