"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","HU","Hungary","EURO",0,0,0,0
"2020-01-04","HU","Hungary","EURO",0,0,0,0
"2020-01-05","HU","Hungary","EURO",0,0,0,0
"2020-01-06","HU","Hungary","EURO",0,0,0,0
"2020-01-07","HU","Hungary","EURO",0,0,0,0
"2020-01-08","HU","Hungary","EURO",0,0,0,0
"2020-01-09","HU","Hungary","EURO",0,0,0,0
"2020-01-10","HU","Hungary","EURO",0,0,0,0
"2020-01-11","HU","Hungary","EURO",0,0,0,0
"2020-01-12","HU","Hungary","EURO",0,0,0,0
"2020-01-13","HU","Hungary","EURO",0,0,0,0
"2020-01-14","HU","Hungary","EURO",0,0,0,0
"2020-01-15","HU","Hungary","EURO",0,0,0,0
"2020-01-16","HU","Hungary","EURO",0,0,0,0
"2020-01-17","HU","Hungary","EURO",0,0,0,0
"2020-01-18","HU","Hungary","EURO",0,0,0,0
"2020-01-19","HU","Hungary","EURO",0,0,0,0
"2020-01-20","HU","Hungary","EURO",0,0,0,0
"2020-01-21","HU","Hungary","EURO",0,0,0,0
"2020-01-22","HU","Hungary","EURO",0,0,0,0
"2020-01-23","HU","Hungary","EURO",0,0,0,0
"2020-01-24","HU","Hungary","EURO",0,0,0,0
"2020-01-25","HU","Hungary","EURO",0,0,0,0
"2020-01-26","HU","Hungary","EURO",0,0,0,0
"2020-01-27","HU","Hungary","EURO",0,0,0,0
"2020-01-28","HU","Hungary","EURO",0,0,0,0
"2020-01-29","HU","Hungary","EURO",0,0,0,0
"2020-01-30","HU","Hungary","EURO",0,0,0,0
"2020-01-31","HU","Hungary","EURO",0,0,0,0
"2020-02-01","HU","Hungary","EURO",0,0,0,0
"2020-02-02","HU","Hungary","EURO",0,0,0,0
"2020-02-03","HU","Hungary","EURO",0,0,0,0
"2020-02-04","HU","Hungary","EURO",0,0,0,0
"2020-02-05","HU","Hungary","EURO",0,0,0,0
"2020-02-06","HU","Hungary","EURO",0,0,0,0
"2020-02-07","HU","Hungary","EURO",0,0,0,0
"2020-02-08","HU","Hungary","EURO",0,0,0,0
"2020-02-09","HU","Hungary","EURO",0,0,0,0
"2020-02-10","HU","Hungary","EURO",0,0,0,0
"2020-02-11","HU","Hungary","EURO",0,0,0,0
"2020-02-12","HU","Hungary","EURO",0,0,0,0
"2020-02-13","HU","Hungary","EURO",0,0,0,0
"2020-02-14","HU","Hungary","EURO",0,0,0,0
"2020-02-15","HU","Hungary","EURO",0,0,0,0
"2020-02-16","HU","Hungary","EURO",0,0,0,0
"2020-02-17","HU","Hungary","EURO",0,0,0,0
"2020-02-18","HU","Hungary","EURO",0,0,0,0
"2020-02-19","HU","Hungary","EURO",0,0,0,0
"2020-02-20","HU","Hungary","EURO",0,0,0,0
"2020-02-21","HU","Hungary","EURO",0,0,0,0
"2020-02-22","HU","Hungary","EURO",0,0,0,0
"2020-02-23","HU","Hungary","EURO",0,0,0,0
"2020-02-24","HU","Hungary","EURO",0,0,0,0
"2020-02-25","HU","Hungary","EURO",0,0,0,0
"2020-02-26","HU","Hungary","EURO",0,0,0,0
"2020-02-27","HU","Hungary","EURO",0,0,0,0
"2020-02-28","HU","Hungary","EURO",0,0,0,0
