"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IS","Iceland","EURO",0,0,0,0
"2020-01-04","IS","Iceland","EURO",0,0,0,0
"2020-01-05","IS","Iceland","EURO",0,0,0,0
"2020-01-06","IS","Iceland","EURO",0,0,0,0
"2020-01-07","IS","Iceland","EURO",0,0,0,0
"2020-01-08","IS","Iceland","EURO",0,0,0,0
"2020-01-09","IS","Iceland","EURO",0,0,0,0
"2020-01-10","IS","Iceland","EURO",0,0,0,0
"2020-01-11","IS","Iceland","EURO",0,0,0,0
"2020-01-12","IS","Iceland","EURO",0,0,0,0
"2020-01-13","IS","Iceland","EURO",0,0,0,0
"2020-01-14","IS","Iceland","EURO",0,0,0,0
"2020-01-15","IS","Iceland","EURO",0,0,0,0
"2020-01-16","IS","Iceland","EURO",0,0,0,0
"2020-01-17","IS","Iceland","EURO",0,0,0,0
"2020-01-18","IS","Iceland","EURO",0,0,0,0
"2020-01-19","IS","Iceland","EURO",0,0,0,0
"2020-01-20","IS","Iceland","EURO",0,0,0,0
"2020-01-21","IS","Iceland","EURO",0,0,0,0
"2020-01-22","IS","Iceland","EURO",0,0,0,0
"2020-01-23","IS","Iceland","EURO",0,0,0,0
"2020-01-24","IS","Iceland","EURO",0,0,0,0
"2020-01-25","IS","Iceland","EURO",0,0,0,0
"2020-01-26","IS","Iceland","EURO",0,0,0,0
"2020-01-27","IS","Iceland","EURO",0,0,0,0
"2020-01-28","IS","Iceland","EURO",0,0,0,0
"2020-01-29","IS","Iceland","EURO",0,0,0,0
"2020-01-30","IS","Iceland","EURO",0,0,0,0
"2020-01-31","IS","Iceland","EURO",0,0,0,0
"2020-02-01","IS","Iceland","EURO",0,0,0,0
"2020-02-02","IS","Iceland","EURO",0,0,0,0
"2020-02-03","IS","Iceland","EURO",0,0,0,0
"2020-02-04","IS","Iceland","EURO",0,0,0,0
"2020-02-05","IS","Iceland","EURO",0,0,0,0
"2020-02-06","IS","Iceland","EURO",0,0,0,0
"2020-02-07","IS","Iceland","EURO",0,0,0,0
"2020-02-08","IS","Iceland","EURO",0,0,0,0
"2020-02-09","IS","Iceland","EURO",0,0,0,0
"2020-02-10","IS","Iceland","EURO",0,0,0,0
"2020-02-11","IS","Iceland","EURO",0,0,0,0
"2020-02-12","IS","Iceland","EURO",0,0,0,0
"2020-02-13","IS","Iceland","EURO",0,0,0,0
"2020-02-14","IS","Iceland","EURO",0,0,0,0
"2020-02-15","IS","Iceland","EURO",0,0,0,0
"2020-02-16","IS","Iceland","EURO",0,0,0,0
"2020-02-17","IS","Iceland","EURO",0,0,0,0
"2020-02-18","IS","Iceland","EURO",0,0,0,0
"2020-02-19","IS","Iceland","EURO",0,0,0,0
"2020-02-20","IS","Iceland","EURO",0,0,0,0
"2020-02-21","IS","Iceland","EURO",0,0,0,0
"2020-02-22","IS","Iceland","EURO",0,0,0,0
"2020-02-23","IS","Iceland","EURO",0,0,0,0
"2020-02-24","IS","Iceland","EURO",0,0,0,0
"2020-02-25","IS","Iceland","EURO",0,0,0,0
"2020-02-26","IS","Iceland","EURO",0,0,0,0
"2020-02-27","IS","Iceland","EURO",0,0,0,0
"2020-02-28","IS","Iceland","EURO",0,0,0,0
"2020-02-29","IS","Iceland","EURO",1,1,0,0
"2020-03-01","IS","Iceland","EURO",0,1,0,0
"2020-03-02","IS","Iceland","EURO",2,3,0,0
"2020-03-03","IS","Iceland","EURO",3,6,0,0
"2020-03-04","IS","Iceland","EURO",10,16,0,0
"2020-03-05","IS","Iceland","EURO",10,26,0,0
"2020-03-06","IS","Iceland","EURO",9,35,0,0
"2020-03-07","IS","Iceland","EURO",8,43,0,0
"2020-03-08","IS","Iceland","EURO",10,53,0,0
"2020-03-09","IS","Iceland","EURO",2,55,0,0
"2020-03-10","IS","Iceland","EURO",10,65,0,0
"2020-03-11","IS","Iceland","EURO",5,70,0,0
"2020-03-12","IS","Iceland","EURO",15,85,0,0
"2020-03-13","IS","Iceland","EURO",32,117,0,0
"2020-03-14","IS","Iceland","EURO",0,117,0,0
"2020-03-15","IS","Iceland","EURO",21,138,0,0
"2020-03-16","IS","Iceland","EURO",40,178,0,0
"2020-03-17","IS","Iceland","EURO",21,199,0,0
"2020-03-18","IS","Iceland","EURO",48,247,0,0
"2020-03-19","IS","Iceland","EURO",3,250,0,0
"2020-03-20","IS","Iceland","EURO",80,330,1,1
"2020-03-21","IS","Iceland","EURO",79,409,0,1
"2020-03-22","IS","Iceland","EURO",64,473,0,1
"2020-03-23","IS","Iceland","EURO",95,568,0,1
"2020-03-24","IS","Iceland","EURO",20,588,1,2
"2020-03-25","IS","Iceland","EURO",60,648,0,2
"2020-03-26","IS","Iceland","EURO",89,737,0,2
"2020-03-27","IS","Iceland","EURO",65,802,0,2
"2020-03-28","IS","Iceland","EURO",88,890,0,2
"2020-03-29","IS","Iceland","EURO",73,963,0,2
"2020-03-30","IS","Iceland","EURO",57,1020,0,2
"2020-03-31","IS","Iceland","EURO",66,1086,0,2
"2020-04-01","IS","Iceland","EURO",49,1135,0,2
"2020-04-02","IS","Iceland","EURO",85,1220,0,2
"2020-04-03","IS","Iceland","EURO",99,1319,2,4
"2020-04-04","IS","Iceland","EURO",45,1364,0,4
"2020-04-05","IS","Iceland","EURO",53,1417,0,4
"2020-04-06","IS","Iceland","EURO",69,1486,0,4
"2020-04-07","IS","Iceland","EURO",76,1562,2,6
"2020-04-08","IS","Iceland","EURO",24,1586,0,6
"2020-04-09","IS","Iceland","EURO",30,1616,0,6
"2020-04-10","IS","Iceland","EURO",32,1648,0,6
"2020-04-11","IS","Iceland","EURO",27,1675,1,7
"2020-04-12","IS","Iceland","EURO",14,1689,1,8
"2020-04-13","IS","Iceland","EURO",12,1701,0,8
"2020-04-14","IS","Iceland","EURO",10,1711,0,8
"2020-04-15","IS","Iceland","EURO",9,1720,0,8
"2020-04-16","IS","Iceland","EURO",7,1727,0,8
"2020-04-17","IS","Iceland","EURO",12,1739,0,8
