"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IQ","Iraq","EMRO",0,0,0,0
"2020-01-04","IQ","Iraq","EMRO",0,0,0,0
"2020-01-05","IQ","Iraq","EMRO",0,0,0,0
"2020-01-06","IQ","Iraq","EMRO",0,0,0,0
"2020-01-07","IQ","Iraq","EMRO",0,0,0,0
"2020-01-08","IQ","Iraq","EMRO",0,0,0,0
"2020-01-09","IQ","Iraq","EMRO",0,0,0,0
"2020-01-10","IQ","Iraq","EMRO",0,0,0,0
"2020-01-11","IQ","Iraq","EMRO",0,0,0,0
"2020-01-12","IQ","Iraq","EMRO",0,0,0,0
"2020-01-13","IQ","Iraq","EMRO",0,0,0,0
"2020-01-14","IQ","Iraq","EMRO",0,0,0,0
"2020-01-15","IQ","Iraq","EMRO",0,0,0,0
"2020-01-16","IQ","Iraq","EMRO",0,0,0,0
"2020-01-17","IQ","Iraq","EMRO",0,0,0,0
"2020-01-18","IQ","Iraq","EMRO",0,0,0,0
"2020-01-19","IQ","Iraq","EMRO",0,0,0,0
"2020-01-20","IQ","Iraq","EMRO",0,0,0,0
"2020-01-21","IQ","Iraq","EMRO",0,0,0,0
"2020-01-22","IQ","Iraq","EMRO",0,0,0,0
"2020-01-23","IQ","Iraq","EMRO",0,0,0,0
"2020-01-24","IQ","Iraq","EMRO",0,0,0,0
"2020-01-25","IQ","Iraq","EMRO",0,0,0,0
"2020-01-26","IQ","Iraq","EMRO",0,0,0,0
"2020-01-27","IQ","Iraq","EMRO",0,0,0,0
"2020-01-28","IQ","Iraq","EMRO",0,0,0,0
"2020-01-29","IQ","Iraq","EMRO",0,0,0,0
"2020-01-30","IQ","Iraq","EMRO",0,0,0,0
"2020-01-31","IQ","Iraq","EMRO",0,0,0,0
"2020-02-01","IQ","Iraq","EMRO",0,0,0,0
"2020-02-02","IQ","Iraq","EMRO",0,0,0,0
"2020-02-03","IQ","Iraq","EMRO",0,0,0,0
"2020-02-04","IQ","Iraq","EMRO",0,0,0,0
"2020-02-05","IQ","Iraq","EMRO",0,0,0,0
"2020-02-06","IQ","Iraq","EMRO",0,0,0,0
"2020-02-07","IQ","Iraq","EMRO",0,0,0,0
"2020-02-08","IQ","Iraq","EMRO",0,0,0,0
"2020-02-09","IQ","Iraq","EMRO",0,0,0,0
"2020-02-10","IQ","Iraq","EMRO",0,0,0,0
"2020-02-11","IQ","Iraq","EMRO",0,0,0,0
"2020-02-12","IQ","Iraq","EMRO",0,0,0,0
"2020-02-13","IQ","Iraq","EMRO",0,0,0,0
"2020-02-14","IQ","Iraq","EMRO",0,0,0,0
"2020-02-15","IQ","Iraq","EMRO",0,0,0,0
"2020-02-16","IQ","Iraq","EMRO",0,0,0,0
"2020-02-17","IQ","Iraq","EMRO",0,0,0,0
"2020-02-18","IQ","Iraq","EMRO",0,0,0,0
"2020-02-19","IQ","Iraq","EMRO",0,0,0,0
"2020-02-20","IQ","Iraq","EMRO",0,0,0,0
"2020-02-21","IQ","Iraq","EMRO",0,0,0,0
"2020-02-22","IQ","Iraq","EMRO",0,0,0,0
"2020-02-23","IQ","Iraq","EMRO",0,0,0,0
"2020-02-24","IQ","Iraq","EMRO",5,5,0,0
"2020-02-25","IQ","Iraq","EMRO",4,9,0,0
"2020-02-26","IQ","Iraq","EMRO",0,9,0,0
"2020-02-27","IQ","Iraq","EMRO",1,10,0,0
"2020-02-28","IQ","Iraq","EMRO",2,12,0,0
"2020-02-29","IQ","Iraq","EMRO",5,17,0,0
"2020-03-01","IQ","Iraq","EMRO",6,23,0,0
"2020-03-02","IQ","Iraq","EMRO",7,30,0,0
"2020-03-03","IQ","Iraq","EMRO",5,35,0,0
"2020-03-04","IQ","Iraq","EMRO",5,40,2,2
"2020-03-05","IQ","Iraq","EMRO",0,40,0,2
"2020-03-06","IQ","Iraq","EMRO",8,48,2,4
"2020-03-07","IQ","Iraq","EMRO",10,58,0,4
"2020-03-08","IQ","Iraq","EMRO",6,64,0,4
"2020-03-09","IQ","Iraq","EMRO",0,64,0,4
"2020-03-10","IQ","Iraq","EMRO",1,65,2,6
"2020-03-11","IQ","Iraq","EMRO",9,74,1,7
"2020-03-12","IQ","Iraq","EMRO",0,74,0,7
"2020-03-13","IQ","Iraq","EMRO",0,74,0,7
"2020-03-14","IQ","Iraq","EMRO",23,97,2,9
"2020-03-15","IQ","Iraq","EMRO",31,128,0,9
"2020-03-16","IQ","Iraq","EMRO",0,128,0,9
"2020-03-17","IQ","Iraq","EMRO",30,158,2,11
"2020-03-18","IQ","Iraq","EMRO",10,168,1,12
"2020-03-19","IQ","Iraq","EMRO",13,181,0,12
"2020-03-20","IQ","Iraq","EMRO",12,193,2,14
"2020-03-21","IQ","Iraq","EMRO",21,214,3,17
"2020-03-22","IQ","Iraq","EMRO",19,233,3,20
"2020-03-23","IQ","Iraq","EMRO",33,266,3,23
"2020-03-24","IQ","Iraq","EMRO",50,316,4,27
"2020-03-25","IQ","Iraq","EMRO",30,346,2,29
"2020-03-26","IQ","Iraq","EMRO",36,382,7,36
"2020-03-27","IQ","Iraq","EMRO",76,458,4,40
"2020-03-28","IQ","Iraq","EMRO",48,506,2,42
"2020-03-29","IQ","Iraq","EMRO",41,547,0,42
"2020-03-30","IQ","Iraq","EMRO",0,547,0,42
"2020-03-31","IQ","Iraq","EMRO",83,630,4,46
"2020-04-01","IQ","Iraq","EMRO",64,694,4,50
"2020-04-02","IQ","Iraq","EMRO",78,772,4,54
"2020-04-03","IQ","Iraq","EMRO",48,820,0,54
"2020-04-04","IQ","Iraq","EMRO",58,878,2,56
"2020-04-05","IQ","Iraq","EMRO",83,961,5,61
"2020-04-06","IQ","Iraq","EMRO",70,1031,3,64
"2020-04-07","IQ","Iraq","EMRO",0,1031,0,64
"2020-04-08","IQ","Iraq","EMRO",91,1122,1,65
"2020-04-09","IQ","Iraq","EMRO",80,1202,4,69
"2020-04-10","IQ","Iraq","EMRO",77,1279,1,70
"2020-04-11","IQ","Iraq","EMRO",39,1318,2,72
"2020-04-12","IQ","Iraq","EMRO",34,1352,4,76
"2020-04-13","IQ","Iraq","EMRO",26,1378,2,78
"2020-04-14","IQ","Iraq","EMRO",22,1400,0,78
"2020-04-15","IQ","Iraq","EMRO",15,1415,1,79
"2020-04-16","IQ","Iraq","EMRO",19,1434,1,80
"2020-04-17","IQ","Iraq","EMRO",0,1434,0,80
"2020-04-18","IQ","Iraq","EMRO",48,1482,1,81
"2020-04-19","IQ","Iraq","EMRO",31,1513,1,82
"2020-04-20","IQ","Iraq","EMRO",61,1574,0,82
"2020-04-21","IQ","Iraq","EMRO",28,1602,1,83
"2020-04-22","IQ","Iraq","EMRO",0,1602,0,83
"2020-04-23","IQ","Iraq","EMRO",75,1677,0,83
"2020-04-24","IQ","Iraq","EMRO",0,1677,0,83
"2020-04-25","IQ","Iraq","EMRO",31,1708,3,86
"2020-04-26","IQ","Iraq","EMRO",55,1763,0,86
"2020-04-27","IQ","Iraq","EMRO",57,1820,1,87
"2020-04-28","IQ","Iraq","EMRO",27,1847,1,88
"2020-04-29","IQ","Iraq","EMRO",81,1928,2,90
"2020-04-30","IQ","Iraq","EMRO",75,2003,2,92
"2020-05-01","IQ","Iraq","EMRO",82,2085,1,93
"2020-05-02","IQ","Iraq","EMRO",68,2153,1,94
"2020-05-03","IQ","Iraq","EMRO",66,2219,1,95
"2020-05-04","IQ","Iraq","EMRO",77,2296,2,97
"2020-05-05","IQ","Iraq","EMRO",50,2346,1,98
"2020-05-06","IQ","Iraq","EMRO",85,2431,4,102
"2020-05-07","IQ","Iraq","EMRO",49,2480,0,102
"2020-05-08","IQ","Iraq","EMRO",63,2543,0,102
"2020-05-09","IQ","Iraq","EMRO",60,2603,2,104
