"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IE","Ireland","EURO",0,0,0,0
"2020-01-04","IE","Ireland","EURO",0,0,0,0
"2020-01-05","IE","Ireland","EURO",0,0,0,0
"2020-01-06","IE","Ireland","EURO",0,0,0,0
"2020-01-07","IE","Ireland","EURO",0,0,0,0
"2020-01-08","IE","Ireland","EURO",0,0,0,0
"2020-01-09","IE","Ireland","EURO",0,0,0,0
"2020-01-10","IE","Ireland","EURO",0,0,0,0
"2020-01-11","IE","Ireland","EURO",0,0,0,0
"2020-01-12","IE","Ireland","EURO",0,0,0,0
"2020-01-13","IE","Ireland","EURO",0,0,0,0
"2020-01-14","IE","Ireland","EURO",0,0,0,0
"2020-01-15","IE","Ireland","EURO",0,0,0,0
"2020-01-16","IE","Ireland","EURO",0,0,0,0
"2020-01-17","IE","Ireland","EURO",0,0,0,0
"2020-01-18","IE","Ireland","EURO",0,0,0,0
"2020-01-19","IE","Ireland","EURO",0,0,0,0
"2020-01-20","IE","Ireland","EURO",0,0,0,0
"2020-01-21","IE","Ireland","EURO",0,0,0,0
"2020-01-22","IE","Ireland","EURO",0,0,0,0
"2020-01-23","IE","Ireland","EURO",0,0,0,0
"2020-01-24","IE","Ireland","EURO",0,0,0,0
"2020-01-25","IE","Ireland","EURO",0,0,0,0
"2020-01-26","IE","Ireland","EURO",0,0,0,0
"2020-01-27","IE","Ireland","EURO",0,0,0,0
"2020-01-28","IE","Ireland","EURO",0,0,0,0
"2020-01-29","IE","Ireland","EURO",0,0,0,0
"2020-01-30","IE","Ireland","EURO",0,0,0,0
"2020-01-31","IE","Ireland","EURO",0,0,0,0
"2020-02-01","IE","Ireland","EURO",0,0,0,0
"2020-02-02","IE","Ireland","EURO",0,0,0,0
"2020-02-03","IE","Ireland","EURO",0,0,0,0
"2020-02-04","IE","Ireland","EURO",0,0,0,0
"2020-02-05","IE","Ireland","EURO",0,0,0,0
"2020-02-06","IE","Ireland","EURO",0,0,0,0
"2020-02-07","IE","Ireland","EURO",0,0,0,0
"2020-02-08","IE","Ireland","EURO",0,0,0,0
"2020-02-09","IE","Ireland","EURO",0,0,0,0
"2020-02-10","IE","Ireland","EURO",0,0,0,0
"2020-02-11","IE","Ireland","EURO",0,0,0,0
"2020-02-12","IE","Ireland","EURO",0,0,0,0
"2020-02-13","IE","Ireland","EURO",0,0,0,0
"2020-02-14","IE","Ireland","EURO",0,0,0,0
"2020-02-15","IE","Ireland","EURO",0,0,0,0
"2020-02-16","IE","Ireland","EURO",0,0,0,0
"2020-02-17","IE","Ireland","EURO",0,0,0,0
"2020-02-18","IE","Ireland","EURO",0,0,0,0
"2020-02-19","IE","Ireland","EURO",0,0,0,0
"2020-02-20","IE","Ireland","EURO",0,0,0,0
"2020-02-21","IE","Ireland","EURO",0,0,0,0
"2020-02-22","IE","Ireland","EURO",0,0,0,0
"2020-02-23","IE","Ireland","EURO",0,0,0,0
"2020-02-24","IE","Ireland","EURO",0,0,0,0
"2020-02-25","IE","Ireland","EURO",0,0,0,0
"2020-02-26","IE","Ireland","EURO",0,0,0,0
"2020-02-27","IE","Ireland","EURO",0,0,0,0
"2020-02-28","IE","Ireland","EURO",0,0,0,0
"2020-02-29","IE","Ireland","EURO",0,0,0,0
"2020-03-01","IE","Ireland","EURO",1,1,0,0
"2020-03-02","IE","Ireland","EURO",0,1,0,0
"2020-03-03","IE","Ireland","EURO",0,1,0,0
"2020-03-04","IE","Ireland","EURO",1,2,0,0
"2020-03-05","IE","Ireland","EURO",4,6,0,0
"2020-03-06","IE","Ireland","EURO",7,13,0,0
"2020-03-07","IE","Ireland","EURO",5,18,0,0
"2020-03-08","IE","Ireland","EURO",1,19,0,0
"2020-03-09","IE","Ireland","EURO",2,21,0,0
"2020-03-10","IE","Ireland","EURO",0,21,0,0
"2020-03-11","IE","Ireland","EURO",14,35,0,0
"2020-03-12","IE","Ireland","EURO",8,43,1,1
"2020-03-13","IE","Ireland","EURO",27,70,0,1
"2020-03-14","IE","Ireland","EURO",21,91,0,1
"2020-03-15","IE","Ireland","EURO",38,129,1,2
"2020-03-16","IE","Ireland","EURO",40,169,0,2
"2020-03-17","IE","Ireland","EURO",54,223,0,2
"2020-03-18","IE","Ireland","EURO",69,292,0,2
"2020-03-19","IE","Ireland","EURO",74,366,0,2
"2020-03-20","IE","Ireland","EURO",191,557,1,3
"2020-03-21","IE","Ireland","EURO",126,683,0,3
"2020-03-22","IE","Ireland","EURO",102,785,0,3
"2020-03-23","IE","Ireland","EURO",121,906,1,4
"2020-03-24","IE","Ireland","EURO",219,1125,2,6
"2020-03-25","IE","Ireland","EURO",204,1329,1,7
"2020-03-26","IE","Ireland","EURO",235,1564,2,9
"2020-03-27","IE","Ireland","EURO",255,1819,10,19
"2020-03-28","IE","Ireland","EURO",302,2121,3,22
"2020-03-29","IE","Ireland","EURO",294,2415,14,36
"2020-03-30","IE","Ireland","EURO",200,2615,10,46
"2020-03-31","IE","Ireland","EURO",295,2910,8,54
"2020-04-01","IE","Ireland","EURO",325,3235,17,71
"2020-04-02","IE","Ireland","EURO",212,3447,14,85
"2020-04-03","IE","Ireland","EURO",402,3849,13,98
"2020-04-04","IE","Ireland","EURO",424,4273,22,120
"2020-04-05","IE","Ireland","EURO",331,4604,17,137
"2020-04-06","IE","Ireland","EURO",507,5111,21,158
"2020-04-07","IE","Ireland","EURO",253,5364,16,174
"2020-04-08","IE","Ireland","EURO",345,5709,36,210
"2020-04-09","IE","Ireland","EURO",515,6224,25,235
"2020-04-10","IE","Ireland","EURO",1169,7393,28,263
"2020-04-11","IE","Ireland","EURO",696,8089,24,287
"2020-04-12","IE","Ireland","EURO",839,8928,33,320
"2020-04-13","IE","Ireland","EURO",727,9655,14,334
"2020-04-14","IE","Ireland","EURO",992,10647,31,365
"2020-04-15","IE","Ireland","EURO",832,11479,41,406
"2020-04-16","IE","Ireland","EURO",1068,12547,38,444
"2020-04-17","IE","Ireland","EURO",724,13271,42,486
"2020-04-18","IE","Ireland","EURO",709,13980,44,530
"2020-04-19","IE","Ireland","EURO",778,14758,41,571
"2020-04-20","IE","Ireland","EURO",493,15251,39,610
"2020-04-21","IE","Ireland","EURO",401,15652,77,687
"2020-04-22","IE","Ireland","EURO",388,16040,43,730
"2020-04-23","IE","Ireland","EURO",631,16671,39,769
"2020-04-24","IE","Ireland","EURO",936,17607,25,794
"2020-04-25","IE","Ireland","EURO",577,18184,35,829
"2020-04-26","IE","Ireland","EURO",377,18561,234,1063
"2020-04-27","IE","Ireland","EURO",701,19262,24,1087
"2020-04-28","IE","Ireland","EURO",386,19648,15,1102
"2020-04-29","IE","Ireland","EURO",229,19877,57,1159
"2020-04-30","IE","Ireland","EURO",376,20253,31,1190
"2020-05-01","IE","Ireland","EURO",359,20612,42,1232
"2020-05-02","IE","Ireland","EURO",221,20833,33,1265
"2020-05-03","IE","Ireland","EURO",343,21176,0,1265
"2020-05-04","IE","Ireland","EURO",330,21506,38,1303
"2020-05-05","IE","Ireland","EURO",216,21722,16,1319
"2020-05-06","IE","Ireland","EURO",261,21983,20,1339
"2020-05-07","IE","Ireland","EURO",265,22248,36,1375
"2020-05-08","IE","Ireland","EURO",137,22385,28,1403
"2020-05-09","IE","Ireland","EURO",156,22541,26,1429
"2020-05-10","IE","Ireland","EURO",219,22760,17,1446
"2020-05-11","IE","Ireland","EURO",236,22996,12,1458
"2020-05-12","IE","Ireland","EURO",139,23135,9,1467
"2020-05-13","IE","Ireland","EURO",107,23242,21,1488
"2020-05-14","IE","Ireland","EURO",159,23401,9,1497
"2020-05-15","IE","Ireland","EURO",426,23827,9,1506
"2020-05-16","IE","Ireland","EURO",129,23956,12,1518
"2020-05-17","IE","Ireland","EURO",92,24048,15,1533
"2020-05-18","IE","Ireland","EURO",64,24112,10,1543
"2020-05-19","IE","Ireland","EURO",88,24200,4,1547
"2020-05-20","IE","Ireland","EURO",51,24251,14,1561
"2020-05-21","IE","Ireland","EURO",64,24315,10,1571
"2020-05-22","IE","Ireland","EURO",76,24391,12,1583
"2020-05-23","IE","Ireland","EURO",115,24506,9,1592
"2020-05-24","IE","Ireland","EURO",76,24582,12,1604
"2020-05-25","IE","Ireland","EURO",57,24639,2,1606
"2020-05-26","IE","Ireland","EURO",59,24698,0,1606
"2020-05-27","IE","Ireland","EURO",37,24735,9,1615
"2020-05-28","IE","Ireland","EURO",68,24803,16,1631
"2020-05-29","IE","Ireland","EURO",38,24841,8,1639
"2020-05-30","IE","Ireland","EURO",35,24876,6,1645
"2020-05-31","IE","Ireland","EURO",53,24929,5,1650
"2020-06-01","IE","Ireland","EURO",61,24990,0,1650
"2020-06-02","IE","Ireland","EURO",72,25062,0,1650
"2020-06-03","IE","Ireland","EURO",4,25066,8,1658
"2020-06-04","IE","Ireland","EURO",45,25111,1,1659
"2020-06-05","IE","Ireland","EURO",31,25142,5,1664
"2020-06-06","IE","Ireland","EURO",21,25163,6,1670
