"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IM","Isle of Man","EURO",0,0,0,0
"2020-01-04","IM","Isle of Man","EURO",0,0,0,0
"2020-01-05","IM","Isle of Man","EURO",0,0,0,0
"2020-01-06","IM","Isle of Man","EURO",0,0,0,0
"2020-01-07","IM","Isle of Man","EURO",0,0,0,0
"2020-01-08","IM","Isle of Man","EURO",0,0,0,0
"2020-01-09","IM","Isle of Man","EURO",0,0,0,0
"2020-01-10","IM","Isle of Man","EURO",0,0,0,0
"2020-01-11","IM","Isle of Man","EURO",0,0,0,0
"2020-01-12","IM","Isle of Man","EURO",0,0,0,0
"2020-01-13","IM","Isle of Man","EURO",0,0,0,0
"2020-01-14","IM","Isle of Man","EURO",0,0,0,0
"2020-01-15","IM","Isle of Man","EURO",0,0,0,0
"2020-01-16","IM","Isle of Man","EURO",0,0,0,0
"2020-01-17","IM","Isle of Man","EURO",0,0,0,0
"2020-01-18","IM","Isle of Man","EURO",0,0,0,0
"2020-01-19","IM","Isle of Man","EURO",0,0,0,0
"2020-01-20","IM","Isle of Man","EURO",0,0,0,0
"2020-01-21","IM","Isle of Man","EURO",0,0,0,0
"2020-01-22","IM","Isle of Man","EURO",0,0,0,0
"2020-01-23","IM","Isle of Man","EURO",0,0,0,0
"2020-01-24","IM","Isle of Man","EURO",0,0,0,0
"2020-01-25","IM","Isle of Man","EURO",0,0,0,0
"2020-01-26","IM","Isle of Man","EURO",0,0,0,0
"2020-01-27","IM","Isle of Man","EURO",0,0,0,0
"2020-01-28","IM","Isle of Man","EURO",0,0,0,0
"2020-01-29","IM","Isle of Man","EURO",0,0,0,0
"2020-01-30","IM","Isle of Man","EURO",0,0,0,0
"2020-01-31","IM","Isle of Man","EURO",0,0,0,0
"2020-02-01","IM","Isle of Man","EURO",0,0,0,0
"2020-02-02","IM","Isle of Man","EURO",0,0,0,0
"2020-02-03","IM","Isle of Man","EURO",0,0,0,0
"2020-02-04","IM","Isle of Man","EURO",0,0,0,0
"2020-02-05","IM","Isle of Man","EURO",0,0,0,0
"2020-02-06","IM","Isle of Man","EURO",0,0,0,0
"2020-02-07","IM","Isle of Man","EURO",0,0,0,0
"2020-02-08","IM","Isle of Man","EURO",0,0,0,0
"2020-02-09","IM","Isle of Man","EURO",0,0,0,0
"2020-02-10","IM","Isle of Man","EURO",0,0,0,0
"2020-02-11","IM","Isle of Man","EURO",0,0,0,0
"2020-02-12","IM","Isle of Man","EURO",0,0,0,0
"2020-02-13","IM","Isle of Man","EURO",0,0,0,0
"2020-02-14","IM","Isle of Man","EURO",0,0,0,0
"2020-02-15","IM","Isle of Man","EURO",0,0,0,0
"2020-02-16","IM","Isle of Man","EURO",0,0,0,0
"2020-02-17","IM","Isle of Man","EURO",0,0,0,0
"2020-02-18","IM","Isle of Man","EURO",0,0,0,0
"2020-02-19","IM","Isle of Man","EURO",0,0,0,0
"2020-02-20","IM","Isle of Man","EURO",0,0,0,0
"2020-02-21","IM","Isle of Man","EURO",0,0,0,0
"2020-02-22","IM","Isle of Man","EURO",0,0,0,0
"2020-02-23","IM","Isle of Man","EURO",0,0,0,0
"2020-02-24","IM","Isle of Man","EURO",0,0,0,0
"2020-02-25","IM","Isle of Man","EURO",0,0,0,0
"2020-02-26","IM","Isle of Man","EURO",0,0,0,0
"2020-02-27","IM","Isle of Man","EURO",0,0,0,0
"2020-02-28","IM","Isle of Man","EURO",0,0,0,0
"2020-02-29","IM","Isle of Man","EURO",0,0,0,0
"2020-03-01","IM","Isle of Man","EURO",0,0,0,0
"2020-03-02","IM","Isle of Man","EURO",0,0,0,0
"2020-03-03","IM","Isle of Man","EURO",0,0,0,0
"2020-03-04","IM","Isle of Man","EURO",0,0,0,0
"2020-03-05","IM","Isle of Man","EURO",0,0,0,0
"2020-03-06","IM","Isle of Man","EURO",0,0,0,0
"2020-03-07","IM","Isle of Man","EURO",0,0,0,0
"2020-03-08","IM","Isle of Man","EURO",0,0,0,0
"2020-03-09","IM","Isle of Man","EURO",0,0,0,0
"2020-03-10","IM","Isle of Man","EURO",0,0,0,0
"2020-03-11","IM","Isle of Man","EURO",0,0,0,0
"2020-03-12","IM","Isle of Man","EURO",0,0,0,0
"2020-03-13","IM","Isle of Man","EURO",0,0,0,0
"2020-03-14","IM","Isle of Man","EURO",0,0,0,0
"2020-03-15","IM","Isle of Man","EURO",0,0,0,0
"2020-03-16","IM","Isle of Man","EURO",0,0,0,0
"2020-03-17","IM","Isle of Man","EURO",0,0,0,0
"2020-03-18","IM","Isle of Man","EURO",0,0,0,0
"2020-03-19","IM","Isle of Man","EURO",0,0,0,0
"2020-03-20","IM","Isle of Man","EURO",1,1,0,0
"2020-03-21","IM","Isle of Man","EURO",0,1,0,0
"2020-03-22","IM","Isle of Man","EURO",1,2,0,0
"2020-03-23","IM","Isle of Man","EURO",0,2,0,0
"2020-03-24","IM","Isle of Man","EURO",11,13,0,0
"2020-03-25","IM","Isle of Man","EURO",10,23,0,0
"2020-03-26","IM","Isle of Man","EURO",0,23,0,0
"2020-03-27","IM","Isle of Man","EURO",3,26,0,0
"2020-03-28","IM","Isle of Man","EURO",3,29,0,0
"2020-03-29","IM","Isle of Man","EURO",3,32,0,0
"2020-03-30","IM","Isle of Man","EURO",10,42,0,0
"2020-03-31","IM","Isle of Man","EURO",10,52,0,0
"2020-04-01","IM","Isle of Man","EURO",0,52,0,0
"2020-04-02","IM","Isle of Man","EURO",13,65,0,0
"2020-04-03","IM","Isle of Man","EURO",6,71,1,1
"2020-04-04","IM","Isle of Man","EURO",43,114,0,1
"2020-04-05","IM","Isle of Man","EURO",12,126,0,1
"2020-04-06","IM","Isle of Man","EURO",1,127,0,1
"2020-04-07","IM","Isle of Man","EURO",0,127,0,1
"2020-04-08","IM","Isle of Man","EURO",23,150,0,1
"2020-04-09","IM","Isle of Man","EURO",0,150,0,1
"2020-04-10","IM","Isle of Man","EURO",15,165,0,1
"2020-04-11","IM","Isle of Man","EURO",25,190,0,1
"2020-04-12","IM","Isle of Man","EURO",14,204,0,1
"2020-04-13","IM","Isle of Man","EURO",22,226,0,1
"2020-04-14","IM","Isle of Man","EURO",2,228,1,2
"2020-04-15","IM","Isle of Man","EURO",14,242,0,2
"2020-04-16","IM","Isle of Man","EURO",12,254,0,2
"2020-04-17","IM","Isle of Man","EURO",4,258,2,4
"2020-04-18","IM","Isle of Man","EURO",31,289,0,4
"2020-04-19","IM","Isle of Man","EURO",2,291,0,4
"2020-04-20","IM","Isle of Man","EURO",6,297,0,4
"2020-04-21","IM","Isle of Man","EURO",0,297,0,4
"2020-04-22","IM","Isle of Man","EURO",10,307,6,10
"2020-04-23","IM","Isle of Man","EURO",0,307,0,10
"2020-04-24","IM","Isle of Man","EURO",0,307,6,16
"2020-04-25","IM","Isle of Man","EURO",1,308,1,17
"2020-04-26","IM","Isle of Man","EURO",0,308,1,18
"2020-04-27","IM","Isle of Man","EURO",0,308,0,18
"2020-04-28","IM","Isle of Man","EURO",0,308,0,18
"2020-04-29","IM","Isle of Man","EURO",0,308,2,20
"2020-04-30","IM","Isle of Man","EURO",1,309,1,21
"2020-05-01","IM","Isle of Man","EURO",2,311,1,22
"2020-05-02","IM","Isle of Man","EURO",0,311,0,22
"2020-05-03","IM","Isle of Man","EURO",4,315,1,23
"2020-05-04","IM","Isle of Man","EURO",5,320,0,23
"2020-05-05","IM","Isle of Man","EURO",1,321,0,23
"2020-05-06","IM","Isle of Man","EURO",4,325,0,23
"2020-05-07","IM","Isle of Man","EURO",1,326,0,23
"2020-05-08","IM","Isle of Man","EURO",1,327,0,23
"2020-05-09","IM","Isle of Man","EURO",2,329,0,23
"2020-05-10","IM","Isle of Man","EURO",0,329,0,23
"2020-05-11","IM","Isle of Man","EURO",1,330,0,23
