"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","IL","Israel","EURO",0,0,0,0
"2020-01-04","IL","Israel","EURO",0,0,0,0
"2020-01-05","IL","Israel","EURO",0,0,0,0
"2020-01-06","IL","Israel","EURO",0,0,0,0
"2020-01-07","IL","Israel","EURO",0,0,0,0
"2020-01-08","IL","Israel","EURO",0,0,0,0
"2020-01-09","IL","Israel","EURO",0,0,0,0
"2020-01-10","IL","Israel","EURO",0,0,0,0
"2020-01-11","IL","Israel","EURO",0,0,0,0
"2020-01-12","IL","Israel","EURO",0,0,0,0
"2020-01-13","IL","Israel","EURO",0,0,0,0
"2020-01-14","IL","Israel","EURO",0,0,0,0
"2020-01-15","IL","Israel","EURO",0,0,0,0
"2020-01-16","IL","Israel","EURO",0,0,0,0
"2020-01-17","IL","Israel","EURO",0,0,0,0
"2020-01-18","IL","Israel","EURO",0,0,0,0
"2020-01-19","IL","Israel","EURO",0,0,0,0
"2020-01-20","IL","Israel","EURO",0,0,0,0
"2020-01-21","IL","Israel","EURO",0,0,0,0
"2020-01-22","IL","Israel","EURO",0,0,0,0
"2020-01-23","IL","Israel","EURO",0,0,0,0
"2020-01-24","IL","Israel","EURO",0,0,0,0
"2020-01-25","IL","Israel","EURO",0,0,0,0
"2020-01-26","IL","Israel","EURO",0,0,0,0
"2020-01-27","IL","Israel","EURO",0,0,0,0
"2020-01-28","IL","Israel","EURO",0,0,0,0
"2020-01-29","IL","Israel","EURO",0,0,0,0
"2020-01-30","IL","Israel","EURO",0,0,0,0
"2020-01-31","IL","Israel","EURO",0,0,0,0
"2020-02-01","IL","Israel","EURO",0,0,0,0
"2020-02-02","IL","Israel","EURO",0,0,0,0
"2020-02-03","IL","Israel","EURO",0,0,0,0
"2020-02-04","IL","Israel","EURO",0,0,0,0
"2020-02-05","IL","Israel","EURO",0,0,0,0
"2020-02-06","IL","Israel","EURO",0,0,0,0
"2020-02-07","IL","Israel","EURO",0,0,0,0
"2020-02-08","IL","Israel","EURO",0,0,0,0
"2020-02-09","IL","Israel","EURO",0,0,0,0
"2020-02-10","IL","Israel","EURO",0,0,0,0
"2020-02-11","IL","Israel","EURO",0,0,0,0
"2020-02-12","IL","Israel","EURO",0,0,0,0
"2020-02-13","IL","Israel","EURO",0,0,0,0
"2020-02-14","IL","Israel","EURO",0,0,0,0
"2020-02-15","IL","Israel","EURO",0,0,0,0
"2020-02-16","IL","Israel","EURO",0,0,0,0
"2020-02-17","IL","Israel","EURO",0,0,0,0
"2020-02-18","IL","Israel","EURO",0,0,0,0
"2020-02-19","IL","Israel","EURO",0,0,0,0
