"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","JM","Jamaica","AMRO",0,0,0,0
"2020-01-04","JM","Jamaica","AMRO",0,0,0,0
"2020-01-05","JM","Jamaica","AMRO",0,0,0,0
"2020-01-06","JM","Jamaica","AMRO",0,0,0,0
"2020-01-07","JM","Jamaica","AMRO",0,0,0,0
"2020-01-08","JM","Jamaica","AMRO",0,0,0,0
"2020-01-09","JM","Jamaica","AMRO",0,0,0,0
"2020-01-10","JM","Jamaica","AMRO",0,0,0,0
"2020-01-11","JM","Jamaica","AMRO",0,0,0,0
"2020-01-12","JM","Jamaica","AMRO",0,0,0,0
"2020-01-13","JM","Jamaica","AMRO",0,0,0,0
"2020-01-14","JM","Jamaica","AMRO",0,0,0,0
"2020-01-15","JM","Jamaica","AMRO",0,0,0,0
"2020-01-16","JM","Jamaica","AMRO",0,0,0,0
"2020-01-17","JM","Jamaica","AMRO",0,0,0,0
"2020-01-18","JM","Jamaica","AMRO",0,0,0,0
"2020-01-19","JM","Jamaica","AMRO",0,0,0,0
"2020-01-20","JM","Jamaica","AMRO",0,0,0,0
"2020-01-21","JM","Jamaica","AMRO",0,0,0,0
"2020-01-22","JM","Jamaica","AMRO",0,0,0,0
"2020-01-23","JM","Jamaica","AMRO",0,0,0,0
"2020-01-24","JM","Jamaica","AMRO",0,0,0,0
"2020-01-25","JM","Jamaica","AMRO",0,0,0,0
"2020-01-26","JM","Jamaica","AMRO",0,0,0,0
"2020-01-27","JM","Jamaica","AMRO",0,0,0,0
"2020-01-28","JM","Jamaica","AMRO",0,0,0,0
"2020-01-29","JM","Jamaica","AMRO",0,0,0,0
"2020-01-30","JM","Jamaica","AMRO",0,0,0,0
"2020-01-31","JM","Jamaica","AMRO",0,0,0,0
"2020-02-01","JM","Jamaica","AMRO",0,0,0,0
"2020-02-02","JM","Jamaica","AMRO",0,0,0,0
"2020-02-03","JM","Jamaica","AMRO",0,0,0,0
"2020-02-04","JM","Jamaica","AMRO",0,0,0,0
"2020-02-05","JM","Jamaica","AMRO",0,0,0,0
"2020-02-06","JM","Jamaica","AMRO",0,0,0,0
"2020-02-07","JM","Jamaica","AMRO",0,0,0,0
"2020-02-08","JM","Jamaica","AMRO",0,0,0,0
"2020-02-09","JM","Jamaica","AMRO",0,0,0,0
"2020-02-10","JM","Jamaica","AMRO",0,0,0,0
"2020-02-11","JM","Jamaica","AMRO",0,0,0,0
"2020-02-12","JM","Jamaica","AMRO",0,0,0,0
"2020-02-13","JM","Jamaica","AMRO",0,0,0,0
"2020-02-14","JM","Jamaica","AMRO",0,0,0,0
"2020-02-15","JM","Jamaica","AMRO",0,0,0,0
"2020-02-16","JM","Jamaica","AMRO",0,0,0,0
"2020-02-17","JM","Jamaica","AMRO",0,0,0,0
"2020-02-18","JM","Jamaica","AMRO",0,0,0,0
"2020-02-19","JM","Jamaica","AMRO",0,0,0,0
"2020-02-20","JM","Jamaica","AMRO",0,0,0,0
"2020-02-21","JM","Jamaica","AMRO",0,0,0,0
"2020-02-22","JM","Jamaica","AMRO",0,0,0,0
"2020-02-23","JM","Jamaica","AMRO",0,0,0,0
"2020-02-24","JM","Jamaica","AMRO",0,0,0,0
"2020-02-25","JM","Jamaica","AMRO",0,0,0,0
"2020-02-26","JM","Jamaica","AMRO",0,0,0,0
"2020-02-27","JM","Jamaica","AMRO",0,0,0,0
"2020-02-28","JM","Jamaica","AMRO",0,0,0,0
"2020-02-29","JM","Jamaica","AMRO",0,0,0,0
"2020-03-01","JM","Jamaica","AMRO",0,0,0,0
"2020-03-02","JM","Jamaica","AMRO",0,0,0,0
"2020-03-03","JM","Jamaica","AMRO",0,0,0,0
"2020-03-04","JM","Jamaica","AMRO",0,0,0,0
"2020-03-05","JM","Jamaica","AMRO",0,0,0,0
"2020-03-06","JM","Jamaica","AMRO",0,0,0,0
"2020-03-07","JM","Jamaica","AMRO",0,0,0,0
"2020-03-08","JM","Jamaica","AMRO",0,0,0,0
"2020-03-09","JM","Jamaica","AMRO",0,0,0,0
"2020-03-10","JM","Jamaica","AMRO",5,5,0,0
"2020-03-11","JM","Jamaica","AMRO",0,5,0,0
"2020-03-12","JM","Jamaica","AMRO",0,5,0,0
"2020-03-13","JM","Jamaica","AMRO",1,6,0,0
"2020-03-14","JM","Jamaica","AMRO",6,12,0,0
"2020-03-15","JM","Jamaica","AMRO",0,12,0,0
"2020-03-16","JM","Jamaica","AMRO",2,14,0,0
"2020-03-17","JM","Jamaica","AMRO",2,16,0,0
"2020-03-18","JM","Jamaica","AMRO",1,17,0,0
"2020-03-19","JM","Jamaica","AMRO",-2,15,1,1
"2020-03-20","JM","Jamaica","AMRO",1,16,0,1
"2020-03-21","JM","Jamaica","AMRO",0,16,0,1
"2020-03-22","JM","Jamaica","AMRO",0,16,0,1
"2020-03-23","JM","Jamaica","AMRO",3,19,0,1
"2020-03-24","JM","Jamaica","AMRO",2,21,0,1
"2020-03-25","JM","Jamaica","AMRO",0,21,0,1
"2020-03-26","JM","Jamaica","AMRO",5,26,0,1
"2020-03-27","JM","Jamaica","AMRO",0,26,0,1
"2020-03-28","JM","Jamaica","AMRO",0,26,0,1
"2020-03-29","JM","Jamaica","AMRO",4,30,0,1
"2020-03-30","JM","Jamaica","AMRO",2,32,0,1
"2020-03-31","JM","Jamaica","AMRO",4,36,0,1
"2020-04-01","JM","Jamaica","AMRO",0,36,0,1
"2020-04-02","JM","Jamaica","AMRO",2,38,0,1
"2020-04-03","JM","Jamaica","AMRO",6,44,2,3
"2020-04-04","JM","Jamaica","AMRO",3,47,0,3
"2020-04-05","JM","Jamaica","AMRO",6,53,0,3
"2020-04-06","JM","Jamaica","AMRO",2,55,0,3
"2020-04-07","JM","Jamaica","AMRO",3,58,0,3
"2020-04-08","JM","Jamaica","AMRO",1,59,0,3
"2020-04-09","JM","Jamaica","AMRO",4,63,0,3
"2020-04-10","JM","Jamaica","AMRO",0,63,1,4
"2020-04-11","JM","Jamaica","AMRO",0,63,0,4
"2020-04-12","JM","Jamaica","AMRO",2,65,0,4
"2020-04-13","JM","Jamaica","AMRO",4,69,0,4
"2020-04-14","JM","Jamaica","AMRO",3,72,0,4
"2020-04-15","JM","Jamaica","AMRO",1,73,0,4
"2020-04-16","JM","Jamaica","AMRO",32,105,1,5
"2020-04-17","JM","Jamaica","AMRO",20,125,0,5
"2020-04-18","JM","Jamaica","AMRO",18,143,0,5
"2020-04-19","JM","Jamaica","AMRO",20,163,0,5
"2020-04-20","JM","Jamaica","AMRO",10,173,0,5
"2020-04-21","JM","Jamaica","AMRO",23,196,0,5
"2020-04-22","JM","Jamaica","AMRO",27,223,1,6
"2020-04-23","JM","Jamaica","AMRO",10,233,0,6
"2020-04-24","JM","Jamaica","AMRO",10,243,0,6
"2020-04-25","JM","Jamaica","AMRO",14,257,1,7
"2020-04-26","JM","Jamaica","AMRO",31,288,0,7
"2020-04-27","JM","Jamaica","AMRO",17,305,0,7
"2020-04-28","JM","Jamaica","AMRO",0,305,0,7
"2020-04-29","JM","Jamaica","AMRO",59,364,0,7
"2020-04-30","JM","Jamaica","AMRO",17,381,0,7
"2020-05-01","JM","Jamaica","AMRO",15,396,0,7
"2020-05-02","JM","Jamaica","AMRO",26,422,1,8
"2020-05-03","JM","Jamaica","AMRO",10,432,0,8
