"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","JE","Jersey","EURO",0,0,0,0
"2020-01-04","JE","Jersey","EURO",0,0,0,0
"2020-01-05","JE","Jersey","EURO",0,0,0,0
"2020-01-06","JE","Jersey","EURO",0,0,0,0
"2020-01-07","JE","Jersey","EURO",0,0,0,0
"2020-01-08","JE","Jersey","EURO",0,0,0,0
"2020-01-09","JE","Jersey","EURO",0,0,0,0
"2020-01-10","JE","Jersey","EURO",0,0,0,0
"2020-01-11","JE","Jersey","EURO",0,0,0,0
"2020-01-12","JE","Jersey","EURO",0,0,0,0
"2020-01-13","JE","Jersey","EURO",0,0,0,0
"2020-01-14","JE","Jersey","EURO",0,0,0,0
"2020-01-15","JE","Jersey","EURO",0,0,0,0
"2020-01-16","JE","Jersey","EURO",0,0,0,0
"2020-01-17","JE","Jersey","EURO",0,0,0,0
"2020-01-18","JE","Jersey","EURO",0,0,0,0
"2020-01-19","JE","Jersey","EURO",0,0,0,0
"2020-01-20","JE","Jersey","EURO",0,0,0,0
"2020-01-21","JE","Jersey","EURO",0,0,0,0
"2020-01-22","JE","Jersey","EURO",0,0,0,0
"2020-01-23","JE","Jersey","EURO",0,0,0,0
"2020-01-24","JE","Jersey","EURO",0,0,0,0
"2020-01-25","JE","Jersey","EURO",0,0,0,0
"2020-01-26","JE","Jersey","EURO",0,0,0,0
"2020-01-27","JE","Jersey","EURO",0,0,0,0
"2020-01-28","JE","Jersey","EURO",0,0,0,0
"2020-01-29","JE","Jersey","EURO",0,0,0,0
"2020-01-30","JE","Jersey","EURO",0,0,0,0
"2020-01-31","JE","Jersey","EURO",0,0,0,0
"2020-02-01","JE","Jersey","EURO",0,0,0,0
"2020-02-02","JE","Jersey","EURO",0,0,0,0
"2020-02-03","JE","Jersey","EURO",0,0,0,0
"2020-02-04","JE","Jersey","EURO",0,0,0,0
"2020-02-05","JE","Jersey","EURO",0,0,0,0
"2020-02-06","JE","Jersey","EURO",0,0,0,0
"2020-02-07","JE","Jersey","EURO",0,0,0,0
"2020-02-08","JE","Jersey","EURO",0,0,0,0
"2020-02-09","JE","Jersey","EURO",0,0,0,0
"2020-02-10","JE","Jersey","EURO",0,0,0,0
"2020-02-11","JE","Jersey","EURO",0,0,0,0
"2020-02-12","JE","Jersey","EURO",0,0,0,0
"2020-02-13","JE","Jersey","EURO",0,0,0,0
"2020-02-14","JE","Jersey","EURO",0,0,0,0
"2020-02-15","JE","Jersey","EURO",0,0,0,0
"2020-02-16","JE","Jersey","EURO",0,0,0,0
"2020-02-17","JE","Jersey","EURO",0,0,0,0
"2020-02-18","JE","Jersey","EURO",0,0,0,0
"2020-02-19","JE","Jersey","EURO",0,0,0,0
"2020-02-20","JE","Jersey","EURO",0,0,0,0
"2020-02-21","JE","Jersey","EURO",0,0,0,0
"2020-02-22","JE","Jersey","EURO",0,0,0,0
"2020-02-23","JE","Jersey","EURO",0,0,0,0
"2020-02-24","JE","Jersey","EURO",0,0,0,0
"2020-02-25","JE","Jersey","EURO",0,0,0,0
"2020-02-26","JE","Jersey","EURO",0,0,0,0
"2020-02-27","JE","Jersey","EURO",0,0,0,0
"2020-02-28","JE","Jersey","EURO",0,0,0,0
"2020-02-29","JE","Jersey","EURO",0,0,0,0
"2020-03-01","JE","Jersey","EURO",0,0,0,0
"2020-03-02","JE","Jersey","EURO",0,0,0,0
"2020-03-03","JE","Jersey","EURO",0,0,0,0
"2020-03-04","JE","Jersey","EURO",0,0,0,0
"2020-03-05","JE","Jersey","EURO",0,0,0,0
"2020-03-06","JE","Jersey","EURO",0,0,0,0
"2020-03-07","JE","Jersey","EURO",0,0,0,0
"2020-03-08","JE","Jersey","EURO",0,0,0,0
"2020-03-09","JE","Jersey","EURO",0,0,0,0
"2020-03-10","JE","Jersey","EURO",0,0,0,0
"2020-03-11","JE","Jersey","EURO",0,0,0,0
"2020-03-12","JE","Jersey","EURO",2,2,0,0
"2020-03-13","JE","Jersey","EURO",0,2,0,0
"2020-03-14","JE","Jersey","EURO",0,2,0,0
"2020-03-15","JE","Jersey","EURO",0,2,0,0
"2020-03-16","JE","Jersey","EURO",0,2,0,0
"2020-03-17","JE","Jersey","EURO",0,2,0,0
"2020-03-18","JE","Jersey","EURO",3,5,0,0
"2020-03-19","JE","Jersey","EURO",0,5,0,0
"2020-03-20","JE","Jersey","EURO",7,12,0,0
"2020-03-21","JE","Jersey","EURO",0,12,0,0
"2020-03-22","JE","Jersey","EURO",0,12,0,0
"2020-03-23","JE","Jersey","EURO",3,15,0,0
"2020-03-24","JE","Jersey","EURO",1,16,0,0
"2020-03-25","JE","Jersey","EURO",0,16,0,0
"2020-03-26","JE","Jersey","EURO",2,18,0,0
"2020-03-27","JE","Jersey","EURO",14,32,1,1
"2020-03-28","JE","Jersey","EURO",20,52,0,1
"2020-03-29","JE","Jersey","EURO",9,61,0,1
"2020-03-30","JE","Jersey","EURO",2,63,1,2
"2020-03-31","JE","Jersey","EURO",0,63,0,2
"2020-04-01","JE","Jersey","EURO",0,63,0,2
"2020-04-02","JE","Jersey","EURO",18,81,0,2
"2020-04-03","JE","Jersey","EURO",0,81,0,2
"2020-04-04","JE","Jersey","EURO",37,118,0,2
"2020-04-05","JE","Jersey","EURO",5,123,1,3
"2020-04-06","JE","Jersey","EURO",32,155,0,3
"2020-04-07","JE","Jersey","EURO",0,155,0,3
"2020-04-08","JE","Jersey","EURO",15,170,0,3
"2020-04-09","JE","Jersey","EURO",0,170,0,3
"2020-04-10","JE","Jersey","EURO",0,170,0,3
