"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-04","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-05","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-06","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-07","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-08","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-09","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-10","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-11","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-12","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-13","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-14","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-15","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-16","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-17","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-18","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-19","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-20","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-21","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-22","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-23","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-24","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-25","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-26","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-27","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-28","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-29","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-30","KZ","Kazakhstan","EURO",0,0,0,0
"2020-01-31","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-01","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-02","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-03","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-04","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-05","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-06","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-07","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-08","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-09","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-10","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-11","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-12","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-13","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-14","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-15","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-16","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-17","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-18","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-19","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-20","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-21","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-22","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-23","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-24","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-25","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-26","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-27","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-28","KZ","Kazakhstan","EURO",0,0,0,0
"2020-02-29","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-01","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-02","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-03","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-04","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-05","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-06","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-07","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-08","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-09","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-10","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-11","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-12","KZ","Kazakhstan","EURO",0,0,0,0
"2020-03-13","KZ","Kazakhstan","EURO",2,2,0,0
"2020-03-14","KZ","Kazakhstan","EURO",4,6,0,0
"2020-03-15","KZ","Kazakhstan","EURO",0,6,0,0
"2020-03-16","KZ","Kazakhstan","EURO",0,6,0,0
"2020-03-17","KZ","Kazakhstan","EURO",27,33,0,0
"2020-03-18","KZ","Kazakhstan","EURO",2,35,0,0
"2020-03-19","KZ","Kazakhstan","EURO",11,46,0,0
"2020-03-20","KZ","Kazakhstan","EURO",7,53,0,0
"2020-03-21","KZ","Kazakhstan","EURO",4,57,0,0
"2020-03-22","KZ","Kazakhstan","EURO",5,62,0,0
"2020-03-23","KZ","Kazakhstan","EURO",10,72,0,0
"2020-03-24","KZ","Kazakhstan","EURO",10,82,0,0
"2020-03-25","KZ","Kazakhstan","EURO",15,97,0,0
"2020-03-26","KZ","Kazakhstan","EURO",53,150,0,0
"2020-03-27","KZ","Kazakhstan","EURO",78,228,1,1
"2020-03-28","KZ","Kazakhstan","EURO",56,284,0,1
"2020-03-29","KZ","Kazakhstan","EURO",28,312,0,1
"2020-03-30","KZ","Kazakhstan","EURO",0,312,0,1
"2020-03-31","KZ","Kazakhstan","EURO",36,348,1,2
"2020-04-01","KZ","Kazakhstan","EURO",38,386,1,3
"2020-04-02","KZ","Kazakhstan","EURO",49,435,0,3
"2020-04-03","KZ","Kazakhstan","EURO",25,460,0,3
"2020-04-04","KZ","Kazakhstan","EURO",71,531,2,5
"2020-04-05","KZ","Kazakhstan","EURO",73,604,0,5
"2020-04-06","KZ","Kazakhstan","EURO",66,670,1,6
"2020-04-07","KZ","Kazakhstan","EURO",39,709,0,6
"2020-04-08","KZ","Kazakhstan","EURO",18,727,1,7
"2020-04-09","KZ","Kazakhstan","EURO",75,802,2,9
"2020-04-10","KZ","Kazakhstan","EURO",57,859,1,10
"2020-04-11","KZ","Kazakhstan","EURO",38,897,0,10
"2020-04-12","KZ","Kazakhstan","EURO",82,979,2,12
"2020-04-13","KZ","Kazakhstan","EURO",112,1091,0,12
"2020-04-14","KZ","Kazakhstan","EURO",184,1275,0,12
"2020-04-15","KZ","Kazakhstan","EURO",20,1295,4,16
"2020-04-16","KZ","Kazakhstan","EURO",185,1480,0,16
"2020-04-17","KZ","Kazakhstan","EURO",66,1546,1,17
"2020-04-18","KZ","Kazakhstan","EURO",81,1627,2,19
"2020-04-19","KZ","Kazakhstan","EURO",141,1768,0,19
"2020-04-20","KZ","Kazakhstan","EURO",84,1852,0,19
"2020-04-21","KZ","Kazakhstan","EURO",143,1995,0,19
"2020-04-22","KZ","Kazakhstan","EURO",30,2025,0,19
"2020-04-23","KZ","Kazakhstan","EURO",0,2025,0,19
"2020-04-24","KZ","Kazakhstan","EURO",391,2416,6,25
"2020-04-25","KZ","Kazakhstan","EURO",185,2601,0,25
"2020-04-26","KZ","Kazakhstan","EURO",190,2791,0,25
"2020-04-27","KZ","Kazakhstan","EURO",191,2982,0,25
"2020-04-28","KZ","Kazakhstan","EURO",96,3078,0,25
"2020-04-29","KZ","Kazakhstan","EURO",255,3333,0,25
"2020-04-30","KZ","Kazakhstan","EURO",218,3551,0,25
"2020-05-01","KZ","Kazakhstan","EURO",234,3785,0,25
"2020-05-02","KZ","Kazakhstan","EURO",92,3877,1,26
"2020-05-03","KZ","Kazakhstan","EURO",111,3988,1,27
"2020-05-04","KZ","Kazakhstan","EURO",172,4160,2,29
"2020-05-05","KZ","Kazakhstan","EURO",138,4298,0,29
"2020-05-06","KZ","Kazakhstan","EURO",211,4509,1,30
"2020-05-07","KZ","Kazakhstan","EURO",69,4578,0,30
"2020-05-08","KZ","Kazakhstan","EURO",344,4922,1,31
"2020-05-09","KZ","Kazakhstan","EURO",134,5056,0,31
"2020-05-10","KZ","Kazakhstan","EURO",82,5138,0,31
