"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KE","Kenya","AFRO",0,0,0,0
"2020-01-04","KE","Kenya","AFRO",0,0,0,0
"2020-01-05","KE","Kenya","AFRO",0,0,0,0
"2020-01-06","KE","Kenya","AFRO",0,0,0,0
"2020-01-07","KE","Kenya","AFRO",0,0,0,0
"2020-01-08","KE","Kenya","AFRO",0,0,0,0
"2020-01-09","KE","Kenya","AFRO",0,0,0,0
"2020-01-10","KE","Kenya","AFRO",0,0,0,0
"2020-01-11","KE","Kenya","AFRO",0,0,0,0
"2020-01-12","KE","Kenya","AFRO",0,0,0,0
"2020-01-13","KE","Kenya","AFRO",0,0,0,0
"2020-01-14","KE","Kenya","AFRO",0,0,0,0
"2020-01-15","KE","Kenya","AFRO",0,0,0,0
"2020-01-16","KE","Kenya","AFRO",0,0,0,0
"2020-01-17","KE","Kenya","AFRO",0,0,0,0
"2020-01-18","KE","Kenya","AFRO",0,0,0,0
"2020-01-19","KE","Kenya","AFRO",0,0,0,0
"2020-01-20","KE","Kenya","AFRO",0,0,0,0
"2020-01-21","KE","Kenya","AFRO",0,0,0,0
"2020-01-22","KE","Kenya","AFRO",0,0,0,0
"2020-01-23","KE","Kenya","AFRO",0,0,0,0
"2020-01-24","KE","Kenya","AFRO",0,0,0,0
"2020-01-25","KE","Kenya","AFRO",0,0,0,0
"2020-01-26","KE","Kenya","AFRO",0,0,0,0
"2020-01-27","KE","Kenya","AFRO",0,0,0,0
"2020-01-28","KE","Kenya","AFRO",0,0,0,0
"2020-01-29","KE","Kenya","AFRO",0,0,0,0
"2020-01-30","KE","Kenya","AFRO",0,0,0,0
"2020-01-31","KE","Kenya","AFRO",0,0,0,0
"2020-02-01","KE","Kenya","AFRO",0,0,0,0
"2020-02-02","KE","Kenya","AFRO",0,0,0,0
"2020-02-03","KE","Kenya","AFRO",0,0,0,0
"2020-02-04","KE","Kenya","AFRO",0,0,0,0
"2020-02-05","KE","Kenya","AFRO",0,0,0,0
"2020-02-06","KE","Kenya","AFRO",0,0,0,0
"2020-02-07","KE","Kenya","AFRO",0,0,0,0
"2020-02-08","KE","Kenya","AFRO",0,0,0,0
"2020-02-09","KE","Kenya","AFRO",0,0,0,0
"2020-02-10","KE","Kenya","AFRO",0,0,0,0
"2020-02-11","KE","Kenya","AFRO",0,0,0,0
"2020-02-12","KE","Kenya","AFRO",0,0,0,0
"2020-02-13","KE","Kenya","AFRO",0,0,0,0
"2020-02-14","KE","Kenya","AFRO",0,0,0,0
"2020-02-15","KE","Kenya","AFRO",0,0,0,0
"2020-02-16","KE","Kenya","AFRO",0,0,0,0
"2020-02-17","KE","Kenya","AFRO",0,0,0,0
"2020-02-18","KE","Kenya","AFRO",0,0,0,0
"2020-02-19","KE","Kenya","AFRO",0,0,0,0
"2020-02-20","KE","Kenya","AFRO",0,0,0,0
"2020-02-21","KE","Kenya","AFRO",0,0,0,0
"2020-02-22","KE","Kenya","AFRO",0,0,0,0
"2020-02-23","KE","Kenya","AFRO",0,0,0,0
"2020-02-24","KE","Kenya","AFRO",0,0,0,0
"2020-02-25","KE","Kenya","AFRO",0,0,0,0
"2020-02-26","KE","Kenya","AFRO",0,0,0,0
"2020-02-27","KE","Kenya","AFRO",0,0,0,0
"2020-02-28","KE","Kenya","AFRO",0,0,0,0
"2020-02-29","KE","Kenya","AFRO",0,0,0,0
"2020-03-01","KE","Kenya","AFRO",0,0,0,0
"2020-03-02","KE","Kenya","AFRO",0,0,0,0
"2020-03-03","KE","Kenya","AFRO",0,0,0,0
"2020-03-04","KE","Kenya","AFRO",0,0,0,0
"2020-03-05","KE","Kenya","AFRO",0,0,0,0
"2020-03-06","KE","Kenya","AFRO",0,0,0,0
"2020-03-07","KE","Kenya","AFRO",0,0,0,0
"2020-03-08","KE","Kenya","AFRO",0,0,0,0
"2020-03-09","KE","Kenya","AFRO",0,0,0,0
"2020-03-10","KE","Kenya","AFRO",0,0,0,0
"2020-03-11","KE","Kenya","AFRO",0,0,0,0
"2020-03-12","KE","Kenya","AFRO",0,0,0,0
"2020-03-13","KE","Kenya","AFRO",0,0,0,0
"2020-03-14","KE","Kenya","AFRO",5,5,0,0
"2020-03-15","KE","Kenya","AFRO",0,5,0,0
"2020-03-16","KE","Kenya","AFRO",2,7,0,0
"2020-03-17","KE","Kenya","AFRO",0,7,0,0
"2020-03-18","KE","Kenya","AFRO",4,11,0,0
"2020-03-19","KE","Kenya","AFRO",0,11,0,0
"2020-03-20","KE","Kenya","AFRO",0,11,0,0
"2020-03-21","KE","Kenya","AFRO",0,11,0,0
"2020-03-22","KE","Kenya","AFRO",0,11,0,0
"2020-03-23","KE","Kenya","AFRO",4,15,0,0
"2020-03-24","KE","Kenya","AFRO",1,16,0,0
"2020-03-25","KE","Kenya","AFRO",9,25,0,0
"2020-03-26","KE","Kenya","AFRO",0,25,0,0
"2020-03-27","KE","Kenya","AFRO",0,25,1,1
"2020-03-28","KE","Kenya","AFRO",0,25,0,1
"2020-03-29","KE","Kenya","AFRO",0,25,0,1
"2020-03-30","KE","Kenya","AFRO",13,38,0,1
"2020-03-31","KE","Kenya","AFRO",12,50,0,1
"2020-04-01","KE","Kenya","AFRO",9,59,0,1
"2020-04-02","KE","Kenya","AFRO",22,81,0,1
"2020-04-03","KE","Kenya","AFRO",29,110,2,3
"2020-04-04","KE","Kenya","AFRO",12,122,1,4
"2020-04-05","KE","Kenya","AFRO",0,122,0,4
"2020-04-06","KE","Kenya","AFRO",20,142,0,4
"2020-04-07","KE","Kenya","AFRO",0,142,0,4
"2020-04-08","KE","Kenya","AFRO",30,172,2,6
"2020-04-09","KE","Kenya","AFRO",7,179,0,6
"2020-04-10","KE","Kenya","AFRO",5,184,1,7
"2020-04-11","KE","Kenya","AFRO",5,189,0,7
"2020-04-12","KE","Kenya","AFRO",2,191,0,7
"2020-04-13","KE","Kenya","AFRO",6,197,1,8
"2020-04-14","KE","Kenya","AFRO",11,208,1,9
"2020-04-15","KE","Kenya","AFRO",8,216,0,9
"2020-04-16","KE","Kenya","AFRO",9,225,1,10
"2020-04-17","KE","Kenya","AFRO",9,234,1,11
"2020-04-18","KE","Kenya","AFRO",12,246,0,11
"2020-04-19","KE","Kenya","AFRO",16,262,1,12
"2020-04-20","KE","Kenya","AFRO",8,270,2,14
"2020-04-21","KE","Kenya","AFRO",11,281,0,14
"2020-04-22","KE","Kenya","AFRO",15,296,0,14
"2020-04-23","KE","Kenya","AFRO",7,303,0,14
"2020-04-24","KE","Kenya","AFRO",17,320,0,14
"2020-04-25","KE","Kenya","AFRO",16,336,0,14
"2020-04-26","KE","Kenya","AFRO",7,343,0,14
"2020-04-27","KE","Kenya","AFRO",12,355,0,14
"2020-04-28","KE","Kenya","AFRO",8,363,0,14
"2020-04-29","KE","Kenya","AFRO",11,374,0,14
"2020-04-30","KE","Kenya","AFRO",10,384,1,15
"2020-05-01","KE","Kenya","AFRO",12,396,2,17
"2020-05-02","KE","Kenya","AFRO",15,411,4,21
"2020-05-03","KE","Kenya","AFRO",24,435,1,22
"2020-05-04","KE","Kenya","AFRO",31,466,2,24
"2020-05-05","KE","Kenya","AFRO",24,490,0,24
"2020-05-06","KE","Kenya","AFRO",45,535,2,26
"2020-05-07","KE","Kenya","AFRO",47,582,0,26
"2020-05-08","KE","Kenya","AFRO",25,607,3,29
"2020-05-09","KE","Kenya","AFRO",14,621,0,29
"2020-05-10","KE","Kenya","AFRO",28,649,1,30
"2020-05-11","KE","Kenya","AFRO",23,672,2,32
"2020-05-12","KE","Kenya","AFRO",28,700,1,33
"2020-05-13","KE","Kenya","AFRO",15,715,3,36
"2020-05-14","KE","Kenya","AFRO",22,737,4,40
"2020-05-15","KE","Kenya","AFRO",21,758,2,42
"2020-05-16","KE","Kenya","AFRO",23,781,4,46
"2020-05-17","KE","Kenya","AFRO",49,830,4,50
"2020-05-18","KE","Kenya","AFRO",57,887,0,50
"2020-05-19","KE","Kenya","AFRO",25,912,0,50
"2020-05-20","KE","Kenya","AFRO",51,963,0,50
"2020-05-21","KE","Kenya","AFRO",66,1029,0,50
"2020-05-22","KE","Kenya","AFRO",80,1109,0,50
"2020-05-23","KE","Kenya","AFRO",52,1161,0,50
"2020-05-24","KE","Kenya","AFRO",31,1192,0,50
"2020-05-25","KE","Kenya","AFRO",22,1214,1,51
"2020-05-26","KE","Kenya","AFRO",72,1286,1,52
"2020-05-27","KE","Kenya","AFRO",62,1348,0,52
"2020-05-28","KE","Kenya","AFRO",123,1471,3,55
"2020-05-29","KE","Kenya","AFRO",147,1618,3,58
"2020-05-30","KE","Kenya","AFRO",127,1745,4,62
"2020-05-31","KE","Kenya","AFRO",143,1888,1,63
"2020-06-01","KE","Kenya","AFRO",74,1962,1,64
"2020-06-02","KE","Kenya","AFRO",59,2021,5,69
"2020-06-03","KE","Kenya","AFRO",72,2093,2,71
"2020-06-04","KE","Kenya","AFRO",123,2216,3,74
"2020-06-05","KE","Kenya","AFRO",124,2340,4,78
"2020-06-06","KE","Kenya","AFRO",134,2474,1,79
"2020-06-07","KE","Kenya","AFRO",126,2600,4,83
"2020-06-08","KE","Kenya","AFRO",167,2767,1,84
"2020-06-09","KE","Kenya","AFRO",95,2862,1,85
"2020-06-10","KE","Kenya","AFRO",127,2989,3,88
"2020-06-11","KE","Kenya","AFRO",105,3094,1,89
"2020-06-12","KE","Kenya","AFRO",121,3215,3,92
"2020-06-13","KE","Kenya","AFRO",90,3305,4,96
"2020-06-14","KE","Kenya","AFRO",152,3457,4,100
"2020-06-15","KE","Kenya","AFRO",137,3594,3,103
"2020-06-16","KE","Kenya","AFRO",133,3727,1,104
"2020-06-17","KE","Kenya","AFRO",133,3860,1,105
"2020-06-18","KE","Kenya","AFRO",184,4044,2,107
"2020-06-19","KE","Kenya","AFRO",213,4257,10,117
"2020-06-20","KE","Kenya","AFRO",117,4374,2,119
"2020-06-21","KE","Kenya","AFRO",104,4478,2,121
"2020-06-22","KE","Kenya","AFRO",260,4738,2,123
"2020-06-23","KE","Kenya","AFRO",59,4797,2,125
"2020-06-24","KE","Kenya","AFRO",155,4952,3,128
"2020-06-25","KE","Kenya","AFRO",254,5206,2,130
"2020-06-26","KE","Kenya","AFRO",178,5384,2,132
"2020-06-27","KE","Kenya","AFRO",149,5533,5,137
"2020-06-28","KE","Kenya","AFRO",278,5811,4,141
"2020-06-29","KE","Kenya","AFRO",259,6070,3,144
"2020-06-30","KE","Kenya","AFRO",120,6190,0,144
"2020-07-01","KE","Kenya","AFRO",176,6366,4,148
"2020-07-02","KE","Kenya","AFRO",307,6673,1,149
"2020-07-03","KE","Kenya","AFRO",268,6941,3,152
"2020-07-04","KE","Kenya","AFRO",247,7188,2,154
"2020-07-05","KE","Kenya","AFRO",389,7577,5,159
"2020-07-06","KE","Kenya","AFRO",309,7886,1,160
"2020-07-07","KE","Kenya","AFRO",181,8067,4,164
"2020-07-08","KE","Kenya","AFRO",183,8250,3,167
"2020-07-09","KE","Kenya","AFRO",278,8528,2,169
"2020-07-10","KE","Kenya","AFRO",447,8975,4,173
"2020-07-11","KE","Kenya","AFRO",473,9448,8,181
"2020-07-12","KE","Kenya","AFRO",278,9726,3,184
"2020-07-13","KE","Kenya","AFRO",379,10105,1,185
"2020-07-14","KE","Kenya","AFRO",189,10294,12,197
"2020-07-15","KE","Kenya","AFRO",497,10791,5,202
"2020-07-16","KE","Kenya","AFRO",461,11252,7,209
"2020-07-17","KE","Kenya","AFRO",421,11673,8,217
"2020-07-18","KE","Kenya","AFRO",389,12062,5,222
"2020-07-19","KE","Kenya","AFRO",688,12750,3,225
"2020-07-20","KE","Kenya","AFRO",603,13353,9,234
"2020-07-21","KE","Kenya","AFRO",418,13771,4,238
"2020-07-22","KE","Kenya","AFRO",397,14168,12,250
"2020-07-23","KE","Kenya","AFRO",637,14805,10,260
"2020-07-24","KE","Kenya","AFRO",796,15601,3,263
"2020-07-25","KE","Kenya","AFRO",667,16268,11,274
"2020-07-26","KE","Kenya","AFRO",375,16643,4,278
"2020-07-27","KE","Kenya","AFRO",0,16643,0,278
"2020-07-28","KE","Kenya","AFRO",1332,17975,7,285
"2020-07-29","KE","Kenya","AFRO",606,18581,14,299
"2020-07-30","KE","Kenya","AFRO",544,19125,12,311
"2020-07-31","KE","Kenya","AFRO",788,19913,14,325
"2020-08-01","KE","Kenya","AFRO",723,20636,16,341
"2020-08-02","KE","Kenya","AFRO",727,21363,23,364
"2020-08-03","KE","Kenya","AFRO",690,22053,5,369
"2020-08-04","KE","Kenya","AFRO",544,22597,13,382
"2020-08-05","KE","Kenya","AFRO",605,23202,6,388
"2020-08-06","KE","Kenya","AFRO",671,23873,3,391
"2020-08-07","KE","Kenya","AFRO",538,24411,8,399
"2020-08-08","KE","Kenya","AFRO",727,25138,14,413
"2020-08-09","KE","Kenya","AFRO",699,25837,5,418
"2020-08-10","KE","Kenya","AFRO",599,26436,2,420
"2020-08-11","KE","Kenya","AFRO",492,26928,3,423
"2020-08-12","KE","Kenya","AFRO",497,27425,15,438
"2020-08-13","KE","Kenya","AFRO",679,28104,18,456
"2020-08-14","KE","Kenya","AFRO",650,28754,4,460
"2020-08-15","KE","Kenya","AFRO",580,29334,5,465
"2020-08-16","KE","Kenya","AFRO",515,29849,7,472
"2020-08-17","KE","Kenya","AFRO",271,30120,2,474
"2020-08-18","KE","Kenya","AFRO",245,30365,8,482
"2020-08-19","KE","Kenya","AFRO",271,30636,5,487
"2020-08-20","KE","Kenya","AFRO",379,31015,19,506
"2020-08-21","KE","Kenya","AFRO",426,31441,10,516
"2020-08-22","KE","Kenya","AFRO",322,31763,16,532
"2020-08-23","KE","Kenya","AFRO",355,32118,10,542
"2020-08-24","KE","Kenya","AFRO",246,32364,6,548
"2020-08-25","KE","Kenya","AFRO",193,32557,6,554
"2020-08-26","KE","Kenya","AFRO",246,32803,6,560
"2020-08-27","KE","Kenya","AFRO",213,33016,4,564
"2020-08-28","KE","Kenya","AFRO",373,33389,3,567
"2020-08-29","KE","Kenya","AFRO",241,33630,0,567
"2020-08-30","KE","Kenya","AFRO",164,33794,5,572
"2020-08-31","KE","Kenya","AFRO",263,34057,2,574
"2020-09-01","KE","Kenya","AFRO",144,34201,3,577
"2020-09-02","KE","Kenya","AFRO",114,34315,0,577
"2020-09-03","KE","Kenya","AFRO",178,34493,4,581
"2020-09-04","KE","Kenya","AFRO",212,34705,4,585
"2020-09-05","KE","Kenya","AFRO",179,34884,4,589
"2020-09-06","KE","Kenya","AFRO",136,35020,5,594
"2020-09-07","KE","Kenya","AFRO",83,35103,3,597
"2020-09-08","KE","Kenya","AFRO",102,35205,2,599
"2020-09-09","KE","Kenya","AFRO",151,35356,0,599
"2020-09-10","KE","Kenya","AFRO",104,35460,8,607
"2020-09-11","KE","Kenya","AFRO",143,35603,5,612
"2020-09-12","KE","Kenya","AFRO",190,35793,4,616
"2020-09-13","KE","Kenya","AFRO",170,35963,3,619
"2020-09-14","KE","Kenya","AFRO",194,36157,3,622
"2020-09-15","KE","Kenya","AFRO",48,36205,2,624
"2020-09-16","KE","Kenya","AFRO",96,36301,10,634
"2020-09-17","KE","Kenya","AFRO",0,36301,0,634
"2020-09-18","KE","Kenya","AFRO",275,36576,8,642
"2020-09-19","KE","Kenya","AFRO",148,36724,4,646
"2020-09-20","KE","Kenya","AFRO",105,36829,0,646
"2020-09-21","KE","Kenya","AFRO",152,36981,2,648
"2020-09-22","KE","Kenya","AFRO",98,37079,2,650
"2020-09-23","KE","Kenya","AFRO",139,37218,9,659
"2020-09-24","KE","Kenya","AFRO",130,37348,5,664
"2020-09-25","KE","Kenya","AFRO",141,37489,5,669
"2020-09-26","KE","Kenya","AFRO",218,37707,13,682
"2020-09-27","KE","Kenya","AFRO",164,37871,7,689
"2020-09-28","KE","Kenya","AFRO",244,38115,2,691
"2020-09-29","KE","Kenya","AFRO",53,38168,9,700
"2020-09-30","KE","Kenya","AFRO",210,38378,7,707
"2020-10-01","KE","Kenya","AFRO",151,38529,4,711
"2020-10-02","KE","Kenya","AFRO",184,38713,7,718
"2020-10-03","KE","Kenya","AFRO",210,38923,7,725
"2020-10-04","KE","Kenya","AFRO",0,38923,0,725
"2020-10-05","KE","Kenya","AFRO",504,39427,6,731
"2020-10-06","KE","Kenya","AFRO",22,39449,4,735
"2020-10-07","KE","Kenya","AFRO",137,39586,8,743
"2020-10-08","KE","Kenya","AFRO",321,39907,5,748
"2020-10-09","KE","Kenya","AFRO",271,40178,3,751
"2020-10-10","KE","Kenya","AFRO",442,40620,4,755
"2020-10-11","KE","Kenya","AFRO",538,41158,5,760
"2020-10-12","KE","Kenya","AFRO",388,41546,6,766
"2020-10-13","KE","Kenya","AFRO",73,41619,11,777
"2020-10-14","KE","Kenya","AFRO",320,41939,10,787
"2020-10-15","KE","Kenya","AFRO",602,42541,10,797
"2020-10-16","KE","Kenya","AFRO",602,43143,8,805
"2020-10-17","KE","Kenya","AFRO",437,43580,8,813
"2020-10-18","KE","Kenya","AFRO",616,44196,12,825
"2020-10-19","KE","Kenya","AFRO",685,44881,7,832
"2020-10-20","KE","Kenya","AFRO",195,45076,7,839
"2020-10-21","KE","Kenya","AFRO",571,45647,3,842
"2020-10-22","KE","Kenya","AFRO",497,46144,16,858
"2020-10-23","KE","Kenya","AFRO",1068,47212,12,870
"2020-10-24","KE","Kenya","AFRO",631,47843,14,884
"2020-10-25","KE","Kenya","AFRO",947,48790,12,896
"2020-10-26","KE","Kenya","AFRO",931,49721,6,902
"2020-10-27","KE","Kenya","AFRO",276,49997,18,920
"2020-10-28","KE","Kenya","AFRO",836,50833,14,934
"2020-10-29","KE","Kenya","AFRO",1018,51851,16,950
"2020-10-30","KE","Kenya","AFRO",761,52612,14,964
"2020-10-31","KE","Kenya","AFRO",1185,53797,17,981
"2020-11-01","KE","Kenya","AFRO",1395,55192,15,996
"2020-11-02","KE","Kenya","AFRO",685,55877,17,1013
"2020-11-03","KE","Kenya","AFRO",724,56601,14,1027
"2020-11-04","KE","Kenya","AFRO",492,57093,12,1039
"2020-11-05","KE","Kenya","AFRO",1494,58587,12,1051
"2020-11-06","KE","Kenya","AFRO",1008,59595,21,1072
"2020-11-07","KE","Kenya","AFRO",1109,60704,21,1093
"2020-11-08","KE","Kenya","AFRO",1065,61769,10,1103
"2020-11-09","KE","Kenya","AFRO",719,62488,8,1111
"2020-11-10","KE","Kenya","AFRO",756,63244,19,1130
"2020-11-11","KE","Kenya","AFRO",1344,64588,24,1154
"2020-11-12","KE","Kenya","AFRO",1216,65804,26,1180
"2020-11-13","KE","Kenya","AFRO",919,66723,23,1203
"2020-11-14","KE","Kenya","AFRO",1470,68193,25,1228
"2020-11-15","KE","Kenya","AFRO",1080,69273,21,1249
"2020-11-16","KE","Kenya","AFRO",972,70245,20,1269
"2020-11-17","KE","Kenya","AFRO",559,70804,18,1287
"2020-11-18","KE","Kenya","AFRO",925,71729,15,1302
"2020-11-19","KE","Kenya","AFRO",957,72686,11,1313
"2020-11-20","KE","Kenya","AFRO",1459,74145,17,1330
"2020-11-21","KE","Kenya","AFRO",1048,75193,19,1349
"2020-11-22","KE","Kenya","AFRO",1211,76404,17,1366
"2020-11-23","KE","Kenya","AFRO",968,77372,14,1380
"2020-11-24","KE","Kenya","AFRO",413,77785,12,1392
"2020-11-25","KE","Kenya","AFRO",727,78512,17,1409
"2020-11-26","KE","Kenya","AFRO",810,79322,8,1417
"2020-11-27","KE","Kenya","AFRO",780,80102,10,1427
"2020-11-28","KE","Kenya","AFRO",1554,81656,14,1441
"2020-11-29","KE","Kenya","AFRO",949,82605,4,1445
"2020-11-30","KE","Kenya","AFRO",711,83316,7,1452
"2020-12-01","KE","Kenya","AFRO",302,83618,17,1469
"2020-12-02","KE","Kenya","AFRO",551,84169,5,1474
"2020-12-03","KE","Kenya","AFRO",961,85130,10,1484
"2020-12-04","KE","Kenya","AFRO",1253,86383,16,1500
"2020-12-05","KE","Kenya","AFRO",866,87249,6,1506
"2020-12-06","KE","Kenya","AFRO",735,87984,12,1518
"2020-12-07","KE","Kenya","AFRO",396,88380,8,1526
"2020-12-08","KE","Kenya","AFRO",199,88579,5,1531
"2020-12-09","KE","Kenya","AFRO",0,88579,0,1531
"2020-12-10","KE","Kenya","AFRO",1082,89661,21,1552
"2020-12-11","KE","Kenya","AFRO",644,90305,16,1568
"2020-12-12","KE","Kenya","AFRO",0,90305,0,1568
