"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-04","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-05","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-06","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-07","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-08","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-09","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-10","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-11","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-12","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-13","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-14","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-15","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-16","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-17","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-18","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-19","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-20","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-21","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-22","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-23","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-24","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-25","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-26","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-27","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-28","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-29","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-30","XK","Kosovo[1]","EURO",0,0,0,0
"2020-01-31","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-01","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-02","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-03","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-04","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-05","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-06","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-07","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-08","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-09","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-10","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-11","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-12","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-13","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-14","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-15","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-16","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-17","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-18","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-19","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-20","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-21","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-22","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-23","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-24","XK","Kosovo[1]","EURO",0,0,0,0
"2020-02-25","XK","Kosovo[1]","EURO",0,0,0,0
