"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KW","Kuwait","EMRO",0,0,0,0
"2020-01-04","KW","Kuwait","EMRO",0,0,0,0
"2020-01-05","KW","Kuwait","EMRO",0,0,0,0
"2020-01-06","KW","Kuwait","EMRO",0,0,0,0
"2020-01-07","KW","Kuwait","EMRO",0,0,0,0
"2020-01-08","KW","Kuwait","EMRO",0,0,0,0
"2020-01-09","KW","Kuwait","EMRO",0,0,0,0
"2020-01-10","KW","Kuwait","EMRO",0,0,0,0
"2020-01-11","KW","Kuwait","EMRO",0,0,0,0
"2020-01-12","KW","Kuwait","EMRO",0,0,0,0
"2020-01-13","KW","Kuwait","EMRO",0,0,0,0
"2020-01-14","KW","Kuwait","EMRO",0,0,0,0
"2020-01-15","KW","Kuwait","EMRO",0,0,0,0
"2020-01-16","KW","Kuwait","EMRO",0,0,0,0
"2020-01-17","KW","Kuwait","EMRO",0,0,0,0
"2020-01-18","KW","Kuwait","EMRO",0,0,0,0
"2020-01-19","KW","Kuwait","EMRO",0,0,0,0
"2020-01-20","KW","Kuwait","EMRO",0,0,0,0
"2020-01-21","KW","Kuwait","EMRO",0,0,0,0
"2020-01-22","KW","Kuwait","EMRO",0,0,0,0
"2020-01-23","KW","Kuwait","EMRO",0,0,0,0
"2020-01-24","KW","Kuwait","EMRO",0,0,0,0
"2020-01-25","KW","Kuwait","EMRO",0,0,0,0
"2020-01-26","KW","Kuwait","EMRO",0,0,0,0
"2020-01-27","KW","Kuwait","EMRO",0,0,0,0
"2020-01-28","KW","Kuwait","EMRO",0,0,0,0
"2020-01-29","KW","Kuwait","EMRO",0,0,0,0
"2020-01-30","KW","Kuwait","EMRO",0,0,0,0
"2020-01-31","KW","Kuwait","EMRO",0,0,0,0
"2020-02-01","KW","Kuwait","EMRO",0,0,0,0
"2020-02-02","KW","Kuwait","EMRO",0,0,0,0
"2020-02-03","KW","Kuwait","EMRO",0,0,0,0
"2020-02-04","KW","Kuwait","EMRO",0,0,0,0
"2020-02-05","KW","Kuwait","EMRO",0,0,0,0
"2020-02-06","KW","Kuwait","EMRO",0,0,0,0
"2020-02-07","KW","Kuwait","EMRO",0,0,0,0
"2020-02-08","KW","Kuwait","EMRO",0,0,0,0
"2020-02-09","KW","Kuwait","EMRO",0,0,0,0
"2020-02-10","KW","Kuwait","EMRO",0,0,0,0
"2020-02-11","KW","Kuwait","EMRO",0,0,0,0
"2020-02-12","KW","Kuwait","EMRO",0,0,0,0
"2020-02-13","KW","Kuwait","EMRO",0,0,0,0
"2020-02-14","KW","Kuwait","EMRO",0,0,0,0
"2020-02-15","KW","Kuwait","EMRO",0,0,0,0
"2020-02-16","KW","Kuwait","EMRO",0,0,0,0
"2020-02-17","KW","Kuwait","EMRO",0,0,0,0
"2020-02-18","KW","Kuwait","EMRO",0,0,0,0
"2020-02-19","KW","Kuwait","EMRO",0,0,0,0
"2020-02-20","KW","Kuwait","EMRO",0,0,0,0
"2020-02-21","KW","Kuwait","EMRO",0,0,0,0
"2020-02-22","KW","Kuwait","EMRO",0,0,0,0
"2020-02-23","KW","Kuwait","EMRO",0,0,0,0
"2020-02-24","KW","Kuwait","EMRO",9,9,0,0
"2020-02-25","KW","Kuwait","EMRO",4,13,0,0
"2020-02-26","KW","Kuwait","EMRO",17,30,0,0
"2020-02-27","KW","Kuwait","EMRO",17,47,0,0
"2020-02-28","KW","Kuwait","EMRO",2,49,0,0
"2020-02-29","KW","Kuwait","EMRO",0,49,0,0
"2020-03-01","KW","Kuwait","EMRO",0,49,0,0
"2020-03-02","KW","Kuwait","EMRO",11,60,0,0
"2020-03-03","KW","Kuwait","EMRO",0,60,0,0
"2020-03-04","KW","Kuwait","EMRO",0,60,0,0
"2020-03-05","KW","Kuwait","EMRO",2,62,0,0
"2020-03-06","KW","Kuwait","EMRO",0,62,0,0
"2020-03-07","KW","Kuwait","EMRO",3,65,0,0
"2020-03-08","KW","Kuwait","EMRO",3,68,0,0
"2020-03-09","KW","Kuwait","EMRO",0,68,0,0
