"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-04","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-05","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-06","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-07","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-08","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-09","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-10","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-11","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-12","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-13","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-14","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-15","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-16","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-17","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-18","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-19","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-20","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-21","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-22","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-23","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-24","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-25","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-26","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-27","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-28","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-29","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-30","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-01-31","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-01","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-02","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-03","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-04","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-05","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-06","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-07","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-08","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-09","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-10","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-11","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-12","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-13","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-14","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-15","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-16","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-17","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-18","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-19","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-20","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-21","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-22","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-23","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-24","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-25","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-26","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-27","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-28","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-02-29","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-01","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-02","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-03","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-04","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-05","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-06","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-07","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-08","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-09","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-10","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-11","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-12","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-13","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-14","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-15","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-16","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-17","KG","Kyrgyzstan","EURO",0,0,0,0
"2020-03-18","KG","Kyrgyzstan","EURO",3,3,0,0
"2020-03-19","KG","Kyrgyzstan","EURO",0,3,0,0
"2020-03-20","KG","Kyrgyzstan","EURO",0,3,0,0
"2020-03-21","KG","Kyrgyzstan","EURO",0,3,0,0
"2020-03-22","KG","Kyrgyzstan","EURO",11,14,0,0
"2020-03-23","KG","Kyrgyzstan","EURO",0,14,0,0
"2020-03-24","KG","Kyrgyzstan","EURO",2,16,0,0
"2020-03-25","KG","Kyrgyzstan","EURO",26,42,0,0
"2020-03-26","KG","Kyrgyzstan","EURO",2,44,0,0
"2020-03-27","KG","Kyrgyzstan","EURO",14,58,0,0
"2020-03-28","KG","Kyrgyzstan","EURO",0,58,0,0
"2020-03-29","KG","Kyrgyzstan","EURO",26,84,0,0
"2020-03-30","KG","Kyrgyzstan","EURO",0,84,0,0
"2020-03-31","KG","Kyrgyzstan","EURO",23,107,0,0
"2020-04-01","KG","Kyrgyzstan","EURO",4,111,0,0
"2020-04-02","KG","Kyrgyzstan","EURO",4,115,0,0
"2020-04-03","KG","Kyrgyzstan","EURO",15,130,1,1
"2020-04-04","KG","Kyrgyzstan","EURO",14,144,0,1
"2020-04-05","KG","Kyrgyzstan","EURO",3,147,0,1
"2020-04-06","KG","Kyrgyzstan","EURO",69,216,3,4
"2020-04-07","KG","Kyrgyzstan","EURO",12,228,0,4
"2020-04-08","KG","Kyrgyzstan","EURO",42,270,0,4
"2020-04-09","KG","Kyrgyzstan","EURO",10,280,0,4
"2020-04-10","KG","Kyrgyzstan","EURO",18,298,1,5
"2020-04-11","KG","Kyrgyzstan","EURO",41,339,0,5
