"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LV","Latvia","EURO",0,0,0,0
"2020-01-04","LV","Latvia","EURO",0,0,0,0
"2020-01-05","LV","Latvia","EURO",0,0,0,0
"2020-01-06","LV","Latvia","EURO",0,0,0,0
"2020-01-07","LV","Latvia","EURO",0,0,0,0
"2020-01-08","LV","Latvia","EURO",0,0,0,0
"2020-01-09","LV","Latvia","EURO",0,0,0,0
"2020-01-10","LV","Latvia","EURO",0,0,0,0
"2020-01-11","LV","Latvia","EURO",0,0,0,0
"2020-01-12","LV","Latvia","EURO",0,0,0,0
"2020-01-13","LV","Latvia","EURO",0,0,0,0
"2020-01-14","LV","Latvia","EURO",0,0,0,0
"2020-01-15","LV","Latvia","EURO",0,0,0,0
"2020-01-16","LV","Latvia","EURO",0,0,0,0
"2020-01-17","LV","Latvia","EURO",0,0,0,0
"2020-01-18","LV","Latvia","EURO",0,0,0,0
"2020-01-19","LV","Latvia","EURO",0,0,0,0
"2020-01-20","LV","Latvia","EURO",0,0,0,0
"2020-01-21","LV","Latvia","EURO",0,0,0,0
"2020-01-22","LV","Latvia","EURO",0,0,0,0
"2020-01-23","LV","Latvia","EURO",0,0,0,0
"2020-01-24","LV","Latvia","EURO",0,0,0,0
"2020-01-25","LV","Latvia","EURO",0,0,0,0
"2020-01-26","LV","Latvia","EURO",0,0,0,0
"2020-01-27","LV","Latvia","EURO",0,0,0,0
"2020-01-28","LV","Latvia","EURO",0,0,0,0
"2020-01-29","LV","Latvia","EURO",0,0,0,0
"2020-01-30","LV","Latvia","EURO",0,0,0,0
"2020-01-31","LV","Latvia","EURO",0,0,0,0
"2020-02-01","LV","Latvia","EURO",0,0,0,0
"2020-02-02","LV","Latvia","EURO",0,0,0,0
"2020-02-03","LV","Latvia","EURO",0,0,0,0
"2020-02-04","LV","Latvia","EURO",0,0,0,0
"2020-02-05","LV","Latvia","EURO",0,0,0,0
"2020-02-06","LV","Latvia","EURO",0,0,0,0
"2020-02-07","LV","Latvia","EURO",0,0,0,0
"2020-02-08","LV","Latvia","EURO",0,0,0,0
"2020-02-09","LV","Latvia","EURO",0,0,0,0
"2020-02-10","LV","Latvia","EURO",0,0,0,0
"2020-02-11","LV","Latvia","EURO",0,0,0,0
"2020-02-12","LV","Latvia","EURO",0,0,0,0
"2020-02-13","LV","Latvia","EURO",0,0,0,0
"2020-02-14","LV","Latvia","EURO",0,0,0,0
"2020-02-15","LV","Latvia","EURO",0,0,0,0
"2020-02-16","LV","Latvia","EURO",0,0,0,0
"2020-02-17","LV","Latvia","EURO",0,0,0,0
"2020-02-18","LV","Latvia","EURO",0,0,0,0
"2020-02-19","LV","Latvia","EURO",0,0,0,0
"2020-02-20","LV","Latvia","EURO",0,0,0,0
"2020-02-21","LV","Latvia","EURO",0,0,0,0
"2020-02-22","LV","Latvia","EURO",0,0,0,0
"2020-02-23","LV","Latvia","EURO",0,0,0,0
"2020-02-24","LV","Latvia","EURO",0,0,0,0
"2020-02-25","LV","Latvia","EURO",0,0,0,0
"2020-02-26","LV","Latvia","EURO",0,0,0,0
"2020-02-27","LV","Latvia","EURO",0,0,0,0
"2020-02-28","LV","Latvia","EURO",0,0,0,0
"2020-02-29","LV","Latvia","EURO",0,0,0,0
"2020-03-01","LV","Latvia","EURO",0,0,0,0
"2020-03-02","LV","Latvia","EURO",1,1,0,0
"2020-03-03","LV","Latvia","EURO",0,1,0,0
"2020-03-04","LV","Latvia","EURO",0,1,0,0
"2020-03-05","LV","Latvia","EURO",0,1,0,0
"2020-03-06","LV","Latvia","EURO",0,1,0,0
"2020-03-07","LV","Latvia","EURO",0,1,0,0
"2020-03-08","LV","Latvia","EURO",1,2,0,0
"2020-03-09","LV","Latvia","EURO",1,3,0,0
"2020-03-10","LV","Latvia","EURO",3,6,0,0
