"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LB","Lebanon","EMRO",0,0,0,0
"2020-01-04","LB","Lebanon","EMRO",0,0,0,0
"2020-01-05","LB","Lebanon","EMRO",0,0,0,0
"2020-01-06","LB","Lebanon","EMRO",0,0,0,0
"2020-01-07","LB","Lebanon","EMRO",0,0,0,0
"2020-01-08","LB","Lebanon","EMRO",0,0,0,0
"2020-01-09","LB","Lebanon","EMRO",0,0,0,0
"2020-01-10","LB","Lebanon","EMRO",0,0,0,0
"2020-01-11","LB","Lebanon","EMRO",0,0,0,0
"2020-01-12","LB","Lebanon","EMRO",0,0,0,0
"2020-01-13","LB","Lebanon","EMRO",0,0,0,0
"2020-01-14","LB","Lebanon","EMRO",0,0,0,0
"2020-01-15","LB","Lebanon","EMRO",0,0,0,0
"2020-01-16","LB","Lebanon","EMRO",0,0,0,0
"2020-01-17","LB","Lebanon","EMRO",0,0,0,0
"2020-01-18","LB","Lebanon","EMRO",0,0,0,0
"2020-01-19","LB","Lebanon","EMRO",0,0,0,0
"2020-01-20","LB","Lebanon","EMRO",0,0,0,0
"2020-01-21","LB","Lebanon","EMRO",0,0,0,0
"2020-01-22","LB","Lebanon","EMRO",0,0,0,0
"2020-01-23","LB","Lebanon","EMRO",0,0,0,0
"2020-01-24","LB","Lebanon","EMRO",0,0,0,0
"2020-01-25","LB","Lebanon","EMRO",0,0,0,0
"2020-01-26","LB","Lebanon","EMRO",0,0,0,0
"2020-01-27","LB","Lebanon","EMRO",0,0,0,0
"2020-01-28","LB","Lebanon","EMRO",0,0,0,0
"2020-01-29","LB","Lebanon","EMRO",0,0,0,0
"2020-01-30","LB","Lebanon","EMRO",0,0,0,0
"2020-01-31","LB","Lebanon","EMRO",0,0,0,0
"2020-02-01","LB","Lebanon","EMRO",0,0,0,0
"2020-02-02","LB","Lebanon","EMRO",0,0,0,0
"2020-02-03","LB","Lebanon","EMRO",0,0,0,0
"2020-02-04","LB","Lebanon","EMRO",0,0,0,0
"2020-02-05","LB","Lebanon","EMRO",0,0,0,0
"2020-02-06","LB","Lebanon","EMRO",0,0,0,0
"2020-02-07","LB","Lebanon","EMRO",0,0,0,0
"2020-02-08","LB","Lebanon","EMRO",0,0,0,0
