"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LS","Lesotho","AFRO",0,0,0,0
"2020-01-04","LS","Lesotho","AFRO",0,0,0,0
"2020-01-05","LS","Lesotho","AFRO",0,0,0,0
"2020-01-06","LS","Lesotho","AFRO",0,0,0,0
"2020-01-07","LS","Lesotho","AFRO",0,0,0,0
"2020-01-08","LS","Lesotho","AFRO",0,0,0,0
"2020-01-09","LS","Lesotho","AFRO",0,0,0,0
"2020-01-10","LS","Lesotho","AFRO",0,0,0,0
"2020-01-11","LS","Lesotho","AFRO",0,0,0,0
"2020-01-12","LS","Lesotho","AFRO",0,0,0,0
"2020-01-13","LS","Lesotho","AFRO",0,0,0,0
"2020-01-14","LS","Lesotho","AFRO",0,0,0,0
"2020-01-15","LS","Lesotho","AFRO",0,0,0,0
"2020-01-16","LS","Lesotho","AFRO",0,0,0,0
"2020-01-17","LS","Lesotho","AFRO",0,0,0,0
"2020-01-18","LS","Lesotho","AFRO",0,0,0,0
"2020-01-19","LS","Lesotho","AFRO",0,0,0,0
"2020-01-20","LS","Lesotho","AFRO",0,0,0,0
"2020-01-21","LS","Lesotho","AFRO",0,0,0,0
"2020-01-22","LS","Lesotho","AFRO",0,0,0,0
"2020-01-23","LS","Lesotho","AFRO",0,0,0,0
"2020-01-24","LS","Lesotho","AFRO",0,0,0,0
"2020-01-25","LS","Lesotho","AFRO",0,0,0,0
"2020-01-26","LS","Lesotho","AFRO",0,0,0,0
"2020-01-27","LS","Lesotho","AFRO",0,0,0,0
"2020-01-28","LS","Lesotho","AFRO",0,0,0,0
"2020-01-29","LS","Lesotho","AFRO",0,0,0,0
"2020-01-30","LS","Lesotho","AFRO",0,0,0,0
"2020-01-31","LS","Lesotho","AFRO",0,0,0,0
"2020-02-01","LS","Lesotho","AFRO",0,0,0,0
"2020-02-02","LS","Lesotho","AFRO",0,0,0,0
"2020-02-03","LS","Lesotho","AFRO",0,0,0,0
"2020-02-04","LS","Lesotho","AFRO",0,0,0,0
"2020-02-05","LS","Lesotho","AFRO",0,0,0,0
"2020-02-06","LS","Lesotho","AFRO",0,0,0,0
"2020-02-07","LS","Lesotho","AFRO",0,0,0,0
"2020-02-08","LS","Lesotho","AFRO",0,0,0,0
"2020-02-09","LS","Lesotho","AFRO",0,0,0,0
"2020-02-10","LS","Lesotho","AFRO",0,0,0,0
"2020-02-11","LS","Lesotho","AFRO",0,0,0,0
"2020-02-12","LS","Lesotho","AFRO",0,0,0,0
"2020-02-13","LS","Lesotho","AFRO",0,0,0,0
"2020-02-14","LS","Lesotho","AFRO",0,0,0,0
"2020-02-15","LS","Lesotho","AFRO",0,0,0,0
"2020-02-16","LS","Lesotho","AFRO",0,0,0,0
"2020-02-17","LS","Lesotho","AFRO",0,0,0,0
"2020-02-18","LS","Lesotho","AFRO",0,0,0,0
"2020-02-19","LS","Lesotho","AFRO",0,0,0,0
"2020-02-20","LS","Lesotho","AFRO",0,0,0,0
"2020-02-21","LS","Lesotho","AFRO",0,0,0,0
"2020-02-22","LS","Lesotho","AFRO",0,0,0,0
"2020-02-23","LS","Lesotho","AFRO",0,0,0,0
"2020-02-24","LS","Lesotho","AFRO",0,0,0,0
"2020-02-25","LS","Lesotho","AFRO",0,0,0,0
"2020-02-26","LS","Lesotho","AFRO",0,0,0,0
"2020-02-27","LS","Lesotho","AFRO",0,0,0,0
"2020-02-28","LS","Lesotho","AFRO",0,0,0,0
