"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LR","Liberia","AFRO",0,0,0,0
"2020-01-04","LR","Liberia","AFRO",0,0,0,0
"2020-01-05","LR","Liberia","AFRO",0,0,0,0
"2020-01-06","LR","Liberia","AFRO",0,0,0,0
"2020-01-07","LR","Liberia","AFRO",0,0,0,0
"2020-01-08","LR","Liberia","AFRO",0,0,0,0
"2020-01-09","LR","Liberia","AFRO",0,0,0,0
"2020-01-10","LR","Liberia","AFRO",0,0,0,0
"2020-01-11","LR","Liberia","AFRO",0,0,0,0
"2020-01-12","LR","Liberia","AFRO",0,0,0,0
"2020-01-13","LR","Liberia","AFRO",0,0,0,0
"2020-01-14","LR","Liberia","AFRO",0,0,0,0
"2020-01-15","LR","Liberia","AFRO",0,0,0,0
"2020-01-16","LR","Liberia","AFRO",0,0,0,0
"2020-01-17","LR","Liberia","AFRO",0,0,0,0
"2020-01-18","LR","Liberia","AFRO",0,0,0,0
"2020-01-19","LR","Liberia","AFRO",0,0,0,0
"2020-01-20","LR","Liberia","AFRO",0,0,0,0
"2020-01-21","LR","Liberia","AFRO",0,0,0,0
"2020-01-22","LR","Liberia","AFRO",0,0,0,0
"2020-01-23","LR","Liberia","AFRO",0,0,0,0
"2020-01-24","LR","Liberia","AFRO",0,0,0,0
"2020-01-25","LR","Liberia","AFRO",0,0,0,0
"2020-01-26","LR","Liberia","AFRO",0,0,0,0
"2020-01-27","LR","Liberia","AFRO",0,0,0,0
"2020-01-28","LR","Liberia","AFRO",0,0,0,0
"2020-01-29","LR","Liberia","AFRO",0,0,0,0
"2020-01-30","LR","Liberia","AFRO",0,0,0,0
"2020-01-31","LR","Liberia","AFRO",0,0,0,0
"2020-02-01","LR","Liberia","AFRO",0,0,0,0
"2020-02-02","LR","Liberia","AFRO",0,0,0,0
"2020-02-03","LR","Liberia","AFRO",0,0,0,0
"2020-02-04","LR","Liberia","AFRO",0,0,0,0
"2020-02-05","LR","Liberia","AFRO",0,0,0,0
"2020-02-06","LR","Liberia","AFRO",0,0,0,0
"2020-02-07","LR","Liberia","AFRO",0,0,0,0
"2020-02-08","LR","Liberia","AFRO",0,0,0,0
"2020-02-09","LR","Liberia","AFRO",0,0,0,0
"2020-02-10","LR","Liberia","AFRO",0,0,0,0
"2020-02-11","LR","Liberia","AFRO",0,0,0,0
"2020-02-12","LR","Liberia","AFRO",0,0,0,0
"2020-02-13","LR","Liberia","AFRO",0,0,0,0
"2020-02-14","LR","Liberia","AFRO",0,0,0,0
"2020-02-15","LR","Liberia","AFRO",0,0,0,0
"2020-02-16","LR","Liberia","AFRO",0,0,0,0
"2020-02-17","LR","Liberia","AFRO",0,0,0,0
