"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LY","Libya","EMRO",0,0,0,0
"2020-01-04","LY","Libya","EMRO",0,0,0,0
"2020-01-05","LY","Libya","EMRO",0,0,0,0
"2020-01-06","LY","Libya","EMRO",0,0,0,0
"2020-01-07","LY","Libya","EMRO",0,0,0,0
"2020-01-08","LY","Libya","EMRO",0,0,0,0
"2020-01-09","LY","Libya","EMRO",0,0,0,0
"2020-01-10","LY","Libya","EMRO",0,0,0,0
"2020-01-11","LY","Libya","EMRO",0,0,0,0
"2020-01-12","LY","Libya","EMRO",0,0,0,0
"2020-01-13","LY","Libya","EMRO",0,0,0,0
"2020-01-14","LY","Libya","EMRO",0,0,0,0
"2020-01-15","LY","Libya","EMRO",0,0,0,0
"2020-01-16","LY","Libya","EMRO",0,0,0,0
"2020-01-17","LY","Libya","EMRO",0,0,0,0
"2020-01-18","LY","Libya","EMRO",0,0,0,0
"2020-01-19","LY","Libya","EMRO",0,0,0,0
"2020-01-20","LY","Libya","EMRO",0,0,0,0
"2020-01-21","LY","Libya","EMRO",0,0,0,0
"2020-01-22","LY","Libya","EMRO",0,0,0,0
"2020-01-23","LY","Libya","EMRO",0,0,0,0
"2020-01-24","LY","Libya","EMRO",0,0,0,0
"2020-01-25","LY","Libya","EMRO",0,0,0,0
"2020-01-26","LY","Libya","EMRO",0,0,0,0
"2020-01-27","LY","Libya","EMRO",0,0,0,0
"2020-01-28","LY","Libya","EMRO",0,0,0,0
"2020-01-29","LY","Libya","EMRO",0,0,0,0
"2020-01-30","LY","Libya","EMRO",0,0,0,0
"2020-01-31","LY","Libya","EMRO",0,0,0,0
"2020-02-01","LY","Libya","EMRO",0,0,0,0
"2020-02-02","LY","Libya","EMRO",0,0,0,0
"2020-02-03","LY","Libya","EMRO",0,0,0,0
"2020-02-04","LY","Libya","EMRO",0,0,0,0
"2020-02-05","LY","Libya","EMRO",0,0,0,0
"2020-02-06","LY","Libya","EMRO",0,0,0,0
"2020-02-07","LY","Libya","EMRO",0,0,0,0
"2020-02-08","LY","Libya","EMRO",0,0,0,0
"2020-02-09","LY","Libya","EMRO",0,0,0,0
"2020-02-10","LY","Libya","EMRO",0,0,0,0
"2020-02-11","LY","Libya","EMRO",0,0,0,0
"2020-02-12","LY","Libya","EMRO",0,0,0,0
"2020-02-13","LY","Libya","EMRO",0,0,0,0
"2020-02-14","LY","Libya","EMRO",0,0,0,0
"2020-02-15","LY","Libya","EMRO",0,0,0,0
"2020-02-16","LY","Libya","EMRO",0,0,0,0
"2020-02-17","LY","Libya","EMRO",0,0,0,0
"2020-02-18","LY","Libya","EMRO",0,0,0,0
"2020-02-19","LY","Libya","EMRO",0,0,0,0
"2020-02-20","LY","Libya","EMRO",0,0,0,0
"2020-02-21","LY","Libya","EMRO",0,0,0,0
"2020-02-22","LY","Libya","EMRO",0,0,0,0
"2020-02-23","LY","Libya","EMRO",0,0,0,0
"2020-02-24","LY","Libya","EMRO",0,0,0,0
"2020-02-25","LY","Libya","EMRO",0,0,0,0
"2020-02-26","LY","Libya","EMRO",0,0,0,0
"2020-02-27","LY","Libya","EMRO",0,0,0,0
"2020-02-28","LY","Libya","EMRO",0,0,0,0
"2020-02-29","LY","Libya","EMRO",0,0,0,0
"2020-03-01","LY","Libya","EMRO",0,0,0,0
"2020-03-02","LY","Libya","EMRO",0,0,0,0
"2020-03-03","LY","Libya","EMRO",0,0,0,0
"2020-03-04","LY","Libya","EMRO",0,0,0,0
"2020-03-05","LY","Libya","EMRO",0,0,0,0
"2020-03-06","LY","Libya","EMRO",0,0,0,0
"2020-03-07","LY","Libya","EMRO",0,0,0,0
"2020-03-08","LY","Libya","EMRO",0,0,0,0
"2020-03-09","LY","Libya","EMRO",0,0,0,0
"2020-03-10","LY","Libya","EMRO",0,0,0,0
"2020-03-11","LY","Libya","EMRO",0,0,0,0
"2020-03-12","LY","Libya","EMRO",0,0,0,0
"2020-03-13","LY","Libya","EMRO",0,0,0,0
"2020-03-14","LY","Libya","EMRO",0,0,0,0
"2020-03-15","LY","Libya","EMRO",0,0,0,0
"2020-03-16","LY","Libya","EMRO",0,0,0,0
"2020-03-17","LY","Libya","EMRO",0,0,0,0
"2020-03-18","LY","Libya","EMRO",0,0,0,0
"2020-03-19","LY","Libya","EMRO",0,0,0,0
"2020-03-20","LY","Libya","EMRO",0,0,0,0
"2020-03-21","LY","Libya","EMRO",0,0,0,0
"2020-03-22","LY","Libya","EMRO",0,0,0,0
"2020-03-23","LY","Libya","EMRO",0,0,0,0
"2020-03-24","LY","Libya","EMRO",0,0,0,0
"2020-03-25","LY","Libya","EMRO",1,1,0,0
"2020-03-26","LY","Libya","EMRO",0,1,0,0
"2020-03-27","LY","Libya","EMRO",0,1,0,0
"2020-03-28","LY","Libya","EMRO",0,1,0,0
"2020-03-29","LY","Libya","EMRO",2,3,0,0
"2020-03-30","LY","Libya","EMRO",5,8,0,0
"2020-03-31","LY","Libya","EMRO",0,8,0,0
"2020-04-01","LY","Libya","EMRO",2,10,0,0
"2020-04-02","LY","Libya","EMRO",0,10,0,0
"2020-04-03","LY","Libya","EMRO",1,11,1,1
"2020-04-04","LY","Libya","EMRO",6,17,0,1
"2020-04-05","LY","Libya","EMRO",1,18,0,1
"2020-04-06","LY","Libya","EMRO",0,18,0,1
"2020-04-07","LY","Libya","EMRO",1,19,0,1
