"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-04","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-05","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-06","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-07","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-08","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-09","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-10","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-11","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-12","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-13","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-14","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-15","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-16","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-17","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-18","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-19","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-20","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-21","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-22","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-23","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-24","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-25","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-26","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-27","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-28","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-29","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-30","LI","Liechtenstein","EURO",0,0,0,0
"2020-01-31","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-01","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-02","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-03","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-04","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-05","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-06","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-07","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-08","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-09","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-10","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-11","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-12","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-13","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-14","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-15","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-16","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-17","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-18","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-19","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-20","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-21","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-22","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-23","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-24","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-25","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-26","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-27","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-28","LI","Liechtenstein","EURO",0,0,0,0
"2020-02-29","LI","Liechtenstein","EURO",0,0,0,0
"2020-03-01","LI","Liechtenstein","EURO",0,0,0,0
"2020-03-02","LI","Liechtenstein","EURO",0,0,0,0
"2020-03-03","LI","Liechtenstein","EURO",0,0,0,0
"2020-03-04","LI","Liechtenstein","EURO",0,0,0,0
"2020-03-05","LI","Liechtenstein","EURO",1,1,0,0
"2020-03-06","LI","Liechtenstein","EURO",0,1,0,0
