"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LT","Lithuania","EURO",0,0,0,0
"2020-01-04","LT","Lithuania","EURO",0,0,0,0
"2020-01-05","LT","Lithuania","EURO",0,0,0,0
"2020-01-06","LT","Lithuania","EURO",0,0,0,0
"2020-01-07","LT","Lithuania","EURO",0,0,0,0
"2020-01-08","LT","Lithuania","EURO",0,0,0,0
"2020-01-09","LT","Lithuania","EURO",0,0,0,0
"2020-01-10","LT","Lithuania","EURO",0,0,0,0
"2020-01-11","LT","Lithuania","EURO",0,0,0,0
"2020-01-12","LT","Lithuania","EURO",0,0,0,0
"2020-01-13","LT","Lithuania","EURO",0,0,0,0
"2020-01-14","LT","Lithuania","EURO",0,0,0,0
"2020-01-15","LT","Lithuania","EURO",0,0,0,0
"2020-01-16","LT","Lithuania","EURO",0,0,0,0
"2020-01-17","LT","Lithuania","EURO",0,0,0,0
"2020-01-18","LT","Lithuania","EURO",0,0,0,0
"2020-01-19","LT","Lithuania","EURO",0,0,0,0
"2020-01-20","LT","Lithuania","EURO",0,0,0,0
"2020-01-21","LT","Lithuania","EURO",0,0,0,0
"2020-01-22","LT","Lithuania","EURO",0,0,0,0
"2020-01-23","LT","Lithuania","EURO",0,0,0,0
"2020-01-24","LT","Lithuania","EURO",0,0,0,0
"2020-01-25","LT","Lithuania","EURO",0,0,0,0
"2020-01-26","LT","Lithuania","EURO",0,0,0,0
"2020-01-27","LT","Lithuania","EURO",0,0,0,0
"2020-01-28","LT","Lithuania","EURO",0,0,0,0
"2020-01-29","LT","Lithuania","EURO",0,0,0,0
"2020-01-30","LT","Lithuania","EURO",0,0,0,0
"2020-01-31","LT","Lithuania","EURO",0,0,0,0
"2020-02-01","LT","Lithuania","EURO",0,0,0,0
"2020-02-02","LT","Lithuania","EURO",0,0,0,0
"2020-02-03","LT","Lithuania","EURO",0,0,0,0
"2020-02-04","LT","Lithuania","EURO",0,0,0,0
"2020-02-05","LT","Lithuania","EURO",0,0,0,0
"2020-02-06","LT","Lithuania","EURO",0,0,0,0
"2020-02-07","LT","Lithuania","EURO",0,0,0,0
"2020-02-08","LT","Lithuania","EURO",0,0,0,0
"2020-02-09","LT","Lithuania","EURO",0,0,0,0
"2020-02-10","LT","Lithuania","EURO",0,0,0,0
"2020-02-11","LT","Lithuania","EURO",0,0,0,0
"2020-02-12","LT","Lithuania","EURO",0,0,0,0
"2020-02-13","LT","Lithuania","EURO",0,0,0,0
"2020-02-14","LT","Lithuania","EURO",0,0,0,0
"2020-02-15","LT","Lithuania","EURO",0,0,0,0
"2020-02-16","LT","Lithuania","EURO",0,0,0,0
"2020-02-17","LT","Lithuania","EURO",0,0,0,0
"2020-02-18","LT","Lithuania","EURO",0,0,0,0
"2020-02-19","LT","Lithuania","EURO",0,0,0,0
"2020-02-20","LT","Lithuania","EURO",0,0,0,0
"2020-02-21","LT","Lithuania","EURO",0,0,0,0
"2020-02-22","LT","Lithuania","EURO",0,0,0,0
"2020-02-23","LT","Lithuania","EURO",0,0,0,0
"2020-02-24","LT","Lithuania","EURO",0,0,0,0
"2020-02-25","LT","Lithuania","EURO",0,0,0,0
"2020-02-26","LT","Lithuania","EURO",0,0,0,0
"2020-02-27","LT","Lithuania","EURO",0,0,0,0
"2020-02-28","LT","Lithuania","EURO",1,1,0,0
"2020-02-29","LT","Lithuania","EURO",0,1,0,0
"2020-03-01","LT","Lithuania","EURO",0,1,0,0
"2020-03-02","LT","Lithuania","EURO",0,1,0,0
"2020-03-03","LT","Lithuania","EURO",0,1,0,0
"2020-03-04","LT","Lithuania","EURO",0,1,0,0
"2020-03-05","LT","Lithuania","EURO",0,1,0,0
"2020-03-06","LT","Lithuania","EURO",0,1,0,0
"2020-03-07","LT","Lithuania","EURO",0,1,0,0
"2020-03-08","LT","Lithuania","EURO",0,1,0,0
"2020-03-09","LT","Lithuania","EURO",0,1,0,0
"2020-03-10","LT","Lithuania","EURO",0,1,0,0
"2020-03-11","LT","Lithuania","EURO",2,3,0,0
"2020-03-12","LT","Lithuania","EURO",0,3,0,0
"2020-03-13","LT","Lithuania","EURO",0,3,0,0
"2020-03-14","LT","Lithuania","EURO",3,6,0,0
"2020-03-15","LT","Lithuania","EURO",3,9,0,0
"2020-03-16","LT","Lithuania","EURO",5,14,0,0
"2020-03-17","LT","Lithuania","EURO",3,17,0,0
"2020-03-18","LT","Lithuania","EURO",8,25,0,0
"2020-03-19","LT","Lithuania","EURO",8,33,0,0
"2020-03-20","LT","Lithuania","EURO",15,48,0,0
"2020-03-21","LT","Lithuania","EURO",21,69,1,1
"2020-03-22","LT","Lithuania","EURO",36,105,0,1
"2020-03-23","LT","Lithuania","EURO",38,143,0,1
"2020-03-24","LT","Lithuania","EURO",36,179,0,1
"2020-03-25","LT","Lithuania","EURO",30,209,1,2
"2020-03-26","LT","Lithuania","EURO",65,274,2,4
"2020-03-27","LT","Lithuania","EURO",25,299,0,4
"2020-03-28","LT","Lithuania","EURO",59,358,1,5
"2020-03-29","LT","Lithuania","EURO",36,394,2,7
"2020-03-30","LT","Lithuania","EURO",90,484,0,7
"2020-03-31","LT","Lithuania","EURO",0,484,0,7
"2020-04-01","LT","Lithuania","EURO",49,533,0,7
"2020-04-02","LT","Lithuania","EURO",48,581,1,8
"2020-04-03","LT","Lithuania","EURO",68,649,1,9
"2020-04-04","LT","Lithuania","EURO",122,771,0,9
"2020-04-05","LT","Lithuania","EURO",0,771,0,9
"2020-04-06","LT","Lithuania","EURO",40,811,4,13
"2020-04-07","LT","Lithuania","EURO",32,843,1,14
"2020-04-08","LT","Lithuania","EURO",37,880,1,15
"2020-04-09","LT","Lithuania","EURO",32,912,0,15
"2020-04-10","LT","Lithuania","EURO",43,955,0,15
"2020-04-11","LT","Lithuania","EURO",44,999,2,17
"2020-04-12","LT","Lithuania","EURO",54,1053,6,23
"2020-04-13","LT","Lithuania","EURO",9,1062,1,24
"2020-04-14","LT","Lithuania","EURO",8,1070,0,24
"2020-04-15","LT","Lithuania","EURO",0,1070,0,24
"2020-04-16","LT","Lithuania","EURO",21,1091,5,29
"2020-04-17","LT","Lithuania","EURO",58,1149,3,32
"2020-04-18","LT","Lithuania","EURO",90,1239,1,33
"2020-04-19","LT","Lithuania","EURO",59,1298,0,33
"2020-04-20","LT","Lithuania","EURO",28,1326,3,36
"2020-04-21","LT","Lithuania","EURO",24,1350,1,37
"2020-04-22","LT","Lithuania","EURO",20,1370,1,38
"2020-04-23","LT","Lithuania","EURO",28,1398,0,38
"2020-04-24","LT","Lithuania","EURO",12,1410,2,40
"2020-04-25","LT","Lithuania","EURO",0,1410,0,40
"2020-04-26","LT","Lithuania","EURO",16,1426,1,41
"2020-04-27","LT","Lithuania","EURO",12,1438,0,41
"2020-04-28","LT","Lithuania","EURO",11,1449,0,41
"2020-04-29","LT","Lithuania","EURO",-105,1344,3,44
"2020-04-30","LT","Lithuania","EURO",31,1375,1,45
"2020-05-01","LT","Lithuania","EURO",10,1385,0,45
"2020-05-02","LT","Lithuania","EURO",14,1399,0,45
"2020-05-03","LT","Lithuania","EURO",7,1406,1,46
"2020-05-04","LT","Lithuania","EURO",4,1410,0,46
"2020-05-05","LT","Lithuania","EURO",9,1419,0,46
"2020-05-06","LT","Lithuania","EURO",4,1423,0,46
"2020-05-07","LT","Lithuania","EURO",5,1428,2,48
"2020-05-08","LT","Lithuania","EURO",5,1433,1,49
"2020-05-09","LT","Lithuania","EURO",3,1436,0,49
"2020-05-10","LT","Lithuania","EURO",8,1444,1,50
"2020-05-11","LT","Lithuania","EURO",35,1479,0,50
"2020-05-12","LT","Lithuania","EURO",6,1485,0,50
"2020-05-13","LT","Lithuania","EURO",6,1491,0,50
"2020-05-14","LT","Lithuania","EURO",14,1505,4,54
"2020-05-15","LT","Lithuania","EURO",6,1511,0,54
"2020-05-16","LT","Lithuania","EURO",12,1523,0,54
"2020-05-17","LT","Lithuania","EURO",11,1534,1,55
"2020-05-18","LT","Lithuania","EURO",7,1541,1,56
"2020-05-19","LT","Lithuania","EURO",6,1547,3,59
"2020-05-20","LT","Lithuania","EURO",15,1562,1,60
"2020-05-21","LT","Lithuania","EURO",15,1577,0,60
"2020-05-22","LT","Lithuania","EURO",17,1594,1,61
"2020-05-23","LT","Lithuania","EURO",10,1604,0,61
"2020-05-24","LT","Lithuania","EURO",12,1616,2,63
"2020-05-25","LT","Lithuania","EURO",7,1623,0,63
"2020-05-26","LT","Lithuania","EURO",12,1635,0,63
"2020-05-27","LT","Lithuania","EURO",4,1639,2,65
"2020-05-28","LT","Lithuania","EURO",8,1647,1,66
"2020-05-29","LT","Lithuania","EURO",9,1656,2,68
"2020-05-30","LT","Lithuania","EURO",6,1662,0,68
"2020-05-31","LT","Lithuania","EURO",8,1670,2,70
"2020-06-01","LT","Lithuania","EURO",5,1675,0,70
"2020-06-02","LT","Lithuania","EURO",3,1678,0,70
"2020-06-03","LT","Lithuania","EURO",4,1682,1,71
"2020-06-04","LT","Lithuania","EURO",2,1684,0,71
