"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LU","Luxembourg","EURO",0,0,0,0
"2020-01-04","LU","Luxembourg","EURO",0,0,0,0
"2020-01-05","LU","Luxembourg","EURO",0,0,0,0
"2020-01-06","LU","Luxembourg","EURO",0,0,0,0
"2020-01-07","LU","Luxembourg","EURO",0,0,0,0
"2020-01-08","LU","Luxembourg","EURO",0,0,0,0
"2020-01-09","LU","Luxembourg","EURO",0,0,0,0
"2020-01-10","LU","Luxembourg","EURO",0,0,0,0
"2020-01-11","LU","Luxembourg","EURO",0,0,0,0
"2020-01-12","LU","Luxembourg","EURO",0,0,0,0
"2020-01-13","LU","Luxembourg","EURO",0,0,0,0
"2020-01-14","LU","Luxembourg","EURO",0,0,0,0
"2020-01-15","LU","Luxembourg","EURO",0,0,0,0
"2020-01-16","LU","Luxembourg","EURO",0,0,0,0
"2020-01-17","LU","Luxembourg","EURO",0,0,0,0
"2020-01-18","LU","Luxembourg","EURO",0,0,0,0
"2020-01-19","LU","Luxembourg","EURO",0,0,0,0
"2020-01-20","LU","Luxembourg","EURO",0,0,0,0
"2020-01-21","LU","Luxembourg","EURO",0,0,0,0
"2020-01-22","LU","Luxembourg","EURO",0,0,0,0
"2020-01-23","LU","Luxembourg","EURO",0,0,0,0
"2020-01-24","LU","Luxembourg","EURO",0,0,0,0
"2020-01-25","LU","Luxembourg","EURO",0,0,0,0
"2020-01-26","LU","Luxembourg","EURO",0,0,0,0
"2020-01-27","LU","Luxembourg","EURO",0,0,0,0
"2020-01-28","LU","Luxembourg","EURO",0,0,0,0
"2020-01-29","LU","Luxembourg","EURO",0,0,0,0
"2020-01-30","LU","Luxembourg","EURO",0,0,0,0
"2020-01-31","LU","Luxembourg","EURO",0,0,0,0
"2020-02-01","LU","Luxembourg","EURO",0,0,0,0
"2020-02-02","LU","Luxembourg","EURO",0,0,0,0
"2020-02-03","LU","Luxembourg","EURO",0,0,0,0
"2020-02-04","LU","Luxembourg","EURO",0,0,0,0
"2020-02-05","LU","Luxembourg","EURO",0,0,0,0
"2020-02-06","LU","Luxembourg","EURO",0,0,0,0
"2020-02-07","LU","Luxembourg","EURO",0,0,0,0
"2020-02-08","LU","Luxembourg","EURO",0,0,0,0
"2020-02-09","LU","Luxembourg","EURO",0,0,0,0
"2020-02-10","LU","Luxembourg","EURO",0,0,0,0
"2020-02-11","LU","Luxembourg","EURO",0,0,0,0
"2020-02-12","LU","Luxembourg","EURO",0,0,0,0
"2020-02-13","LU","Luxembourg","EURO",0,0,0,0
"2020-02-14","LU","Luxembourg","EURO",0,0,0,0
"2020-02-15","LU","Luxembourg","EURO",0,0,0,0
"2020-02-16","LU","Luxembourg","EURO",0,0,0,0
"2020-02-17","LU","Luxembourg","EURO",0,0,0,0
"2020-02-18","LU","Luxembourg","EURO",0,0,0,0
"2020-02-19","LU","Luxembourg","EURO",0,0,0,0
"2020-02-20","LU","Luxembourg","EURO",0,0,0,0
"2020-02-21","LU","Luxembourg","EURO",0,0,0,0
"2020-02-22","LU","Luxembourg","EURO",0,0,0,0
"2020-02-23","LU","Luxembourg","EURO",0,0,0,0
"2020-02-24","LU","Luxembourg","EURO",0,0,0,0
"2020-02-25","LU","Luxembourg","EURO",0,0,0,0
"2020-02-26","LU","Luxembourg","EURO",0,0,0,0
"2020-02-27","LU","Luxembourg","EURO",0,0,0,0
"2020-02-28","LU","Luxembourg","EURO",0,0,0,0
"2020-02-29","LU","Luxembourg","EURO",0,0,0,0
"2020-03-01","LU","Luxembourg","EURO",1,1,0,0
"2020-03-02","LU","Luxembourg","EURO",0,1,0,0
"2020-03-03","LU","Luxembourg","EURO",0,1,0,0
"2020-03-04","LU","Luxembourg","EURO",0,1,0,0
"2020-03-05","LU","Luxembourg","EURO",0,1,0,0
"2020-03-06","LU","Luxembourg","EURO",0,1,0,0
"2020-03-07","LU","Luxembourg","EURO",2,3,0,0
"2020-03-08","LU","Luxembourg","EURO",0,3,0,0
"2020-03-09","LU","Luxembourg","EURO",2,5,0,0
"2020-03-10","LU","Luxembourg","EURO",0,5,0,0
"2020-03-11","LU","Luxembourg","EURO",2,7,0,0
"2020-03-12","LU","Luxembourg","EURO",0,7,0,0
"2020-03-13","LU","Luxembourg","EURO",19,26,0,0
"2020-03-14","LU","Luxembourg","EURO",12,38,1,1
"2020-03-15","LU","Luxembourg","EURO",0,38,0,1
"2020-03-16","LU","Luxembourg","EURO",39,77,0,1
"2020-03-17","LU","Luxembourg","EURO",4,81,0,1
"2020-03-18","LU","Luxembourg","EURO",59,140,0,1
"2020-03-19","LU","Luxembourg","EURO",70,210,1,2
"2020-03-20","LU","Luxembourg","EURO",135,345,2,4
"2020-03-21","LU","Luxembourg","EURO",139,484,1,5
"2020-03-22","LU","Luxembourg","EURO",186,670,3,8
"2020-03-23","LU","Luxembourg","EURO",128,798,0,8
"2020-03-24","LU","Luxembourg","EURO",77,875,0,8
"2020-03-25","LU","Luxembourg","EURO",224,1099,0,8
"2020-03-26","LU","Luxembourg","EURO",234,1333,0,8
"2020-03-27","LU","Luxembourg","EURO",120,1453,1,9
"2020-03-28","LU","Luxembourg","EURO",152,1605,6,15
"2020-03-29","LU","Luxembourg","EURO",226,1831,3,18
"2020-03-30","LU","Luxembourg","EURO",119,1950,3,21
"2020-03-31","LU","Luxembourg","EURO",38,1988,1,22
"2020-04-01","LU","Luxembourg","EURO",190,2178,1,23
"2020-04-02","LU","Luxembourg","EURO",141,2319,6,29
"2020-04-03","LU","Luxembourg","EURO",168,2487,1,30
"2020-04-04","LU","Luxembourg","EURO",125,2612,1,31
"2020-04-05","LU","Luxembourg","EURO",117,2729,0,31
"2020-04-06","LU","Luxembourg","EURO",75,2804,5,36
"2020-04-07","LU","Luxembourg","EURO",39,2843,5,41
"2020-04-08","LU","Luxembourg","EURO",127,2970,3,44
"2020-04-09","LU","Luxembourg","EURO",64,3034,2,46
"2020-04-10","LU","Luxembourg","EURO",81,3115,6,52
"2020-04-11","LU","Luxembourg","EURO",108,3223,2,54
"2020-04-12","LU","Luxembourg","EURO",47,3270,8,62
"2020-04-13","LU","Luxembourg","EURO",11,3281,4,66
"2020-04-14","LU","Luxembourg","EURO",11,3292,1,67
"2020-04-15","LU","Luxembourg","EURO",15,3307,0,67
"2020-04-16","LU","Luxembourg","EURO",66,3373,2,69
"2020-04-17","LU","Luxembourg","EURO",71,3444,0,69
"2020-04-18","LU","Luxembourg","EURO",36,3480,3,72
"2020-04-19","LU","Luxembourg","EURO",57,3537,0,72
"2020-04-20","LU","Luxembourg","EURO",13,3550,1,73
"2020-04-21","LU","Luxembourg","EURO",8,3558,2,75
"2020-04-22","LU","Luxembourg","EURO",60,3618,3,78
"2020-04-23","LU","Luxembourg","EURO",36,3654,2,80
"2020-04-24","LU","Luxembourg","EURO",11,3665,3,83
"2020-04-25","LU","Luxembourg","EURO",30,3695,2,85
"2020-04-26","LU","Luxembourg","EURO",16,3711,0,85
"2020-04-27","LU","Luxembourg","EURO",12,3723,3,88
"2020-04-28","LU","Luxembourg","EURO",6,3729,0,88
"2020-04-29","LU","Luxembourg","EURO",12,3741,1,89
"2020-04-30","LU","Luxembourg","EURO",28,3769,0,89
"2020-05-01","LU","Luxembourg","EURO",15,3784,1,90
"2020-05-02","LU","Luxembourg","EURO",18,3802,2,92
"2020-05-03","LU","Luxembourg","EURO",10,3812,0,92
"2020-05-04","LU","Luxembourg","EURO",12,3824,4,96
"2020-05-05","LU","Luxembourg","EURO",4,3828,0,96
"2020-05-06","LU","Luxembourg","EURO",12,3840,0,96
"2020-05-07","LU","Luxembourg","EURO",11,3851,2,98
"2020-05-08","LU","Luxembourg","EURO",8,3859,2,100
"2020-05-09","LU","Luxembourg","EURO",12,3871,0,100
"2020-05-10","LU","Luxembourg","EURO",6,3877,1,101
"2020-05-11","LU","Luxembourg","EURO",9,3886,0,101
"2020-05-12","LU","Luxembourg","EURO",2,3888,0,101
"2020-05-13","LU","Luxembourg","EURO",6,3894,1,102
"2020-05-14","LU","Luxembourg","EURO",10,3904,1,103
"2020-05-15","LU","Luxembourg","EURO",11,3915,0,103
"2020-05-16","LU","Luxembourg","EURO",8,3923,1,104
"2020-05-17","LU","Luxembourg","EURO",7,3930,0,104
"2020-05-18","LU","Luxembourg","EURO",15,3945,3,107
"2020-05-19","LU","Luxembourg","EURO",2,3947,0,107
"2020-05-20","LU","Luxembourg","EURO",11,3958,2,109
"2020-05-21","LU","Luxembourg","EURO",13,3971,0,109
"2020-05-22","LU","Luxembourg","EURO",9,3980,0,109
"2020-05-23","LU","Luxembourg","EURO",1,3981,0,109
"2020-05-24","LU","Luxembourg","EURO",9,3990,0,109
"2020-05-25","LU","Luxembourg","EURO",2,3992,1,110
"2020-05-26","LU","Luxembourg","EURO",1,3993,0,110
"2020-05-27","LU","Luxembourg","EURO",2,3995,0,110
"2020-05-28","LU","Luxembourg","EURO",6,4001,0,110
"2020-05-29","LU","Luxembourg","EURO",7,4008,0,110
"2020-05-30","LU","Luxembourg","EURO",4,4012,0,110
"2020-05-31","LU","Luxembourg","EURO",4,4016,0,110
"2020-06-01","LU","Luxembourg","EURO",2,4018,0,110
"2020-06-02","LU","Luxembourg","EURO",1,4019,0,110
"2020-06-03","LU","Luxembourg","EURO",1,4020,0,110
"2020-06-04","LU","Luxembourg","EURO",0,4020,0,110
"2020-06-05","LU","Luxembourg","EURO",7,4027,0,110
"2020-06-06","LU","Luxembourg","EURO",5,4032,0,110
"2020-06-07","LU","Luxembourg","EURO",3,4035,0,110
"2020-06-08","LU","Luxembourg","EURO",4,4039,0,110
"2020-06-09","LU","Luxembourg","EURO",1,4040,0,110
"2020-06-10","LU","Luxembourg","EURO",6,4046,0,110
"2020-06-11","LU","Luxembourg","EURO",3,4049,0,110
"2020-06-12","LU","Luxembourg","EURO",3,4052,0,110
"2020-06-13","LU","Luxembourg","EURO",3,4055,0,110
"2020-06-14","LU","Luxembourg","EURO",8,4063,0,110
"2020-06-15","LU","Luxembourg","EURO",7,4070,0,110
"2020-06-16","LU","Luxembourg","EURO",2,4072,0,110
"2020-06-17","LU","Luxembourg","EURO",3,4075,0,110
"2020-06-18","LU","Luxembourg","EURO",10,4085,0,110
"2020-06-19","LU","Luxembourg","EURO",6,4091,0,110
"2020-06-20","LU","Luxembourg","EURO",8,4099,0,110
"2020-06-21","LU","Luxembourg","EURO",6,4105,0,110
"2020-06-22","LU","Luxembourg","EURO",15,4120,0,110
"2020-06-23","LU","Luxembourg","EURO",1,4121,0,110
"2020-06-24","LU","Luxembourg","EURO",12,4133,0,110
"2020-06-25","LU","Luxembourg","EURO",7,4140,0,110
"2020-06-26","LU","Luxembourg","EURO",11,4151,0,110
"2020-06-27","LU","Luxembourg","EURO",22,4173,0,110
"2020-06-28","LU","Luxembourg","EURO",44,4217,0,110
"2020-06-29","LU","Luxembourg","EURO",25,4242,0,110
"2020-06-30","LU","Luxembourg","EURO",14,4256,0,110
"2020-07-01","LU","Luxembourg","EURO",43,4299,0,110
"2020-07-02","LU","Luxembourg","EURO",46,4345,0,110
"2020-07-03","LU","Luxembourg","EURO",50,4395,0,110
"2020-07-04","LU","Luxembourg","EURO",52,4447,0,110
"2020-07-05","LU","Luxembourg","EURO",29,4476,0,110
"2020-07-06","LU","Luxembourg","EURO",46,4522,0,110
"2020-07-07","LU","Luxembourg","EURO",20,4542,0,110
"2020-07-08","LU","Luxembourg","EURO",61,4603,0,110
"2020-07-09","LU","Luxembourg","EURO",47,4650,0,110
"2020-07-10","LU","Luxembourg","EURO",69,4719,0,110
"2020-07-11","LU","Luxembourg","EURO",58,4777,0,110
"2020-07-12","LU","Luxembourg","EURO",65,4842,0,110
"2020-07-13","LU","Luxembourg","EURO",83,4925,1,111
"2020-07-14","LU","Luxembourg","EURO",31,4956,0,111
"2020-07-15","LU","Luxembourg","EURO",100,5056,0,111
"2020-07-16","LU","Luxembourg","EURO",0,5056,0,111
"2020-07-17","LU","Luxembourg","EURO",66,5122,0,111
"2020-07-18","LU","Luxembourg","EURO",163,5285,0,111
"2020-07-19","LU","Luxembourg","EURO",124,5409,0,111
"2020-07-20","LU","Luxembourg","EURO",74,5483,0,111
"2020-07-21","LU","Luxembourg","EURO",122,5605,0,111
"2020-07-22","LU","Luxembourg","EURO",120,5725,0,111
"2020-07-23","LU","Luxembourg","EURO",129,5854,0,111
"2020-07-24","LU","Luxembourg","EURO",98,5952,1,112
"2020-07-25","LU","Luxembourg","EURO",104,6056,0,112
"2020-07-26","LU","Luxembourg","EURO",133,6189,0,112
