"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MW","Malawi","AFRO",0,0,0,0
"2020-01-04","MW","Malawi","AFRO",0,0,0,0
"2020-01-05","MW","Malawi","AFRO",0,0,0,0
"2020-01-06","MW","Malawi","AFRO",0,0,0,0
"2020-01-07","MW","Malawi","AFRO",0,0,0,0
"2020-01-08","MW","Malawi","AFRO",0,0,0,0
"2020-01-09","MW","Malawi","AFRO",0,0,0,0
"2020-01-10","MW","Malawi","AFRO",0,0,0,0
"2020-01-11","MW","Malawi","AFRO",0,0,0,0
"2020-01-12","MW","Malawi","AFRO",0,0,0,0
"2020-01-13","MW","Malawi","AFRO",0,0,0,0
"2020-01-14","MW","Malawi","AFRO",0,0,0,0
"2020-01-15","MW","Malawi","AFRO",0,0,0,0
"2020-01-16","MW","Malawi","AFRO",0,0,0,0
"2020-01-17","MW","Malawi","AFRO",0,0,0,0
"2020-01-18","MW","Malawi","AFRO",0,0,0,0
"2020-01-19","MW","Malawi","AFRO",0,0,0,0
"2020-01-20","MW","Malawi","AFRO",0,0,0,0
"2020-01-21","MW","Malawi","AFRO",0,0,0,0
"2020-01-22","MW","Malawi","AFRO",0,0,0,0
"2020-01-23","MW","Malawi","AFRO",0,0,0,0
"2020-01-24","MW","Malawi","AFRO",0,0,0,0
"2020-01-25","MW","Malawi","AFRO",0,0,0,0
"2020-01-26","MW","Malawi","AFRO",0,0,0,0
"2020-01-27","MW","Malawi","AFRO",0,0,0,0
"2020-01-28","MW","Malawi","AFRO",0,0,0,0
"2020-01-29","MW","Malawi","AFRO",0,0,0,0
"2020-01-30","MW","Malawi","AFRO",0,0,0,0
"2020-01-31","MW","Malawi","AFRO",0,0,0,0
"2020-02-01","MW","Malawi","AFRO",0,0,0,0
"2020-02-02","MW","Malawi","AFRO",0,0,0,0
"2020-02-03","MW","Malawi","AFRO",0,0,0,0
"2020-02-04","MW","Malawi","AFRO",0,0,0,0
"2020-02-05","MW","Malawi","AFRO",0,0,0,0
"2020-02-06","MW","Malawi","AFRO",0,0,0,0
"2020-02-07","MW","Malawi","AFRO",0,0,0,0
"2020-02-08","MW","Malawi","AFRO",0,0,0,0
"2020-02-09","MW","Malawi","AFRO",0,0,0,0
"2020-02-10","MW","Malawi","AFRO",0,0,0,0
"2020-02-11","MW","Malawi","AFRO",0,0,0,0
"2020-02-12","MW","Malawi","AFRO",0,0,0,0
"2020-02-13","MW","Malawi","AFRO",0,0,0,0
"2020-02-14","MW","Malawi","AFRO",0,0,0,0
"2020-02-15","MW","Malawi","AFRO",0,0,0,0
"2020-02-16","MW","Malawi","AFRO",0,0,0,0
"2020-02-17","MW","Malawi","AFRO",0,0,0,0
"2020-02-18","MW","Malawi","AFRO",0,0,0,0
"2020-02-19","MW","Malawi","AFRO",0,0,0,0
"2020-02-20","MW","Malawi","AFRO",0,0,0,0
"2020-02-21","MW","Malawi","AFRO",0,0,0,0
"2020-02-22","MW","Malawi","AFRO",0,0,0,0
"2020-02-23","MW","Malawi","AFRO",0,0,0,0
"2020-02-24","MW","Malawi","AFRO",0,0,0,0
