"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MY","Malaysia","WPRO",0,0,0,0
"2020-01-04","MY","Malaysia","WPRO",0,0,0,0
"2020-01-05","MY","Malaysia","WPRO",0,0,0,0
"2020-01-06","MY","Malaysia","WPRO",0,0,0,0
"2020-01-07","MY","Malaysia","WPRO",0,0,0,0
"2020-01-08","MY","Malaysia","WPRO",0,0,0,0
"2020-01-09","MY","Malaysia","WPRO",0,0,0,0
"2020-01-10","MY","Malaysia","WPRO",0,0,0,0
"2020-01-11","MY","Malaysia","WPRO",0,0,0,0
"2020-01-12","MY","Malaysia","WPRO",0,0,0,0
"2020-01-13","MY","Malaysia","WPRO",0,0,0,0
"2020-01-14","MY","Malaysia","WPRO",0,0,0,0
"2020-01-15","MY","Malaysia","WPRO",0,0,0,0
"2020-01-16","MY","Malaysia","WPRO",0,0,0,0
"2020-01-17","MY","Malaysia","WPRO",0,0,0,0
"2020-01-18","MY","Malaysia","WPRO",0,0,0,0
"2020-01-19","MY","Malaysia","WPRO",0,0,0,0
"2020-01-20","MY","Malaysia","WPRO",0,0,0,0
"2020-01-21","MY","Malaysia","WPRO",0,0,0,0
"2020-01-22","MY","Malaysia","WPRO",0,0,0,0
"2020-01-23","MY","Malaysia","WPRO",0,0,0,0
"2020-01-24","MY","Malaysia","WPRO",0,0,0,0
"2020-01-25","MY","Malaysia","WPRO",7,7,0,0
"2020-01-26","MY","Malaysia","WPRO",1,8,0,0
"2020-01-27","MY","Malaysia","WPRO",0,8,0,0
"2020-01-28","MY","Malaysia","WPRO",0,8,0,0
"2020-01-29","MY","Malaysia","WPRO",3,11,0,0
"2020-01-30","MY","Malaysia","WPRO",1,12,0,0
"2020-01-31","MY","Malaysia","WPRO",0,12,0,0
"2020-02-01","MY","Malaysia","WPRO",0,12,0,0
"2020-02-02","MY","Malaysia","WPRO",0,12,0,0
"2020-02-03","MY","Malaysia","WPRO",0,12,0,0
"2020-02-04","MY","Malaysia","WPRO",2,14,0,0
"2020-02-05","MY","Malaysia","WPRO",2,16,0,0
"2020-02-06","MY","Malaysia","WPRO",2,18,0,0
"2020-02-07","MY","Malaysia","WPRO",1,19,0,0
"2020-02-08","MY","Malaysia","WPRO",1,20,0,0
"2020-02-09","MY","Malaysia","WPRO",1,21,0,0
"2020-02-10","MY","Malaysia","WPRO",1,22,0,0
"2020-02-11","MY","Malaysia","WPRO",0,22,0,0
"2020-02-12","MY","Malaysia","WPRO",0,22,0,0
"2020-02-13","MY","Malaysia","WPRO",1,23,0,0
"2020-02-14","MY","Malaysia","WPRO",0,23,0,0
"2020-02-15","MY","Malaysia","WPRO",3,26,0,0
"2020-02-16","MY","Malaysia","WPRO",0,26,0,0
"2020-02-17","MY","Malaysia","WPRO",0,26,0,0
"2020-02-18","MY","Malaysia","WPRO",0,26,0,0
"2020-02-19","MY","Malaysia","WPRO",0,26,0,0
"2020-02-20","MY","Malaysia","WPRO",0,26,0,0
"2020-02-21","MY","Malaysia","WPRO",0,26,0,0
