"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MV","Maldives","SEARO",0,0,0,0
"2020-01-04","MV","Maldives","SEARO",0,0,0,0
"2020-01-05","MV","Maldives","SEARO",0,0,0,0
"2020-01-06","MV","Maldives","SEARO",0,0,0,0
"2020-01-07","MV","Maldives","SEARO",0,0,0,0
"2020-01-08","MV","Maldives","SEARO",0,0,0,0
"2020-01-09","MV","Maldives","SEARO",0,0,0,0
"2020-01-10","MV","Maldives","SEARO",0,0,0,0
"2020-01-11","MV","Maldives","SEARO",0,0,0,0
"2020-01-12","MV","Maldives","SEARO",0,0,0,0
"2020-01-13","MV","Maldives","SEARO",0,0,0,0
"2020-01-14","MV","Maldives","SEARO",0,0,0,0
"2020-01-15","MV","Maldives","SEARO",0,0,0,0
"2020-01-16","MV","Maldives","SEARO",0,0,0,0
"2020-01-17","MV","Maldives","SEARO",0,0,0,0
"2020-01-18","MV","Maldives","SEARO",0,0,0,0
"2020-01-19","MV","Maldives","SEARO",0,0,0,0
"2020-01-20","MV","Maldives","SEARO",0,0,0,0
"2020-01-21","MV","Maldives","SEARO",0,0,0,0
"2020-01-22","MV","Maldives","SEARO",0,0,0,0
"2020-01-23","MV","Maldives","SEARO",0,0,0,0
"2020-01-24","MV","Maldives","SEARO",0,0,0,0
"2020-01-25","MV","Maldives","SEARO",0,0,0,0
"2020-01-26","MV","Maldives","SEARO",0,0,0,0
"2020-01-27","MV","Maldives","SEARO",0,0,0,0
"2020-01-28","MV","Maldives","SEARO",0,0,0,0
"2020-01-29","MV","Maldives","SEARO",0,0,0,0
"2020-01-30","MV","Maldives","SEARO",0,0,0,0
"2020-01-31","MV","Maldives","SEARO",0,0,0,0
"2020-02-01","MV","Maldives","SEARO",0,0,0,0
"2020-02-02","MV","Maldives","SEARO",0,0,0,0
"2020-02-03","MV","Maldives","SEARO",0,0,0,0
"2020-02-04","MV","Maldives","SEARO",0,0,0,0
"2020-02-05","MV","Maldives","SEARO",0,0,0,0
"2020-02-06","MV","Maldives","SEARO",0,0,0,0
"2020-02-07","MV","Maldives","SEARO",0,0,0,0
"2020-02-08","MV","Maldives","SEARO",0,0,0,0
"2020-02-09","MV","Maldives","SEARO",0,0,0,0
"2020-02-10","MV","Maldives","SEARO",0,0,0,0
"2020-02-11","MV","Maldives","SEARO",0,0,0,0
"2020-02-12","MV","Maldives","SEARO",0,0,0,0
"2020-02-13","MV","Maldives","SEARO",0,0,0,0
"2020-02-14","MV","Maldives","SEARO",0,0,0,0
"2020-02-15","MV","Maldives","SEARO",0,0,0,0
"2020-02-16","MV","Maldives","SEARO",0,0,0,0
"2020-02-17","MV","Maldives","SEARO",0,0,0,0
"2020-02-18","MV","Maldives","SEARO",0,0,0,0
"2020-02-19","MV","Maldives","SEARO",0,0,0,0
"2020-02-20","MV","Maldives","SEARO",0,0,0,0
"2020-02-21","MV","Maldives","SEARO",0,0,0,0
"2020-02-22","MV","Maldives","SEARO",0,0,0,0
"2020-02-23","MV","Maldives","SEARO",0,0,0,0
"2020-02-24","MV","Maldives","SEARO",0,0,0,0
"2020-02-25","MV","Maldives","SEARO",0,0,0,0
"2020-02-26","MV","Maldives","SEARO",0,0,0,0
"2020-02-27","MV","Maldives","SEARO",0,0,0,0
"2020-02-28","MV","Maldives","SEARO",0,0,0,0
"2020-02-29","MV","Maldives","SEARO",0,0,0,0
"2020-03-01","MV","Maldives","SEARO",0,0,0,0
"2020-03-02","MV","Maldives","SEARO",0,0,0,0
"2020-03-03","MV","Maldives","SEARO",0,0,0,0
"2020-03-04","MV","Maldives","SEARO",0,0,0,0
"2020-03-05","MV","Maldives","SEARO",0,0,0,0
"2020-03-06","MV","Maldives","SEARO",0,0,0,0
"2020-03-07","MV","Maldives","SEARO",6,6,0,0
"2020-03-08","MV","Maldives","SEARO",2,8,0,0
"2020-03-09","MV","Maldives","SEARO",0,8,0,0
"2020-03-10","MV","Maldives","SEARO",2,10,0,0
"2020-03-11","MV","Maldives","SEARO",2,12,0,0
"2020-03-12","MV","Maldives","SEARO",0,12,0,0
"2020-03-13","MV","Maldives","SEARO",0,12,0,0
"2020-03-14","MV","Maldives","SEARO",1,13,0,0
"2020-03-15","MV","Maldives","SEARO",4,17,0,0
"2020-03-16","MV","Maldives","SEARO",0,17,0,0
"2020-03-17","MV","Maldives","SEARO",0,17,0,0
"2020-03-18","MV","Maldives","SEARO",0,17,0,0
"2020-03-19","MV","Maldives","SEARO",0,17,0,0
"2020-03-20","MV","Maldives","SEARO",0,17,0,0
"2020-03-21","MV","Maldives","SEARO",0,17,0,0
"2020-03-22","MV","Maldives","SEARO",0,17,0,0
"2020-03-23","MV","Maldives","SEARO",0,17,0,0
"2020-03-24","MV","Maldives","SEARO",0,17,0,0
"2020-03-25","MV","Maldives","SEARO",0,17,0,0
"2020-03-26","MV","Maldives","SEARO",0,17,0,0
"2020-03-27","MV","Maldives","SEARO",0,17,0,0
"2020-03-28","MV","Maldives","SEARO",0,17,0,0
"2020-03-29","MV","Maldives","SEARO",-1,16,0,0
"2020-03-30","MV","Maldives","SEARO",1,17,0,0
"2020-03-31","MV","Maldives","SEARO",0,17,0,0
"2020-04-01","MV","Maldives","SEARO",1,18,0,0
"2020-04-02","MV","Maldives","SEARO",1,19,0,0
"2020-04-03","MV","Maldives","SEARO",0,19,0,0
"2020-04-04","MV","Maldives","SEARO",0,19,0,0
"2020-04-05","MV","Maldives","SEARO",0,19,0,0
"2020-04-06","MV","Maldives","SEARO",0,19,0,0
"2020-04-07","MV","Maldives","SEARO",0,19,0,0
"2020-04-08","MV","Maldives","SEARO",0,19,0,0
"2020-04-09","MV","Maldives","SEARO",0,19,0,0
"2020-04-10","MV","Maldives","SEARO",0,19,0,0
"2020-04-11","MV","Maldives","SEARO",0,19,0,0
"2020-04-12","MV","Maldives","SEARO",1,20,0,0
"2020-04-13","MV","Maldives","SEARO",0,20,0,0
"2020-04-14","MV","Maldives","SEARO",0,20,0,0
"2020-04-15","MV","Maldives","SEARO",1,21,0,0
"2020-04-16","MV","Maldives","SEARO",2,23,0,0
"2020-04-17","MV","Maldives","SEARO",5,28,0,0
"2020-04-18","MV","Maldives","SEARO",6,34,0,0
"2020-04-19","MV","Maldives","SEARO",17,51,0,0
"2020-04-20","MV","Maldives","SEARO",9,60,0,0
"2020-04-21","MV","Maldives","SEARO",23,83,0,0
"2020-04-22","MV","Maldives","SEARO",2,85,0,0
"2020-04-23","MV","Maldives","SEARO",9,94,0,0
"2020-04-24","MV","Maldives","SEARO",22,116,0,0
"2020-04-25","MV","Maldives","SEARO",21,137,0,0
"2020-04-26","MV","Maldives","SEARO",51,188,0,0
"2020-04-27","MV","Maldives","SEARO",26,214,0,0
"2020-04-28","MV","Maldives","SEARO",31,245,0,0
"2020-04-29","MV","Maldives","SEARO",11,256,0,0
"2020-04-30","MV","Maldives","SEARO",140,396,0,0
"2020-05-01","MV","Maldives","SEARO",72,468,1,1
"2020-05-02","MV","Maldives","SEARO",23,491,0,1
"2020-05-03","MV","Maldives","SEARO",28,519,0,1
"2020-05-04","MV","Maldives","SEARO",8,527,0,1
"2020-05-05","MV","Maldives","SEARO",30,557,0,1
"2020-05-06","MV","Maldives","SEARO",61,618,1,2
"2020-05-07","MV","Maldives","SEARO",0,618,0,2
"2020-05-08","MV","Maldives","SEARO",30,648,1,3
"2020-05-09","MV","Maldives","SEARO",96,744,0,3
"2020-05-10","MV","Maldives","SEARO",41,785,0,3
"2020-05-11","MV","Maldives","SEARO",50,835,0,3
"2020-05-12","MV","Maldives","SEARO",62,897,0,3
"2020-05-13","MV","Maldives","SEARO",7,904,0,3
"2020-05-14","MV","Maldives","SEARO",64,968,1,4
"2020-05-15","MV","Maldives","SEARO",52,1020,0,4
"2020-05-16","MV","Maldives","SEARO",58,1078,0,4
"2020-05-17","MV","Maldives","SEARO",0,1078,0,4
"2020-05-18","MV","Maldives","SEARO",16,1094,0,4
"2020-05-19","MV","Maldives","SEARO",49,1143,0,4
"2020-05-20","MV","Maldives","SEARO",43,1186,0,4
"2020-05-21","MV","Maldives","SEARO",30,1216,0,4
"2020-05-22","MV","Maldives","SEARO",0,1216,0,4
"2020-05-23","MV","Maldives","SEARO",58,1274,0,4
"2020-05-24","MV","Maldives","SEARO",39,1313,0,4
