"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ML","Mali","AFRO",0,0,0,0
"2020-01-04","ML","Mali","AFRO",0,0,0,0
"2020-01-05","ML","Mali","AFRO",0,0,0,0
"2020-01-06","ML","Mali","AFRO",0,0,0,0
"2020-01-07","ML","Mali","AFRO",0,0,0,0
"2020-01-08","ML","Mali","AFRO",0,0,0,0
"2020-01-09","ML","Mali","AFRO",0,0,0,0
"2020-01-10","ML","Mali","AFRO",0,0,0,0
"2020-01-11","ML","Mali","AFRO",0,0,0,0
"2020-01-12","ML","Mali","AFRO",0,0,0,0
"2020-01-13","ML","Mali","AFRO",0,0,0,0
"2020-01-14","ML","Mali","AFRO",0,0,0,0
"2020-01-15","ML","Mali","AFRO",0,0,0,0
"2020-01-16","ML","Mali","AFRO",0,0,0,0
"2020-01-17","ML","Mali","AFRO",0,0,0,0
"2020-01-18","ML","Mali","AFRO",0,0,0,0
"2020-01-19","ML","Mali","AFRO",0,0,0,0
"2020-01-20","ML","Mali","AFRO",0,0,0,0
"2020-01-21","ML","Mali","AFRO",0,0,0,0
"2020-01-22","ML","Mali","AFRO",0,0,0,0
"2020-01-23","ML","Mali","AFRO",0,0,0,0
"2020-01-24","ML","Mali","AFRO",0,0,0,0
"2020-01-25","ML","Mali","AFRO",0,0,0,0
"2020-01-26","ML","Mali","AFRO",0,0,0,0
"2020-01-27","ML","Mali","AFRO",0,0,0,0
"2020-01-28","ML","Mali","AFRO",0,0,0,0
"2020-01-29","ML","Mali","AFRO",0,0,0,0
"2020-01-30","ML","Mali","AFRO",0,0,0,0
"2020-01-31","ML","Mali","AFRO",0,0,0,0
"2020-02-01","ML","Mali","AFRO",0,0,0,0
"2020-02-02","ML","Mali","AFRO",0,0,0,0
"2020-02-03","ML","Mali","AFRO",0,0,0,0
"2020-02-04","ML","Mali","AFRO",0,0,0,0
"2020-02-05","ML","Mali","AFRO",0,0,0,0
"2020-02-06","ML","Mali","AFRO",0,0,0,0
"2020-02-07","ML","Mali","AFRO",0,0,0,0
"2020-02-08","ML","Mali","AFRO",0,0,0,0
"2020-02-09","ML","Mali","AFRO",0,0,0,0
"2020-02-10","ML","Mali","AFRO",0,0,0,0
"2020-02-11","ML","Mali","AFRO",0,0,0,0
"2020-02-12","ML","Mali","AFRO",0,0,0,0
"2020-02-13","ML","Mali","AFRO",0,0,0,0
"2020-02-14","ML","Mali","AFRO",0,0,0,0
"2020-02-15","ML","Mali","AFRO",0,0,0,0
"2020-02-16","ML","Mali","AFRO",0,0,0,0
"2020-02-17","ML","Mali","AFRO",0,0,0,0
"2020-02-18","ML","Mali","AFRO",0,0,0,0
"2020-02-19","ML","Mali","AFRO",0,0,0,0
"2020-02-20","ML","Mali","AFRO",0,0,0,0
"2020-02-21","ML","Mali","AFRO",0,0,0,0
"2020-02-22","ML","Mali","AFRO",0,0,0,0
"2020-02-23","ML","Mali","AFRO",0,0,0,0
"2020-02-24","ML","Mali","AFRO",0,0,0,0
"2020-02-25","ML","Mali","AFRO",0,0,0,0
"2020-02-26","ML","Mali","AFRO",0,0,0,0
"2020-02-27","ML","Mali","AFRO",0,0,0,0
"2020-02-28","ML","Mali","AFRO",0,0,0,0
"2020-02-29","ML","Mali","AFRO",0,0,0,0
"2020-03-01","ML","Mali","AFRO",0,0,0,0
"2020-03-02","ML","Mali","AFRO",0,0,0,0
"2020-03-03","ML","Mali","AFRO",0,0,0,0
"2020-03-04","ML","Mali","AFRO",0,0,0,0
"2020-03-05","ML","Mali","AFRO",0,0,0,0
"2020-03-06","ML","Mali","AFRO",0,0,0,0
"2020-03-07","ML","Mali","AFRO",0,0,0,0
"2020-03-08","ML","Mali","AFRO",0,0,0,0
"2020-03-09","ML","Mali","AFRO",0,0,0,0
"2020-03-10","ML","Mali","AFRO",0,0,0,0
"2020-03-11","ML","Mali","AFRO",0,0,0,0
"2020-03-12","ML","Mali","AFRO",0,0,0,0
"2020-03-13","ML","Mali","AFRO",0,0,0,0
"2020-03-14","ML","Mali","AFRO",0,0,0,0
"2020-03-15","ML","Mali","AFRO",0,0,0,0
"2020-03-16","ML","Mali","AFRO",0,0,0,0
"2020-03-17","ML","Mali","AFRO",0,0,0,0
"2020-03-18","ML","Mali","AFRO",0,0,0,0
"2020-03-19","ML","Mali","AFRO",0,0,0,0
"2020-03-20","ML","Mali","AFRO",0,0,0,0
"2020-03-21","ML","Mali","AFRO",0,0,0,0
"2020-03-22","ML","Mali","AFRO",0,0,0,0
"2020-03-23","ML","Mali","AFRO",0,0,0,0
"2020-03-24","ML","Mali","AFRO",0,0,0,0
"2020-03-25","ML","Mali","AFRO",0,0,0,0
"2020-03-26","ML","Mali","AFRO",2,2,0,0
"2020-03-27","ML","Mali","AFRO",0,2,0,0
"2020-03-28","ML","Mali","AFRO",7,9,0,0
"2020-03-29","ML","Mali","AFRO",9,18,0,0
