"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MT","Malta","EURO",0,0,0,0
"2020-01-04","MT","Malta","EURO",0,0,0,0
"2020-01-05","MT","Malta","EURO",0,0,0,0
"2020-01-06","MT","Malta","EURO",0,0,0,0
"2020-01-07","MT","Malta","EURO",0,0,0,0
"2020-01-08","MT","Malta","EURO",0,0,0,0
"2020-01-09","MT","Malta","EURO",0,0,0,0
"2020-01-10","MT","Malta","EURO",0,0,0,0
"2020-01-11","MT","Malta","EURO",0,0,0,0
"2020-01-12","MT","Malta","EURO",0,0,0,0
"2020-01-13","MT","Malta","EURO",0,0,0,0
"2020-01-14","MT","Malta","EURO",0,0,0,0
"2020-01-15","MT","Malta","EURO",0,0,0,0
"2020-01-16","MT","Malta","EURO",0,0,0,0
"2020-01-17","MT","Malta","EURO",0,0,0,0
"2020-01-18","MT","Malta","EURO",0,0,0,0
"2020-01-19","MT","Malta","EURO",0,0,0,0
"2020-01-20","MT","Malta","EURO",0,0,0,0
"2020-01-21","MT","Malta","EURO",0,0,0,0
"2020-01-22","MT","Malta","EURO",0,0,0,0
"2020-01-23","MT","Malta","EURO",0,0,0,0
"2020-01-24","MT","Malta","EURO",0,0,0,0
"2020-01-25","MT","Malta","EURO",0,0,0,0
"2020-01-26","MT","Malta","EURO",0,0,0,0
"2020-01-27","MT","Malta","EURO",0,0,0,0
"2020-01-28","MT","Malta","EURO",0,0,0,0
"2020-01-29","MT","Malta","EURO",0,0,0,0
"2020-01-30","MT","Malta","EURO",0,0,0,0
"2020-01-31","MT","Malta","EURO",0,0,0,0
"2020-02-01","MT","Malta","EURO",0,0,0,0
"2020-02-02","MT","Malta","EURO",0,0,0,0
"2020-02-03","MT","Malta","EURO",0,0,0,0
"2020-02-04","MT","Malta","EURO",0,0,0,0
"2020-02-05","MT","Malta","EURO",0,0,0,0
"2020-02-06","MT","Malta","EURO",0,0,0,0
"2020-02-07","MT","Malta","EURO",0,0,0,0
"2020-02-08","MT","Malta","EURO",0,0,0,0
"2020-02-09","MT","Malta","EURO",0,0,0,0
"2020-02-10","MT","Malta","EURO",0,0,0,0
"2020-02-11","MT","Malta","EURO",0,0,0,0
"2020-02-12","MT","Malta","EURO",0,0,0,0
"2020-02-13","MT","Malta","EURO",0,0,0,0
"2020-02-14","MT","Malta","EURO",0,0,0,0
"2020-02-15","MT","Malta","EURO",0,0,0,0
"2020-02-16","MT","Malta","EURO",0,0,0,0
"2020-02-17","MT","Malta","EURO",0,0,0,0
"2020-02-18","MT","Malta","EURO",0,0,0,0
"2020-02-19","MT","Malta","EURO",0,0,0,0
"2020-02-20","MT","Malta","EURO",0,0,0,0
"2020-02-21","MT","Malta","EURO",0,0,0,0
"2020-02-22","MT","Malta","EURO",0,0,0,0
"2020-02-23","MT","Malta","EURO",0,0,0,0
"2020-02-24","MT","Malta","EURO",0,0,0,0
"2020-02-25","MT","Malta","EURO",0,0,0,0
"2020-02-26","MT","Malta","EURO",0,0,0,0
"2020-02-27","MT","Malta","EURO",0,0,0,0
"2020-02-28","MT","Malta","EURO",0,0,0,0
"2020-02-29","MT","Malta","EURO",0,0,0,0
"2020-03-01","MT","Malta","EURO",0,0,0,0
"2020-03-02","MT","Malta","EURO",0,0,0,0
"2020-03-03","MT","Malta","EURO",0,0,0,0
"2020-03-04","MT","Malta","EURO",0,0,0,0
"2020-03-05","MT","Malta","EURO",0,0,0,0
"2020-03-06","MT","Malta","EURO",0,0,0,0
"2020-03-07","MT","Malta","EURO",1,1,0,0
"2020-03-08","MT","Malta","EURO",2,3,0,0
"2020-03-09","MT","Malta","EURO",0,3,0,0
"2020-03-10","MT","Malta","EURO",2,5,0,0
"2020-03-11","MT","Malta","EURO",1,6,0,0
"2020-03-12","MT","Malta","EURO",1,7,0,0
"2020-03-13","MT","Malta","EURO",1,8,0,0
"2020-03-14","MT","Malta","EURO",10,18,0,0
"2020-03-15","MT","Malta","EURO",1,19,0,0
"2020-03-16","MT","Malta","EURO",11,30,0,0
"2020-03-17","MT","Malta","EURO",8,38,0,0
"2020-03-18","MT","Malta","EURO",10,48,0,0
"2020-03-19","MT","Malta","EURO",4,52,0,0
"2020-03-20","MT","Malta","EURO",12,64,0,0
"2020-03-21","MT","Malta","EURO",9,73,0,0
"2020-03-22","MT","Malta","EURO",17,90,0,0
"2020-03-23","MT","Malta","EURO",17,107,0,0
"2020-03-24","MT","Malta","EURO",7,114,0,0
"2020-03-25","MT","Malta","EURO",15,129,0,0
"2020-03-26","MT","Malta","EURO",5,134,0,0
"2020-03-27","MT","Malta","EURO",5,139,0,0
"2020-03-28","MT","Malta","EURO",10,149,0,0
"2020-03-29","MT","Malta","EURO",2,151,0,0
"2020-03-30","MT","Malta","EURO",5,156,0,0
"2020-03-31","MT","Malta","EURO",13,169,0,0
"2020-04-01","MT","Malta","EURO",19,188,0,0
"2020-04-02","MT","Malta","EURO",7,195,0,0
"2020-04-03","MT","Malta","EURO",7,202,0,0
"2020-04-04","MT","Malta","EURO",11,213,0,0
"2020-04-05","MT","Malta","EURO",14,227,0,0
"2020-04-06","MT","Malta","EURO",14,241,0,0
"2020-04-07","MT","Malta","EURO",52,293,0,0
"2020-04-08","MT","Malta","EURO",6,299,0,0
"2020-04-09","MT","Malta","EURO",38,337,1,1
"2020-04-10","MT","Malta","EURO",13,350,1,2
"2020-04-11","MT","Malta","EURO",20,370,0,2
"2020-04-12","MT","Malta","EURO",8,378,1,3
"2020-04-13","MT","Malta","EURO",6,384,0,3
"2020-04-14","MT","Malta","EURO",9,393,0,3
"2020-04-15","MT","Malta","EURO",6,399,0,3
"2020-04-16","MT","Malta","EURO",13,412,0,3
"2020-04-17","MT","Malta","EURO",10,422,0,3
"2020-04-18","MT","Malta","EURO",4,426,0,3
"2020-04-19","MT","Malta","EURO",1,427,0,3
"2020-04-20","MT","Malta","EURO",4,431,0,3
"2020-04-21","MT","Malta","EURO",12,443,0,3
"2020-04-22","MT","Malta","EURO",1,444,0,3
"2020-04-23","MT","Malta","EURO",0,444,0,3
"2020-04-24","MT","Malta","EURO",2,446,0,3
"2020-04-25","MT","Malta","EURO",1,447,0,3
"2020-04-26","MT","Malta","EURO",2,449,1,4
"2020-04-27","MT","Malta","EURO",0,449,0,4
"2020-04-28","MT","Malta","EURO",8,457,0,4
"2020-04-29","MT","Malta","EURO",5,462,0,4
"2020-04-30","MT","Malta","EURO",2,464,0,4
"2020-05-01","MT","Malta","EURO",2,466,0,4
"2020-05-02","MT","Malta","EURO",1,467,0,4
"2020-05-03","MT","Malta","EURO",9,476,0,4
"2020-05-04","MT","Malta","EURO",3,479,0,4
"2020-05-05","MT","Malta","EURO",1,480,0,4
"2020-05-06","MT","Malta","EURO",3,483,1,5
"2020-05-07","MT","Malta","EURO",2,485,0,5
"2020-05-08","MT","Malta","EURO",3,488,0,5
"2020-05-09","MT","Malta","EURO",1,489,0,5
"2020-05-10","MT","Malta","EURO",6,495,0,5
"2020-05-11","MT","Malta","EURO",7,502,0,5
"2020-05-12","MT","Malta","EURO",3,505,0,5
"2020-05-13","MT","Malta","EURO",2,507,1,6
"2020-05-14","MT","Malta","EURO",14,521,0,6
"2020-05-15","MT","Malta","EURO",10,531,0,6
"2020-05-16","MT","Malta","EURO",14,545,0,6
"2020-05-17","MT","Malta","EURO",7,552,0,6
"2020-05-18","MT","Malta","EURO",5,557,0,6
"2020-05-19","MT","Malta","EURO",11,568,0,6
"2020-05-20","MT","Malta","EURO",15,583,0,6
"2020-05-21","MT","Malta","EURO",15,598,0,6
"2020-05-22","MT","Malta","EURO",1,599,0,6
"2020-05-23","MT","Malta","EURO",9,608,0,6
"2020-05-24","MT","Malta","EURO",1,609,0,6
"2020-05-25","MT","Malta","EURO",1,610,0,6
"2020-05-26","MT","Malta","EURO",0,610,0,6
"2020-05-27","MT","Malta","EURO",1,611,0,6
"2020-05-28","MT","Malta","EURO",4,615,1,7
"2020-05-29","MT","Malta","EURO",0,615,0,7
"2020-05-30","MT","Malta","EURO",2,617,2,9
"2020-05-31","MT","Malta","EURO",0,617,0,9
"2020-06-01","MT","Malta","EURO",1,618,0,9
"2020-06-02","MT","Malta","EURO",1,619,0,9
"2020-06-03","MT","Malta","EURO",2,621,0,9
"2020-06-04","MT","Malta","EURO",0,621,0,9
"2020-06-05","MT","Malta","EURO",3,624,0,9
"2020-06-06","MT","Malta","EURO",2,626,0,9
"2020-06-07","MT","Malta","EURO",2,628,0,9
"2020-06-08","MT","Malta","EURO",1,629,0,9
"2020-06-09","MT","Malta","EURO",2,631,0,9
"2020-06-10","MT","Malta","EURO",3,634,0,9
"2020-06-11","MT","Malta","EURO",5,639,0,9
"2020-06-12","MT","Malta","EURO",5,644,0,9
"2020-06-13","MT","Malta","EURO",1,645,0,9
"2020-06-14","MT","Malta","EURO",2,647,0,9
"2020-06-15","MT","Malta","EURO",2,649,0,9
"2020-06-16","MT","Malta","EURO",6,655,0,9
"2020-06-17","MT","Malta","EURO",6,661,0,9
"2020-06-18","MT","Malta","EURO",1,662,0,9
"2020-06-19","MT","Malta","EURO",0,662,0,9
"2020-06-20","MT","Malta","EURO",1,663,0,9
"2020-06-21","MT","Malta","EURO",1,664,0,9
"2020-06-22","MT","Malta","EURO",0,664,0,9
"2020-06-23","MT","Malta","EURO",0,664,0,9
"2020-06-24","MT","Malta","EURO",0,664,0,9
"2020-06-25","MT","Malta","EURO",3,667,0,9
"2020-06-26","MT","Malta","EURO",2,669,0,9
"2020-06-27","MT","Malta","EURO",0,669,0,9
"2020-06-28","MT","Malta","EURO",0,669,0,9
"2020-06-29","MT","Malta","EURO",0,669,0,9
"2020-06-30","MT","Malta","EURO",0,669,0,9
"2020-07-01","MT","Malta","EURO",1,670,0,9
"2020-07-02","MT","Malta","EURO",0,670,0,9
"2020-07-03","MT","Malta","EURO",1,671,0,9
"2020-07-04","MT","Malta","EURO",0,671,0,9
"2020-07-05","MT","Malta","EURO",0,671,0,9
"2020-07-06","MT","Malta","EURO",0,671,0,9
"2020-07-07","MT","Malta","EURO",1,672,0,9
"2020-07-08","MT","Malta","EURO",0,672,0,9
"2020-07-09","MT","Malta","EURO",1,673,0,9
"2020-07-10","MT","Malta","EURO",0,673,0,9
"2020-07-11","MT","Malta","EURO",0,673,0,9
"2020-07-12","MT","Malta","EURO",0,673,0,9
"2020-07-13","MT","Malta","EURO",0,673,0,9
"2020-07-14","MT","Malta","EURO",0,673,0,9
"2020-07-15","MT","Malta","EURO",0,673,0,9
"2020-07-16","MT","Malta","EURO",0,673,0,9
"2020-07-17","MT","Malta","EURO",0,673,0,9
"2020-07-18","MT","Malta","EURO",1,674,0,9
"2020-07-19","MT","Malta","EURO",0,674,0,9
"2020-07-20","MT","Malta","EURO",1,675,0,9
"2020-07-21","MT","Malta","EURO",0,675,0,9
"2020-07-22","MT","Malta","EURO",2,677,0,9
"2020-07-23","MT","Malta","EURO",1,678,0,9
"2020-07-24","MT","Malta","EURO",2,680,0,9
"2020-07-25","MT","Malta","EURO",4,684,0,9
"2020-07-26","MT","Malta","EURO",14,698,0,9
"2020-07-27","MT","Malta","EURO",1,699,0,9
"2020-07-28","MT","Malta","EURO",6,705,0,9
"2020-07-29","MT","Malta","EURO",13,718,0,9
"2020-07-30","MT","Malta","EURO",9,727,0,9
"2020-07-31","MT","Malta","EURO",9,736,0,9
"2020-08-01","MT","Malta","EURO",18,754,0,9
"2020-08-02","MT","Malta","EURO",15,769,0,9
"2020-08-03","MT","Malta","EURO",14,783,0,9
"2020-08-04","MT","Malta","EURO",16,799,0,9
"2020-08-05","MT","Malta","EURO",21,820,0,9
"2020-08-06","MT","Malta","EURO",19,839,0,9
"2020-08-07","MT","Malta","EURO",50,889,0,9
"2020-08-08","MT","Malta","EURO",40,929,0,9
"2020-08-09","MT","Malta","EURO",54,983,0,9
"2020-08-10","MT","Malta","EURO",23,1006,0,9
"2020-08-11","MT","Malta","EURO",29,1035,0,9
"2020-08-12","MT","Malta","EURO",49,1084,0,9
"2020-08-13","MT","Malta","EURO",55,1139,0,9
"2020-08-14","MT","Malta","EURO",31,1170,0,9
"2020-08-15","MT","Malta","EURO",72,1242,0,9
"2020-08-16","MT","Malta","EURO",63,1305,0,9
"2020-08-17","MT","Malta","EURO",68,1373,0,9
"2020-08-18","MT","Malta","EURO",49,1422,0,9
"2020-08-19","MT","Malta","EURO",47,1469,0,9
"2020-08-20","MT","Malta","EURO",40,1509,0,9
"2020-08-21","MT","Malta","EURO",36,1545,0,9
"2020-08-22","MT","Malta","EURO",31,1576,1,10
"2020-08-23","MT","Malta","EURO",35,1611,0,10
"2020-08-24","MT","Malta","EURO",57,1668,0,10
"2020-08-25","MT","Malta","EURO",38,1706,0,10
"2020-08-26","MT","Malta","EURO",46,1752,0,10
"2020-08-27","MT","Malta","EURO",37,1789,0,10
"2020-08-28","MT","Malta","EURO",32,1821,0,10
"2020-08-29","MT","Malta","EURO",28,1849,0,10
"2020-08-30","MT","Malta","EURO",15,1864,1,11
"2020-08-31","MT","Malta","EURO",21,1885,1,12
"2020-09-01","MT","Malta","EURO",26,1911,0,12
"2020-09-02","MT","Malta","EURO",21,1932,1,13
"2020-09-03","MT","Malta","EURO",34,1966,0,13
"2020-09-04","MT","Malta","EURO",19,1985,0,13
"2020-09-05","MT","Malta","EURO",30,2015,0,13
"2020-09-06","MT","Malta","EURO",25,2040,1,14
"2020-09-07","MT","Malta","EURO",37,2077,0,14
"2020-09-08","MT","Malta","EURO",23,2100,0,14
"2020-09-09","MT","Malta","EURO",63,2163,0,14
"2020-09-10","MT","Malta","EURO",42,2205,0,14
"2020-09-11","MT","Malta","EURO",43,2248,1,15
"2020-09-12","MT","Malta","EURO",27,2275,0,15
"2020-09-13","MT","Malta","EURO",78,2353,0,15
"2020-09-14","MT","Malta","EURO",53,2406,0,15
"2020-09-15","MT","Malta","EURO",49,2455,1,16
"2020-09-16","MT","Malta","EURO",106,2561,0,16
"2020-09-17","MT","Malta","EURO",35,2596,0,16
"2020-09-18","MT","Malta","EURO",38,2634,1,17
"2020-09-19","MT","Malta","EURO",65,2699,2,19
"2020-09-20","MT","Malta","EURO",32,2731,1,20
"2020-09-21","MT","Malta","EURO",46,2777,1,21
"2020-09-22","MT","Malta","EURO",38,2815,2,23
"2020-09-23","MT","Malta","EURO",42,2857,2,25
"2020-09-24","MT","Malta","EURO",42,2899,1,26
"2020-09-25","MT","Malta","EURO",31,2930,2,28
"2020-09-26","MT","Malta","EURO",29,2959,2,30
"2020-09-27","MT","Malta","EURO",21,2980,1,31
"2020-09-28","MT","Malta","EURO",27,3007,1,32
"2020-09-29","MT","Malta","EURO",19,3026,2,34
"2020-09-30","MT","Malta","EURO",23,3049,0,34
"2020-10-01","MT","Malta","EURO",37,3086,1,35
"2020-10-02","MT","Malta","EURO",44,3130,2,37
"2020-10-03","MT","Malta","EURO",65,3195,1,38
"2020-10-04","MT","Malta","EURO",66,3261,1,39
"2020-10-05","MT","Malta","EURO",57,3318,0,39
"2020-10-06","MT","Malta","EURO",47,3365,1,40
"2020-10-07","MT","Malta","EURO",68,3433,1,41
"2020-10-08","MT","Malta","EURO",64,3497,0,41
"2020-10-09","MT","Malta","EURO",75,3572,0,41
"2020-10-10","MT","Malta","EURO",100,3672,0,41
"2020-10-11","MT","Malta","EURO",95,3767,0,41
"2020-10-12","MT","Malta","EURO",68,3835,2,43
"2020-10-13","MT","Malta","EURO",94,3929,1,44
"2020-10-14","MT","Malta","EURO",111,4040,0,44
"2020-10-15","MT","Malta","EURO",112,4152,1,45
"2020-10-16","MT","Malta","EURO",122,4274,0,45
"2020-10-17","MT","Malta","EURO",204,4478,0,45
"2020-10-18","MT","Malta","EURO",142,4620,0,45
"2020-10-19","MT","Malta","EURO",109,4729,0,45
"2020-10-20","MT","Malta","EURO",134,4863,0,45
"2020-10-21","MT","Malta","EURO",155,5018,1,46
"2020-10-22","MT","Malta","EURO",111,5129,3,49
"2020-10-23","MT","Malta","EURO",121,5250,0,49
"2020-10-24","MT","Malta","EURO",115,5365,1,50
"2020-10-25","MT","Malta","EURO",122,5487,1,51
"2020-10-26","MT","Malta","EURO",80,5567,2,53
"2020-10-27","MT","Malta","EURO",107,5674,1,54
"2020-10-28","MT","Malta","EURO",76,5750,2,56
"2020-10-29","MT","Malta","EURO",106,5856,0,56
"2020-10-30","MT","Malta","EURO",76,5932,1,57
"2020-10-31","MT","Malta","EURO",100,6032,2,59
"2020-11-01","MT","Malta","EURO",140,6172,2,61
"2020-11-02","MT","Malta","EURO",218,6390,0,61
"2020-11-03","MT","Malta","EURO",106,6496,1,62
"2020-11-04","MT","Malta","EURO",84,6580,0,62
