"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MQ","Martinique","AMRO",0,0,0,0
"2020-01-04","MQ","Martinique","AMRO",0,0,0,0
"2020-01-05","MQ","Martinique","AMRO",0,0,0,0
"2020-01-06","MQ","Martinique","AMRO",0,0,0,0
"2020-01-07","MQ","Martinique","AMRO",0,0,0,0
"2020-01-08","MQ","Martinique","AMRO",0,0,0,0
"2020-01-09","MQ","Martinique","AMRO",0,0,0,0
"2020-01-10","MQ","Martinique","AMRO",0,0,0,0
"2020-01-11","MQ","Martinique","AMRO",0,0,0,0
"2020-01-12","MQ","Martinique","AMRO",0,0,0,0
"2020-01-13","MQ","Martinique","AMRO",0,0,0,0
"2020-01-14","MQ","Martinique","AMRO",0,0,0,0
"2020-01-15","MQ","Martinique","AMRO",0,0,0,0
"2020-01-16","MQ","Martinique","AMRO",0,0,0,0
"2020-01-17","MQ","Martinique","AMRO",0,0,0,0
"2020-01-18","MQ","Martinique","AMRO",0,0,0,0
"2020-01-19","MQ","Martinique","AMRO",0,0,0,0
"2020-01-20","MQ","Martinique","AMRO",0,0,0,0
"2020-01-21","MQ","Martinique","AMRO",0,0,0,0
"2020-01-22","MQ","Martinique","AMRO",0,0,0,0
"2020-01-23","MQ","Martinique","AMRO",0,0,0,0
"2020-01-24","MQ","Martinique","AMRO",0,0,0,0
"2020-01-25","MQ","Martinique","AMRO",0,0,0,0
"2020-01-26","MQ","Martinique","AMRO",0,0,0,0
"2020-01-27","MQ","Martinique","AMRO",0,0,0,0
"2020-01-28","MQ","Martinique","AMRO",0,0,0,0
"2020-01-29","MQ","Martinique","AMRO",0,0,0,0
"2020-01-30","MQ","Martinique","AMRO",0,0,0,0
"2020-01-31","MQ","Martinique","AMRO",0,0,0,0
"2020-02-01","MQ","Martinique","AMRO",0,0,0,0
"2020-02-02","MQ","Martinique","AMRO",0,0,0,0
"2020-02-03","MQ","Martinique","AMRO",0,0,0,0
"2020-02-04","MQ","Martinique","AMRO",0,0,0,0
"2020-02-05","MQ","Martinique","AMRO",0,0,0,0
"2020-02-06","MQ","Martinique","AMRO",0,0,0,0
"2020-02-07","MQ","Martinique","AMRO",0,0,0,0
"2020-02-08","MQ","Martinique","AMRO",0,0,0,0
"2020-02-09","MQ","Martinique","AMRO",0,0,0,0
"2020-02-10","MQ","Martinique","AMRO",0,0,0,0
"2020-02-11","MQ","Martinique","AMRO",0,0,0,0
"2020-02-12","MQ","Martinique","AMRO",0,0,0,0
"2020-02-13","MQ","Martinique","AMRO",0,0,0,0
"2020-02-14","MQ","Martinique","AMRO",0,0,0,0
"2020-02-15","MQ","Martinique","AMRO",0,0,0,0
"2020-02-16","MQ","Martinique","AMRO",0,0,0,0
"2020-02-17","MQ","Martinique","AMRO",0,0,0,0
"2020-02-18","MQ","Martinique","AMRO",0,0,0,0
"2020-02-19","MQ","Martinique","AMRO",0,0,0,0
"2020-02-20","MQ","Martinique","AMRO",0,0,0,0
"2020-02-21","MQ","Martinique","AMRO",0,0,0,0
"2020-02-22","MQ","Martinique","AMRO",0,0,0,0
"2020-02-23","MQ","Martinique","AMRO",0,0,0,0
"2020-02-24","MQ","Martinique","AMRO",0,0,0,0
"2020-02-25","MQ","Martinique","AMRO",0,0,0,0
"2020-02-26","MQ","Martinique","AMRO",0,0,0,0
"2020-02-27","MQ","Martinique","AMRO",0,0,0,0
"2020-02-28","MQ","Martinique","AMRO",0,0,0,0
"2020-02-29","MQ","Martinique","AMRO",0,0,0,0
"2020-03-01","MQ","Martinique","AMRO",0,0,0,0
"2020-03-02","MQ","Martinique","AMRO",0,0,0,0
"2020-03-03","MQ","Martinique","AMRO",0,0,0,0
"2020-03-04","MQ","Martinique","AMRO",0,0,0,0
"2020-03-05","MQ","Martinique","AMRO",0,0,0,0
"2020-03-06","MQ","Martinique","AMRO",0,0,0,0
"2020-03-07","MQ","Martinique","AMRO",6,6,0,0
"2020-03-08","MQ","Martinique","AMRO",0,6,0,0
"2020-03-09","MQ","Martinique","AMRO",0,6,0,0
"2020-03-10","MQ","Martinique","AMRO",0,6,0,0
"2020-03-11","MQ","Martinique","AMRO",1,7,0,0
