"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MR","Mauritania","AFRO",0,0,0,0
"2020-01-04","MR","Mauritania","AFRO",0,0,0,0
"2020-01-05","MR","Mauritania","AFRO",0,0,0,0
"2020-01-06","MR","Mauritania","AFRO",0,0,0,0
"2020-01-07","MR","Mauritania","AFRO",0,0,0,0
"2020-01-08","MR","Mauritania","AFRO",0,0,0,0
"2020-01-09","MR","Mauritania","AFRO",0,0,0,0
"2020-01-10","MR","Mauritania","AFRO",0,0,0,0
"2020-01-11","MR","Mauritania","AFRO",0,0,0,0
"2020-01-12","MR","Mauritania","AFRO",0,0,0,0
"2020-01-13","MR","Mauritania","AFRO",0,0,0,0
"2020-01-14","MR","Mauritania","AFRO",0,0,0,0
"2020-01-15","MR","Mauritania","AFRO",0,0,0,0
"2020-01-16","MR","Mauritania","AFRO",0,0,0,0
"2020-01-17","MR","Mauritania","AFRO",0,0,0,0
"2020-01-18","MR","Mauritania","AFRO",0,0,0,0
"2020-01-19","MR","Mauritania","AFRO",0,0,0,0
"2020-01-20","MR","Mauritania","AFRO",0,0,0,0
"2020-01-21","MR","Mauritania","AFRO",0,0,0,0
"2020-01-22","MR","Mauritania","AFRO",0,0,0,0
"2020-01-23","MR","Mauritania","AFRO",0,0,0,0
"2020-01-24","MR","Mauritania","AFRO",0,0,0,0
"2020-01-25","MR","Mauritania","AFRO",0,0,0,0
"2020-01-26","MR","Mauritania","AFRO",0,0,0,0
"2020-01-27","MR","Mauritania","AFRO",0,0,0,0
"2020-01-28","MR","Mauritania","AFRO",0,0,0,0
"2020-01-29","MR","Mauritania","AFRO",0,0,0,0
"2020-01-30","MR","Mauritania","AFRO",0,0,0,0
"2020-01-31","MR","Mauritania","AFRO",0,0,0,0
"2020-02-01","MR","Mauritania","AFRO",0,0,0,0
"2020-02-02","MR","Mauritania","AFRO",0,0,0,0
"2020-02-03","MR","Mauritania","AFRO",0,0,0,0
"2020-02-04","MR","Mauritania","AFRO",0,0,0,0
"2020-02-05","MR","Mauritania","AFRO",0,0,0,0
"2020-02-06","MR","Mauritania","AFRO",0,0,0,0
"2020-02-07","MR","Mauritania","AFRO",0,0,0,0
"2020-02-08","MR","Mauritania","AFRO",0,0,0,0
"2020-02-09","MR","Mauritania","AFRO",0,0,0,0
"2020-02-10","MR","Mauritania","AFRO",0,0,0,0
"2020-02-11","MR","Mauritania","AFRO",0,0,0,0
"2020-02-12","MR","Mauritania","AFRO",0,0,0,0
"2020-02-13","MR","Mauritania","AFRO",0,0,0,0
"2020-02-14","MR","Mauritania","AFRO",0,0,0,0
"2020-02-15","MR","Mauritania","AFRO",0,0,0,0
"2020-02-16","MR","Mauritania","AFRO",0,0,0,0
"2020-02-17","MR","Mauritania","AFRO",0,0,0,0
"2020-02-18","MR","Mauritania","AFRO",0,0,0,0
"2020-02-19","MR","Mauritania","AFRO",0,0,0,0
"2020-02-20","MR","Mauritania","AFRO",0,0,0,0
"2020-02-21","MR","Mauritania","AFRO",0,0,0,0
"2020-02-22","MR","Mauritania","AFRO",0,0,0,0
"2020-02-23","MR","Mauritania","AFRO",0,0,0,0
"2020-02-24","MR","Mauritania","AFRO",0,0,0,0
"2020-02-25","MR","Mauritania","AFRO",0,0,0,0
"2020-02-26","MR","Mauritania","AFRO",0,0,0,0
"2020-02-27","MR","Mauritania","AFRO",0,0,0,0
"2020-02-28","MR","Mauritania","AFRO",0,0,0,0
"2020-02-29","MR","Mauritania","AFRO",0,0,0,0
"2020-03-01","MR","Mauritania","AFRO",0,0,0,0
"2020-03-02","MR","Mauritania","AFRO",0,0,0,0
