"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MU","Mauritius","AFRO",0,0,0,0
"2020-01-04","MU","Mauritius","AFRO",0,0,0,0
"2020-01-05","MU","Mauritius","AFRO",0,0,0,0
"2020-01-06","MU","Mauritius","AFRO",0,0,0,0
"2020-01-07","MU","Mauritius","AFRO",0,0,0,0
"2020-01-08","MU","Mauritius","AFRO",0,0,0,0
"2020-01-09","MU","Mauritius","AFRO",0,0,0,0
"2020-01-10","MU","Mauritius","AFRO",0,0,0,0
"2020-01-11","MU","Mauritius","AFRO",0,0,0,0
"2020-01-12","MU","Mauritius","AFRO",0,0,0,0
"2020-01-13","MU","Mauritius","AFRO",0,0,0,0
"2020-01-14","MU","Mauritius","AFRO",0,0,0,0
"2020-01-15","MU","Mauritius","AFRO",0,0,0,0
"2020-01-16","MU","Mauritius","AFRO",0,0,0,0
"2020-01-17","MU","Mauritius","AFRO",0,0,0,0
"2020-01-18","MU","Mauritius","AFRO",0,0,0,0
"2020-01-19","MU","Mauritius","AFRO",0,0,0,0
"2020-01-20","MU","Mauritius","AFRO",0,0,0,0
"2020-01-21","MU","Mauritius","AFRO",0,0,0,0
"2020-01-22","MU","Mauritius","AFRO",0,0,0,0
"2020-01-23","MU","Mauritius","AFRO",0,0,0,0
"2020-01-24","MU","Mauritius","AFRO",0,0,0,0
"2020-01-25","MU","Mauritius","AFRO",0,0,0,0
"2020-01-26","MU","Mauritius","AFRO",0,0,0,0
"2020-01-27","MU","Mauritius","AFRO",0,0,0,0
"2020-01-28","MU","Mauritius","AFRO",0,0,0,0
"2020-01-29","MU","Mauritius","AFRO",0,0,0,0
"2020-01-30","MU","Mauritius","AFRO",0,0,0,0
"2020-01-31","MU","Mauritius","AFRO",0,0,0,0
"2020-02-01","MU","Mauritius","AFRO",0,0,0,0
"2020-02-02","MU","Mauritius","AFRO",0,0,0,0
"2020-02-03","MU","Mauritius","AFRO",0,0,0,0
"2020-02-04","MU","Mauritius","AFRO",0,0,0,0
"2020-02-05","MU","Mauritius","AFRO",0,0,0,0
"2020-02-06","MU","Mauritius","AFRO",0,0,0,0
"2020-02-07","MU","Mauritius","AFRO",0,0,0,0
"2020-02-08","MU","Mauritius","AFRO",0,0,0,0
"2020-02-09","MU","Mauritius","AFRO",0,0,0,0
"2020-02-10","MU","Mauritius","AFRO",0,0,0,0
"2020-02-11","MU","Mauritius","AFRO",0,0,0,0
"2020-02-12","MU","Mauritius","AFRO",0,0,0,0
"2020-02-13","MU","Mauritius","AFRO",0,0,0,0
"2020-02-14","MU","Mauritius","AFRO",0,0,0,0
"2020-02-15","MU","Mauritius","AFRO",0,0,0,0
"2020-02-16","MU","Mauritius","AFRO",0,0,0,0
"2020-02-17","MU","Mauritius","AFRO",0,0,0,0
"2020-02-18","MU","Mauritius","AFRO",0,0,0,0
"2020-02-19","MU","Mauritius","AFRO",0,0,0,0
"2020-02-20","MU","Mauritius","AFRO",0,0,0,0
"2020-02-21","MU","Mauritius","AFRO",0,0,0,0
"2020-02-22","MU","Mauritius","AFRO",0,0,0,0
"2020-02-23","MU","Mauritius","AFRO",0,0,0,0
"2020-02-24","MU","Mauritius","AFRO",0,0,0,0
"2020-02-25","MU","Mauritius","AFRO",0,0,0,0
"2020-02-26","MU","Mauritius","AFRO",0,0,0,0
"2020-02-27","MU","Mauritius","AFRO",0,0,0,0
"2020-02-28","MU","Mauritius","AFRO",0,0,0,0
"2020-02-29","MU","Mauritius","AFRO",0,0,0,0
"2020-03-01","MU","Mauritius","AFRO",0,0,0,0
"2020-03-02","MU","Mauritius","AFRO",0,0,0,0
"2020-03-03","MU","Mauritius","AFRO",0,0,0,0
"2020-03-04","MU","Mauritius","AFRO",0,0,0,0
"2020-03-05","MU","Mauritius","AFRO",0,0,0,0
"2020-03-06","MU","Mauritius","AFRO",0,0,0,0
"2020-03-07","MU","Mauritius","AFRO",0,0,0,0
"2020-03-08","MU","Mauritius","AFRO",0,0,0,0
"2020-03-09","MU","Mauritius","AFRO",0,0,0,0
"2020-03-10","MU","Mauritius","AFRO",0,0,0,0
"2020-03-11","MU","Mauritius","AFRO",0,0,0,0
"2020-03-12","MU","Mauritius","AFRO",0,0,0,0
"2020-03-13","MU","Mauritius","AFRO",0,0,0,0
"2020-03-14","MU","Mauritius","AFRO",0,0,0,0
"2020-03-15","MU","Mauritius","AFRO",0,0,0,0
"2020-03-16","MU","Mauritius","AFRO",0,0,0,0
"2020-03-17","MU","Mauritius","AFRO",0,0,0,0
"2020-03-18","MU","Mauritius","AFRO",7,7,0,0
"2020-03-19","MU","Mauritius","AFRO",4,11,0,0
"2020-03-20","MU","Mauritius","AFRO",1,12,0,0
"2020-03-21","MU","Mauritius","AFRO",0,12,0,0
"2020-03-22","MU","Mauritius","AFRO",0,12,0,0
"2020-03-23","MU","Mauritius","AFRO",0,12,0,0
"2020-03-24","MU","Mauritius","AFRO",24,36,0,0
"2020-03-25","MU","Mauritius","AFRO",6,42,2,2
"2020-03-26","MU","Mauritius","AFRO",5,47,0,2
"2020-03-27","MU","Mauritius","AFRO",34,81,0,2
"2020-03-28","MU","Mauritius","AFRO",15,96,0,2
"2020-03-29","MU","Mauritius","AFRO",6,102,0,2
"2020-03-30","MU","Mauritius","AFRO",0,102,0,2
"2020-03-31","MU","Mauritius","AFRO",26,128,0,2
"2020-04-01","MU","Mauritius","AFRO",15,143,3,5
"2020-04-02","MU","Mauritius","AFRO",11,154,0,5
"2020-04-03","MU","Mauritius","AFRO",15,169,2,7
"2020-04-04","MU","Mauritius","AFRO",17,186,0,7
"2020-04-05","MU","Mauritius","AFRO",10,196,0,7
"2020-04-06","MU","Mauritius","AFRO",31,227,0,7
"2020-04-07","MU","Mauritius","AFRO",17,244,0,7
"2020-04-08","MU","Mauritius","AFRO",24,268,0,7
"2020-04-09","MU","Mauritius","AFRO",5,273,0,7
"2020-04-10","MU","Mauritius","AFRO",41,314,0,7
"2020-04-11","MU","Mauritius","AFRO",4,318,2,9
"2020-04-12","MU","Mauritius","AFRO",1,319,0,9
"2020-04-13","MU","Mauritius","AFRO",5,324,0,9
"2020-04-14","MU","Mauritius","AFRO",0,324,0,9
"2020-04-15","MU","Mauritius","AFRO",0,324,0,9
"2020-04-16","MU","Mauritius","AFRO",0,324,0,9
"2020-04-17","MU","Mauritius","AFRO",0,324,0,9
"2020-04-18","MU","Mauritius","AFRO",0,324,0,9
"2020-04-19","MU","Mauritius","AFRO",1,325,0,9
"2020-04-20","MU","Mauritius","AFRO",3,328,0,9
"2020-04-21","MU","Mauritius","AFRO",0,328,0,9
"2020-04-22","MU","Mauritius","AFRO",0,328,0,9
"2020-04-23","MU","Mauritius","AFRO",1,329,0,9
"2020-04-24","MU","Mauritius","AFRO",2,331,0,9
"2020-04-25","MU","Mauritius","AFRO",0,331,0,9
"2020-04-26","MU","Mauritius","AFRO",0,331,0,9
"2020-04-27","MU","Mauritius","AFRO",1,332,0,9
"2020-04-28","MU","Mauritius","AFRO",0,332,0,9
"2020-04-29","MU","Mauritius","AFRO",0,332,1,10
"2020-04-30","MU","Mauritius","AFRO",0,332,0,10
"2020-05-01","MU","Mauritius","AFRO",0,332,0,10
"2020-05-02","MU","Mauritius","AFRO",0,332,0,10
"2020-05-03","MU","Mauritius","AFRO",0,332,0,10
"2020-05-04","MU","Mauritius","AFRO",0,332,0,10
"2020-05-05","MU","Mauritius","AFRO",0,332,0,10
"2020-05-06","MU","Mauritius","AFRO",0,332,0,10
"2020-05-07","MU","Mauritius","AFRO",0,332,0,10
"2020-05-08","MU","Mauritius","AFRO",0,332,0,10
"2020-05-09","MU","Mauritius","AFRO",0,332,0,10
"2020-05-10","MU","Mauritius","AFRO",0,332,0,10
"2020-05-11","MU","Mauritius","AFRO",0,332,0,10
"2020-05-12","MU","Mauritius","AFRO",0,332,0,10
"2020-05-13","MU","Mauritius","AFRO",0,332,0,10
"2020-05-14","MU","Mauritius","AFRO",0,332,0,10
"2020-05-15","MU","Mauritius","AFRO",0,332,0,10
"2020-05-16","MU","Mauritius","AFRO",0,332,0,10
"2020-05-17","MU","Mauritius","AFRO",0,332,0,10
"2020-05-18","MU","Mauritius","AFRO",0,332,0,10
"2020-05-19","MU","Mauritius","AFRO",0,332,0,10
"2020-05-20","MU","Mauritius","AFRO",0,332,0,10
"2020-05-21","MU","Mauritius","AFRO",0,332,0,10
"2020-05-22","MU","Mauritius","AFRO",0,332,0,10
"2020-05-23","MU","Mauritius","AFRO",0,332,0,10
"2020-05-24","MU","Mauritius","AFRO",0,332,0,10
"2020-05-25","MU","Mauritius","AFRO",2,334,0,10
"2020-05-26","MU","Mauritius","AFRO",0,334,0,10
"2020-05-27","MU","Mauritius","AFRO",0,334,0,10
"2020-05-28","MU","Mauritius","AFRO",0,334,0,10
"2020-05-29","MU","Mauritius","AFRO",0,334,0,10
"2020-05-30","MU","Mauritius","AFRO",1,335,0,10
"2020-05-31","MU","Mauritius","AFRO",0,335,0,10
"2020-06-01","MU","Mauritius","AFRO",0,335,0,10
"2020-06-02","MU","Mauritius","AFRO",0,335,0,10
"2020-06-03","MU","Mauritius","AFRO",0,335,0,10
"2020-06-04","MU","Mauritius","AFRO",0,335,0,10
"2020-06-05","MU","Mauritius","AFRO",0,335,0,10
"2020-06-06","MU","Mauritius","AFRO",2,337,0,10
"2020-06-07","MU","Mauritius","AFRO",0,337,0,10
"2020-06-08","MU","Mauritius","AFRO",0,337,0,10
"2020-06-09","MU","Mauritius","AFRO",0,337,0,10
"2020-06-10","MU","Mauritius","AFRO",0,337,0,10
"2020-06-11","MU","Mauritius","AFRO",0,337,0,10
"2020-06-12","MU","Mauritius","AFRO",0,337,0,10
"2020-06-13","MU","Mauritius","AFRO",0,337,0,10
"2020-06-14","MU","Mauritius","AFRO",0,337,0,10
"2020-06-15","MU","Mauritius","AFRO",0,337,0,10
"2020-06-16","MU","Mauritius","AFRO",0,337,0,10
"2020-06-17","MU","Mauritius","AFRO",0,337,0,10
"2020-06-18","MU","Mauritius","AFRO",0,337,0,10
"2020-06-19","MU","Mauritius","AFRO",0,337,0,10
"2020-06-20","MU","Mauritius","AFRO",0,337,0,10
"2020-06-21","MU","Mauritius","AFRO",0,337,0,10
"2020-06-22","MU","Mauritius","AFRO",0,337,0,10
"2020-06-23","MU","Mauritius","AFRO",3,340,0,10
"2020-06-24","MU","Mauritius","AFRO",0,340,0,10
"2020-06-25","MU","Mauritius","AFRO",1,341,0,10
"2020-06-26","MU","Mauritius","AFRO",0,341,0,10
"2020-06-27","MU","Mauritius","AFRO",0,341,0,10
"2020-06-28","MU","Mauritius","AFRO",0,341,0,10
"2020-06-29","MU","Mauritius","AFRO",0,341,0,10
"2020-06-30","MU","Mauritius","AFRO",0,341,0,10
"2020-07-01","MU","Mauritius","AFRO",0,341,0,10
"2020-07-02","MU","Mauritius","AFRO",0,341,0,10
"2020-07-03","MU","Mauritius","AFRO",0,341,0,10
"2020-07-04","MU","Mauritius","AFRO",0,341,0,10
"2020-07-05","MU","Mauritius","AFRO",0,341,0,10
"2020-07-06","MU","Mauritius","AFRO",0,341,0,10
"2020-07-07","MU","Mauritius","AFRO",1,342,0,10
"2020-07-08","MU","Mauritius","AFRO",0,342,0,10
"2020-07-09","MU","Mauritius","AFRO",0,342,0,10
"2020-07-10","MU","Mauritius","AFRO",0,342,0,10
"2020-07-11","MU","Mauritius","AFRO",0,342,0,10
"2020-07-12","MU","Mauritius","AFRO",0,342,0,10
"2020-07-13","MU","Mauritius","AFRO",0,342,0,10
"2020-07-14","MU","Mauritius","AFRO",1,343,0,10
"2020-07-15","MU","Mauritius","AFRO",0,343,0,10
"2020-07-16","MU","Mauritius","AFRO",0,343,0,10
"2020-07-17","MU","Mauritius","AFRO",0,343,0,10
"2020-07-18","MU","Mauritius","AFRO",0,343,0,10
"2020-07-19","MU","Mauritius","AFRO",0,343,0,10
"2020-07-20","MU","Mauritius","AFRO",0,343,0,10
"2020-07-21","MU","Mauritius","AFRO",0,343,0,10
"2020-07-22","MU","Mauritius","AFRO",0,343,0,10
"2020-07-23","MU","Mauritius","AFRO",0,343,0,10
"2020-07-24","MU","Mauritius","AFRO",0,343,0,10
"2020-07-25","MU","Mauritius","AFRO",1,344,0,10
"2020-07-26","MU","Mauritius","AFRO",0,344,0,10
"2020-07-27","MU","Mauritius","AFRO",0,344,0,10
"2020-07-28","MU","Mauritius","AFRO",0,344,0,10
"2020-07-29","MU","Mauritius","AFRO",0,344,0,10
"2020-07-30","MU","Mauritius","AFRO",0,344,0,10
"2020-07-31","MU","Mauritius","AFRO",0,344,0,10
"2020-08-01","MU","Mauritius","AFRO",0,344,0,10
"2020-08-02","MU","Mauritius","AFRO",0,344,0,10
"2020-08-03","MU","Mauritius","AFRO",0,344,0,10
"2020-08-04","MU","Mauritius","AFRO",0,344,0,10
"2020-08-05","MU","Mauritius","AFRO",0,344,0,10
"2020-08-06","MU","Mauritius","AFRO",0,344,0,10
"2020-08-07","MU","Mauritius","AFRO",0,344,0,10
"2020-08-08","MU","Mauritius","AFRO",0,344,0,10
"2020-08-09","MU","Mauritius","AFRO",0,344,0,10
"2020-08-10","MU","Mauritius","AFRO",0,344,0,10
"2020-08-11","MU","Mauritius","AFRO",0,344,0,10
"2020-08-12","MU","Mauritius","AFRO",0,344,0,10
"2020-08-13","MU","Mauritius","AFRO",0,344,0,10
"2020-08-14","MU","Mauritius","AFRO",0,344,0,10
"2020-08-15","MU","Mauritius","AFRO",0,344,0,10
"2020-08-16","MU","Mauritius","AFRO",2,346,0,10
"2020-08-17","MU","Mauritius","AFRO",0,346,0,10
"2020-08-18","MU","Mauritius","AFRO",0,346,0,10
"2020-08-19","MU","Mauritius","AFRO",0,346,0,10
"2020-08-20","MU","Mauritius","AFRO",0,346,0,10
"2020-08-21","MU","Mauritius","AFRO",0,346,0,10
"2020-08-22","MU","Mauritius","AFRO",0,346,0,10
"2020-08-23","MU","Mauritius","AFRO",0,346,0,10
"2020-08-24","MU","Mauritius","AFRO",0,346,0,10
"2020-08-25","MU","Mauritius","AFRO",0,346,0,10
"2020-08-26","MU","Mauritius","AFRO",0,346,0,10
"2020-08-27","MU","Mauritius","AFRO",0,346,0,10
"2020-08-28","MU","Mauritius","AFRO",0,346,0,10
"2020-08-29","MU","Mauritius","AFRO",0,346,0,10
"2020-08-30","MU","Mauritius","AFRO",0,346,0,10
"2020-08-31","MU","Mauritius","AFRO",0,346,0,10
"2020-09-01","MU","Mauritius","AFRO",10,356,0,10
