"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","YT","Mayotte","AFRO",0,0,0,0
"2020-01-04","YT","Mayotte","AFRO",0,0,0,0
"2020-01-05","YT","Mayotte","AFRO",0,0,0,0
"2020-01-06","YT","Mayotte","AFRO",0,0,0,0
"2020-01-07","YT","Mayotte","AFRO",0,0,0,0
"2020-01-08","YT","Mayotte","AFRO",0,0,0,0
"2020-01-09","YT","Mayotte","AFRO",0,0,0,0
"2020-01-10","YT","Mayotte","AFRO",0,0,0,0
"2020-01-11","YT","Mayotte","AFRO",0,0,0,0
"2020-01-12","YT","Mayotte","AFRO",0,0,0,0
"2020-01-13","YT","Mayotte","AFRO",0,0,0,0
"2020-01-14","YT","Mayotte","AFRO",0,0,0,0
"2020-01-15","YT","Mayotte","AFRO",0,0,0,0
"2020-01-16","YT","Mayotte","AFRO",0,0,0,0
"2020-01-17","YT","Mayotte","AFRO",0,0,0,0
"2020-01-18","YT","Mayotte","AFRO",0,0,0,0
"2020-01-19","YT","Mayotte","AFRO",0,0,0,0
"2020-01-20","YT","Mayotte","AFRO",0,0,0,0
"2020-01-21","YT","Mayotte","AFRO",0,0,0,0
"2020-01-22","YT","Mayotte","AFRO",0,0,0,0
"2020-01-23","YT","Mayotte","AFRO",0,0,0,0
"2020-01-24","YT","Mayotte","AFRO",0,0,0,0
"2020-01-25","YT","Mayotte","AFRO",0,0,0,0
"2020-01-26","YT","Mayotte","AFRO",0,0,0,0
"2020-01-27","YT","Mayotte","AFRO",0,0,0,0
"2020-01-28","YT","Mayotte","AFRO",0,0,0,0
"2020-01-29","YT","Mayotte","AFRO",0,0,0,0
"2020-01-30","YT","Mayotte","AFRO",0,0,0,0
"2020-01-31","YT","Mayotte","AFRO",0,0,0,0
"2020-02-01","YT","Mayotte","AFRO",0,0,0,0
"2020-02-02","YT","Mayotte","AFRO",0,0,0,0
"2020-02-03","YT","Mayotte","AFRO",0,0,0,0
"2020-02-04","YT","Mayotte","AFRO",0,0,0,0
"2020-02-05","YT","Mayotte","AFRO",0,0,0,0
"2020-02-06","YT","Mayotte","AFRO",0,0,0,0
"2020-02-07","YT","Mayotte","AFRO",0,0,0,0
"2020-02-08","YT","Mayotte","AFRO",0,0,0,0
"2020-02-09","YT","Mayotte","AFRO",0,0,0,0
"2020-02-10","YT","Mayotte","AFRO",0,0,0,0
"2020-02-11","YT","Mayotte","AFRO",0,0,0,0
"2020-02-12","YT","Mayotte","AFRO",0,0,0,0
"2020-02-13","YT","Mayotte","AFRO",0,0,0,0
"2020-02-14","YT","Mayotte","AFRO",0,0,0,0
"2020-02-15","YT","Mayotte","AFRO",0,0,0,0
"2020-02-16","YT","Mayotte","AFRO",0,0,0,0
"2020-02-17","YT","Mayotte","AFRO",0,0,0,0
"2020-02-18","YT","Mayotte","AFRO",0,0,0,0
"2020-02-19","YT","Mayotte","AFRO",0,0,0,0
"2020-02-20","YT","Mayotte","AFRO",0,0,0,0
"2020-02-21","YT","Mayotte","AFRO",0,0,0,0
"2020-02-22","YT","Mayotte","AFRO",0,0,0,0
"2020-02-23","YT","Mayotte","AFRO",0,0,0,0
"2020-02-24","YT","Mayotte","AFRO",0,0,0,0
"2020-02-25","YT","Mayotte","AFRO",0,0,0,0
"2020-02-26","YT","Mayotte","AFRO",0,0,0,0
"2020-02-27","YT","Mayotte","AFRO",0,0,0,0
"2020-02-28","YT","Mayotte","AFRO",0,0,0,0
"2020-02-29","YT","Mayotte","AFRO",0,0,0,0
"2020-03-01","YT","Mayotte","AFRO",0,0,0,0
"2020-03-02","YT","Mayotte","AFRO",0,0,0,0
"2020-03-03","YT","Mayotte","AFRO",0,0,0,0
"2020-03-04","YT","Mayotte","AFRO",0,0,0,0
"2020-03-05","YT","Mayotte","AFRO",0,0,0,0
"2020-03-06","YT","Mayotte","AFRO",0,0,0,0
"2020-03-07","YT","Mayotte","AFRO",0,0,0,0
"2020-03-08","YT","Mayotte","AFRO",0,0,0,0
"2020-03-09","YT","Mayotte","AFRO",0,0,0,0
"2020-03-10","YT","Mayotte","AFRO",0,0,0,0
"2020-03-11","YT","Mayotte","AFRO",0,0,0,0
"2020-03-12","YT","Mayotte","AFRO",0,0,0,0
"2020-03-13","YT","Mayotte","AFRO",0,0,0,0
"2020-03-14","YT","Mayotte","AFRO",5,5,0,0
"2020-03-15","YT","Mayotte","AFRO",0,5,0,0
"2020-03-16","YT","Mayotte","AFRO",0,5,0,0
"2020-03-17","YT","Mayotte","AFRO",0,5,0,0
"2020-03-18","YT","Mayotte","AFRO",2,7,0,0
"2020-03-19","YT","Mayotte","AFRO",1,8,0,0
"2020-03-20","YT","Mayotte","AFRO",0,8,0,0
"2020-03-21","YT","Mayotte","AFRO",3,11,0,0
"2020-03-22","YT","Mayotte","AFRO",0,11,0,0
"2020-03-23","YT","Mayotte","AFRO",3,14,0,0
"2020-03-24","YT","Mayotte","AFRO",10,24,0,0
"2020-03-25","YT","Mayotte","AFRO",6,30,0,0
"2020-03-26","YT","Mayotte","AFRO",5,35,0,0
"2020-03-27","YT","Mayotte","AFRO",15,50,0,0
"2020-03-28","YT","Mayotte","AFRO",0,50,0,0
"2020-03-29","YT","Mayotte","AFRO",0,50,0,0
"2020-03-30","YT","Mayotte","AFRO",32,82,0,0
"2020-03-31","YT","Mayotte","AFRO",0,82,0,0
"2020-04-01","YT","Mayotte","AFRO",19,101,0,0
"2020-04-02","YT","Mayotte","AFRO",15,116,2,2
"2020-04-03","YT","Mayotte","AFRO",12,128,0,2
"2020-04-04","YT","Mayotte","AFRO",0,128,0,2
"2020-04-05","YT","Mayotte","AFRO",19,147,0,2
"2020-04-06","YT","Mayotte","AFRO",0,147,0,2
"2020-04-07","YT","Mayotte","AFRO",17,164,0,2
"2020-04-08","YT","Mayotte","AFRO",20,184,0,2
"2020-04-09","YT","Mayotte","AFRO",2,186,0,2
"2020-04-10","YT","Mayotte","AFRO",5,191,0,2
"2020-04-11","YT","Mayotte","AFRO",0,191,0,2
"2020-04-12","YT","Mayotte","AFRO",0,191,0,2
"2020-04-13","YT","Mayotte","AFRO",16,207,1,3
"2020-04-14","YT","Mayotte","AFRO",0,207,0,3
"2020-04-15","YT","Mayotte","AFRO",10,217,0,3
"2020-04-16","YT","Mayotte","AFRO",4,221,0,3
"2020-04-17","YT","Mayotte","AFRO",12,233,0,3
"2020-04-18","YT","Mayotte","AFRO",12,245,1,4
"2020-04-19","YT","Mayotte","AFRO",0,245,0,4
"2020-04-20","YT","Mayotte","AFRO",39,284,0,4
"2020-04-21","YT","Mayotte","AFRO",0,284,0,4
"2020-04-22","YT","Mayotte","AFRO",27,311,0,4
"2020-04-23","YT","Mayotte","AFRO",15,326,0,4
"2020-04-24","YT","Mayotte","AFRO",13,339,0,4
"2020-04-25","YT","Mayotte","AFRO",15,354,0,4
"2020-04-26","YT","Mayotte","AFRO",0,354,0,4
"2020-04-27","YT","Mayotte","AFRO",47,401,0,4
"2020-04-28","YT","Mayotte","AFRO",32,433,0,4
"2020-04-29","YT","Mayotte","AFRO",27,460,0,4
"2020-04-30","YT","Mayotte","AFRO",0,460,0,4
"2020-05-01","YT","Mayotte","AFRO",79,539,0,4
"2020-05-02","YT","Mayotte","AFRO",0,539,0,4
"2020-05-03","YT","Mayotte","AFRO",57,596,2,6
"2020-05-04","YT","Mayotte","AFRO",54,650,0,6
"2020-05-05","YT","Mayotte","AFRO",36,686,0,6
"2020-05-06","YT","Mayotte","AFRO",53,739,3,9
"2020-05-07","YT","Mayotte","AFRO",0,739,0,9
"2020-05-08","YT","Mayotte","AFRO",115,854,1,10
"2020-05-09","YT","Mayotte","AFRO",36,890,1,11
"2020-05-10","YT","Mayotte","AFRO",0,890,0,11
"2020-05-11","YT","Mayotte","AFRO",133,1023,0,11
"2020-05-12","YT","Mayotte","AFRO",38,1061,1,12
"2020-05-13","YT","Mayotte","AFRO",34,1095,0,12
"2020-05-14","YT","Mayotte","AFRO",48,1143,2,14
"2020-05-15","YT","Mayotte","AFRO",67,1210,2,16
"2020-05-16","YT","Mayotte","AFRO",48,1258,0,16
"2020-05-17","YT","Mayotte","AFRO",0,1258,0,16
"2020-05-18","YT","Mayotte","AFRO",84,1342,2,18
"2020-05-19","YT","Mayotte","AFRO",28,1370,0,18
"2020-05-20","YT","Mayotte","AFRO",49,1419,1,19
"2020-05-21","YT","Mayotte","AFRO",56,1475,0,19
"2020-05-22","YT","Mayotte","AFRO",19,1494,0,19
"2020-05-23","YT","Mayotte","AFRO",27,1521,0,19
"2020-05-24","YT","Mayotte","AFRO",0,1521,0,19
"2020-05-25","YT","Mayotte","AFRO",66,1587,1,20
"2020-05-26","YT","Mayotte","AFRO",22,1609,0,20
"2020-05-27","YT","Mayotte","AFRO",25,1634,0,20
"2020-05-28","YT","Mayotte","AFRO",11,1645,0,20
"2020-05-29","YT","Mayotte","AFRO",25,1670,1,21
"2020-05-30","YT","Mayotte","AFRO",29,1699,0,21
"2020-05-31","YT","Mayotte","AFRO",44,1743,0,21
"2020-06-01","YT","Mayotte","AFRO",128,1871,2,23
"2020-06-02","YT","Mayotte","AFRO",63,1934,1,24
"2020-06-03","YT","Mayotte","AFRO",52,1986,0,24
"2020-06-04","YT","Mayotte","AFRO",7,1993,0,24
"2020-06-05","YT","Mayotte","AFRO",65,2058,1,25
"2020-06-06","YT","Mayotte","AFRO",21,2079,0,25
"2020-06-07","YT","Mayotte","AFRO",0,2079,0,25
"2020-06-08","YT","Mayotte","AFRO",0,2079,0,25
"2020-06-09","YT","Mayotte","AFRO",72,2151,1,26
"2020-06-10","YT","Mayotte","AFRO",24,2175,2,28
"2020-06-11","YT","Mayotte","AFRO",31,2206,0,28
"2020-06-12","YT","Mayotte","AFRO",34,2240,0,28
"2020-06-13","YT","Mayotte","AFRO",28,2268,0,28
"2020-06-14","YT","Mayotte","AFRO",14,2282,1,29
"2020-06-15","YT","Mayotte","AFRO",0,2282,0,29
"2020-06-16","YT","Mayotte","AFRO",28,2310,-1,28
"2020-06-17","YT","Mayotte","AFRO",23,2333,1,29
"2020-06-18","YT","Mayotte","AFRO",12,2345,0,29
"2020-06-19","YT","Mayotte","AFRO",38,2383,0,29
"2020-06-20","YT","Mayotte","AFRO",11,2394,0,29
"2020-06-21","YT","Mayotte","AFRO",10,2404,2,31
"2020-06-22","YT","Mayotte","AFRO",0,2404,0,31
"2020-06-23","YT","Mayotte","AFRO",30,2434,1,32
"2020-06-24","YT","Mayotte","AFRO",18,2452,0,32
"2020-06-25","YT","Mayotte","AFRO",15,2467,2,34
"2020-06-26","YT","Mayotte","AFRO",41,2508,0,34
"2020-06-27","YT","Mayotte","AFRO",18,2526,0,34
"2020-06-28","YT","Mayotte","AFRO",14,2540,1,35
"2020-06-29","YT","Mayotte","AFRO",0,2540,0,35
"2020-06-30","YT","Mayotte","AFRO",63,2603,0,35
"2020-07-01","YT","Mayotte","AFRO",0,2603,0,35
"2020-07-02","YT","Mayotte","AFRO",40,2643,0,35
"2020-07-03","YT","Mayotte","AFRO",0,2643,0,35
"2020-07-04","YT","Mayotte","AFRO",18,2661,1,36
"2020-07-05","YT","Mayotte","AFRO",7,2668,0,36
"2020-07-06","YT","Mayotte","AFRO",0,2668,0,36
"2020-07-07","YT","Mayotte","AFRO",11,2679,0,36
"2020-07-08","YT","Mayotte","AFRO",9,2688,0,36
"2020-07-09","YT","Mayotte","AFRO",0,2688,0,36
"2020-07-10","YT","Mayotte","AFRO",14,2702,1,37
"2020-07-11","YT","Mayotte","AFRO",9,2711,0,37
"2020-07-12","YT","Mayotte","AFRO",0,2711,0,37
"2020-07-13","YT","Mayotte","AFRO",0,2711,0,37
"2020-07-14","YT","Mayotte","AFRO",13,2724,0,37
"2020-07-15","YT","Mayotte","AFRO",0,2724,0,37
"2020-07-16","YT","Mayotte","AFRO",19,2743,0,37
"2020-07-17","YT","Mayotte","AFRO",39,2782,0,37
"2020-07-18","YT","Mayotte","AFRO",0,2782,0,37
"2020-07-19","YT","Mayotte","AFRO",0,2782,0,37
"2020-07-20","YT","Mayotte","AFRO",0,2782,0,37
"2020-07-21","YT","Mayotte","AFRO",26,2808,1,38
"2020-07-22","YT","Mayotte","AFRO",16,2824,0,38
"2020-07-23","YT","Mayotte","AFRO",15,2839,0,38
"2020-07-24","YT","Mayotte","AFRO",23,2862,0,38
"2020-07-25","YT","Mayotte","AFRO",11,2873,0,38
"2020-07-26","YT","Mayotte","AFRO",0,2873,0,38
"2020-07-27","YT","Mayotte","AFRO",0,2873,0,38
"2020-07-28","YT","Mayotte","AFRO",27,2900,0,38
"2020-07-29","YT","Mayotte","AFRO",5,2905,1,39
"2020-07-30","YT","Mayotte","AFRO",0,2905,0,39
"2020-07-31","YT","Mayotte","AFRO",57,2962,0,39
"2020-08-01","YT","Mayotte","AFRO",0,2962,0,39
"2020-08-02","YT","Mayotte","AFRO",0,2962,0,39
"2020-08-03","YT","Mayotte","AFRO",0,2962,0,39
"2020-08-04","YT","Mayotte","AFRO",46,3008,0,39
"2020-08-05","YT","Mayotte","AFRO",15,3023,0,39
"2020-08-06","YT","Mayotte","AFRO",8,3031,0,39
"2020-08-07","YT","Mayotte","AFRO",11,3042,0,39
"2020-08-08","YT","Mayotte","AFRO",26,3068,0,39
"2020-08-09","YT","Mayotte","AFRO",0,3068,0,39
"2020-08-10","YT","Mayotte","AFRO",0,3068,0,39
"2020-08-11","YT","Mayotte","AFRO",0,3068,0,39
"2020-08-12","YT","Mayotte","AFRO",23,3091,0,39
"2020-08-13","YT","Mayotte","AFRO",0,3091,0,39
"2020-08-14","YT","Mayotte","AFRO",28,3119,0,39
"2020-08-15","YT","Mayotte","AFRO",0,3119,0,39
"2020-08-16","YT","Mayotte","AFRO",0,3119,0,39
"2020-08-17","YT","Mayotte","AFRO",0,3119,0,39
"2020-08-18","YT","Mayotte","AFRO",41,3160,0,39
"2020-08-19","YT","Mayotte","AFRO",0,3160,0,39
"2020-08-20","YT","Mayotte","AFRO",0,3160,0,39
"2020-08-21","YT","Mayotte","AFRO",0,3160,0,39
"2020-08-22","YT","Mayotte","AFRO",77,3237,0,39
"2020-08-23","YT","Mayotte","AFRO",0,3237,0,39
"2020-08-24","YT","Mayotte","AFRO",0,3237,0,39
"2020-08-25","YT","Mayotte","AFRO",0,3237,0,39
"2020-08-26","YT","Mayotte","AFRO",0,3237,0,39
"2020-08-27","YT","Mayotte","AFRO",0,3237,0,39
"2020-08-28","YT","Mayotte","AFRO",64,3301,1,40
"2020-08-29","YT","Mayotte","AFRO",0,3301,0,40
"2020-08-30","YT","Mayotte","AFRO",0,3301,0,40
"2020-08-31","YT","Mayotte","AFRO",0,3301,0,40
"2020-09-01","YT","Mayotte","AFRO",0,3301,0,40
"2020-09-02","YT","Mayotte","AFRO",0,3301,0,40
"2020-09-03","YT","Mayotte","AFRO",0,3301,0,40
"2020-09-04","YT","Mayotte","AFRO",73,3374,0,40
"2020-09-05","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-06","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-07","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-08","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-09","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-10","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-11","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-12","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-13","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-14","YT","Mayotte","AFRO",0,3374,0,40
"2020-09-15","YT","Mayotte","AFRO",167,3541,0,40
"2020-09-16","YT","Mayotte","AFRO",0,3541,0,40
"2020-09-17","YT","Mayotte","AFRO",0,3541,0,40
"2020-09-18","YT","Mayotte","AFRO",0,3541,0,40
"2020-09-19","YT","Mayotte","AFRO",0,3541,0,40
"2020-09-20","YT","Mayotte","AFRO",0,3541,0,40
