"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-04","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-05","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-06","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-07","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-08","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-09","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-10","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-11","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-12","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-13","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-14","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-15","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-16","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-17","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-18","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-19","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-20","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-21","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-22","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-23","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-24","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-25","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-26","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-27","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-28","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-29","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-30","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-01-31","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-01","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-02","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-03","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-04","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-05","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-06","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-07","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-08","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-09","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-10","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-11","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-12","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-13","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-14","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-15","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-16","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-17","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-18","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-19","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-20","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-21","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-22","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-23","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-24","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-25","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-26","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-27","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-28","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-02-29","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
"2020-03-01","FM","Micronesia (Federated States of)","WPRO",0,0,0,0
