"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MC","Monaco","EURO",0,0,0,0
"2020-01-04","MC","Monaco","EURO",0,0,0,0
"2020-01-05","MC","Monaco","EURO",0,0,0,0
"2020-01-06","MC","Monaco","EURO",0,0,0,0
"2020-01-07","MC","Monaco","EURO",0,0,0,0
"2020-01-08","MC","Monaco","EURO",0,0,0,0
"2020-01-09","MC","Monaco","EURO",0,0,0,0
"2020-01-10","MC","Monaco","EURO",0,0,0,0
"2020-01-11","MC","Monaco","EURO",0,0,0,0
"2020-01-12","MC","Monaco","EURO",0,0,0,0
"2020-01-13","MC","Monaco","EURO",0,0,0,0
"2020-01-14","MC","Monaco","EURO",0,0,0,0
"2020-01-15","MC","Monaco","EURO",0,0,0,0
"2020-01-16","MC","Monaco","EURO",0,0,0,0
"2020-01-17","MC","Monaco","EURO",0,0,0,0
"2020-01-18","MC","Monaco","EURO",0,0,0,0
"2020-01-19","MC","Monaco","EURO",0,0,0,0
"2020-01-20","MC","Monaco","EURO",0,0,0,0
"2020-01-21","MC","Monaco","EURO",0,0,0,0
"2020-01-22","MC","Monaco","EURO",0,0,0,0
"2020-01-23","MC","Monaco","EURO",0,0,0,0
"2020-01-24","MC","Monaco","EURO",0,0,0,0
"2020-01-25","MC","Monaco","EURO",0,0,0,0
"2020-01-26","MC","Monaco","EURO",0,0,0,0
"2020-01-27","MC","Monaco","EURO",0,0,0,0
"2020-01-28","MC","Monaco","EURO",0,0,0,0
"2020-01-29","MC","Monaco","EURO",0,0,0,0
"2020-01-30","MC","Monaco","EURO",0,0,0,0
"2020-01-31","MC","Monaco","EURO",0,0,0,0
"2020-02-01","MC","Monaco","EURO",0,0,0,0
"2020-02-02","MC","Monaco","EURO",0,0,0,0
"2020-02-03","MC","Monaco","EURO",0,0,0,0
"2020-02-04","MC","Monaco","EURO",0,0,0,0
"2020-02-05","MC","Monaco","EURO",0,0,0,0
"2020-02-06","MC","Monaco","EURO",0,0,0,0
"2020-02-07","MC","Monaco","EURO",0,0,0,0
"2020-02-08","MC","Monaco","EURO",0,0,0,0
"2020-02-09","MC","Monaco","EURO",0,0,0,0
"2020-02-10","MC","Monaco","EURO",0,0,0,0
"2020-02-11","MC","Monaco","EURO",0,0,0,0
"2020-02-12","MC","Monaco","EURO",0,0,0,0
"2020-02-13","MC","Monaco","EURO",0,0,0,0
"2020-02-14","MC","Monaco","EURO",0,0,0,0
"2020-02-15","MC","Monaco","EURO",0,0,0,0
"2020-02-16","MC","Monaco","EURO",0,0,0,0
"2020-02-17","MC","Monaco","EURO",0,0,0,0
"2020-02-18","MC","Monaco","EURO",0,0,0,0
"2020-02-19","MC","Monaco","EURO",0,0,0,0
"2020-02-20","MC","Monaco","EURO",0,0,0,0
"2020-02-21","MC","Monaco","EURO",0,0,0,0
"2020-02-22","MC","Monaco","EURO",0,0,0,0
"2020-02-23","MC","Monaco","EURO",0,0,0,0
"2020-02-24","MC","Monaco","EURO",0,0,0,0
"2020-02-25","MC","Monaco","EURO",0,0,0,0
"2020-02-26","MC","Monaco","EURO",0,0,0,0
"2020-02-27","MC","Monaco","EURO",0,0,0,0
"2020-02-28","MC","Monaco","EURO",0,0,0,0
"2020-02-29","MC","Monaco","EURO",0,0,0,0
"2020-03-01","MC","Monaco","EURO",1,1,0,0
"2020-03-02","MC","Monaco","EURO",0,1,0,0
"2020-03-03","MC","Monaco","EURO",0,1,0,0
"2020-03-04","MC","Monaco","EURO",0,1,0,0
"2020-03-05","MC","Monaco","EURO",0,1,0,0
"2020-03-06","MC","Monaco","EURO",0,1,0,0
"2020-03-07","MC","Monaco","EURO",0,1,0,0
"2020-03-08","MC","Monaco","EURO",0,1,0,0
"2020-03-09","MC","Monaco","EURO",0,1,0,0
"2020-03-10","MC","Monaco","EURO",0,1,0,0
"2020-03-11","MC","Monaco","EURO",0,1,0,0
"2020-03-12","MC","Monaco","EURO",1,2,0,0
"2020-03-13","MC","Monaco","EURO",0,2,0,0
"2020-03-14","MC","Monaco","EURO",1,3,0,0
"2020-03-15","MC","Monaco","EURO",4,7,0,0
"2020-03-16","MC","Monaco","EURO",2,9,0,0
"2020-03-17","MC","Monaco","EURO",0,9,0,0
"2020-03-18","MC","Monaco","EURO",0,9,0,0
"2020-03-19","MC","Monaco","EURO",0,9,0,0
"2020-03-20","MC","Monaco","EURO",3,12,0,0
