"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MN","Mongolia","WPRO",0,0,0,0
"2020-01-04","MN","Mongolia","WPRO",0,0,0,0
"2020-01-05","MN","Mongolia","WPRO",0,0,0,0
"2020-01-06","MN","Mongolia","WPRO",0,0,0,0
"2020-01-07","MN","Mongolia","WPRO",0,0,0,0
"2020-01-08","MN","Mongolia","WPRO",0,0,0,0
"2020-01-09","MN","Mongolia","WPRO",0,0,0,0
"2020-01-10","MN","Mongolia","WPRO",0,0,0,0
"2020-01-11","MN","Mongolia","WPRO",0,0,0,0
"2020-01-12","MN","Mongolia","WPRO",0,0,0,0
"2020-01-13","MN","Mongolia","WPRO",0,0,0,0
"2020-01-14","MN","Mongolia","WPRO",0,0,0,0
"2020-01-15","MN","Mongolia","WPRO",0,0,0,0
"2020-01-16","MN","Mongolia","WPRO",0,0,0,0
"2020-01-17","MN","Mongolia","WPRO",0,0,0,0
"2020-01-18","MN","Mongolia","WPRO",0,0,0,0
"2020-01-19","MN","Mongolia","WPRO",0,0,0,0
"2020-01-20","MN","Mongolia","WPRO",0,0,0,0
"2020-01-21","MN","Mongolia","WPRO",0,0,0,0
"2020-01-22","MN","Mongolia","WPRO",0,0,0,0
"2020-01-23","MN","Mongolia","WPRO",0,0,0,0
"2020-01-24","MN","Mongolia","WPRO",0,0,0,0
"2020-01-25","MN","Mongolia","WPRO",0,0,0,0
"2020-01-26","MN","Mongolia","WPRO",0,0,0,0
"2020-01-27","MN","Mongolia","WPRO",0,0,0,0
"2020-01-28","MN","Mongolia","WPRO",0,0,0,0
"2020-01-29","MN","Mongolia","WPRO",0,0,0,0
"2020-01-30","MN","Mongolia","WPRO",0,0,0,0
"2020-01-31","MN","Mongolia","WPRO",0,0,0,0
"2020-02-01","MN","Mongolia","WPRO",0,0,0,0
"2020-02-02","MN","Mongolia","WPRO",0,0,0,0
"2020-02-03","MN","Mongolia","WPRO",0,0,0,0
