"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ME","Montenegro","EURO",0,0,0,0
"2020-01-04","ME","Montenegro","EURO",0,0,0,0
"2020-01-05","ME","Montenegro","EURO",0,0,0,0
"2020-01-06","ME","Montenegro","EURO",0,0,0,0
"2020-01-07","ME","Montenegro","EURO",0,0,0,0
"2020-01-08","ME","Montenegro","EURO",0,0,0,0
"2020-01-09","ME","Montenegro","EURO",0,0,0,0
"2020-01-10","ME","Montenegro","EURO",0,0,0,0
"2020-01-11","ME","Montenegro","EURO",0,0,0,0
"2020-01-12","ME","Montenegro","EURO",0,0,0,0
"2020-01-13","ME","Montenegro","EURO",0,0,0,0
"2020-01-14","ME","Montenegro","EURO",0,0,0,0
"2020-01-15","ME","Montenegro","EURO",0,0,0,0
"2020-01-16","ME","Montenegro","EURO",0,0,0,0
"2020-01-17","ME","Montenegro","EURO",0,0,0,0
"2020-01-18","ME","Montenegro","EURO",0,0,0,0
"2020-01-19","ME","Montenegro","EURO",0,0,0,0
"2020-01-20","ME","Montenegro","EURO",0,0,0,0
"2020-01-21","ME","Montenegro","EURO",0,0,0,0
"2020-01-22","ME","Montenegro","EURO",0,0,0,0
"2020-01-23","ME","Montenegro","EURO",0,0,0,0
"2020-01-24","ME","Montenegro","EURO",0,0,0,0
"2020-01-25","ME","Montenegro","EURO",0,0,0,0
"2020-01-26","ME","Montenegro","EURO",0,0,0,0
"2020-01-27","ME","Montenegro","EURO",0,0,0,0
"2020-01-28","ME","Montenegro","EURO",0,0,0,0
"2020-01-29","ME","Montenegro","EURO",0,0,0,0
"2020-01-30","ME","Montenegro","EURO",0,0,0,0
"2020-01-31","ME","Montenegro","EURO",0,0,0,0
"2020-02-01","ME","Montenegro","EURO",0,0,0,0
"2020-02-02","ME","Montenegro","EURO",0,0,0,0
"2020-02-03","ME","Montenegro","EURO",0,0,0,0
"2020-02-04","ME","Montenegro","EURO",0,0,0,0
"2020-02-05","ME","Montenegro","EURO",0,0,0,0
"2020-02-06","ME","Montenegro","EURO",0,0,0,0
"2020-02-07","ME","Montenegro","EURO",0,0,0,0
"2020-02-08","ME","Montenegro","EURO",0,0,0,0
"2020-02-09","ME","Montenegro","EURO",0,0,0,0
"2020-02-10","ME","Montenegro","EURO",0,0,0,0
"2020-02-11","ME","Montenegro","EURO",0,0,0,0
"2020-02-12","ME","Montenegro","EURO",0,0,0,0
"2020-02-13","ME","Montenegro","EURO",0,0,0,0
"2020-02-14","ME","Montenegro","EURO",0,0,0,0
"2020-02-15","ME","Montenegro","EURO",0,0,0,0
"2020-02-16","ME","Montenegro","EURO",0,0,0,0
"2020-02-17","ME","Montenegro","EURO",0,0,0,0
"2020-02-18","ME","Montenegro","EURO",0,0,0,0
"2020-02-19","ME","Montenegro","EURO",0,0,0,0
"2020-02-20","ME","Montenegro","EURO",0,0,0,0
"2020-02-21","ME","Montenegro","EURO",0,0,0,0
"2020-02-22","ME","Montenegro","EURO",0,0,0,0
"2020-02-23","ME","Montenegro","EURO",0,0,0,0
"2020-02-24","ME","Montenegro","EURO",0,0,0,0
"2020-02-25","ME","Montenegro","EURO",0,0,0,0
"2020-02-26","ME","Montenegro","EURO",0,0,0,0
"2020-02-27","ME","Montenegro","EURO",0,0,0,0
"2020-02-28","ME","Montenegro","EURO",0,0,0,0
"2020-02-29","ME","Montenegro","EURO",0,0,0,0
"2020-03-01","ME","Montenegro","EURO",0,0,0,0
"2020-03-02","ME","Montenegro","EURO",0,0,0,0
