"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MA","Morocco","EMRO",0,0,0,0
"2020-01-04","MA","Morocco","EMRO",0,0,0,0
"2020-01-05","MA","Morocco","EMRO",0,0,0,0
"2020-01-06","MA","Morocco","EMRO",0,0,0,0
"2020-01-07","MA","Morocco","EMRO",0,0,0,0
"2020-01-08","MA","Morocco","EMRO",0,0,0,0
"2020-01-09","MA","Morocco","EMRO",0,0,0,0
"2020-01-10","MA","Morocco","EMRO",0,0,0,0
"2020-01-11","MA","Morocco","EMRO",0,0,0,0
"2020-01-12","MA","Morocco","EMRO",0,0,0,0
"2020-01-13","MA","Morocco","EMRO",0,0,0,0
"2020-01-14","MA","Morocco","EMRO",0,0,0,0
"2020-01-15","MA","Morocco","EMRO",0,0,0,0
"2020-01-16","MA","Morocco","EMRO",0,0,0,0
"2020-01-17","MA","Morocco","EMRO",0,0,0,0
"2020-01-18","MA","Morocco","EMRO",0,0,0,0
"2020-01-19","MA","Morocco","EMRO",0,0,0,0
"2020-01-20","MA","Morocco","EMRO",0,0,0,0
"2020-01-21","MA","Morocco","EMRO",0,0,0,0
"2020-01-22","MA","Morocco","EMRO",0,0,0,0
"2020-01-23","MA","Morocco","EMRO",0,0,0,0
"2020-01-24","MA","Morocco","EMRO",0,0,0,0
"2020-01-25","MA","Morocco","EMRO",0,0,0,0
"2020-01-26","MA","Morocco","EMRO",0,0,0,0
"2020-01-27","MA","Morocco","EMRO",0,0,0,0
"2020-01-28","MA","Morocco","EMRO",0,0,0,0
"2020-01-29","MA","Morocco","EMRO",0,0,0,0
"2020-01-30","MA","Morocco","EMRO",0,0,0,0
"2020-01-31","MA","Morocco","EMRO",0,0,0,0
"2020-02-01","MA","Morocco","EMRO",0,0,0,0
"2020-02-02","MA","Morocco","EMRO",0,0,0,0
"2020-02-03","MA","Morocco","EMRO",0,0,0,0
"2020-02-04","MA","Morocco","EMRO",0,0,0,0
"2020-02-05","MA","Morocco","EMRO",0,0,0,0
"2020-02-06","MA","Morocco","EMRO",0,0,0,0
"2020-02-07","MA","Morocco","EMRO",0,0,0,0
"2020-02-08","MA","Morocco","EMRO",0,0,0,0
"2020-02-09","MA","Morocco","EMRO",0,0,0,0
"2020-02-10","MA","Morocco","EMRO",0,0,0,0
"2020-02-11","MA","Morocco","EMRO",0,0,0,0
"2020-02-12","MA","Morocco","EMRO",0,0,0,0
"2020-02-13","MA","Morocco","EMRO",0,0,0,0
"2020-02-14","MA","Morocco","EMRO",0,0,0,0
"2020-02-15","MA","Morocco","EMRO",0,0,0,0
"2020-02-16","MA","Morocco","EMRO",0,0,0,0
"2020-02-17","MA","Morocco","EMRO",0,0,0,0
"2020-02-18","MA","Morocco","EMRO",0,0,0,0
"2020-02-19","MA","Morocco","EMRO",0,0,0,0
"2020-02-20","MA","Morocco","EMRO",0,0,0,0
"2020-02-21","MA","Morocco","EMRO",0,0,0,0
"2020-02-22","MA","Morocco","EMRO",0,0,0,0
"2020-02-23","MA","Morocco","EMRO",0,0,0,0
"2020-02-24","MA","Morocco","EMRO",0,0,0,0
"2020-02-25","MA","Morocco","EMRO",0,0,0,0
"2020-02-26","MA","Morocco","EMRO",0,0,0,0
"2020-02-27","MA","Morocco","EMRO",0,0,0,0
"2020-02-28","MA","Morocco","EMRO",0,0,0,0
"2020-02-29","MA","Morocco","EMRO",0,0,0,0
"2020-03-01","MA","Morocco","EMRO",0,0,0,0
"2020-03-02","MA","Morocco","EMRO",5,5,0,0
"2020-03-03","MA","Morocco","EMRO",0,5,0,0
"2020-03-04","MA","Morocco","EMRO",0,5,0,0
"2020-03-05","MA","Morocco","EMRO",1,6,0,0
"2020-03-06","MA","Morocco","EMRO",0,6,0,0
"2020-03-07","MA","Morocco","EMRO",0,6,0,0
"2020-03-08","MA","Morocco","EMRO",0,6,0,0
"2020-03-09","MA","Morocco","EMRO",0,6,0,0
"2020-03-10","MA","Morocco","EMRO",1,7,1,1
"2020-03-11","MA","Morocco","EMRO",2,9,0,1
"2020-03-12","MA","Morocco","EMRO",1,10,0,1
"2020-03-13","MA","Morocco","EMRO",0,10,0,1
"2020-03-14","MA","Morocco","EMRO",12,22,0,1
"2020-03-15","MA","Morocco","EMRO",10,32,0,1
"2020-03-16","MA","Morocco","EMRO",1,33,0,1
"2020-03-17","MA","Morocco","EMRO",9,42,1,2
"2020-03-18","MA","Morocco","EMRO",11,53,0,2
"2020-03-19","MA","Morocco","EMRO",12,65,0,2
"2020-03-20","MA","Morocco","EMRO",9,74,1,3
"2020-03-21","MA","Morocco","EMRO",12,86,0,3
"2020-03-22","MA","Morocco","EMRO",23,109,0,3
"2020-03-23","MA","Morocco","EMRO",25,134,1,4
