"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-04","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-05","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-06","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-07","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-08","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-09","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-10","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-11","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-12","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-13","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-14","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-15","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-16","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-17","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-18","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-19","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-20","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-21","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-22","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-23","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-24","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-25","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-26","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-27","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-28","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-29","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-30","MZ","Mozambique","AFRO",0,0,0,0
"2020-01-31","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-01","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-02","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-03","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-04","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-05","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-06","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-07","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-08","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-09","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-10","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-11","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-12","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-13","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-14","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-15","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-16","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-17","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-18","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-19","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-20","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-21","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-22","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-23","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-24","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-25","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-26","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-27","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-28","MZ","Mozambique","AFRO",0,0,0,0
"2020-02-29","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-01","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-02","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-03","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-04","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-05","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-06","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-07","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-08","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-09","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-10","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-11","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-12","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-13","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-14","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-15","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-16","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-17","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-18","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-19","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-20","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-21","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-22","MZ","Mozambique","AFRO",0,0,0,0
"2020-03-23","MZ","Mozambique","AFRO",1,1,0,0
"2020-03-24","MZ","Mozambique","AFRO",0,1,0,0
"2020-03-25","MZ","Mozambique","AFRO",2,3,0,0
"2020-03-26","MZ","Mozambique","AFRO",2,5,0,0
"2020-03-27","MZ","Mozambique","AFRO",0,5,0,0
"2020-03-28","MZ","Mozambique","AFRO",2,7,0,0
"2020-03-29","MZ","Mozambique","AFRO",1,8,0,0
"2020-03-30","MZ","Mozambique","AFRO",0,8,0,0
"2020-03-31","MZ","Mozambique","AFRO",0,8,0,0
"2020-04-01","MZ","Mozambique","AFRO",0,8,0,0
"2020-04-02","MZ","Mozambique","AFRO",2,10,0,0
"2020-04-03","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-04","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-05","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-06","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-07","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-08","MZ","Mozambique","AFRO",0,10,0,0
"2020-04-09","MZ","Mozambique","AFRO",7,17,0,0
"2020-04-10","MZ","Mozambique","AFRO",0,17,0,0
"2020-04-11","MZ","Mozambique","AFRO",3,20,0,0
"2020-04-12","MZ","Mozambique","AFRO",0,20,0,0
"2020-04-13","MZ","Mozambique","AFRO",0,20,0,0
"2020-04-14","MZ","Mozambique","AFRO",1,21,0,0
"2020-04-15","MZ","Mozambique","AFRO",7,28,0,0
"2020-04-16","MZ","Mozambique","AFRO",0,28,0,0
"2020-04-17","MZ","Mozambique","AFRO",1,29,0,0
"2020-04-18","MZ","Mozambique","AFRO",2,31,0,0
"2020-04-19","MZ","Mozambique","AFRO",0,31,0,0
"2020-04-20","MZ","Mozambique","AFRO",4,35,0,0
"2020-04-21","MZ","Mozambique","AFRO",0,35,0,0
"2020-04-22","MZ","Mozambique","AFRO",4,39,0,0
"2020-04-23","MZ","Mozambique","AFRO",2,41,0,0
"2020-04-24","MZ","Mozambique","AFRO",0,41,0,0
"2020-04-25","MZ","Mozambique","AFRO",24,65,0,0
"2020-04-26","MZ","Mozambique","AFRO",5,70,0,0
"2020-04-27","MZ","Mozambique","AFRO",6,76,0,0
"2020-04-28","MZ","Mozambique","AFRO",0,76,0,0
"2020-04-29","MZ","Mozambique","AFRO",0,76,0,0
"2020-04-30","MZ","Mozambique","AFRO",0,76,0,0
"2020-05-01","MZ","Mozambique","AFRO",0,76,0,0
"2020-05-02","MZ","Mozambique","AFRO",3,79,0,0
"2020-05-03","MZ","Mozambique","AFRO",0,79,0,0
"2020-05-04","MZ","Mozambique","AFRO",1,80,0,0
"2020-05-05","MZ","Mozambique","AFRO",0,80,0,0
"2020-05-06","MZ","Mozambique","AFRO",0,80,0,0
"2020-05-07","MZ","Mozambique","AFRO",1,81,0,0
"2020-05-08","MZ","Mozambique","AFRO",0,81,0,0
"2020-05-09","MZ","Mozambique","AFRO",1,82,0,0
"2020-05-10","MZ","Mozambique","AFRO",5,87,0,0
"2020-05-11","MZ","Mozambique","AFRO",4,91,0,0
"2020-05-12","MZ","Mozambique","AFRO",12,103,0,0
"2020-05-13","MZ","Mozambique","AFRO",1,104,0,0
"2020-05-14","MZ","Mozambique","AFRO",3,107,0,0
"2020-05-15","MZ","Mozambique","AFRO",8,115,0,0
"2020-05-16","MZ","Mozambique","AFRO",4,119,0,0
"2020-05-17","MZ","Mozambique","AFRO",10,129,0,0
"2020-05-18","MZ","Mozambique","AFRO",8,137,0,0
"2020-05-19","MZ","Mozambique","AFRO",8,145,0,0
"2020-05-20","MZ","Mozambique","AFRO",1,146,0,0
"2020-05-21","MZ","Mozambique","AFRO",10,156,0,0
"2020-05-22","MZ","Mozambique","AFRO",6,162,0,0
"2020-05-23","MZ","Mozambique","AFRO",2,164,0,0
"2020-05-24","MZ","Mozambique","AFRO",4,168,0,0
"2020-05-25","MZ","Mozambique","AFRO",26,194,0,0
"2020-05-26","MZ","Mozambique","AFRO",15,209,1,1
"2020-05-27","MZ","Mozambique","AFRO",4,213,0,1
"2020-05-28","MZ","Mozambique","AFRO",14,227,0,1
"2020-05-29","MZ","Mozambique","AFRO",6,233,1,2
"2020-05-30","MZ","Mozambique","AFRO",1,234,0,2
"2020-05-31","MZ","Mozambique","AFRO",10,244,0,2
"2020-06-01","MZ","Mozambique","AFRO",10,254,0,2
"2020-06-02","MZ","Mozambique","AFRO",0,254,0,2
"2020-06-03","MZ","Mozambique","AFRO",53,307,0,2
"2020-06-04","MZ","Mozambique","AFRO",9,316,0,2
"2020-06-05","MZ","Mozambique","AFRO",36,352,0,2
"2020-06-06","MZ","Mozambique","AFRO",0,352,0,2
"2020-06-07","MZ","Mozambique","AFRO",57,409,0,2
"2020-06-08","MZ","Mozambique","AFRO",15,424,0,2
"2020-06-09","MZ","Mozambique","AFRO",9,433,0,2
"2020-06-10","MZ","Mozambique","AFRO",20,453,0,2
"2020-06-11","MZ","Mozambique","AFRO",19,472,0,2
"2020-06-12","MZ","Mozambique","AFRO",17,489,0,2
"2020-06-13","MZ","Mozambique","AFRO",20,509,0,2
"2020-06-14","MZ","Mozambique","AFRO",44,553,0,2
"2020-06-15","MZ","Mozambique","AFRO",30,583,0,2
"2020-06-16","MZ","Mozambique","AFRO",26,609,1,3
"2020-06-17","MZ","Mozambique","AFRO",29,638,1,4
"2020-06-18","MZ","Mozambique","AFRO",13,651,0,4
"2020-06-19","MZ","Mozambique","AFRO",11,662,0,4
"2020-06-20","MZ","Mozambique","AFRO",6,668,0,4
"2020-06-21","MZ","Mozambique","AFRO",20,688,0,4
"2020-06-22","MZ","Mozambique","AFRO",45,733,1,5
"2020-06-23","MZ","Mozambique","AFRO",4,737,0,5
"2020-06-24","MZ","Mozambique","AFRO",20,757,0,5
"2020-06-25","MZ","Mozambique","AFRO",5,762,0,5
"2020-06-26","MZ","Mozambique","AFRO",26,788,0,5
"2020-06-27","MZ","Mozambique","AFRO",0,788,0,5
"2020-06-28","MZ","Mozambique","AFRO",51,839,0,5
"2020-06-29","MZ","Mozambique","AFRO",20,859,0,5
"2020-06-30","MZ","Mozambique","AFRO",24,883,0,5
"2020-07-01","MZ","Mozambique","AFRO",6,889,1,6
"2020-07-02","MZ","Mozambique","AFRO",14,903,0,6
"2020-07-03","MZ","Mozambique","AFRO",15,918,0,6
"2020-07-04","MZ","Mozambique","AFRO",21,939,0,6
"2020-07-05","MZ","Mozambique","AFRO",30,969,1,7
"2020-07-06","MZ","Mozambique","AFRO",18,987,1,8
"2020-07-07","MZ","Mozambique","AFRO",25,1012,0,8
"2020-07-08","MZ","Mozambique","AFRO",28,1040,0,8
"2020-07-09","MZ","Mozambique","AFRO",31,1071,0,8
"2020-07-10","MZ","Mozambique","AFRO",21,1092,1,9
"2020-07-11","MZ","Mozambique","AFRO",19,1111,0,9
"2020-07-12","MZ","Mozambique","AFRO",24,1135,0,9
"2020-07-13","MZ","Mozambique","AFRO",22,1157,0,9
"2020-07-14","MZ","Mozambique","AFRO",62,1219,0,9
"2020-07-15","MZ","Mozambique","AFRO",49,1268,0,9
"2020-07-16","MZ","Mozambique","AFRO",62,1330,0,9
"2020-07-17","MZ","Mozambique","AFRO",53,1383,0,9
"2020-07-18","MZ","Mozambique","AFRO",19,1402,0,9
"2020-07-19","MZ","Mozambique","AFRO",33,1435,1,10
"2020-07-20","MZ","Mozambique","AFRO",56,1491,0,10
"2020-07-21","MZ","Mozambique","AFRO",16,1507,1,11
"2020-07-22","MZ","Mozambique","AFRO",29,1536,0,11
"2020-07-23","MZ","Mozambique","AFRO",21,1557,0,11
"2020-07-24","MZ","Mozambique","AFRO",25,1582,0,11
"2020-07-25","MZ","Mozambique","AFRO",8,1590,0,11
"2020-07-26","MZ","Mozambique","AFRO",26,1616,0,11
"2020-07-27","MZ","Mozambique","AFRO",53,1669,0,11
"2020-07-28","MZ","Mozambique","AFRO",32,1701,0,11
"2020-07-29","MZ","Mozambique","AFRO",19,1720,0,11
"2020-07-30","MZ","Mozambique","AFRO",28,1748,0,11
"2020-07-31","MZ","Mozambique","AFRO",60,1808,0,11
"2020-08-01","MZ","Mozambique","AFRO",56,1864,0,11
