"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03",NA,"Namibia","AFRO",0,0,0,0
"2020-01-04",NA,"Namibia","AFRO",0,0,0,0
"2020-01-05",NA,"Namibia","AFRO",0,0,0,0
"2020-01-06",NA,"Namibia","AFRO",0,0,0,0
"2020-01-07",NA,"Namibia","AFRO",0,0,0,0
"2020-01-08",NA,"Namibia","AFRO",0,0,0,0
"2020-01-09",NA,"Namibia","AFRO",0,0,0,0
"2020-01-10",NA,"Namibia","AFRO",0,0,0,0
"2020-01-11",NA,"Namibia","AFRO",0,0,0,0
"2020-01-12",NA,"Namibia","AFRO",0,0,0,0
"2020-01-13",NA,"Namibia","AFRO",0,0,0,0
"2020-01-14",NA,"Namibia","AFRO",0,0,0,0
"2020-01-15",NA,"Namibia","AFRO",0,0,0,0
"2020-01-16",NA,"Namibia","AFRO",0,0,0,0
"2020-01-17",NA,"Namibia","AFRO",0,0,0,0
"2020-01-18",NA,"Namibia","AFRO",0,0,0,0
"2020-01-19",NA,"Namibia","AFRO",0,0,0,0
"2020-01-20",NA,"Namibia","AFRO",0,0,0,0
"2020-01-21",NA,"Namibia","AFRO",0,0,0,0
"2020-01-22",NA,"Namibia","AFRO",0,0,0,0
"2020-01-23",NA,"Namibia","AFRO",0,0,0,0
"2020-01-24",NA,"Namibia","AFRO",0,0,0,0
"2020-01-25",NA,"Namibia","AFRO",0,0,0,0
"2020-01-26",NA,"Namibia","AFRO",0,0,0,0
"2020-01-27",NA,"Namibia","AFRO",0,0,0,0
"2020-01-28",NA,"Namibia","AFRO",0,0,0,0
"2020-01-29",NA,"Namibia","AFRO",0,0,0,0
"2020-01-30",NA,"Namibia","AFRO",0,0,0,0
"2020-01-31",NA,"Namibia","AFRO",0,0,0,0
"2020-02-01",NA,"Namibia","AFRO",0,0,0,0
"2020-02-02",NA,"Namibia","AFRO",0,0,0,0
"2020-02-03",NA,"Namibia","AFRO",0,0,0,0
"2020-02-04",NA,"Namibia","AFRO",0,0,0,0
"2020-02-05",NA,"Namibia","AFRO",0,0,0,0
"2020-02-06",NA,"Namibia","AFRO",0,0,0,0
"2020-02-07",NA,"Namibia","AFRO",0,0,0,0
"2020-02-08",NA,"Namibia","AFRO",0,0,0,0
"2020-02-09",NA,"Namibia","AFRO",0,0,0,0
"2020-02-10",NA,"Namibia","AFRO",0,0,0,0
"2020-02-11",NA,"Namibia","AFRO",0,0,0,0
"2020-02-12",NA,"Namibia","AFRO",0,0,0,0
"2020-02-13",NA,"Namibia","AFRO",0,0,0,0
"2020-02-14",NA,"Namibia","AFRO",0,0,0,0
"2020-02-15",NA,"Namibia","AFRO",0,0,0,0
"2020-02-16",NA,"Namibia","AFRO",0,0,0,0
"2020-02-17",NA,"Namibia","AFRO",0,0,0,0
"2020-02-18",NA,"Namibia","AFRO",0,0,0,0
"2020-02-19",NA,"Namibia","AFRO",0,0,0,0
"2020-02-20",NA,"Namibia","AFRO",0,0,0,0
"2020-02-21",NA,"Namibia","AFRO",0,0,0,0
"2020-02-22",NA,"Namibia","AFRO",0,0,0,0
"2020-02-23",NA,"Namibia","AFRO",0,0,0,0
"2020-02-24",NA,"Namibia","AFRO",0,0,0,0
"2020-02-25",NA,"Namibia","AFRO",0,0,0,0
"2020-02-26",NA,"Namibia","AFRO",0,0,0,0
"2020-02-27",NA,"Namibia","AFRO",0,0,0,0
"2020-02-28",NA,"Namibia","AFRO",0,0,0,0
"2020-02-29",NA,"Namibia","AFRO",0,0,0,0
"2020-03-01",NA,"Namibia","AFRO",0,0,0,0
"2020-03-02",NA,"Namibia","AFRO",0,0,0,0
"2020-03-03",NA,"Namibia","AFRO",0,0,0,0
"2020-03-04",NA,"Namibia","AFRO",0,0,0,0
"2020-03-05",NA,"Namibia","AFRO",0,0,0,0
"2020-03-06",NA,"Namibia","AFRO",0,0,0,0
"2020-03-07",NA,"Namibia","AFRO",0,0,0,0
"2020-03-08",NA,"Namibia","AFRO",0,0,0,0
"2020-03-09",NA,"Namibia","AFRO",0,0,0,0
"2020-03-10",NA,"Namibia","AFRO",0,0,0,0
"2020-03-11",NA,"Namibia","AFRO",0,0,0,0
"2020-03-12",NA,"Namibia","AFRO",0,0,0,0
"2020-03-13",NA,"Namibia","AFRO",0,0,0,0
"2020-03-14",NA,"Namibia","AFRO",6,6,0,0
"2020-03-15",NA,"Namibia","AFRO",0,6,0,0
"2020-03-16",NA,"Namibia","AFRO",0,6,0,0
"2020-03-17",NA,"Namibia","AFRO",0,6,0,0
"2020-03-18",NA,"Namibia","AFRO",0,6,0,0
"2020-03-19",NA,"Namibia","AFRO",1,7,0,0
"2020-03-20",NA,"Namibia","AFRO",0,7,0,0
"2020-03-21",NA,"Namibia","AFRO",0,7,0,0
"2020-03-22",NA,"Namibia","AFRO",0,7,0,0
"2020-03-23",NA,"Namibia","AFRO",0,7,0,0
"2020-03-24",NA,"Namibia","AFRO",0,7,0,0
"2020-03-25",NA,"Namibia","AFRO",-3,4,0,0
"2020-03-26",NA,"Namibia","AFRO",4,8,0,0
"2020-03-27",NA,"Namibia","AFRO",0,8,0,0
"2020-03-28",NA,"Namibia","AFRO",0,8,0,0
"2020-03-29",NA,"Namibia","AFRO",3,11,0,0
"2020-03-30",NA,"Namibia","AFRO",0,11,0,0
"2020-03-31",NA,"Namibia","AFRO",0,11,0,0
"2020-04-01",NA,"Namibia","AFRO",0,11,0,0
"2020-04-02",NA,"Namibia","AFRO",2,13,0,0
"2020-04-03",NA,"Namibia","AFRO",0,13,0,0
"2020-04-04",NA,"Namibia","AFRO",0,13,0,0
"2020-04-05",NA,"Namibia","AFRO",1,14,0,0
"2020-04-06",NA,"Namibia","AFRO",2,16,0,0
"2020-04-07",NA,"Namibia","AFRO",0,16,0,0
"2020-04-08",NA,"Namibia","AFRO",0,16,0,0
"2020-04-09",NA,"Namibia","AFRO",0,16,0,0
"2020-04-10",NA,"Namibia","AFRO",0,16,0,0
"2020-04-11",NA,"Namibia","AFRO",0,16,0,0
"2020-04-12",NA,"Namibia","AFRO",0,16,0,0
"2020-04-13",NA,"Namibia","AFRO",0,16,0,0
"2020-04-14",NA,"Namibia","AFRO",0,16,0,0
"2020-04-15",NA,"Namibia","AFRO",0,16,0,0
"2020-04-16",NA,"Namibia","AFRO",0,16,0,0
"2020-04-17",NA,"Namibia","AFRO",0,16,0,0
"2020-04-18",NA,"Namibia","AFRO",0,16,0,0
"2020-04-19",NA,"Namibia","AFRO",0,16,0,0
"2020-04-20",NA,"Namibia","AFRO",0,16,0,0
"2020-04-21",NA,"Namibia","AFRO",0,16,0,0
"2020-04-22",NA,"Namibia","AFRO",0,16,0,0
"2020-04-23",NA,"Namibia","AFRO",0,16,0,0
"2020-04-24",NA,"Namibia","AFRO",0,16,0,0
"2020-04-25",NA,"Namibia","AFRO",0,16,0,0
"2020-04-26",NA,"Namibia","AFRO",0,16,0,0
"2020-04-27",NA,"Namibia","AFRO",0,16,0,0
"2020-04-28",NA,"Namibia","AFRO",0,16,0,0
"2020-04-29",NA,"Namibia","AFRO",0,16,0,0
"2020-04-30",NA,"Namibia","AFRO",0,16,0,0
"2020-05-01",NA,"Namibia","AFRO",0,16,0,0
"2020-05-02",NA,"Namibia","AFRO",0,16,0,0
"2020-05-03",NA,"Namibia","AFRO",0,16,0,0
"2020-05-04",NA,"Namibia","AFRO",0,16,0,0
"2020-05-05",NA,"Namibia","AFRO",0,16,0,0
"2020-05-06",NA,"Namibia","AFRO",0,16,0,0
"2020-05-07",NA,"Namibia","AFRO",0,16,0,0
"2020-05-08",NA,"Namibia","AFRO",0,16,0,0
"2020-05-09",NA,"Namibia","AFRO",0,16,0,0
"2020-05-10",NA,"Namibia","AFRO",0,16,0,0
"2020-05-11",NA,"Namibia","AFRO",0,16,0,0
"2020-05-12",NA,"Namibia","AFRO",0,16,0,0
"2020-05-13",NA,"Namibia","AFRO",0,16,0,0
"2020-05-14",NA,"Namibia","AFRO",0,16,0,0
"2020-05-15",NA,"Namibia","AFRO",0,16,0,0
"2020-05-16",NA,"Namibia","AFRO",0,16,0,0
"2020-05-17",NA,"Namibia","AFRO",0,16,0,0
"2020-05-18",NA,"Namibia","AFRO",0,16,0,0
"2020-05-19",NA,"Namibia","AFRO",0,16,0,0
"2020-05-20",NA,"Namibia","AFRO",0,16,0,0
"2020-05-21",NA,"Namibia","AFRO",0,16,0,0
"2020-05-22",NA,"Namibia","AFRO",2,18,0,0
"2020-05-23",NA,"Namibia","AFRO",1,19,0,0
"2020-05-24",NA,"Namibia","AFRO",1,20,0,0
"2020-05-25",NA,"Namibia","AFRO",1,21,0,0
"2020-05-26",NA,"Namibia","AFRO",0,21,0,0
"2020-05-27",NA,"Namibia","AFRO",0,21,0,0
"2020-05-28",NA,"Namibia","AFRO",1,22,0,0
"2020-05-29",NA,"Namibia","AFRO",0,22,0,0
"2020-05-30",NA,"Namibia","AFRO",1,23,0,0
"2020-05-31",NA,"Namibia","AFRO",0,23,0,0
"2020-06-01",NA,"Namibia","AFRO",1,24,0,0
"2020-06-02",NA,"Namibia","AFRO",1,25,0,0
"2020-06-03",NA,"Namibia","AFRO",0,25,0,0
"2020-06-04",NA,"Namibia","AFRO",0,25,0,0
"2020-06-05",NA,"Namibia","AFRO",0,25,0,0
"2020-06-06",NA,"Namibia","AFRO",0,25,0,0
"2020-06-07",NA,"Namibia","AFRO",4,29,0,0
"2020-06-08",NA,"Namibia","AFRO",0,29,0,0
"2020-06-09",NA,"Namibia","AFRO",2,31,0,0
"2020-06-10",NA,"Namibia","AFRO",0,31,0,0
"2020-06-11",NA,"Namibia","AFRO",0,31,0,0
"2020-06-12",NA,"Namibia","AFRO",0,31,0,0
"2020-06-13",NA,"Namibia","AFRO",0,31,0,0
"2020-06-14",NA,"Namibia","AFRO",1,32,0,0
"2020-06-15",NA,"Namibia","AFRO",0,32,0,0
"2020-06-16",NA,"Namibia","AFRO",0,32,0,0
"2020-06-17",NA,"Namibia","AFRO",2,34,0,0
"2020-06-18",NA,"Namibia","AFRO",0,34,0,0
"2020-06-19",NA,"Namibia","AFRO",5,39,0,0
"2020-06-20",NA,"Namibia","AFRO",6,45,0,0
"2020-06-21",NA,"Namibia","AFRO",1,46,0,0
"2020-06-22",NA,"Namibia","AFRO",9,55,0,0
"2020-06-23",NA,"Namibia","AFRO",8,63,0,0
"2020-06-24",NA,"Namibia","AFRO",9,72,0,0
"2020-06-25",NA,"Namibia","AFRO",4,76,0,0
"2020-06-26",NA,"Namibia","AFRO",26,102,0,0
"2020-06-27",NA,"Namibia","AFRO",0,102,0,0
"2020-06-28",NA,"Namibia","AFRO",34,136,0,0
"2020-06-29",NA,"Namibia","AFRO",14,150,0,0
"2020-06-30",NA,"Namibia","AFRO",33,183,0,0
"2020-07-01",NA,"Namibia","AFRO",20,203,0,0
"2020-07-02",NA,"Namibia","AFRO",82,285,0,0
"2020-07-03",NA,"Namibia","AFRO",8,293,0,0
"2020-07-04",NA,"Namibia","AFRO",57,350,0,0
"2020-07-05",NA,"Namibia","AFRO",25,375,0,0
"2020-07-06",NA,"Namibia","AFRO",37,412,0,0
"2020-07-07",NA,"Namibia","AFRO",73,485,0,0
"2020-07-08",NA,"Namibia","AFRO",54,539,0,0
"2020-07-09",NA,"Namibia","AFRO",54,593,0,0
"2020-07-10",NA,"Namibia","AFRO",22,615,0,0
"2020-07-11",NA,"Namibia","AFRO",53,668,1,1
"2020-07-12",NA,"Namibia","AFRO",45,713,0,1
