"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NR","Nauru","WPRO",0,0,0,0
"2020-01-04","NR","Nauru","WPRO",0,0,0,0
"2020-01-05","NR","Nauru","WPRO",0,0,0,0
"2020-01-06","NR","Nauru","WPRO",0,0,0,0
"2020-01-07","NR","Nauru","WPRO",0,0,0,0
"2020-01-08","NR","Nauru","WPRO",0,0,0,0
"2020-01-09","NR","Nauru","WPRO",0,0,0,0
"2020-01-10","NR","Nauru","WPRO",0,0,0,0
"2020-01-11","NR","Nauru","WPRO",0,0,0,0
"2020-01-12","NR","Nauru","WPRO",0,0,0,0
"2020-01-13","NR","Nauru","WPRO",0,0,0,0
"2020-01-14","NR","Nauru","WPRO",0,0,0,0
"2020-01-15","NR","Nauru","WPRO",0,0,0,0
"2020-01-16","NR","Nauru","WPRO",0,0,0,0
"2020-01-17","NR","Nauru","WPRO",0,0,0,0
"2020-01-18","NR","Nauru","WPRO",0,0,0,0
"2020-01-19","NR","Nauru","WPRO",0,0,0,0
"2020-01-20","NR","Nauru","WPRO",0,0,0,0
"2020-01-21","NR","Nauru","WPRO",0,0,0,0
"2020-01-22","NR","Nauru","WPRO",0,0,0,0
"2020-01-23","NR","Nauru","WPRO",0,0,0,0
"2020-01-24","NR","Nauru","WPRO",0,0,0,0
"2020-01-25","NR","Nauru","WPRO",0,0,0,0
"2020-01-26","NR","Nauru","WPRO",0,0,0,0
"2020-01-27","NR","Nauru","WPRO",0,0,0,0
"2020-01-28","NR","Nauru","WPRO",0,0,0,0
"2020-01-29","NR","Nauru","WPRO",0,0,0,0
"2020-01-30","NR","Nauru","WPRO",0,0,0,0
"2020-01-31","NR","Nauru","WPRO",0,0,0,0
"2020-02-01","NR","Nauru","WPRO",0,0,0,0
"2020-02-02","NR","Nauru","WPRO",0,0,0,0
"2020-02-03","NR","Nauru","WPRO",0,0,0,0
"2020-02-04","NR","Nauru","WPRO",0,0,0,0
"2020-02-05","NR","Nauru","WPRO",0,0,0,0
"2020-02-06","NR","Nauru","WPRO",0,0,0,0
"2020-02-07","NR","Nauru","WPRO",0,0,0,0
"2020-02-08","NR","Nauru","WPRO",0,0,0,0
"2020-02-09","NR","Nauru","WPRO",0,0,0,0
"2020-02-10","NR","Nauru","WPRO",0,0,0,0
"2020-02-11","NR","Nauru","WPRO",0,0,0,0
"2020-02-12","NR","Nauru","WPRO",0,0,0,0
"2020-02-13","NR","Nauru","WPRO",0,0,0,0
"2020-02-14","NR","Nauru","WPRO",0,0,0,0
"2020-02-15","NR","Nauru","WPRO",0,0,0,0
"2020-02-16","NR","Nauru","WPRO",0,0,0,0
"2020-02-17","NR","Nauru","WPRO",0,0,0,0
"2020-02-18","NR","Nauru","WPRO",0,0,0,0
"2020-02-19","NR","Nauru","WPRO",0,0,0,0
"2020-02-20","NR","Nauru","WPRO",0,0,0,0
"2020-02-21","NR","Nauru","WPRO",0,0,0,0
"2020-02-22","NR","Nauru","WPRO",0,0,0,0
"2020-02-23","NR","Nauru","WPRO",0,0,0,0
"2020-02-24","NR","Nauru","WPRO",0,0,0,0
"2020-02-25","NR","Nauru","WPRO",0,0,0,0
"2020-02-26","NR","Nauru","WPRO",0,0,0,0
"2020-02-27","NR","Nauru","WPRO",0,0,0,0
"2020-02-28","NR","Nauru","WPRO",0,0,0,0
"2020-02-29","NR","Nauru","WPRO",0,0,0,0
"2020-03-01","NR","Nauru","WPRO",0,0,0,0
"2020-03-02","NR","Nauru","WPRO",0,0,0,0
"2020-03-03","NR","Nauru","WPRO",0,0,0,0
"2020-03-04","NR","Nauru","WPRO",0,0,0,0
"2020-03-05","NR","Nauru","WPRO",0,0,0,0
