"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NP","Nepal","SEARO",0,0,0,0
"2020-01-04","NP","Nepal","SEARO",0,0,0,0
"2020-01-05","NP","Nepal","SEARO",0,0,0,0
"2020-01-06","NP","Nepal","SEARO",0,0,0,0
"2020-01-07","NP","Nepal","SEARO",0,0,0,0
"2020-01-08","NP","Nepal","SEARO",0,0,0,0
"2020-01-09","NP","Nepal","SEARO",0,0,0,0
"2020-01-10","NP","Nepal","SEARO",0,0,0,0
"2020-01-11","NP","Nepal","SEARO",0,0,0,0
"2020-01-12","NP","Nepal","SEARO",0,0,0,0
"2020-01-13","NP","Nepal","SEARO",0,0,0,0
"2020-01-14","NP","Nepal","SEARO",0,0,0,0
"2020-01-15","NP","Nepal","SEARO",0,0,0,0
"2020-01-16","NP","Nepal","SEARO",0,0,0,0
"2020-01-17","NP","Nepal","SEARO",0,0,0,0
"2020-01-18","NP","Nepal","SEARO",0,0,0,0
"2020-01-19","NP","Nepal","SEARO",0,0,0,0
"2020-01-20","NP","Nepal","SEARO",0,0,0,0
"2020-01-21","NP","Nepal","SEARO",0,0,0,0
"2020-01-22","NP","Nepal","SEARO",0,0,0,0
"2020-01-23","NP","Nepal","SEARO",5,5,0,0
"2020-01-24","NP","Nepal","SEARO",0,5,0,0
"2020-01-25","NP","Nepal","SEARO",0,5,0,0
"2020-01-26","NP","Nepal","SEARO",0,5,0,0
"2020-01-27","NP","Nepal","SEARO",0,5,0,0
"2020-01-28","NP","Nepal","SEARO",0,5,0,0
"2020-01-29","NP","Nepal","SEARO",0,5,0,0
"2020-01-30","NP","Nepal","SEARO",0,5,0,0
"2020-01-31","NP","Nepal","SEARO",0,5,0,0
"2020-02-01","NP","Nepal","SEARO",0,5,0,0
"2020-02-02","NP","Nepal","SEARO",0,5,0,0
"2020-02-03","NP","Nepal","SEARO",0,5,0,0
"2020-02-04","NP","Nepal","SEARO",0,5,0,0
"2020-02-05","NP","Nepal","SEARO",0,5,0,0
"2020-02-06","NP","Nepal","SEARO",0,5,0,0
"2020-02-07","NP","Nepal","SEARO",0,5,0,0
"2020-02-08","NP","Nepal","SEARO",0,5,0,0
"2020-02-09","NP","Nepal","SEARO",0,5,0,0
"2020-02-10","NP","Nepal","SEARO",0,5,0,0
"2020-02-11","NP","Nepal","SEARO",0,5,0,0
"2020-02-12","NP","Nepal","SEARO",0,5,0,0
"2020-02-13","NP","Nepal","SEARO",0,5,0,0
"2020-02-14","NP","Nepal","SEARO",0,5,0,0
"2020-02-15","NP","Nepal","SEARO",0,5,0,0
"2020-02-16","NP","Nepal","SEARO",0,5,0,0
"2020-02-17","NP","Nepal","SEARO",0,5,0,0
"2020-02-18","NP","Nepal","SEARO",0,5,0,0
"2020-02-19","NP","Nepal","SEARO",0,5,0,0
"2020-02-20","NP","Nepal","SEARO",0,5,0,0
"2020-02-21","NP","Nepal","SEARO",0,5,0,0
"2020-02-22","NP","Nepal","SEARO",0,5,0,0
"2020-02-23","NP","Nepal","SEARO",0,5,0,0
"2020-02-24","NP","Nepal","SEARO",0,5,0,0
"2020-02-25","NP","Nepal","SEARO",0,5,0,0
"2020-02-26","NP","Nepal","SEARO",0,5,0,0
"2020-02-27","NP","Nepal","SEARO",0,5,0,0
"2020-02-28","NP","Nepal","SEARO",0,5,0,0
"2020-02-29","NP","Nepal","SEARO",0,5,0,0
"2020-03-01","NP","Nepal","SEARO",0,5,0,0
"2020-03-02","NP","Nepal","SEARO",0,5,0,0
"2020-03-03","NP","Nepal","SEARO",0,5,0,0
"2020-03-04","NP","Nepal","SEARO",0,5,0,0
"2020-03-05","NP","Nepal","SEARO",0,5,0,0
"2020-03-06","NP","Nepal","SEARO",0,5,0,0
"2020-03-07","NP","Nepal","SEARO",0,5,0,0
"2020-03-08","NP","Nepal","SEARO",0,5,0,0
"2020-03-09","NP","Nepal","SEARO",0,5,0,0
"2020-03-10","NP","Nepal","SEARO",0,5,0,0
"2020-03-11","NP","Nepal","SEARO",0,5,0,0
"2020-03-12","NP","Nepal","SEARO",0,5,0,0
"2020-03-13","NP","Nepal","SEARO",0,5,0,0
"2020-03-14","NP","Nepal","SEARO",0,5,0,0
"2020-03-15","NP","Nepal","SEARO",0,5,0,0
"2020-03-16","NP","Nepal","SEARO",0,5,0,0
"2020-03-17","NP","Nepal","SEARO",0,5,0,0
"2020-03-18","NP","Nepal","SEARO",0,5,0,0
"2020-03-19","NP","Nepal","SEARO",0,5,0,0
"2020-03-20","NP","Nepal","SEARO",0,5,0,0
"2020-03-21","NP","Nepal","SEARO",0,5,0,0
"2020-03-22","NP","Nepal","SEARO",0,5,0,0
"2020-03-23","NP","Nepal","SEARO",0,5,0,0
"2020-03-24","NP","Nepal","SEARO",-3,2,0,0
"2020-03-25","NP","Nepal","SEARO",0,2,0,0
"2020-03-26","NP","Nepal","SEARO",1,3,0,0
"2020-03-27","NP","Nepal","SEARO",0,3,0,0
"2020-03-28","NP","Nepal","SEARO",0,3,0,0
"2020-03-29","NP","Nepal","SEARO",2,5,0,0
"2020-03-30","NP","Nepal","SEARO",0,5,0,0
"2020-03-31","NP","Nepal","SEARO",0,5,0,0
"2020-04-01","NP","Nepal","SEARO",0,5,0,0
"2020-04-02","NP","Nepal","SEARO",0,5,0,0
"2020-04-03","NP","Nepal","SEARO",1,6,0,0
"2020-04-04","NP","Nepal","SEARO",0,6,0,0
"2020-04-05","NP","Nepal","SEARO",3,9,0,0
"2020-04-06","NP","Nepal","SEARO",0,9,0,0
"2020-04-07","NP","Nepal","SEARO",0,9,0,0
"2020-04-08","NP","Nepal","SEARO",0,9,0,0
"2020-04-09","NP","Nepal","SEARO",0,9,0,0
