"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NL","Netherlands","EURO",0,0,0,0
"2020-01-04","NL","Netherlands","EURO",0,0,0,0
"2020-01-05","NL","Netherlands","EURO",0,0,0,0
"2020-01-06","NL","Netherlands","EURO",0,0,0,0
"2020-01-07","NL","Netherlands","EURO",0,0,0,0
"2020-01-08","NL","Netherlands","EURO",0,0,0,0
"2020-01-09","NL","Netherlands","EURO",0,0,0,0
"2020-01-10","NL","Netherlands","EURO",0,0,0,0
"2020-01-11","NL","Netherlands","EURO",0,0,0,0
"2020-01-12","NL","Netherlands","EURO",0,0,0,0
"2020-01-13","NL","Netherlands","EURO",0,0,0,0
"2020-01-14","NL","Netherlands","EURO",0,0,0,0
"2020-01-15","NL","Netherlands","EURO",0,0,0,0
"2020-01-16","NL","Netherlands","EURO",0,0,0,0
"2020-01-17","NL","Netherlands","EURO",0,0,0,0
"2020-01-18","NL","Netherlands","EURO",0,0,0,0
"2020-01-19","NL","Netherlands","EURO",0,0,0,0
"2020-01-20","NL","Netherlands","EURO",0,0,0,0
"2020-01-21","NL","Netherlands","EURO",0,0,0,0
"2020-01-22","NL","Netherlands","EURO",0,0,0,0
"2020-01-23","NL","Netherlands","EURO",0,0,0,0
"2020-01-24","NL","Netherlands","EURO",0,0,0,0
"2020-01-25","NL","Netherlands","EURO",0,0,0,0
"2020-01-26","NL","Netherlands","EURO",0,0,0,0
"2020-01-27","NL","Netherlands","EURO",0,0,0,0
"2020-01-28","NL","Netherlands","EURO",0,0,0,0
"2020-01-29","NL","Netherlands","EURO",0,0,0,0
"2020-01-30","NL","Netherlands","EURO",0,0,0,0
"2020-01-31","NL","Netherlands","EURO",0,0,0,0
"2020-02-01","NL","Netherlands","EURO",0,0,0,0
"2020-02-02","NL","Netherlands","EURO",0,0,0,0
"2020-02-03","NL","Netherlands","EURO",0,0,0,0
"2020-02-04","NL","Netherlands","EURO",0,0,0,0
"2020-02-05","NL","Netherlands","EURO",0,0,0,0
"2020-02-06","NL","Netherlands","EURO",0,0,0,0
"2020-02-07","NL","Netherlands","EURO",0,0,0,0
"2020-02-08","NL","Netherlands","EURO",0,0,0,0
"2020-02-09","NL","Netherlands","EURO",0,0,0,0
"2020-02-10","NL","Netherlands","EURO",0,0,0,0
"2020-02-11","NL","Netherlands","EURO",0,0,0,0
"2020-02-12","NL","Netherlands","EURO",0,0,0,0
"2020-02-13","NL","Netherlands","EURO",0,0,0,0
"2020-02-14","NL","Netherlands","EURO",0,0,0,0
"2020-02-15","NL","Netherlands","EURO",0,0,0,0
"2020-02-16","NL","Netherlands","EURO",0,0,0,0
"2020-02-17","NL","Netherlands","EURO",0,0,0,0
"2020-02-18","NL","Netherlands","EURO",0,0,0,0
"2020-02-19","NL","Netherlands","EURO",0,0,0,0
"2020-02-20","NL","Netherlands","EURO",0,0,0,0
"2020-02-21","NL","Netherlands","EURO",0,0,0,0
"2020-02-22","NL","Netherlands","EURO",0,0,0,0
"2020-02-23","NL","Netherlands","EURO",0,0,0,0
"2020-02-24","NL","Netherlands","EURO",0,0,0,0
"2020-02-25","NL","Netherlands","EURO",0,0,0,0
"2020-02-26","NL","Netherlands","EURO",0,0,0,0
"2020-02-27","NL","Netherlands","EURO",0,0,0,0
"2020-02-28","NL","Netherlands","EURO",1,1,0,0
"2020-02-29","NL","Netherlands","EURO",1,2,0,0
"2020-03-01","NL","Netherlands","EURO",5,7,0,0
"2020-03-02","NL","Netherlands","EURO",6,13,0,0
"2020-03-03","NL","Netherlands","EURO",5,18,0,0
"2020-03-04","NL","Netherlands","EURO",10,28,0,0
"2020-03-05","NL","Netherlands","EURO",10,38,0,0
"2020-03-06","NL","Netherlands","EURO",44,82,0,0
"2020-03-07","NL","Netherlands","EURO",46,128,1,1
"2020-03-08","NL","Netherlands","EURO",60,188,0,1
"2020-03-09","NL","Netherlands","EURO",77,265,2,3
