"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-04","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-05","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-06","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-07","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-08","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-09","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-10","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-11","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-12","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-13","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-14","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-15","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-16","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-17","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-18","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-19","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-20","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-21","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-22","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-23","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-24","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-25","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-26","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-27","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-28","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-29","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-30","NZ","New Zealand","WPRO",0,0,0,0
"2020-01-31","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-01","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-02","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-03","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-04","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-05","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-06","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-07","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-08","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-09","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-10","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-11","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-12","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-13","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-14","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-15","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-16","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-17","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-18","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-19","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-20","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-21","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-22","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-23","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-24","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-25","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-26","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-27","NZ","New Zealand","WPRO",0,0,0,0
"2020-02-28","NZ","New Zealand","WPRO",5,5,0,0
"2020-02-29","NZ","New Zealand","WPRO",0,5,0,0
"2020-03-01","NZ","New Zealand","WPRO",0,5,0,0
"2020-03-02","NZ","New Zealand","WPRO",0,5,0,0
"2020-03-03","NZ","New Zealand","WPRO",1,6,0,0
"2020-03-04","NZ","New Zealand","WPRO",0,6,0,0
"2020-03-05","NZ","New Zealand","WPRO",0,6,0,0
"2020-03-06","NZ","New Zealand","WPRO",2,8,0,0
"2020-03-07","NZ","New Zealand","WPRO",1,9,0,0
"2020-03-08","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-09","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-10","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-11","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-12","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-13","NZ","New Zealand","WPRO",0,9,0,0
"2020-03-14","NZ","New Zealand","WPRO",1,10,0,0
"2020-03-15","NZ","New Zealand","WPRO",0,10,0,0
"2020-03-16","NZ","New Zealand","WPRO",0,10,0,0
"2020-03-17","NZ","New Zealand","WPRO",5,15,0,0
"2020-03-18","NZ","New Zealand","WPRO",9,24,0,0
"2020-03-19","NZ","New Zealand","WPRO",15,39,0,0
"2020-03-20","NZ","New Zealand","WPRO",14,53,0,0
"2020-03-21","NZ","New Zealand","WPRO",13,66,0,0
"2020-03-22","NZ","New Zealand","WPRO",0,66,0,0
"2020-03-23","NZ","New Zealand","WPRO",36,102,0,0
"2020-03-24","NZ","New Zealand","WPRO",40,142,0,0
"2020-03-25","NZ","New Zealand","WPRO",47,189,0,0
"2020-03-26","NZ","New Zealand","WPRO",73,262,0,0
"2020-03-27","NZ","New Zealand","WPRO",76,338,0,0
"2020-03-28","NZ","New Zealand","WPRO",78,416,0,0
"2020-03-29","NZ","New Zealand","WPRO",60,476,1,1
"2020-03-30","NZ","New Zealand","WPRO",76,552,0,1
"2020-03-31","NZ","New Zealand","WPRO",48,600,0,1
"2020-04-01","NZ","New Zealand","WPRO",47,647,0,1
"2020-04-02","NZ","New Zealand","WPRO",76,723,0,1
"2020-04-03","NZ","New Zealand","WPRO",51,774,0,1
"2020-04-04","NZ","New Zealand","WPRO",50,824,0,1
"2020-04-05","NZ","New Zealand","WPRO",48,872,0,1
"2020-04-06","NZ","New Zealand","WPRO",39,911,0,1
"2020-04-07","NZ","New Zealand","WPRO",32,943,0,1
"2020-04-08","NZ","New Zealand","WPRO",26,969,0,1
"2020-04-09","NZ","New Zealand","WPRO",23,992,0,1
"2020-04-10","NZ","New Zealand","WPRO",23,1015,0,1
"2020-04-11","NZ","New Zealand","WPRO",20,1035,3,4
"2020-04-12","NZ","New Zealand","WPRO",14,1049,0,4
"2020-04-13","NZ","New Zealand","WPRO",15,1064,1,5
"2020-04-14","NZ","New Zealand","WPRO",8,1072,4,9
"2020-04-15","NZ","New Zealand","WPRO",6,1078,0,9
"2020-04-16","NZ","New Zealand","WPRO",6,1084,0,9
"2020-04-17","NZ","New Zealand","WPRO",2,1086,2,11
"2020-04-18","NZ","New Zealand","WPRO",8,1094,0,11
"2020-04-19","NZ","New Zealand","WPRO",4,1098,0,11
"2020-04-20","NZ","New Zealand","WPRO",7,1105,1,12
"2020-04-21","NZ","New Zealand","WPRO",2,1107,1,13
"2020-04-22","NZ","New Zealand","WPRO",5,1112,1,14
"2020-04-23","NZ","New Zealand","WPRO",0,1112,2,16
"2020-04-24","NZ","New Zealand","WPRO",2,1114,1,17
"2020-04-25","NZ","New Zealand","WPRO",3,1117,1,18
"2020-04-26","NZ","New Zealand","WPRO",4,1121,0,18
