"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-04","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-05","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-06","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-07","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-08","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-09","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-10","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-11","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-12","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-13","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-14","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-15","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-16","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-17","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-18","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-19","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-20","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-21","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-22","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-23","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-24","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-25","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-26","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-27","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-28","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-29","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-30","NI","Nicaragua","AMRO",0,0,0,0
"2020-01-31","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-01","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-02","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-03","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-04","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-05","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-06","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-07","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-08","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-09","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-10","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-11","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-12","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-13","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-14","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-15","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-16","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-17","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-18","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-19","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-20","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-21","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-22","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-23","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-24","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-25","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-26","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-27","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-28","NI","Nicaragua","AMRO",0,0,0,0
"2020-02-29","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-01","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-02","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-03","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-04","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-05","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-06","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-07","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-08","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-09","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-10","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-11","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-12","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-13","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-14","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-15","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-16","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-17","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-18","NI","Nicaragua","AMRO",0,0,0,0
"2020-03-19","NI","Nicaragua","AMRO",1,1,0,0
"2020-03-20","NI","Nicaragua","AMRO",0,1,0,0
"2020-03-21","NI","Nicaragua","AMRO",1,2,0,0
"2020-03-22","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-23","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-24","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-25","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-26","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-27","NI","Nicaragua","AMRO",0,2,0,0
"2020-03-28","NI","Nicaragua","AMRO",0,2,1,1
"2020-03-29","NI","Nicaragua","AMRO",2,4,0,1
"2020-03-30","NI","Nicaragua","AMRO",0,4,0,1
"2020-03-31","NI","Nicaragua","AMRO",0,4,0,1
"2020-04-01","NI","Nicaragua","AMRO",0,4,0,1
"2020-04-02","NI","Nicaragua","AMRO",1,5,0,1
"2020-04-03","NI","Nicaragua","AMRO",0,5,0,1
"2020-04-04","NI","Nicaragua","AMRO",0,5,0,1
"2020-04-05","NI","Nicaragua","AMRO",0,5,0,1
"2020-04-06","NI","Nicaragua","AMRO",0,5,0,1
"2020-04-07","NI","Nicaragua","AMRO",1,6,0,1
