"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NE","Niger","AFRO",0,0,0,0
"2020-01-04","NE","Niger","AFRO",0,0,0,0
"2020-01-05","NE","Niger","AFRO",0,0,0,0
"2020-01-06","NE","Niger","AFRO",0,0,0,0
"2020-01-07","NE","Niger","AFRO",0,0,0,0
"2020-01-08","NE","Niger","AFRO",0,0,0,0
"2020-01-09","NE","Niger","AFRO",0,0,0,0
"2020-01-10","NE","Niger","AFRO",0,0,0,0
"2020-01-11","NE","Niger","AFRO",0,0,0,0
"2020-01-12","NE","Niger","AFRO",0,0,0,0
"2020-01-13","NE","Niger","AFRO",0,0,0,0
"2020-01-14","NE","Niger","AFRO",0,0,0,0
"2020-01-15","NE","Niger","AFRO",0,0,0,0
"2020-01-16","NE","Niger","AFRO",0,0,0,0
"2020-01-17","NE","Niger","AFRO",0,0,0,0
"2020-01-18","NE","Niger","AFRO",0,0,0,0
"2020-01-19","NE","Niger","AFRO",0,0,0,0
"2020-01-20","NE","Niger","AFRO",0,0,0,0
"2020-01-21","NE","Niger","AFRO",0,0,0,0
"2020-01-22","NE","Niger","AFRO",0,0,0,0
"2020-01-23","NE","Niger","AFRO",0,0,0,0
"2020-01-24","NE","Niger","AFRO",0,0,0,0
"2020-01-25","NE","Niger","AFRO",0,0,0,0
"2020-01-26","NE","Niger","AFRO",0,0,0,0
"2020-01-27","NE","Niger","AFRO",0,0,0,0
"2020-01-28","NE","Niger","AFRO",0,0,0,0
"2020-01-29","NE","Niger","AFRO",0,0,0,0
"2020-01-30","NE","Niger","AFRO",0,0,0,0
"2020-01-31","NE","Niger","AFRO",0,0,0,0
"2020-02-01","NE","Niger","AFRO",0,0,0,0
"2020-02-02","NE","Niger","AFRO",0,0,0,0
"2020-02-03","NE","Niger","AFRO",0,0,0,0
"2020-02-04","NE","Niger","AFRO",0,0,0,0
"2020-02-05","NE","Niger","AFRO",0,0,0,0
"2020-02-06","NE","Niger","AFRO",0,0,0,0
"2020-02-07","NE","Niger","AFRO",0,0,0,0
"2020-02-08","NE","Niger","AFRO",0,0,0,0
"2020-02-09","NE","Niger","AFRO",0,0,0,0
"2020-02-10","NE","Niger","AFRO",0,0,0,0
"2020-02-11","NE","Niger","AFRO",0,0,0,0
"2020-02-12","NE","Niger","AFRO",0,0,0,0
"2020-02-13","NE","Niger","AFRO",0,0,0,0
"2020-02-14","NE","Niger","AFRO",0,0,0,0
"2020-02-15","NE","Niger","AFRO",0,0,0,0
"2020-02-16","NE","Niger","AFRO",0,0,0,0
"2020-02-17","NE","Niger","AFRO",0,0,0,0
"2020-02-18","NE","Niger","AFRO",0,0,0,0
"2020-02-19","NE","Niger","AFRO",0,0,0,0
"2020-02-20","NE","Niger","AFRO",0,0,0,0
"2020-02-21","NE","Niger","AFRO",0,0,0,0
"2020-02-22","NE","Niger","AFRO",0,0,0,0
"2020-02-23","NE","Niger","AFRO",0,0,0,0
"2020-02-24","NE","Niger","AFRO",0,0,0,0
"2020-02-25","NE","Niger","AFRO",0,0,0,0
"2020-02-26","NE","Niger","AFRO",0,0,0,0
"2020-02-27","NE","Niger","AFRO",0,0,0,0
"2020-02-28","NE","Niger","AFRO",0,0,0,0
"2020-02-29","NE","Niger","AFRO",0,0,0,0
"2020-03-01","NE","Niger","AFRO",0,0,0,0
"2020-03-02","NE","Niger","AFRO",0,0,0,0
"2020-03-03","NE","Niger","AFRO",0,0,0,0
"2020-03-04","NE","Niger","AFRO",0,0,0,0
"2020-03-05","NE","Niger","AFRO",0,0,0,0
"2020-03-06","NE","Niger","AFRO",0,0,0,0
"2020-03-07","NE","Niger","AFRO",0,0,0,0
"2020-03-08","NE","Niger","AFRO",0,0,0,0
"2020-03-09","NE","Niger","AFRO",0,0,0,0
"2020-03-10","NE","Niger","AFRO",0,0,0,0
"2020-03-11","NE","Niger","AFRO",0,0,0,0
"2020-03-12","NE","Niger","AFRO",0,0,0,0
"2020-03-13","NE","Niger","AFRO",0,0,0,0
"2020-03-14","NE","Niger","AFRO",0,0,0,0
"2020-03-15","NE","Niger","AFRO",0,0,0,0
"2020-03-16","NE","Niger","AFRO",0,0,0,0
"2020-03-17","NE","Niger","AFRO",0,0,0,0
"2020-03-18","NE","Niger","AFRO",0,0,0,0
"2020-03-19","NE","Niger","AFRO",5,5,0,0
"2020-03-20","NE","Niger","AFRO",0,5,0,0
"2020-03-21","NE","Niger","AFRO",0,5,0,0
"2020-03-22","NE","Niger","AFRO",0,5,0,0
"2020-03-23","NE","Niger","AFRO",-3,2,0,0
"2020-03-24","NE","Niger","AFRO",0,2,0,0
"2020-03-25","NE","Niger","AFRO",0,2,0,0
"2020-03-26","NE","Niger","AFRO",0,2,0,0
"2020-03-27","NE","Niger","AFRO",8,10,1,1
"2020-03-28","NE","Niger","AFRO",0,10,0,1
"2020-03-29","NE","Niger","AFRO",0,10,0,1
"2020-03-30","NE","Niger","AFRO",10,20,2,3
"2020-03-31","NE","Niger","AFRO",0,20,0,3
"2020-04-01","NE","Niger","AFRO",0,20,0,3
"2020-04-02","NE","Niger","AFRO",54,74,2,5
"2020-04-03","NE","Niger","AFRO",24,98,0,5
"2020-04-04","NE","Niger","AFRO",22,120,0,5
"2020-04-05","NE","Niger","AFRO",24,144,3,8
"2020-04-06","NE","Niger","AFRO",40,184,2,10
"2020-04-07","NE","Niger","AFRO",69,253,0,10
"2020-04-08","NE","Niger","AFRO",25,278,1,11
"2020-04-09","NE","Niger","AFRO",64,342,0,11
"2020-04-10","NE","Niger","AFRO",68,410,0,11
"2020-04-11","NE","Niger","AFRO",28,438,0,11
"2020-04-12","NE","Niger","AFRO",53,491,0,11
"2020-04-13","NE","Niger","AFRO",38,529,1,12
"2020-04-14","NE","Niger","AFRO",19,548,1,13
"2020-04-15","NE","Niger","AFRO",22,570,1,14
"2020-04-16","NE","Niger","AFRO",14,584,0,14
"2020-04-17","NE","Niger","AFRO",25,609,1,15
"2020-04-18","NE","Niger","AFRO",18,627,3,18
"2020-04-19","NE","Niger","AFRO",12,639,1,19
"2020-04-20","NE","Niger","AFRO",9,648,1,20
"2020-04-21","NE","Niger","AFRO",7,655,0,20
"2020-04-22","NE","Niger","AFRO",2,657,0,20
"2020-04-23","NE","Niger","AFRO",5,662,2,22
"2020-04-24","NE","Niger","AFRO",9,671,2,24
"2020-04-25","NE","Niger","AFRO",10,681,0,24
"2020-04-26","NE","Niger","AFRO",3,684,3,27
"2020-04-27","NE","Niger","AFRO",12,696,2,29
"2020-04-28","NE","Niger","AFRO",5,701,0,29
"2020-04-29","NE","Niger","AFRO",8,709,2,31
"2020-04-30","NE","Niger","AFRO",4,713,1,32
"2020-05-01","NE","Niger","AFRO",6,719,0,32
"2020-05-02","NE","Niger","AFRO",9,728,1,33
"2020-05-03","NE","Niger","AFRO",8,736,2,35
"2020-05-04","NE","Niger","AFRO",14,750,1,36
"2020-05-05","NE","Niger","AFRO",5,755,1,37
"2020-05-06","NE","Niger","AFRO",8,763,1,38
"2020-05-07","NE","Niger","AFRO",7,770,0,38
"2020-05-08","NE","Niger","AFRO",11,781,4,42
"2020-05-09","NE","Niger","AFRO",14,795,2,44
"2020-05-10","NE","Niger","AFRO",20,815,1,45
"2020-05-11","NE","Niger","AFRO",6,821,1,46
"2020-05-12","NE","Niger","AFRO",11,832,0,46
"2020-05-13","NE","Niger","AFRO",22,854,1,47
"2020-05-14","NE","Niger","AFRO",6,860,2,49
"2020-05-15","NE","Niger","AFRO",16,876,1,50
"2020-05-16","NE","Niger","AFRO",9,885,1,51
"2020-05-17","NE","Niger","AFRO",4,889,0,51
"2020-05-18","NE","Niger","AFRO",15,904,3,54
"2020-05-19","NE","Niger","AFRO",5,909,1,55
"2020-05-20","NE","Niger","AFRO",5,914,0,55
"2020-05-21","NE","Niger","AFRO",6,920,3,58
"2020-05-22","NE","Niger","AFRO",4,924,2,60
"2020-05-23","NE","Niger","AFRO",13,937,0,60
"2020-05-24","NE","Niger","AFRO",6,943,1,61
"2020-05-25","NE","Niger","AFRO",2,945,0,61
"2020-05-26","NE","Niger","AFRO",6,951,1,62
"2020-05-27","NE","Niger","AFRO",1,952,1,63
"2020-05-28","NE","Niger","AFRO",3,955,1,64
"2020-05-29","NE","Niger","AFRO",0,955,0,64
"2020-05-30","NE","Niger","AFRO",0,955,0,64
"2020-05-31","NE","Niger","AFRO",1,956,0,64
"2020-06-01","NE","Niger","AFRO",2,958,0,64
"2020-06-02","NE","Niger","AFRO",0,958,0,64
"2020-06-03","NE","Niger","AFRO",2,960,1,65
"2020-06-04","NE","Niger","AFRO",1,961,0,65
"2020-06-05","NE","Niger","AFRO",2,963,0,65
"2020-06-06","NE","Niger","AFRO",3,966,0,65
"2020-06-07","NE","Niger","AFRO",4,970,0,65
"2020-06-08","NE","Niger","AFRO",3,973,0,65
"2020-06-09","NE","Niger","AFRO",0,973,0,65
"2020-06-10","NE","Niger","AFRO",1,974,0,65
"2020-06-11","NE","Niger","AFRO",0,974,0,65
"2020-06-12","NE","Niger","AFRO",0,974,0,65
"2020-06-13","NE","Niger","AFRO",4,978,0,65
"2020-06-14","NE","Niger","AFRO",0,978,0,65
"2020-06-15","NE","Niger","AFRO",2,980,1,66
"2020-06-16","NE","Niger","AFRO",0,980,0,66
"2020-06-17","NE","Niger","AFRO",36,1016,0,66
"2020-06-18","NE","Niger","AFRO",4,1020,1,67
"2020-06-19","NE","Niger","AFRO",0,1020,0,67
"2020-06-20","NE","Niger","AFRO",6,1026,0,67
"2020-06-21","NE","Niger","AFRO",9,1035,0,67
"2020-06-22","NE","Niger","AFRO",1,1036,0,67
"2020-06-23","NE","Niger","AFRO",10,1046,0,67
"2020-06-24","NE","Niger","AFRO",5,1051,0,67
"2020-06-25","NE","Niger","AFRO",5,1056,0,67
"2020-06-26","NE","Niger","AFRO",3,1059,0,67
"2020-06-27","NE","Niger","AFRO",0,1059,0,67
"2020-06-28","NE","Niger","AFRO",0,1059,0,67
"2020-06-29","NE","Niger","AFRO",15,1074,0,67
"2020-06-30","NE","Niger","AFRO",1,1075,0,67
"2020-07-01","NE","Niger","AFRO",0,1075,0,67
"2020-07-02","NE","Niger","AFRO",0,1075,0,67
"2020-07-03","NE","Niger","AFRO",6,1081,1,68
"2020-07-04","NE","Niger","AFRO",1,1082,0,68
"2020-07-05","NE","Niger","AFRO",0,1082,0,68
"2020-07-06","NE","Niger","AFRO",11,1093,0,68
