"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NG","Nigeria","AFRO",0,0,0,0
"2020-01-04","NG","Nigeria","AFRO",0,0,0,0
"2020-01-05","NG","Nigeria","AFRO",0,0,0,0
"2020-01-06","NG","Nigeria","AFRO",0,0,0,0
"2020-01-07","NG","Nigeria","AFRO",0,0,0,0
"2020-01-08","NG","Nigeria","AFRO",0,0,0,0
"2020-01-09","NG","Nigeria","AFRO",0,0,0,0
"2020-01-10","NG","Nigeria","AFRO",0,0,0,0
"2020-01-11","NG","Nigeria","AFRO",0,0,0,0
"2020-01-12","NG","Nigeria","AFRO",0,0,0,0
"2020-01-13","NG","Nigeria","AFRO",0,0,0,0
"2020-01-14","NG","Nigeria","AFRO",0,0,0,0
"2020-01-15","NG","Nigeria","AFRO",0,0,0,0
"2020-01-16","NG","Nigeria","AFRO",0,0,0,0
"2020-01-17","NG","Nigeria","AFRO",0,0,0,0
"2020-01-18","NG","Nigeria","AFRO",0,0,0,0
"2020-01-19","NG","Nigeria","AFRO",0,0,0,0
"2020-01-20","NG","Nigeria","AFRO",0,0,0,0
"2020-01-21","NG","Nigeria","AFRO",0,0,0,0
"2020-01-22","NG","Nigeria","AFRO",0,0,0,0
"2020-01-23","NG","Nigeria","AFRO",0,0,0,0
"2020-01-24","NG","Nigeria","AFRO",0,0,0,0
"2020-01-25","NG","Nigeria","AFRO",0,0,0,0
"2020-01-26","NG","Nigeria","AFRO",0,0,0,0
"2020-01-27","NG","Nigeria","AFRO",0,0,0,0
"2020-01-28","NG","Nigeria","AFRO",0,0,0,0
"2020-01-29","NG","Nigeria","AFRO",0,0,0,0
"2020-01-30","NG","Nigeria","AFRO",0,0,0,0
"2020-01-31","NG","Nigeria","AFRO",0,0,0,0
"2020-02-01","NG","Nigeria","AFRO",0,0,0,0
"2020-02-02","NG","Nigeria","AFRO",0,0,0,0
"2020-02-03","NG","Nigeria","AFRO",0,0,0,0
"2020-02-04","NG","Nigeria","AFRO",0,0,0,0
"2020-02-05","NG","Nigeria","AFRO",0,0,0,0
"2020-02-06","NG","Nigeria","AFRO",0,0,0,0
"2020-02-07","NG","Nigeria","AFRO",0,0,0,0
"2020-02-08","NG","Nigeria","AFRO",0,0,0,0
"2020-02-09","NG","Nigeria","AFRO",0,0,0,0
"2020-02-10","NG","Nigeria","AFRO",0,0,0,0
"2020-02-11","NG","Nigeria","AFRO",0,0,0,0
"2020-02-12","NG","Nigeria","AFRO",0,0,0,0
"2020-02-13","NG","Nigeria","AFRO",0,0,0,0
"2020-02-14","NG","Nigeria","AFRO",0,0,0,0
"2020-02-15","NG","Nigeria","AFRO",0,0,0,0
"2020-02-16","NG","Nigeria","AFRO",0,0,0,0
"2020-02-17","NG","Nigeria","AFRO",0,0,0,0
"2020-02-18","NG","Nigeria","AFRO",0,0,0,0
"2020-02-19","NG","Nigeria","AFRO",0,0,0,0
"2020-02-20","NG","Nigeria","AFRO",0,0,0,0
"2020-02-21","NG","Nigeria","AFRO",0,0,0,0
"2020-02-22","NG","Nigeria","AFRO",0,0,0,0
"2020-02-23","NG","Nigeria","AFRO",0,0,0,0
"2020-02-24","NG","Nigeria","AFRO",0,0,0,0
"2020-02-25","NG","Nigeria","AFRO",0,0,0,0
"2020-02-26","NG","Nigeria","AFRO",0,0,0,0
"2020-02-27","NG","Nigeria","AFRO",0,0,0,0
"2020-02-28","NG","Nigeria","AFRO",5,5,0,0
"2020-02-29","NG","Nigeria","AFRO",0,5,0,0
"2020-03-01","NG","Nigeria","AFRO",0,5,0,0
"2020-03-02","NG","Nigeria","AFRO",0,5,0,0
"2020-03-03","NG","Nigeria","AFRO",0,5,0,0
"2020-03-04","NG","Nigeria","AFRO",0,5,0,0
"2020-03-05","NG","Nigeria","AFRO",0,5,0,0
"2020-03-06","NG","Nigeria","AFRO",0,5,0,0
"2020-03-07","NG","Nigeria","AFRO",0,5,0,0
"2020-03-08","NG","Nigeria","AFRO",0,5,0,0
"2020-03-09","NG","Nigeria","AFRO",1,6,0,0
"2020-03-10","NG","Nigeria","AFRO",0,6,0,0
"2020-03-11","NG","Nigeria","AFRO",0,6,0,0
"2020-03-12","NG","Nigeria","AFRO",0,6,0,0
"2020-03-13","NG","Nigeria","AFRO",0,6,0,0
"2020-03-14","NG","Nigeria","AFRO",0,6,0,0
"2020-03-15","NG","Nigeria","AFRO",0,6,0,0
"2020-03-16","NG","Nigeria","AFRO",0,6,0,0
"2020-03-17","NG","Nigeria","AFRO",0,6,0,0
"2020-03-18","NG","Nigeria","AFRO",6,12,0,0
"2020-03-19","NG","Nigeria","AFRO",4,16,0,0
"2020-03-20","NG","Nigeria","AFRO",0,16,0,0
"2020-03-21","NG","Nigeria","AFRO",6,22,0,0
"2020-03-22","NG","Nigeria","AFRO",0,22,0,0
"2020-03-23","NG","Nigeria","AFRO",0,22,0,0
"2020-03-24","NG","Nigeria","AFRO",0,22,0,0
"2020-03-25","NG","Nigeria","AFRO",20,42,0,0
"2020-03-26","NG","Nigeria","AFRO",4,46,1,1
"2020-03-27","NG","Nigeria","AFRO",19,65,0,1
"2020-03-28","NG","Nigeria","AFRO",0,65,0,1
"2020-03-29","NG","Nigeria","AFRO",0,65,0,1
"2020-03-30","NG","Nigeria","AFRO",0,65,0,1
"2020-03-31","NG","Nigeria","AFRO",46,111,0,1
"2020-04-01","NG","Nigeria","AFRO",28,139,1,2
"2020-04-02","NG","Nigeria","AFRO",35,174,0,2
"2020-04-03","NG","Nigeria","AFRO",16,190,0,2
"2020-04-04","NG","Nigeria","AFRO",18,208,2,4
"2020-04-05","NG","Nigeria","AFRO",0,208,0,4
"2020-04-06","NG","Nigeria","AFRO",24,232,1,5
"2020-04-07","NG","Nigeria","AFRO",0,232,0,5
"2020-04-08","NG","Nigeria","AFRO",22,254,1,6
"2020-04-09","NG","Nigeria","AFRO",22,276,0,6
"2020-04-10","NG","Nigeria","AFRO",12,288,1,7
"2020-04-11","NG","Nigeria","AFRO",17,305,0,7
"2020-04-12","NG","Nigeria","AFRO",13,318,3,10
"2020-04-13","NG","Nigeria","AFRO",5,323,0,10
"2020-04-14","NG","Nigeria","AFRO",20,343,0,10
"2020-04-15","NG","Nigeria","AFRO",0,343,0,10
"2020-04-16","NG","Nigeria","AFRO",30,373,1,11
"2020-04-17","NG","Nigeria","AFRO",0,373,0,11
"2020-04-18","NG","Nigeria","AFRO",0,373,0,11
"2020-04-19","NG","Nigeria","AFRO",0,373,0,11
"2020-04-20","NG","Nigeria","AFRO",168,541,8,19
"2020-04-21","NG","Nigeria","AFRO",0,541,0,19
"2020-04-22","NG","Nigeria","AFRO",0,541,0,19
"2020-04-23","NG","Nigeria","AFRO",0,541,0,19
"2020-04-24","NG","Nigeria","AFRO",440,981,12,31
"2020-04-25","NG","Nigeria","AFRO",114,1095,1,32
"2020-04-26","NG","Nigeria","AFRO",87,1182,3,35
"2020-04-27","NG","Nigeria","AFRO",91,1273,5,40
"2020-04-28","NG","Nigeria","AFRO",64,1337,0,40
"2020-04-29","NG","Nigeria","AFRO",0,1337,0,40
"2020-04-30","NG","Nigeria","AFRO",195,1532,4,44
"2020-05-01","NG","Nigeria","AFRO",400,1932,14,58
"2020-05-02","NG","Nigeria","AFRO",238,2170,10,68
"2020-05-03","NG","Nigeria","AFRO",218,2388,17,85
"2020-05-04","NG","Nigeria","AFRO",0,2388,0,85
"2020-05-05","NG","Nigeria","AFRO",414,2802,8,93
"2020-05-06","NG","Nigeria","AFRO",148,2950,5,98
"2020-05-07","NG","Nigeria","AFRO",195,3145,5,103
"2020-05-08","NG","Nigeria","AFRO",381,3526,4,107
"2020-05-09","NG","Nigeria","AFRO",386,3912,10,117
"2020-05-10","NG","Nigeria","AFRO",239,4151,11,128
"2020-05-11","NG","Nigeria","AFRO",248,4399,15,143
"2020-05-12","NG","Nigeria","AFRO",242,4641,7,150
"2020-05-13","NG","Nigeria","AFRO",146,4787,8,158
"2020-05-14","NG","Nigeria","AFRO",184,4971,6,164
"2020-05-15","NG","Nigeria","AFRO",191,5162,3,167
"2020-05-16","NG","Nigeria","AFRO",288,5450,4,171
"2020-05-17","NG","Nigeria","AFRO",171,5621,5,176
"2020-05-18","NG","Nigeria","AFRO",338,5959,6,182
"2020-05-19","NG","Nigeria","AFRO",216,6175,9,191
"2020-05-20","NG","Nigeria","AFRO",226,6401,1,192
"2020-05-21","NG","Nigeria","AFRO",276,6677,8,200
"2020-05-22","NG","Nigeria","AFRO",339,7016,11,211
"2020-05-23","NG","Nigeria","AFRO",245,7261,10,221
"2020-05-24","NG","Nigeria","AFRO",265,7526,0,221
"2020-05-25","NG","Nigeria","AFRO",313,7839,5,226
"2020-05-26","NG","Nigeria","AFRO",229,8068,7,233
"2020-05-27","NG","Nigeria","AFRO",276,8344,16,249
"2020-05-28","NG","Nigeria","AFRO",389,8733,5,254
"2020-05-29","NG","Nigeria","AFRO",182,8915,5,259
"2020-05-30","NG","Nigeria","AFRO",387,9302,2,261
"2020-05-31","NG","Nigeria","AFRO",553,9855,12,273
"2020-06-01","NG","Nigeria","AFRO",307,10162,14,287
"2020-06-02","NG","Nigeria","AFRO",416,10578,12,299
"2020-06-03","NG","Nigeria","AFRO",241,10819,15,314
"2020-06-04","NG","Nigeria","AFRO",347,11166,1,315
"2020-06-05","NG","Nigeria","AFRO",350,11516,8,323
"2020-06-06","NG","Nigeria","AFRO",328,11844,10,333
"2020-06-07","NG","Nigeria","AFRO",389,12233,9,342
"2020-06-08","NG","Nigeria","AFRO",253,12486,12,354
