"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MK","North Macedonia","EURO",0,0,0,0
"2020-01-04","MK","North Macedonia","EURO",0,0,0,0
"2020-01-05","MK","North Macedonia","EURO",0,0,0,0
"2020-01-06","MK","North Macedonia","EURO",0,0,0,0
"2020-01-07","MK","North Macedonia","EURO",0,0,0,0
"2020-01-08","MK","North Macedonia","EURO",0,0,0,0
"2020-01-09","MK","North Macedonia","EURO",0,0,0,0
"2020-01-10","MK","North Macedonia","EURO",0,0,0,0
"2020-01-11","MK","North Macedonia","EURO",0,0,0,0
"2020-01-12","MK","North Macedonia","EURO",0,0,0,0
"2020-01-13","MK","North Macedonia","EURO",0,0,0,0
"2020-01-14","MK","North Macedonia","EURO",0,0,0,0
"2020-01-15","MK","North Macedonia","EURO",0,0,0,0
"2020-01-16","MK","North Macedonia","EURO",0,0,0,0
"2020-01-17","MK","North Macedonia","EURO",0,0,0,0
"2020-01-18","MK","North Macedonia","EURO",0,0,0,0
"2020-01-19","MK","North Macedonia","EURO",0,0,0,0
"2020-01-20","MK","North Macedonia","EURO",0,0,0,0
"2020-01-21","MK","North Macedonia","EURO",0,0,0,0
"2020-01-22","MK","North Macedonia","EURO",0,0,0,0
"2020-01-23","MK","North Macedonia","EURO",0,0,0,0
"2020-01-24","MK","North Macedonia","EURO",0,0,0,0
"2020-01-25","MK","North Macedonia","EURO",0,0,0,0
"2020-01-26","MK","North Macedonia","EURO",0,0,0,0
"2020-01-27","MK","North Macedonia","EURO",0,0,0,0
"2020-01-28","MK","North Macedonia","EURO",0,0,0,0
"2020-01-29","MK","North Macedonia","EURO",0,0,0,0
"2020-01-30","MK","North Macedonia","EURO",0,0,0,0
"2020-01-31","MK","North Macedonia","EURO",0,0,0,0
"2020-02-01","MK","North Macedonia","EURO",0,0,0,0
"2020-02-02","MK","North Macedonia","EURO",0,0,0,0
"2020-02-03","MK","North Macedonia","EURO",0,0,0,0
"2020-02-04","MK","North Macedonia","EURO",0,0,0,0
"2020-02-05","MK","North Macedonia","EURO",0,0,0,0
"2020-02-06","MK","North Macedonia","EURO",0,0,0,0
"2020-02-07","MK","North Macedonia","EURO",0,0,0,0
"2020-02-08","MK","North Macedonia","EURO",0,0,0,0
"2020-02-09","MK","North Macedonia","EURO",0,0,0,0
"2020-02-10","MK","North Macedonia","EURO",0,0,0,0
"2020-02-11","MK","North Macedonia","EURO",0,0,0,0
"2020-02-12","MK","North Macedonia","EURO",0,0,0,0
"2020-02-13","MK","North Macedonia","EURO",0,0,0,0
"2020-02-14","MK","North Macedonia","EURO",0,0,0,0
"2020-02-15","MK","North Macedonia","EURO",0,0,0,0
"2020-02-16","MK","North Macedonia","EURO",0,0,0,0
"2020-02-17","MK","North Macedonia","EURO",0,0,0,0
"2020-02-18","MK","North Macedonia","EURO",0,0,0,0
"2020-02-19","MK","North Macedonia","EURO",0,0,0,0
"2020-02-20","MK","North Macedonia","EURO",0,0,0,0
"2020-02-21","MK","North Macedonia","EURO",0,0,0,0
"2020-02-22","MK","North Macedonia","EURO",0,0,0,0
"2020-02-23","MK","North Macedonia","EURO",0,0,0,0
"2020-02-24","MK","North Macedonia","EURO",0,0,0,0
"2020-02-25","MK","North Macedonia","EURO",0,0,0,0
"2020-02-26","MK","North Macedonia","EURO",1,1,0,0
"2020-02-27","MK","North Macedonia","EURO",0,1,0,0
"2020-02-28","MK","North Macedonia","EURO",0,1,0,0
"2020-02-29","MK","North Macedonia","EURO",0,1,0,0
"2020-03-01","MK","North Macedonia","EURO",0,1,0,0
"2020-03-02","MK","North Macedonia","EURO",0,1,0,0
"2020-03-03","MK","North Macedonia","EURO",0,1,0,0
"2020-03-04","MK","North Macedonia","EURO",0,1,0,0
"2020-03-05","MK","North Macedonia","EURO",0,1,0,0
"2020-03-06","MK","North Macedonia","EURO",0,1,0,0
"2020-03-07","MK","North Macedonia","EURO",2,3,0,0
"2020-03-08","MK","North Macedonia","EURO",0,3,0,0
"2020-03-09","MK","North Macedonia","EURO",0,3,0,0
"2020-03-10","MK","North Macedonia","EURO",1,4,0,0
"2020-03-11","MK","North Macedonia","EURO",3,7,0,0
"2020-03-12","MK","North Macedonia","EURO",0,7,0,0
"2020-03-13","MK","North Macedonia","EURO",0,7,0,0
"2020-03-14","MK","North Macedonia","EURO",2,9,0,0
"2020-03-15","MK","North Macedonia","EURO",4,13,0,0
"2020-03-16","MK","North Macedonia","EURO",0,13,0,0
"2020-03-17","MK","North Macedonia","EURO",6,19,0,0
"2020-03-18","MK","North Macedonia","EURO",12,31,0,0
"2020-03-19","MK","North Macedonia","EURO",4,35,0,0
"2020-03-20","MK","North Macedonia","EURO",13,48,0,0
"2020-03-21","MK","North Macedonia","EURO",37,85,0,0
"2020-03-22","MK","North Macedonia","EURO",29,114,0,0
"2020-03-23","MK","North Macedonia","EURO",22,136,2,2
"2020-03-24","MK","North Macedonia","EURO",12,148,0,2
"2020-03-25","MK","North Macedonia","EURO",29,177,0,2
"2020-03-26","MK","North Macedonia","EURO",24,201,1,3
"2020-03-27","MK","North Macedonia","EURO",18,219,0,3
"2020-03-28","MK","North Macedonia","EURO",22,241,1,4
"2020-03-29","MK","North Macedonia","EURO",0,241,0,4
"2020-03-30","MK","North Macedonia","EURO",44,285,3,7
"2020-03-31","MK","North Macedonia","EURO",44,329,2,9
"2020-04-01","MK","North Macedonia","EURO",25,354,2,11
"2020-04-02","MK","North Macedonia","EURO",0,354,0,11
"2020-04-03","MK","North Macedonia","EURO",30,384,0,11
"2020-04-04","MK","North Macedonia","EURO",46,430,1,12
"2020-04-05","MK","North Macedonia","EURO",53,483,5,17
"2020-04-06","MK","North Macedonia","EURO",72,555,1,18
"2020-04-07","MK","North Macedonia","EURO",15,570,3,21
"2020-04-08","MK","North Macedonia","EURO",29,599,6,27
"2020-04-09","MK","North Macedonia","EURO",18,617,3,30
"2020-04-10","MK","North Macedonia","EURO",46,663,0,30
"2020-04-11","MK","North Macedonia","EURO",48,711,2,32
"2020-04-12","MK","North Macedonia","EURO",117,828,2,34
"2020-04-13","MK","North Macedonia","EURO",0,828,0,34
"2020-04-14","MK","North Macedonia","EURO",26,854,4,38
"2020-04-15","MK","North Macedonia","EURO",54,908,6,44
"2020-04-16","MK","North Macedonia","EURO",66,974,1,45
"2020-04-17","MK","North Macedonia","EURO",107,1081,1,46
"2020-04-18","MK","North Macedonia","EURO",36,1117,3,49
"2020-04-19","MK","North Macedonia","EURO",53,1170,0,49
"2020-04-20","MK","North Macedonia","EURO",37,1207,2,51
"2020-04-21","MK","North Macedonia","EURO",18,1225,3,54
"2020-04-22","MK","North Macedonia","EURO",6,1231,1,55
"2020-04-23","MK","North Macedonia","EURO",28,1259,1,56
"2020-04-24","MK","North Macedonia","EURO",41,1300,0,56
"2020-04-25","MK","North Macedonia","EURO",26,1326,1,57
"2020-04-26","MK","North Macedonia","EURO",41,1367,2,59
"2020-04-27","MK","North Macedonia","EURO",19,1386,2,61
"2020-04-28","MK","North Macedonia","EURO",13,1399,4,65
"2020-04-29","MK","North Macedonia","EURO",22,1421,6,71
"2020-04-30","MK","North Macedonia","EURO",21,1442,2,73
"2020-05-01","MK","North Macedonia","EURO",23,1465,4,77
"2020-05-02","MK","North Macedonia","EURO",29,1494,4,81
"2020-05-03","MK","North Macedonia","EURO",12,1506,1,82
"2020-05-04","MK","North Macedonia","EURO",5,1511,2,84
"2020-05-05","MK","North Macedonia","EURO",7,1518,1,85
"2020-05-06","MK","North Macedonia","EURO",8,1526,1,86
"2020-05-07","MK","North Macedonia","EURO",13,1539,2,88
"2020-05-08","MK","North Macedonia","EURO",33,1572,1,89
"2020-05-09","MK","North Macedonia","EURO",14,1586,1,90
"2020-05-10","MK","North Macedonia","EURO",36,1622,1,91
"2020-05-11","MK","North Macedonia","EURO",20,1642,0,91
"2020-05-12","MK","North Macedonia","EURO",22,1664,0,91
"2020-05-13","MK","North Macedonia","EURO",10,1674,1,92
"2020-05-14","MK","North Macedonia","EURO",20,1694,3,95
"2020-05-15","MK","North Macedonia","EURO",29,1723,0,95
"2020-05-16","MK","North Macedonia","EURO",17,1740,2,97
"2020-05-17","MK","North Macedonia","EURO",22,1762,1,98
"2020-05-18","MK","North Macedonia","EURO",30,1792,3,101
"2020-05-19","MK","North Macedonia","EURO",25,1817,3,104
"2020-05-20","MK","North Macedonia","EURO",22,1839,2,106
