"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-04","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-05","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-06","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-07","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-08","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-09","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-10","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-11","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-12","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-13","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-14","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-15","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-16","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-17","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-18","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-19","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-20","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-21","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-22","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-23","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-24","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-25","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-26","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-27","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-28","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-29","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-30","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-01-31","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-01","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-02","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-03","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-04","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-05","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-06","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-07","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-08","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-09","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-10","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
"2020-02-11","MP","Northern Mariana Islands (Commonwealth of the)","WPRO",0,0,0,0
