"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","NO","Norway","EURO",0,0,0,0
"2020-01-04","NO","Norway","EURO",0,0,0,0
"2020-01-05","NO","Norway","EURO",0,0,0,0
"2020-01-06","NO","Norway","EURO",0,0,0,0
"2020-01-07","NO","Norway","EURO",0,0,0,0
"2020-01-08","NO","Norway","EURO",0,0,0,0
"2020-01-09","NO","Norway","EURO",0,0,0,0
"2020-01-10","NO","Norway","EURO",0,0,0,0
"2020-01-11","NO","Norway","EURO",0,0,0,0
"2020-01-12","NO","Norway","EURO",0,0,0,0
"2020-01-13","NO","Norway","EURO",0,0,0,0
"2020-01-14","NO","Norway","EURO",0,0,0,0
"2020-01-15","NO","Norway","EURO",0,0,0,0
"2020-01-16","NO","Norway","EURO",0,0,0,0
"2020-01-17","NO","Norway","EURO",0,0,0,0
"2020-01-18","NO","Norway","EURO",0,0,0,0
"2020-01-19","NO","Norway","EURO",0,0,0,0
"2020-01-20","NO","Norway","EURO",0,0,0,0
"2020-01-21","NO","Norway","EURO",0,0,0,0
"2020-01-22","NO","Norway","EURO",0,0,0,0
"2020-01-23","NO","Norway","EURO",0,0,0,0
"2020-01-24","NO","Norway","EURO",0,0,0,0
"2020-01-25","NO","Norway","EURO",0,0,0,0
"2020-01-26","NO","Norway","EURO",0,0,0,0
"2020-01-27","NO","Norway","EURO",0,0,0,0
"2020-01-28","NO","Norway","EURO",0,0,0,0
"2020-01-29","NO","Norway","EURO",0,0,0,0
"2020-01-30","NO","Norway","EURO",0,0,0,0
"2020-01-31","NO","Norway","EURO",0,0,0,0
"2020-02-01","NO","Norway","EURO",0,0,0,0
"2020-02-02","NO","Norway","EURO",0,0,0,0
"2020-02-03","NO","Norway","EURO",0,0,0,0
"2020-02-04","NO","Norway","EURO",0,0,0,0
"2020-02-05","NO","Norway","EURO",0,0,0,0
"2020-02-06","NO","Norway","EURO",0,0,0,0
"2020-02-07","NO","Norway","EURO",0,0,0,0
"2020-02-08","NO","Norway","EURO",0,0,0,0
"2020-02-09","NO","Norway","EURO",0,0,0,0
"2020-02-10","NO","Norway","EURO",0,0,0,0
"2020-02-11","NO","Norway","EURO",0,0,0,0
"2020-02-12","NO","Norway","EURO",0,0,0,0
"2020-02-13","NO","Norway","EURO",0,0,0,0
"2020-02-14","NO","Norway","EURO",0,0,0,0
"2020-02-15","NO","Norway","EURO",0,0,0,0
"2020-02-16","NO","Norway","EURO",0,0,0,0
"2020-02-17","NO","Norway","EURO",0,0,0,0
"2020-02-18","NO","Norway","EURO",0,0,0,0
"2020-02-19","NO","Norway","EURO",0,0,0,0
"2020-02-20","NO","Norway","EURO",0,0,0,0
"2020-02-21","NO","Norway","EURO",0,0,0,0
"2020-02-22","NO","Norway","EURO",0,0,0,0
"2020-02-23","NO","Norway","EURO",0,0,0,0
"2020-02-24","NO","Norway","EURO",0,0,0,0
