"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","OM","Oman","EMRO",0,0,0,0
"2020-01-04","OM","Oman","EMRO",0,0,0,0
"2020-01-05","OM","Oman","EMRO",0,0,0,0
"2020-01-06","OM","Oman","EMRO",0,0,0,0
"2020-01-07","OM","Oman","EMRO",0,0,0,0
"2020-01-08","OM","Oman","EMRO",0,0,0,0
"2020-01-09","OM","Oman","EMRO",0,0,0,0
"2020-01-10","OM","Oman","EMRO",0,0,0,0
"2020-01-11","OM","Oman","EMRO",0,0,0,0
"2020-01-12","OM","Oman","EMRO",0,0,0,0
"2020-01-13","OM","Oman","EMRO",0,0,0,0
"2020-01-14","OM","Oman","EMRO",0,0,0,0
"2020-01-15","OM","Oman","EMRO",0,0,0,0
"2020-01-16","OM","Oman","EMRO",0,0,0,0
"2020-01-17","OM","Oman","EMRO",0,0,0,0
"2020-01-18","OM","Oman","EMRO",0,0,0,0
"2020-01-19","OM","Oman","EMRO",0,0,0,0
"2020-01-20","OM","Oman","EMRO",0,0,0,0
"2020-01-21","OM","Oman","EMRO",0,0,0,0
"2020-01-22","OM","Oman","EMRO",0,0,0,0
"2020-01-23","OM","Oman","EMRO",0,0,0,0
"2020-01-24","OM","Oman","EMRO",0,0,0,0
"2020-01-25","OM","Oman","EMRO",0,0,0,0
"2020-01-26","OM","Oman","EMRO",0,0,0,0
"2020-01-27","OM","Oman","EMRO",0,0,0,0
"2020-01-28","OM","Oman","EMRO",0,0,0,0
"2020-01-29","OM","Oman","EMRO",0,0,0,0
"2020-01-30","OM","Oman","EMRO",0,0,0,0
"2020-01-31","OM","Oman","EMRO",0,0,0,0
"2020-02-01","OM","Oman","EMRO",0,0,0,0
"2020-02-02","OM","Oman","EMRO",0,0,0,0
"2020-02-03","OM","Oman","EMRO",0,0,0,0
"2020-02-04","OM","Oman","EMRO",0,0,0,0
"2020-02-05","OM","Oman","EMRO",0,0,0,0
"2020-02-06","OM","Oman","EMRO",0,0,0,0
"2020-02-07","OM","Oman","EMRO",0,0,0,0
"2020-02-08","OM","Oman","EMRO",0,0,0,0
"2020-02-09","OM","Oman","EMRO",0,0,0,0
"2020-02-10","OM","Oman","EMRO",0,0,0,0
"2020-02-11","OM","Oman","EMRO",0,0,0,0
"2020-02-12","OM","Oman","EMRO",0,0,0,0
"2020-02-13","OM","Oman","EMRO",0,0,0,0
"2020-02-14","OM","Oman","EMRO",0,0,0,0
"2020-02-15","OM","Oman","EMRO",0,0,0,0
"2020-02-16","OM","Oman","EMRO",0,0,0,0
"2020-02-17","OM","Oman","EMRO",0,0,0,0
"2020-02-18","OM","Oman","EMRO",0,0,0,0
"2020-02-19","OM","Oman","EMRO",0,0,0,0
"2020-02-20","OM","Oman","EMRO",0,0,0,0
"2020-02-21","OM","Oman","EMRO",0,0,0,0
"2020-02-22","OM","Oman","EMRO",0,0,0,0
"2020-02-23","OM","Oman","EMRO",0,0,0,0
"2020-02-24","OM","Oman","EMRO",6,6,0,0
"2020-02-25","OM","Oman","EMRO",2,8,0,0
"2020-02-26","OM","Oman","EMRO",0,8,0,0
"2020-02-27","OM","Oman","EMRO",2,10,0,0
"2020-02-28","OM","Oman","EMRO",0,10,0,0
"2020-02-29","OM","Oman","EMRO",0,10,0,0
"2020-03-01","OM","Oman","EMRO",0,10,0,0
"2020-03-02","OM","Oman","EMRO",0,10,0,0
"2020-03-03","OM","Oman","EMRO",6,16,0,0
"2020-03-04","OM","Oman","EMRO",3,19,0,0
"2020-03-05","OM","Oman","EMRO",1,20,0,0
"2020-03-06","OM","Oman","EMRO",0,20,0,0
"2020-03-07","OM","Oman","EMRO",0,20,0,0
"2020-03-08","OM","Oman","EMRO",0,20,0,0
"2020-03-09","OM","Oman","EMRO",0,20,0,0
"2020-03-10","OM","Oman","EMRO",2,22,0,0
"2020-03-11","OM","Oman","EMRO",0,22,0,0
"2020-03-12","OM","Oman","EMRO",0,22,0,0
"2020-03-13","OM","Oman","EMRO",0,22,0,0
"2020-03-14","OM","Oman","EMRO",2,24,0,0
"2020-03-15","OM","Oman","EMRO",2,26,0,0
"2020-03-16","OM","Oman","EMRO",0,26,0,0
"2020-03-17","OM","Oman","EMRO",2,28,0,0
"2020-03-18","OM","Oman","EMRO",9,37,0,0
"2020-03-19","OM","Oman","EMRO",6,43,0,0
"2020-03-20","OM","Oman","EMRO",5,48,0,0
"2020-03-21","OM","Oman","EMRO",4,52,0,0
"2020-03-22","OM","Oman","EMRO",3,55,0,0
"2020-03-23","OM","Oman","EMRO",11,66,0,0
"2020-03-24","OM","Oman","EMRO",18,84,0,0
"2020-03-25","OM","Oman","EMRO",15,99,0,0
"2020-03-26","OM","Oman","EMRO",10,109,0,0
"2020-03-27","OM","Oman","EMRO",22,131,0,0
"2020-03-28","OM","Oman","EMRO",21,152,0,0
"2020-03-29","OM","Oman","EMRO",15,167,0,0
"2020-03-30","OM","Oman","EMRO",12,179,0,0
"2020-03-31","OM","Oman","EMRO",13,192,0,0
"2020-04-01","OM","Oman","EMRO",18,210,1,1
