"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03"," ","Other","Other",0,0,0,0
"2020-01-04"," ","Other","Other",0,0,0,0
"2020-01-05"," ","Other","Other",0,0,0,0
"2020-01-06"," ","Other","Other",0,0,0,0
"2020-01-07"," ","Other","Other",0,0,0,0
"2020-01-08"," ","Other","Other",0,0,0,0
"2020-01-09"," ","Other","Other",0,0,0,0
"2020-01-10"," ","Other","Other",0,0,0,0
"2020-01-11"," ","Other","Other",0,0,0,0
"2020-01-12"," ","Other","Other",0,0,0,0
"2020-01-13"," ","Other","Other",0,0,0,0
"2020-01-14"," ","Other","Other",0,0,0,0
"2020-01-15"," ","Other","Other",0,0,0,0
"2020-01-16"," ","Other","Other",0,0,0,0
"2020-01-17"," ","Other","Other",0,0,0,0
"2020-01-18"," ","Other","Other",0,0,0,0
"2020-01-19"," ","Other","Other",0,0,0,0
"2020-01-20"," ","Other","Other",0,0,0,0
"2020-01-21"," ","Other","Other",0,0,0,0
"2020-01-22"," ","Other","Other",0,0,0,0
"2020-01-23"," ","Other","Other",0,0,0,0
"2020-01-24"," ","Other","Other",0,0,0,0
"2020-01-25"," ","Other","Other",0,0,0,0
"2020-01-26"," ","Other","Other",0,0,0,0
"2020-01-27"," ","Other","Other",0,0,0,0
"2020-01-28"," ","Other","Other",0,0,0,0
"2020-01-29"," ","Other","Other",0,0,0,0
"2020-01-30"," ","Other","Other",0,0,0,0
"2020-01-31"," ","Other","Other",0,0,0,0
"2020-02-01"," ","Other","Other",0,0,0,0
"2020-02-02"," ","Other","Other",0,0,0,0
"2020-02-03"," ","Other","Other",0,0,0,0
"2020-02-04"," ","Other","Other",0,0,0,0
"2020-02-05"," ","Other","Other",14,14,0,0
"2020-02-06"," ","Other","Other",10,24,0,0
"2020-02-07"," ","Other","Other",41,65,0,0
"2020-02-08"," ","Other","Other",3,68,0,0
"2020-02-09"," ","Other","Other",6,74,0,0
"2020-02-10"," ","Other","Other",65,139,0,0
"2020-02-11"," ","Other","Other",0,139,0,0
"2020-02-12"," ","Other","Other",39,178,0,0
"2020-02-13"," ","Other","Other",44,222,0,0
"2020-02-14"," ","Other","Other",0,222,0,0
"2020-02-15"," ","Other","Other",67,289,0,0
"2020-02-16"," ","Other","Other",70,359,0,0
"2020-02-17"," ","Other","Other",99,458,0,0
"2020-02-18"," ","Other","Other",88,546,0,0
"2020-02-19"," ","Other","Other",79,625,0,0
"2020-02-20"," ","Other","Other",13,638,2,2
"2020-02-21"," ","Other","Other",0,638,0,2
"2020-02-22"," ","Other","Other",0,638,0,2
"2020-02-23"," ","Other","Other",57,695,1,3
"2020-02-24"," ","Other","Other",0,695,0,3
"2020-02-25"," ","Other","Other",0,695,1,4
"2020-02-26"," ","Other","Other",4,699,0,4
"2020-02-27"," ","Other","Other",0,699,0,4
"2020-02-28"," ","Other","Other",0,699,2,6
"2020-02-29"," ","Other","Other",0,699,0,6
"2020-03-01"," ","Other","Other",1,700,0,6
"2020-03-02"," ","Other","Other",0,700,0,6
"2020-03-03"," ","Other","Other",0,700,0,6
"2020-03-04"," ","Other","Other",0,700,0,6
"2020-03-05"," ","Other","Other",0,700,0,6
"2020-03-06"," ","Other","Other",0,700,0,6
"2020-03-07"," ","Other","Other",0,700,0,6
"2020-03-08"," ","Other","Other",0,700,1,7
"2020-03-09"," ","Other","Other",0,700,0,7
"2020-03-10"," ","Other","Other",0,700,0,7
"2020-03-11"," ","Other","Other",0,700,0,7
"2020-03-12"," ","Other","Other",0,700,0,7
"2020-03-13"," ","Other","Other",1,701,0,7
"2020-03-14"," ","Other","Other",0,701,0,7
"2020-03-15"," ","Other","Other",15,716,0,7
"2020-03-16"," ","Other","Other",0,716,0,7
"2020-03-17"," ","Other","Other",0,716,0,7
"2020-03-18"," ","Other","Other",0,716,0,7
"2020-03-19"," ","Other","Other",0,716,0,7
"2020-03-20"," ","Other","Other",-4,712,1,8
"2020-03-21"," ","Other","Other",0,712,0,8
"2020-03-22"," ","Other","Other",0,712,0,8
"2020-03-23"," ","Other","Other",0,712,0,8
"2020-03-24"," ","Other","Other",0,712,2,10
"2020-03-25"," ","Other","Other",0,712,0,10
"2020-03-26"," ","Other","Other",0,712,0,10
"2020-03-27"," ","Other","Other",0,712,0,10
"2020-03-28"," ","Other","Other",0,712,0,10
"2020-03-29"," ","Other","Other",0,712,0,10
"2020-03-30"," ","Other","Other",0,712,0,10
"2020-03-31"," ","Other","Other",0,712,1,11
"2020-04-01"," ","Other","Other",0,712,0,11
"2020-04-02"," ","Other","Other",0,712,0,11
"2020-04-03"," ","Other","Other",0,712,0,11
"2020-04-04"," ","Other","Other",0,712,0,11
"2020-04-05"," ","Other","Other",0,712,0,11
"2020-04-06"," ","Other","Other",0,712,0,11
"2020-04-07"," ","Other","Other",0,712,0,11
"2020-04-08"," ","Other","Other",0,712,0,11
"2020-04-09"," ","Other","Other",0,712,0,11
"2020-04-10"," ","Other","Other",0,712,0,11
"2020-04-11"," ","Other","Other",0,712,0,11
"2020-04-12"," ","Other","Other",0,712,0,11
"2020-04-13"," ","Other","Other",0,712,1,12
"2020-04-14"," ","Other","Other",0,712,0,12
"2020-04-15"," ","Other","Other",0,712,0,12
"2020-04-16"," ","Other","Other",0,712,0,12
"2020-04-17"," ","Other","Other",0,712,1,13
"2020-04-18"," ","Other","Other",0,712,0,13
"2020-04-19"," ","Other","Other",0,712,0,13
"2020-04-20"," ","Other","Other",0,712,0,13
"2020-04-21"," ","Other","Other",0,712,0,13
"2020-04-22"," ","Other","Other",0,712,0,13
"2020-04-23"," ","Other","Other",0,712,0,13
"2020-04-24"," ","Other","Other",0,712,0,13
"2020-04-25"," ","Other","Other",0,712,0,13
"2020-04-26"," ","Other","Other",0,712,0,13
"2020-04-27"," ","Other","Other",0,712,0,13
"2020-04-28"," ","Other","Other",0,712,0,13
"2020-04-29"," ","Other","Other",0,712,0,13
"2020-04-30"," ","Other","Other",0,712,0,13
"2020-05-01"," ","Other","Other",0,712,0,13
"2020-05-02"," ","Other","Other",0,712,0,13
"2020-05-03"," ","Other","Other",0,712,0,13
"2020-05-04"," ","Other","Other",0,712,0,13
"2020-05-05"," ","Other","Other",0,712,0,13
"2020-05-06"," ","Other","Other",0,712,0,13
"2020-05-07"," ","Other","Other",0,712,0,13
"2020-05-08"," ","Other","Other",0,712,0,13
"2020-05-09"," ","Other","Other",0,712,0,13
"2020-05-10"," ","Other","Other",0,712,0,13
"2020-05-11"," ","Other","Other",0,712,0,13
"2020-05-12"," ","Other","Other",0,712,0,13
"2020-05-13"," ","Other","Other",0,712,0,13
"2020-05-14"," ","Other","Other",0,712,0,13
"2020-05-15"," ","Other","Other",0,712,0,13
"2020-05-16"," ","Other","Other",0,712,0,13
"2020-05-17"," ","Other","Other",0,712,0,13
"2020-05-18"," ","Other","Other",0,712,0,13
"2020-05-19"," ","Other","Other",0,712,0,13
"2020-05-20"," ","Other","Other",0,712,0,13
"2020-05-21"," ","Other","Other",0,712,0,13
"2020-05-22"," ","Other","Other",0,712,0,13
"2020-05-23"," ","Other","Other",29,741,0,13
"2020-05-24"," ","Other","Other",0,741,0,13
"2020-05-25"," ","Other","Other",0,741,0,13
"2020-05-26"," ","Other","Other",0,741,0,13
"2020-05-27"," ","Other","Other",0,741,0,13
"2020-05-28"," ","Other","Other",0,741,0,13
"2020-05-29"," ","Other","Other",0,741,0,13
"2020-05-30"," ","Other","Other",0,741,0,13
"2020-05-31"," ","Other","Other",0,741,0,13
"2020-06-01"," ","Other","Other",0,741,0,13
"2020-06-02"," ","Other","Other",0,741,0,13
"2020-06-03"," ","Other","Other",0,741,0,13
"2020-06-04"," ","Other","Other",0,741,0,13
"2020-06-05"," ","Other","Other",0,741,0,13
"2020-06-06"," ","Other","Other",0,741,0,13
"2020-06-07"," ","Other","Other",0,741,0,13
"2020-06-08"," ","Other","Other",0,741,0,13
"2020-06-09"," ","Other","Other",0,741,0,13
"2020-06-10"," ","Other","Other",0,741,0,13
"2020-06-11"," ","Other","Other",0,741,0,13
"2020-06-12"," ","Other","Other",0,741,0,13
"2020-06-13"," ","Other","Other",0,741,0,13
"2020-06-14"," ","Other","Other",0,741,0,13
"2020-06-15"," ","Other","Other",0,741,0,13
"2020-06-16"," ","Other","Other",0,741,0,13
"2020-06-17"," ","Other","Other",0,741,0,13
"2020-06-18"," ","Other","Other",0,741,0,13
"2020-06-19"," ","Other","Other",0,741,0,13
"2020-06-20"," ","Other","Other",0,741,0,13
"2020-06-21"," ","Other","Other",0,741,0,13
"2020-06-22"," ","Other","Other",0,741,0,13
"2020-06-23"," ","Other","Other",0,741,0,13
"2020-06-24"," ","Other","Other",0,741,0,13
"2020-06-25"," ","Other","Other",0,741,0,13
"2020-06-26"," ","Other","Other",0,741,0,13
"2020-06-27"," ","Other","Other",0,741,0,13
"2020-06-28"," ","Other","Other",0,741,0,13
"2020-06-29"," ","Other","Other",0,741,0,13
"2020-06-30"," ","Other","Other",0,741,0,13
"2020-07-01"," ","Other","Other",0,741,0,13
"2020-07-02"," ","Other","Other",0,741,0,13
"2020-07-03"," ","Other","Other",0,741,0,13
"2020-07-04"," ","Other","Other",0,741,0,13
"2020-07-05"," ","Other","Other",0,741,0,13
"2020-07-06"," ","Other","Other",0,741,0,13
"2020-07-07"," ","Other","Other",0,741,0,13
