"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PK","Pakistan","EMRO",0,0,0,0
"2020-01-04","PK","Pakistan","EMRO",0,0,0,0
"2020-01-05","PK","Pakistan","EMRO",0,0,0,0
"2020-01-06","PK","Pakistan","EMRO",0,0,0,0
"2020-01-07","PK","Pakistan","EMRO",0,0,0,0
"2020-01-08","PK","Pakistan","EMRO",0,0,0,0
"2020-01-09","PK","Pakistan","EMRO",0,0,0,0
"2020-01-10","PK","Pakistan","EMRO",0,0,0,0
"2020-01-11","PK","Pakistan","EMRO",0,0,0,0
"2020-01-12","PK","Pakistan","EMRO",0,0,0,0
"2020-01-13","PK","Pakistan","EMRO",0,0,0,0
"2020-01-14","PK","Pakistan","EMRO",0,0,0,0
"2020-01-15","PK","Pakistan","EMRO",0,0,0,0
"2020-01-16","PK","Pakistan","EMRO",0,0,0,0
"2020-01-17","PK","Pakistan","EMRO",0,0,0,0
"2020-01-18","PK","Pakistan","EMRO",0,0,0,0
"2020-01-19","PK","Pakistan","EMRO",0,0,0,0
"2020-01-20","PK","Pakistan","EMRO",0,0,0,0
"2020-01-21","PK","Pakistan","EMRO",0,0,0,0
"2020-01-22","PK","Pakistan","EMRO",0,0,0,0
"2020-01-23","PK","Pakistan","EMRO",0,0,0,0
"2020-01-24","PK","Pakistan","EMRO",0,0,0,0
"2020-01-25","PK","Pakistan","EMRO",0,0,0,0
"2020-01-26","PK","Pakistan","EMRO",0,0,0,0
"2020-01-27","PK","Pakistan","EMRO",0,0,0,0
"2020-01-28","PK","Pakistan","EMRO",0,0,0,0
"2020-01-29","PK","Pakistan","EMRO",0,0,0,0
"2020-01-30","PK","Pakistan","EMRO",0,0,0,0
"2020-01-31","PK","Pakistan","EMRO",0,0,0,0
"2020-02-01","PK","Pakistan","EMRO",0,0,0,0
"2020-02-02","PK","Pakistan","EMRO",0,0,0,0
"2020-02-03","PK","Pakistan","EMRO",0,0,0,0
"2020-02-04","PK","Pakistan","EMRO",0,0,0,0
"2020-02-05","PK","Pakistan","EMRO",0,0,0,0
"2020-02-06","PK","Pakistan","EMRO",0,0,0,0
"2020-02-07","PK","Pakistan","EMRO",0,0,0,0
"2020-02-08","PK","Pakistan","EMRO",0,0,0,0
"2020-02-09","PK","Pakistan","EMRO",0,0,0,0
"2020-02-10","PK","Pakistan","EMRO",0,0,0,0
"2020-02-11","PK","Pakistan","EMRO",0,0,0,0
"2020-02-12","PK","Pakistan","EMRO",0,0,0,0
"2020-02-13","PK","Pakistan","EMRO",0,0,0,0
"2020-02-14","PK","Pakistan","EMRO",0,0,0,0
"2020-02-15","PK","Pakistan","EMRO",0,0,0,0
"2020-02-16","PK","Pakistan","EMRO",0,0,0,0
"2020-02-17","PK","Pakistan","EMRO",0,0,0,0
"2020-02-18","PK","Pakistan","EMRO",0,0,0,0
"2020-02-19","PK","Pakistan","EMRO",0,0,0,0
"2020-02-20","PK","Pakistan","EMRO",0,0,0,0
"2020-02-21","PK","Pakistan","EMRO",0,0,0,0
"2020-02-22","PK","Pakistan","EMRO",0,0,0,0
"2020-02-23","PK","Pakistan","EMRO",0,0,0,0
"2020-02-24","PK","Pakistan","EMRO",0,0,0,0
"2020-02-25","PK","Pakistan","EMRO",0,0,0,0
"2020-02-26","PK","Pakistan","EMRO",6,6,0,0
"2020-02-27","PK","Pakistan","EMRO",0,6,0,0
"2020-02-28","PK","Pakistan","EMRO",0,6,0,0
"2020-02-29","PK","Pakistan","EMRO",2,8,0,0
"2020-03-01","PK","Pakistan","EMRO",0,8,0,0
"2020-03-02","PK","Pakistan","EMRO",1,9,0,0
"2020-03-03","PK","Pakistan","EMRO",0,9,0,0
"2020-03-04","PK","Pakistan","EMRO",0,9,0,0
"2020-03-05","PK","Pakistan","EMRO",0,9,0,0
"2020-03-06","PK","Pakistan","EMRO",0,9,0,0
"2020-03-07","PK","Pakistan","EMRO",0,9,0,0
"2020-03-08","PK","Pakistan","EMRO",1,10,0,0
"2020-03-09","PK","Pakistan","EMRO",0,10,0,0
"2020-03-10","PK","Pakistan","EMRO",10,20,0,0
"2020-03-11","PK","Pakistan","EMRO",3,23,0,0
"2020-03-12","PK","Pakistan","EMRO",1,24,0,0
"2020-03-13","PK","Pakistan","EMRO",0,24,0,0
"2020-03-14","PK","Pakistan","EMRO",8,32,0,0
"2020-03-15","PK","Pakistan","EMRO",24,56,0,0
"2020-03-16","PK","Pakistan","EMRO",1,57,0,0
"2020-03-17","PK","Pakistan","EMRO",134,191,0,0
"2020-03-18","PK","Pakistan","EMRO",54,245,0,0
"2020-03-19","PK","Pakistan","EMRO",61,306,2,2
"2020-03-20","PK","Pakistan","EMRO",155,461,0,2
"2020-03-21","PK","Pakistan","EMRO",34,495,1,3
"2020-03-22","PK","Pakistan","EMRO",151,646,0,3
"2020-03-23","PK","Pakistan","EMRO",138,784,2,5
"2020-03-24","PK","Pakistan","EMRO",103,887,1,6
"2020-03-25","PK","Pakistan","EMRO",104,991,1,7
"2020-03-26","PK","Pakistan","EMRO",66,1057,1,8
"2020-03-27","PK","Pakistan","EMRO",140,1197,1,9
"2020-03-28","PK","Pakistan","EMRO",211,1408,2,11
"2020-03-29","PK","Pakistan","EMRO",118,1526,2,13
"2020-03-30","PK","Pakistan","EMRO",99,1625,5,18
"2020-03-31","PK","Pakistan","EMRO",240,1865,7,25
"2020-04-01","PK","Pakistan","EMRO",174,2039,1,26
"2020-04-02","PK","Pakistan","EMRO",252,2291,5,31
"2020-04-03","PK","Pakistan","EMRO",159,2450,4,35
"2020-04-04","PK","Pakistan","EMRO",0,2450,0,35
"2020-04-05","PK","Pakistan","EMRO",609,3059,10,45
"2020-04-06","PK","Pakistan","EMRO",365,3424,5,50
"2020-04-07","PK","Pakistan","EMRO",581,4005,4,54
"2020-04-08","PK","Pakistan","EMRO",178,4183,4,58
"2020-04-09","PK","Pakistan","EMRO",306,4489,5,63
"2020-04-10","PK","Pakistan","EMRO",206,4695,3,66
"2020-04-11","PK","Pakistan","EMRO",275,4970,11,77
"2020-04-12","PK","Pakistan","EMRO",213,5183,11,88
"2020-04-13","PK","Pakistan","EMRO",313,5496,5,93
"2020-04-14","PK","Pakistan","EMRO",341,5837,3,96
"2020-04-15","PK","Pakistan","EMRO",151,5988,11,107
"2020-04-16","PK","Pakistan","EMRO",931,6919,21,128
"2020-04-17","PK","Pakistan","EMRO",106,7025,7,135
"2020-04-18","PK","Pakistan","EMRO",613,7638,8,143
"2020-04-19","PK","Pakistan","EMRO",355,7993,16,159
"2020-04-20","PK","Pakistan","EMRO",425,8418,17,176
