"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PA","Panama","AMRO",0,0,0,0
"2020-01-04","PA","Panama","AMRO",0,0,0,0
"2020-01-05","PA","Panama","AMRO",0,0,0,0
"2020-01-06","PA","Panama","AMRO",0,0,0,0
"2020-01-07","PA","Panama","AMRO",0,0,0,0
"2020-01-08","PA","Panama","AMRO",0,0,0,0
"2020-01-09","PA","Panama","AMRO",0,0,0,0
"2020-01-10","PA","Panama","AMRO",0,0,0,0
"2020-01-11","PA","Panama","AMRO",0,0,0,0
"2020-01-12","PA","Panama","AMRO",0,0,0,0
"2020-01-13","PA","Panama","AMRO",0,0,0,0
"2020-01-14","PA","Panama","AMRO",0,0,0,0
"2020-01-15","PA","Panama","AMRO",0,0,0,0
"2020-01-16","PA","Panama","AMRO",0,0,0,0
"2020-01-17","PA","Panama","AMRO",0,0,0,0
"2020-01-18","PA","Panama","AMRO",0,0,0,0
"2020-01-19","PA","Panama","AMRO",0,0,0,0
"2020-01-20","PA","Panama","AMRO",0,0,0,0
"2020-01-21","PA","Panama","AMRO",0,0,0,0
"2020-01-22","PA","Panama","AMRO",0,0,0,0
"2020-01-23","PA","Panama","AMRO",0,0,0,0
"2020-01-24","PA","Panama","AMRO",0,0,0,0
"2020-01-25","PA","Panama","AMRO",0,0,0,0
"2020-01-26","PA","Panama","AMRO",0,0,0,0
"2020-01-27","PA","Panama","AMRO",0,0,0,0
"2020-01-28","PA","Panama","AMRO",0,0,0,0
"2020-01-29","PA","Panama","AMRO",0,0,0,0
"2020-01-30","PA","Panama","AMRO",0,0,0,0
"2020-01-31","PA","Panama","AMRO",0,0,0,0
"2020-02-01","PA","Panama","AMRO",0,0,0,0
"2020-02-02","PA","Panama","AMRO",0,0,0,0
"2020-02-03","PA","Panama","AMRO",0,0,0,0
"2020-02-04","PA","Panama","AMRO",0,0,0,0
"2020-02-05","PA","Panama","AMRO",0,0,0,0
"2020-02-06","PA","Panama","AMRO",0,0,0,0
"2020-02-07","PA","Panama","AMRO",0,0,0,0
"2020-02-08","PA","Panama","AMRO",0,0,0,0
"2020-02-09","PA","Panama","AMRO",0,0,0,0
"2020-02-10","PA","Panama","AMRO",0,0,0,0
"2020-02-11","PA","Panama","AMRO",0,0,0,0
"2020-02-12","PA","Panama","AMRO",0,0,0,0
"2020-02-13","PA","Panama","AMRO",0,0,0,0
"2020-02-14","PA","Panama","AMRO",0,0,0,0
"2020-02-15","PA","Panama","AMRO",0,0,0,0
"2020-02-16","PA","Panama","AMRO",0,0,0,0
"2020-02-17","PA","Panama","AMRO",0,0,0,0
"2020-02-18","PA","Panama","AMRO",0,0,0,0
"2020-02-19","PA","Panama","AMRO",0,0,0,0
"2020-02-20","PA","Panama","AMRO",0,0,0,0
"2020-02-21","PA","Panama","AMRO",0,0,0,0
"2020-02-22","PA","Panama","AMRO",0,0,0,0
"2020-02-23","PA","Panama","AMRO",0,0,0,0
"2020-02-24","PA","Panama","AMRO",0,0,0,0
"2020-02-25","PA","Panama","AMRO",0,0,0,0
"2020-02-26","PA","Panama","AMRO",0,0,0,0
"2020-02-27","PA","Panama","AMRO",0,0,0,0
"2020-02-28","PA","Panama","AMRO",0,0,0,0
"2020-02-29","PA","Panama","AMRO",0,0,0,0
"2020-03-01","PA","Panama","AMRO",0,0,0,0
"2020-03-02","PA","Panama","AMRO",0,0,0,0
"2020-03-03","PA","Panama","AMRO",0,0,0,0
"2020-03-04","PA","Panama","AMRO",0,0,0,0
"2020-03-05","PA","Panama","AMRO",0,0,0,0
"2020-03-06","PA","Panama","AMRO",0,0,0,0
"2020-03-07","PA","Panama","AMRO",0,0,0,0
"2020-03-08","PA","Panama","AMRO",0,0,0,0
"2020-03-09","PA","Panama","AMRO",0,0,0,0
"2020-03-10","PA","Panama","AMRO",5,5,0,0
"2020-03-11","PA","Panama","AMRO",7,12,1,1
"2020-03-12","PA","Panama","AMRO",2,14,0,1
"2020-03-13","PA","Panama","AMRO",4,18,0,1
"2020-03-14","PA","Panama","AMRO",13,31,0,1
"2020-03-15","PA","Panama","AMRO",0,31,0,1
"2020-03-16","PA","Panama","AMRO",16,47,0,1
"2020-03-17","PA","Panama","AMRO",26,73,0,1
"2020-03-18","PA","Panama","AMRO",17,90,0,1
"2020-03-19","PA","Panama","AMRO",19,109,0,1
"2020-03-20","PA","Panama","AMRO",28,137,0,1
"2020-03-21","PA","Panama","AMRO",0,137,0,1
"2020-03-22","PA","Panama","AMRO",0,137,0,1
"2020-03-23","PA","Panama","AMRO",108,245,2,3
"2020-03-24","PA","Panama","AMRO",100,345,3,6
"2020-03-25","PA","Panama","AMRO",0,345,0,6
"2020-03-26","PA","Panama","AMRO",213,558,2,8
"2020-03-27","PA","Panama","AMRO",0,558,0,8
"2020-03-28","PA","Panama","AMRO",116,674,1,9
"2020-03-29","PA","Panama","AMRO",112,786,5,14
"2020-03-30","PA","Panama","AMRO",115,901,3,17
"2020-03-31","PA","Panama","AMRO",88,989,7,24
"2020-04-01","PA","Panama","AMRO",0,989,0,24
"2020-04-02","PA","Panama","AMRO",192,1181,6,30
"2020-04-03","PA","Panama","AMRO",136,1317,2,32
"2020-04-04","PA","Panama","AMRO",158,1475,5,37
"2020-04-05","PA","Panama","AMRO",198,1673,4,41
"2020-04-06","PA","Panama","AMRO",128,1801,5,46
"2020-04-07","PA","Panama","AMRO",187,1988,8,54
"2020-04-08","PA","Panama","AMRO",112,2100,1,55
"2020-04-09","PA","Panama","AMRO",149,2249,4,59
"2020-04-10","PA","Panama","AMRO",279,2528,4,63
"2020-04-11","PA","Panama","AMRO",224,2752,3,66
"2020-04-12","PA","Panama","AMRO",222,2974,8,74
"2020-04-13","PA","Panama","AMRO",260,3234,5,79
"2020-04-14","PA","Panama","AMRO",166,3400,8,87
"2020-04-15","PA","Panama","AMRO",72,3472,7,94
"2020-04-16","PA","Panama","AMRO",102,3574,1,95
