"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PY","Paraguay","AMRO",0,0,0,0
"2020-01-04","PY","Paraguay","AMRO",0,0,0,0
"2020-01-05","PY","Paraguay","AMRO",0,0,0,0
"2020-01-06","PY","Paraguay","AMRO",0,0,0,0
"2020-01-07","PY","Paraguay","AMRO",0,0,0,0
"2020-01-08","PY","Paraguay","AMRO",0,0,0,0
"2020-01-09","PY","Paraguay","AMRO",0,0,0,0
"2020-01-10","PY","Paraguay","AMRO",0,0,0,0
"2020-01-11","PY","Paraguay","AMRO",0,0,0,0
"2020-01-12","PY","Paraguay","AMRO",0,0,0,0
"2020-01-13","PY","Paraguay","AMRO",0,0,0,0
"2020-01-14","PY","Paraguay","AMRO",0,0,0,0
"2020-01-15","PY","Paraguay","AMRO",0,0,0,0
"2020-01-16","PY","Paraguay","AMRO",0,0,0,0
"2020-01-17","PY","Paraguay","AMRO",0,0,0,0
"2020-01-18","PY","Paraguay","AMRO",0,0,0,0
"2020-01-19","PY","Paraguay","AMRO",0,0,0,0
"2020-01-20","PY","Paraguay","AMRO",0,0,0,0
"2020-01-21","PY","Paraguay","AMRO",0,0,0,0
"2020-01-22","PY","Paraguay","AMRO",0,0,0,0
"2020-01-23","PY","Paraguay","AMRO",0,0,0,0
"2020-01-24","PY","Paraguay","AMRO",0,0,0,0
"2020-01-25","PY","Paraguay","AMRO",0,0,0,0
"2020-01-26","PY","Paraguay","AMRO",0,0,0,0
"2020-01-27","PY","Paraguay","AMRO",0,0,0,0
"2020-01-28","PY","Paraguay","AMRO",0,0,0,0
"2020-01-29","PY","Paraguay","AMRO",0,0,0,0
"2020-01-30","PY","Paraguay","AMRO",0,0,0,0
"2020-01-31","PY","Paraguay","AMRO",0,0,0,0
"2020-02-01","PY","Paraguay","AMRO",0,0,0,0
"2020-02-02","PY","Paraguay","AMRO",0,0,0,0
"2020-02-03","PY","Paraguay","AMRO",0,0,0,0
"2020-02-04","PY","Paraguay","AMRO",0,0,0,0
"2020-02-05","PY","Paraguay","AMRO",0,0,0,0
"2020-02-06","PY","Paraguay","AMRO",0,0,0,0
"2020-02-07","PY","Paraguay","AMRO",0,0,0,0
"2020-02-08","PY","Paraguay","AMRO",0,0,0,0
"2020-02-09","PY","Paraguay","AMRO",0,0,0,0
"2020-02-10","PY","Paraguay","AMRO",0,0,0,0
"2020-02-11","PY","Paraguay","AMRO",0,0,0,0
"2020-02-12","PY","Paraguay","AMRO",0,0,0,0
"2020-02-13","PY","Paraguay","AMRO",0,0,0,0
"2020-02-14","PY","Paraguay","AMRO",0,0,0,0
"2020-02-15","PY","Paraguay","AMRO",0,0,0,0
"2020-02-16","PY","Paraguay","AMRO",0,0,0,0
"2020-02-17","PY","Paraguay","AMRO",0,0,0,0
"2020-02-18","PY","Paraguay","AMRO",0,0,0,0
"2020-02-19","PY","Paraguay","AMRO",0,0,0,0
"2020-02-20","PY","Paraguay","AMRO",0,0,0,0
"2020-02-21","PY","Paraguay","AMRO",0,0,0,0
"2020-02-22","PY","Paraguay","AMRO",0,0,0,0
"2020-02-23","PY","Paraguay","AMRO",0,0,0,0
"2020-02-24","PY","Paraguay","AMRO",0,0,0,0
"2020-02-25","PY","Paraguay","AMRO",0,0,0,0
"2020-02-26","PY","Paraguay","AMRO",0,0,0,0
"2020-02-27","PY","Paraguay","AMRO",0,0,0,0
"2020-02-28","PY","Paraguay","AMRO",0,0,0,0
"2020-02-29","PY","Paraguay","AMRO",0,0,0,0
"2020-03-01","PY","Paraguay","AMRO",0,0,0,0
"2020-03-02","PY","Paraguay","AMRO",0,0,0,0
"2020-03-03","PY","Paraguay","AMRO",0,0,0,0
"2020-03-04","PY","Paraguay","AMRO",0,0,0,0
"2020-03-05","PY","Paraguay","AMRO",0,0,0,0
"2020-03-06","PY","Paraguay","AMRO",0,0,0,0
"2020-03-07","PY","Paraguay","AMRO",0,0,0,0
"2020-03-08","PY","Paraguay","AMRO",5,5,0,0
"2020-03-09","PY","Paraguay","AMRO",0,5,0,0
"2020-03-10","PY","Paraguay","AMRO",0,5,0,0
"2020-03-11","PY","Paraguay","AMRO",4,9,0,0
"2020-03-12","PY","Paraguay","AMRO",0,9,0,0
"2020-03-13","PY","Paraguay","AMRO",0,9,0,0
"2020-03-14","PY","Paraguay","AMRO",1,10,0,0
"2020-03-15","PY","Paraguay","AMRO",0,10,0,0
"2020-03-16","PY","Paraguay","AMRO",2,12,0,0
"2020-03-17","PY","Paraguay","AMRO",1,13,0,0
"2020-03-18","PY","Paraguay","AMRO",2,15,0,0
"2020-03-19","PY","Paraguay","AMRO",0,15,0,0
"2020-03-20","PY","Paraguay","AMRO",-2,13,0,0
"2020-03-21","PY","Paraguay","AMRO",5,18,1,1
"2020-03-22","PY","Paraguay","AMRO",0,18,0,1
"2020-03-23","PY","Paraguay","AMRO",4,22,0,1
"2020-03-24","PY","Paraguay","AMRO",5,27,1,2
"2020-03-25","PY","Paraguay","AMRO",0,27,0,2
"2020-03-26","PY","Paraguay","AMRO",14,41,1,3
"2020-03-27","PY","Paraguay","AMRO",0,41,0,3
"2020-03-28","PY","Paraguay","AMRO",11,52,0,3
"2020-03-29","PY","Paraguay","AMRO",4,56,0,3
"2020-03-30","PY","Paraguay","AMRO",3,59,0,3
"2020-03-31","PY","Paraguay","AMRO",5,64,0,3
"2020-04-01","PY","Paraguay","AMRO",1,65,0,3
"2020-04-02","PY","Paraguay","AMRO",4,69,0,3
"2020-04-03","PY","Paraguay","AMRO",8,77,0,3
"2020-04-04","PY","Paraguay","AMRO",15,92,0,3
"2020-04-05","PY","Paraguay","AMRO",4,96,0,3
"2020-04-06","PY","Paraguay","AMRO",8,104,0,3
"2020-04-07","PY","Paraguay","AMRO",9,113,2,5
"2020-04-08","PY","Paraguay","AMRO",2,115,0,5
"2020-04-09","PY","Paraguay","AMRO",4,119,0,5
"2020-04-10","PY","Paraguay","AMRO",5,124,0,5
"2020-04-11","PY","Paraguay","AMRO",5,129,1,6
"2020-04-12","PY","Paraguay","AMRO",4,133,0,6
"2020-04-13","PY","Paraguay","AMRO",1,134,0,6
"2020-04-14","PY","Paraguay","AMRO",13,147,0,6
"2020-04-15","PY","Paraguay","AMRO",12,159,1,7
"2020-04-16","PY","Paraguay","AMRO",2,161,1,8
"2020-04-17","PY","Paraguay","AMRO",13,174,0,8
"2020-04-18","PY","Paraguay","AMRO",25,199,0,8
"2020-04-19","PY","Paraguay","AMRO",3,202,0,8
"2020-04-20","PY","Paraguay","AMRO",4,206,0,8
"2020-04-21","PY","Paraguay","AMRO",2,208,0,8
"2020-04-22","PY","Paraguay","AMRO",0,208,0,8
"2020-04-23","PY","Paraguay","AMRO",5,213,1,9
"2020-04-24","PY","Paraguay","AMRO",0,213,0,9
"2020-04-25","PY","Paraguay","AMRO",7,220,0,9
"2020-04-26","PY","Paraguay","AMRO",3,223,0,9
"2020-04-27","PY","Paraguay","AMRO",5,228,0,9
"2020-04-28","PY","Paraguay","AMRO",0,228,0,9
"2020-04-29","PY","Paraguay","AMRO",2,230,0,9
"2020-04-30","PY","Paraguay","AMRO",9,239,0,9
"2020-05-01","PY","Paraguay","AMRO",10,249,0,9
"2020-05-02","PY","Paraguay","AMRO",17,266,1,10
