"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PE","Peru","AMRO",0,0,0,0
"2020-01-04","PE","Peru","AMRO",0,0,0,0
"2020-01-05","PE","Peru","AMRO",0,0,0,0
"2020-01-06","PE","Peru","AMRO",0,0,0,0
"2020-01-07","PE","Peru","AMRO",0,0,0,0
"2020-01-08","PE","Peru","AMRO",0,0,0,0
"2020-01-09","PE","Peru","AMRO",0,0,0,0
"2020-01-10","PE","Peru","AMRO",0,0,0,0
"2020-01-11","PE","Peru","AMRO",0,0,0,0
"2020-01-12","PE","Peru","AMRO",0,0,0,0
"2020-01-13","PE","Peru","AMRO",0,0,0,0
"2020-01-14","PE","Peru","AMRO",0,0,0,0
"2020-01-15","PE","Peru","AMRO",0,0,0,0
"2020-01-16","PE","Peru","AMRO",0,0,0,0
"2020-01-17","PE","Peru","AMRO",0,0,0,0
"2020-01-18","PE","Peru","AMRO",0,0,0,0
"2020-01-19","PE","Peru","AMRO",0,0,0,0
"2020-01-20","PE","Peru","AMRO",0,0,0,0
"2020-01-21","PE","Peru","AMRO",0,0,0,0
"2020-01-22","PE","Peru","AMRO",0,0,0,0
"2020-01-23","PE","Peru","AMRO",0,0,0,0
"2020-01-24","PE","Peru","AMRO",0,0,0,0
"2020-01-25","PE","Peru","AMRO",0,0,0,0
"2020-01-26","PE","Peru","AMRO",0,0,0,0
"2020-01-27","PE","Peru","AMRO",0,0,0,0
"2020-01-28","PE","Peru","AMRO",0,0,0,0
"2020-01-29","PE","Peru","AMRO",0,0,0,0
"2020-01-30","PE","Peru","AMRO",0,0,0,0
"2020-01-31","PE","Peru","AMRO",0,0,0,0
"2020-02-01","PE","Peru","AMRO",0,0,0,0
"2020-02-02","PE","Peru","AMRO",0,0,0,0
"2020-02-03","PE","Peru","AMRO",0,0,0,0
"2020-02-04","PE","Peru","AMRO",0,0,0,0
"2020-02-05","PE","Peru","AMRO",0,0,0,0
"2020-02-06","PE","Peru","AMRO",0,0,0,0
"2020-02-07","PE","Peru","AMRO",0,0,0,0
"2020-02-08","PE","Peru","AMRO",0,0,0,0
"2020-02-09","PE","Peru","AMRO",0,0,0,0
"2020-02-10","PE","Peru","AMRO",0,0,0,0
"2020-02-11","PE","Peru","AMRO",0,0,0,0
"2020-02-12","PE","Peru","AMRO",0,0,0,0
"2020-02-13","PE","Peru","AMRO",0,0,0,0
"2020-02-14","PE","Peru","AMRO",0,0,0,0
"2020-02-15","PE","Peru","AMRO",0,0,0,0
"2020-02-16","PE","Peru","AMRO",0,0,0,0
"2020-02-17","PE","Peru","AMRO",0,0,0,0
"2020-02-18","PE","Peru","AMRO",0,0,0,0
"2020-02-19","PE","Peru","AMRO",0,0,0,0
"2020-02-20","PE","Peru","AMRO",0,0,0,0
"2020-02-21","PE","Peru","AMRO",0,0,0,0
"2020-02-22","PE","Peru","AMRO",0,0,0,0
"2020-02-23","PE","Peru","AMRO",0,0,0,0
"2020-02-24","PE","Peru","AMRO",0,0,0,0
"2020-02-25","PE","Peru","AMRO",0,0,0,0
"2020-02-26","PE","Peru","AMRO",0,0,0,0
"2020-02-27","PE","Peru","AMRO",0,0,0,0
"2020-02-28","PE","Peru","AMRO",0,0,0,0
"2020-02-29","PE","Peru","AMRO",0,0,0,0
"2020-03-01","PE","Peru","AMRO",0,0,0,0
