"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PH","Philippines","WPRO",0,0,0,0
"2020-01-04","PH","Philippines","WPRO",0,0,0,0
"2020-01-05","PH","Philippines","WPRO",0,0,0,0
"2020-01-06","PH","Philippines","WPRO",0,0,0,0
"2020-01-07","PH","Philippines","WPRO",0,0,0,0
"2020-01-08","PH","Philippines","WPRO",0,0,0,0
"2020-01-09","PH","Philippines","WPRO",0,0,0,0
"2020-01-10","PH","Philippines","WPRO",0,0,0,0
"2020-01-11","PH","Philippines","WPRO",0,0,0,0
"2020-01-12","PH","Philippines","WPRO",0,0,0,0
"2020-01-13","PH","Philippines","WPRO",0,0,0,0
"2020-01-14","PH","Philippines","WPRO",0,0,0,0
"2020-01-15","PH","Philippines","WPRO",0,0,0,0
"2020-01-16","PH","Philippines","WPRO",0,0,0,0
"2020-01-17","PH","Philippines","WPRO",0,0,0,0
"2020-01-18","PH","Philippines","WPRO",0,0,0,0
"2020-01-19","PH","Philippines","WPRO",0,0,0,0
"2020-01-20","PH","Philippines","WPRO",0,0,0,0
"2020-01-21","PH","Philippines","WPRO",0,0,0,0
"2020-01-22","PH","Philippines","WPRO",0,0,0,0
"2020-01-23","PH","Philippines","WPRO",0,0,0,0
"2020-01-24","PH","Philippines","WPRO",0,0,0,0
"2020-01-25","PH","Philippines","WPRO",0,0,0,0
"2020-01-26","PH","Philippines","WPRO",0,0,0,0
"2020-01-27","PH","Philippines","WPRO",0,0,0,0
"2020-01-28","PH","Philippines","WPRO",0,0,0,0
"2020-01-29","PH","Philippines","WPRO",0,0,0,0
"2020-01-30","PH","Philippines","WPRO",5,5,0,0
"2020-01-31","PH","Philippines","WPRO",0,5,0,0
"2020-02-01","PH","Philippines","WPRO",1,6,0,0
"2020-02-02","PH","Philippines","WPRO",0,6,1,1
"2020-02-03","PH","Philippines","WPRO",0,6,0,1
"2020-02-04","PH","Philippines","WPRO",1,7,0,1
"2020-02-05","PH","Philippines","WPRO",0,7,0,1
"2020-02-06","PH","Philippines","WPRO",0,7,0,1
"2020-02-07","PH","Philippines","WPRO",0,7,0,1
"2020-02-08","PH","Philippines","WPRO",0,7,0,1
"2020-02-09","PH","Philippines","WPRO",0,7,0,1
"2020-02-10","PH","Philippines","WPRO",0,7,0,1
"2020-02-11","PH","Philippines","WPRO",0,7,0,1
"2020-02-12","PH","Philippines","WPRO",0,7,0,1
"2020-02-13","PH","Philippines","WPRO",0,7,0,1
"2020-02-14","PH","Philippines","WPRO",0,7,0,1
"2020-02-15","PH","Philippines","WPRO",0,7,0,1
"2020-02-16","PH","Philippines","WPRO",0,7,0,1
"2020-02-17","PH","Philippines","WPRO",0,7,0,1
"2020-02-18","PH","Philippines","WPRO",0,7,0,1
"2020-02-19","PH","Philippines","WPRO",0,7,0,1
"2020-02-20","PH","Philippines","WPRO",0,7,0,1
"2020-02-21","PH","Philippines","WPRO",0,7,0,1
"2020-02-22","PH","Philippines","WPRO",0,7,0,1
"2020-02-23","PH","Philippines","WPRO",0,7,0,1
"2020-02-24","PH","Philippines","WPRO",0,7,0,1
"2020-02-25","PH","Philippines","WPRO",0,7,0,1
"2020-02-26","PH","Philippines","WPRO",0,7,0,1
"2020-02-27","PH","Philippines","WPRO",0,7,0,1
"2020-02-28","PH","Philippines","WPRO",0,7,0,1
"2020-02-29","PH","Philippines","WPRO",0,7,0,1
"2020-03-01","PH","Philippines","WPRO",0,7,0,1
"2020-03-02","PH","Philippines","WPRO",0,7,0,1
"2020-03-03","PH","Philippines","WPRO",0,7,0,1
"2020-03-04","PH","Philippines","WPRO",0,7,0,1
"2020-03-05","PH","Philippines","WPRO",0,7,0,1
"2020-03-06","PH","Philippines","WPRO",2,9,0,1
"2020-03-07","PH","Philippines","WPRO",1,10,0,1
"2020-03-08","PH","Philippines","WPRO",4,14,0,1
"2020-03-09","PH","Philippines","WPRO",14,28,0,1
"2020-03-10","PH","Philippines","WPRO",9,37,0,1
"2020-03-11","PH","Philippines","WPRO",16,53,0,1
"2020-03-12","PH","Philippines","WPRO",3,56,1,2
"2020-03-13","PH","Philippines","WPRO",0,56,0,2
"2020-03-14","PH","Philippines","WPRO",12,68,0,2
"2020-03-15","PH","Philippines","WPRO",76,144,10,12
"2020-03-16","PH","Philippines","WPRO",2,146,0,12
"2020-03-17","PH","Philippines","WPRO",45,191,0,12
"2020-03-18","PH","Philippines","WPRO",0,191,2,14
"2020-03-19","PH","Philippines","WPRO",26,217,3,17
"2020-03-20","PH","Philippines","WPRO",13,230,1,18
"2020-03-21","PH","Philippines","WPRO",77,307,1,19
"2020-03-22","PH","Philippines","WPRO",73,380,6,25
"2020-03-23","PH","Philippines","WPRO",16,396,8,33
"2020-03-24","PH","Philippines","WPRO",66,462,0,33
"2020-03-25","PH","Philippines","WPRO",174,636,5,38
"2020-03-26","PH","Philippines","WPRO",71,707,7,45
"2020-03-27","PH","Philippines","WPRO",0,707,0,45
"2020-03-28","PH","Philippines","WPRO",368,1075,23,68
"2020-03-29","PH","Philippines","WPRO",0,1075,0,68
"2020-03-30","PH","Philippines","WPRO",471,1546,10,78
"2020-03-31","PH","Philippines","WPRO",0,1546,0,78
"2020-04-01","PH","Philippines","WPRO",765,2311,18,96
"2020-04-02","PH","Philippines","WPRO",0,2311,0,96
"2020-04-03","PH","Philippines","WPRO",322,2633,11,107
"2020-04-04","PH","Philippines","WPRO",385,3018,29,136
"2020-04-05","PH","Philippines","WPRO",76,3094,8,144
"2020-04-06","PH","Philippines","WPRO",152,3246,8,152
"2020-04-07","PH","Philippines","WPRO",414,3660,11,163
"2020-04-08","PH","Philippines","WPRO",210,3870,19,182
"2020-04-09","PH","Philippines","WPRO",206,4076,21,203
"2020-04-10","PH","Philippines","WPRO",0,4076,0,203
"2020-04-11","PH","Philippines","WPRO",352,4428,44,247
"2020-04-12","PH","Philippines","WPRO",220,4648,50,297
"2020-04-13","PH","Philippines","WPRO",284,4932,18,315
"2020-04-14","PH","Philippines","WPRO",291,5223,20,335
"2020-04-15","PH","Philippines","WPRO",0,5223,0,335
"2020-04-16","PH","Philippines","WPRO",437,5660,27,362
"2020-04-17","PH","Philippines","WPRO",0,5660,0,362
"2020-04-18","PH","Philippines","WPRO",218,5878,25,387
"2020-04-19","PH","Philippines","WPRO",209,6087,10,397
"2020-04-20","PH","Philippines","WPRO",172,6259,12,409
"2020-04-21","PH","Philippines","WPRO",200,6459,19,428
"2020-04-22","PH","Philippines","WPRO",140,6599,9,437
"2020-04-23","PH","Philippines","WPRO",111,6710,9,446
"2020-04-24","PH","Philippines","WPRO",271,6981,16,462
"2020-04-25","PH","Philippines","WPRO",211,7192,15,477
"2020-04-26","PH","Philippines","WPRO",102,7294,17,494
"2020-04-27","PH","Philippines","WPRO",285,7579,7,501
