"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-09","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-10","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-11","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-12","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-13","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-14","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-15","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-16","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-17","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-18","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-19","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-20","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-21","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-22","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-23","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-24","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-25","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-26","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-27","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-28","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-29","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-30","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-01-31","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-01","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-02","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-09","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-10","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-11","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-12","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-13","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-14","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-15","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-16","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-17","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-18","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-19","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-20","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-21","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-22","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-23","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-24","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-25","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-26","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-27","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-28","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-02-29","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-01","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-02","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-09","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-10","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-11","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-12","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-13","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-14","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-15","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-16","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-17","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-18","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-19","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-20","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-21","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-22","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-23","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-24","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-25","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-26","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-27","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-28","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-29","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-30","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-03-31","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-01","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-02","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-09","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-10","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-11","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-12","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-13","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-14","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-15","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-16","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-17","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-18","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-19","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-20","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-21","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-22","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-23","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-24","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-25","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-26","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-27","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-28","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-29","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-04-30","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-01","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-02","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-09","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-10","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-11","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-12","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-13","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-14","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-15","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-16","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-17","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-18","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-19","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-20","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-21","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-22","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-23","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-24","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-25","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-26","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-27","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-28","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-29","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-30","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-05-31","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-01","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-02","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-03","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-04","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-05","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-06","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-07","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-08","PN","Pitcairn Islands","WPRO",0,0,0,0
"2020-06-09","PN","Pitcairn Islands","WPRO",0,0,0,0
