"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PT","Portugal","EURO",0,0,0,0
"2020-01-04","PT","Portugal","EURO",0,0,0,0
"2020-01-05","PT","Portugal","EURO",0,0,0,0
"2020-01-06","PT","Portugal","EURO",0,0,0,0
"2020-01-07","PT","Portugal","EURO",0,0,0,0
"2020-01-08","PT","Portugal","EURO",0,0,0,0
"2020-01-09","PT","Portugal","EURO",0,0,0,0
"2020-01-10","PT","Portugal","EURO",0,0,0,0
"2020-01-11","PT","Portugal","EURO",0,0,0,0
"2020-01-12","PT","Portugal","EURO",0,0,0,0
"2020-01-13","PT","Portugal","EURO",0,0,0,0
"2020-01-14","PT","Portugal","EURO",0,0,0,0
"2020-01-15","PT","Portugal","EURO",0,0,0,0
"2020-01-16","PT","Portugal","EURO",0,0,0,0
"2020-01-17","PT","Portugal","EURO",0,0,0,0
"2020-01-18","PT","Portugal","EURO",0,0,0,0
"2020-01-19","PT","Portugal","EURO",0,0,0,0
"2020-01-20","PT","Portugal","EURO",0,0,0,0
"2020-01-21","PT","Portugal","EURO",0,0,0,0
"2020-01-22","PT","Portugal","EURO",0,0,0,0
"2020-01-23","PT","Portugal","EURO",0,0,0,0
"2020-01-24","PT","Portugal","EURO",0,0,0,0
"2020-01-25","PT","Portugal","EURO",0,0,0,0
"2020-01-26","PT","Portugal","EURO",0,0,0,0
"2020-01-27","PT","Portugal","EURO",0,0,0,0
"2020-01-28","PT","Portugal","EURO",0,0,0,0
"2020-01-29","PT","Portugal","EURO",0,0,0,0
"2020-01-30","PT","Portugal","EURO",0,0,0,0
"2020-01-31","PT","Portugal","EURO",0,0,0,0
"2020-02-01","PT","Portugal","EURO",0,0,0,0
"2020-02-02","PT","Portugal","EURO",0,0,0,0
"2020-02-03","PT","Portugal","EURO",0,0,0,0
"2020-02-04","PT","Portugal","EURO",0,0,0,0
"2020-02-05","PT","Portugal","EURO",0,0,0,0
"2020-02-06","PT","Portugal","EURO",0,0,0,0
"2020-02-07","PT","Portugal","EURO",0,0,0,0
"2020-02-08","PT","Portugal","EURO",0,0,0,0
"2020-02-09","PT","Portugal","EURO",0,0,0,0
"2020-02-10","PT","Portugal","EURO",0,0,0,0
"2020-02-11","PT","Portugal","EURO",0,0,0,0
"2020-02-12","PT","Portugal","EURO",0,0,0,0
"2020-02-13","PT","Portugal","EURO",0,0,0,0
"2020-02-14","PT","Portugal","EURO",0,0,0,0
"2020-02-15","PT","Portugal","EURO",0,0,0,0
"2020-02-16","PT","Portugal","EURO",0,0,0,0
"2020-02-17","PT","Portugal","EURO",0,0,0,0
"2020-02-18","PT","Portugal","EURO",0,0,0,0
"2020-02-19","PT","Portugal","EURO",0,0,0,0
"2020-02-20","PT","Portugal","EURO",0,0,0,0
"2020-02-21","PT","Portugal","EURO",0,0,0,0
"2020-02-22","PT","Portugal","EURO",0,0,0,0
"2020-02-23","PT","Portugal","EURO",0,0,0,0
"2020-02-24","PT","Portugal","EURO",0,0,0,0
"2020-02-25","PT","Portugal","EURO",0,0,0,0
"2020-02-26","PT","Portugal","EURO",0,0,0,0
"2020-02-27","PT","Portugal","EURO",0,0,0,0
"2020-02-28","PT","Portugal","EURO",0,0,0,0
"2020-02-29","PT","Portugal","EURO",0,0,0,0
"2020-03-01","PT","Portugal","EURO",0,0,0,0
"2020-03-02","PT","Portugal","EURO",2,2,0,0
"2020-03-03","PT","Portugal","EURO",0,2,0,0
"2020-03-04","PT","Portugal","EURO",2,4,0,0
"2020-03-05","PT","Portugal","EURO",1,5,0,0
"2020-03-06","PT","Portugal","EURO",4,9,0,0
"2020-03-07","PT","Portugal","EURO",4,13,0,0
"2020-03-08","PT","Portugal","EURO",8,21,0,0
"2020-03-09","PT","Portugal","EURO",9,30,0,0
"2020-03-10","PT","Portugal","EURO",9,39,0,0
"2020-03-11","PT","Portugal","EURO",2,41,0,0
"2020-03-12","PT","Portugal","EURO",18,59,0,0
"2020-03-13","PT","Portugal","EURO",19,78,0,0
"2020-03-14","PT","Portugal","EURO",34,112,0,0
"2020-03-15","PT","Portugal","EURO",57,169,0,0
"2020-03-16","PT","Portugal","EURO",76,245,0,0
"2020-03-17","PT","Portugal","EURO",86,331,0,0
"2020-03-18","PT","Portugal","EURO",117,448,1,1
"2020-03-19","PT","Portugal","EURO",194,642,1,2
"2020-03-20","PT","Portugal","EURO",143,785,1,3
"2020-03-21","PT","Portugal","EURO",235,1020,3,6
"2020-03-22","PT","Portugal","EURO",260,1280,6,12
"2020-03-23","PT","Portugal","EURO",320,1600,2,14
"2020-03-24","PT","Portugal","EURO",460,2060,9,23
"2020-03-25","PT","Portugal","EURO",302,2362,10,33
"2020-03-26","PT","Portugal","EURO",633,2995,10,43
"2020-03-27","PT","Portugal","EURO",549,3544,17,60
"2020-03-28","PT","Portugal","EURO",724,4268,16,76
"2020-03-29","PT","Portugal","EURO",902,5170,24,100
"2020-03-30","PT","Portugal","EURO",792,5962,19,119
"2020-03-31","PT","Portugal","EURO",446,6408,21,140
"2020-04-01","PT","Portugal","EURO",1035,7443,20,160
"2020-04-02","PT","Portugal","EURO",808,8251,27,187
"2020-04-03","PT","Portugal","EURO",783,9034,22,209
"2020-04-04","PT","Portugal","EURO",852,9886,37,246
"2020-04-05","PT","Portugal","EURO",638,10524,20,266
"2020-04-06","PT","Portugal","EURO",754,11278,29,295
"2020-04-07","PT","Portugal","EURO",452,11730,16,311
"2020-04-08","PT","Portugal","EURO",712,12442,34,345
"2020-04-09","PT","Portugal","EURO",699,13141,35,380
"2020-04-10","PT","Portugal","EURO",815,13956,29,409
"2020-04-11","PT","Portugal","EURO",1516,15472,26,435
"2020-04-12","PT","Portugal","EURO",515,15987,35,470
"2020-04-13","PT","Portugal","EURO",598,16585,34,504
"2020-04-14","PT","Portugal","EURO",349,16934,31,535
"2020-04-15","PT","Portugal","EURO",514,17448,32,567
"2020-04-16","PT","Portugal","EURO",643,18091,32,599
"2020-04-17","PT","Portugal","EURO",750,18841,30,629
"2020-04-18","PT","Portugal","EURO",181,19022,28,657
"2020-04-19","PT","Portugal","EURO",663,19685,30,687
"2020-04-20","PT","Portugal","EURO",521,20206,27,714
"2020-04-21","PT","Portugal","EURO",657,20863,21,735
"2020-04-22","PT","Portugal","EURO",516,21379,27,762
"2020-04-23","PT","Portugal","EURO",603,21982,23,785
"2020-04-24","PT","Portugal","EURO",371,22353,35,820
"2020-04-25","PT","Portugal","EURO",918,23271,60,880
"2020-04-26","PT","Portugal","EURO",412,23683,23,903
"2020-04-27","PT","Portugal","EURO",163,23846,25,928
"2020-04-28","PT","Portugal","EURO",298,24144,20,948
"2020-04-29","PT","Portugal","EURO",180,24324,25,973
"2020-04-30","PT","Portugal","EURO",368,24692,16,989
"2020-05-01","PT","Portugal","EURO",295,24987,18,1007
"2020-05-02","PT","Portugal","EURO",364,25351,0,1007
"2020-05-03","PT","Portugal","EURO",-161,25190,16,1023
"2020-05-04","PT","Portugal","EURO",334,25524,40,1063
"2020-05-05","PT","Portugal","EURO",0,25524,0,1063
"2020-05-06","PT","Portugal","EURO",178,25702,11,1074
"2020-05-07","PT","Portugal","EURO",480,26182,15,1089
"2020-05-08","PT","Portugal","EURO",533,26715,16,1105
"2020-05-09","PT","Portugal","EURO",553,27268,9,1114
"2020-05-10","PT","Portugal","EURO",138,27406,12,1126
"2020-05-11","PT","Portugal","EURO",175,27581,9,1135
"2020-05-12","PT","Portugal","EURO",98,27679,9,1144
"2020-05-13","PT","Portugal","EURO",234,27913,19,1163
"2020-05-14","PT","Portugal","EURO",219,28132,12,1175
"2020-05-15","PT","Portugal","EURO",187,28319,9,1184
"2020-05-16","PT","Portugal","EURO",264,28583,6,1190
"2020-05-17","PT","Portugal","EURO",227,28810,13,1203
"2020-05-18","PT","Portugal","EURO",226,29036,15,1218
"2020-05-19","PT","Portugal","EURO",173,29209,13,1231
"2020-05-20","PT","Portugal","EURO",223,29432,16,1247
"2020-05-21","PT","Portugal","EURO",228,29660,16,1263
"2020-05-22","PT","Portugal","EURO",252,29912,14,1277
"2020-05-23","PT","Portugal","EURO",288,30200,12,1289
"2020-05-24","PT","Portugal","EURO",271,30471,13,1302
"2020-05-25","PT","Portugal","EURO",152,30623,14,1316
"2020-05-26","PT","Portugal","EURO",165,30788,14,1330
"2020-05-27","PT","Portugal","EURO",219,31007,12,1342
"2020-05-28","PT","Portugal","EURO",285,31292,14,1356
"2020-05-29","PT","Portugal","EURO",304,31596,13,1369
"2020-05-30","PT","Portugal","EURO",350,31946,14,1383
"2020-05-31","PT","Portugal","EURO",257,32203,13,1396
"2020-06-01","PT","Portugal","EURO",297,32500,14,1410
"2020-06-02","PT","Portugal","EURO",200,32700,14,1424
"2020-06-03","PT","Portugal","EURO",195,32895,12,1436
"2020-06-04","PT","Portugal","EURO",366,33261,11,1447
"2020-06-05","PT","Portugal","EURO",331,33592,8,1455
"2020-06-06","PT","Portugal","EURO",377,33969,10,1465
"2020-06-07","PT","Portugal","EURO",382,34351,9,1474
"2020-06-08","PT","Portugal","EURO",142,34493,5,1479
"2020-06-09","PT","Portugal","EURO",392,34885,6,1485
"2020-06-10","PT","Portugal","EURO",421,35306,7,1492
"2020-06-11","PT","Portugal","EURO",294,35600,3,1495
"2020-06-12","PT","Portugal","EURO",310,35910,9,1504
"2020-06-13","PT","Portugal","EURO",270,36180,1,1505
"2020-06-14","PT","Portugal","EURO",283,36463,7,1512
"2020-06-15","PT","Portugal","EURO",227,36690,5,1517
"2020-06-16","PT","Portugal","EURO",346,37036,3,1520
"2020-06-17","PT","Portugal","EURO",300,37336,2,1522
"2020-06-18","PT","Portugal","EURO",336,37672,1,1523
"2020-06-19","PT","Portugal","EURO",417,38089,1,1524
"2020-06-20","PT","Portugal","EURO",375,38464,3,1527
"2020-06-21","PT","Portugal","EURO",377,38841,1,1528
"2020-06-22","PT","Portugal","EURO",292,39133,2,1530
"2020-06-23","PT","Portugal","EURO",259,39392,4,1534
"2020-06-24","PT","Portugal","EURO",345,39737,6,1540
"2020-06-25","PT","Portugal","EURO",367,40104,3,1543
"2020-06-26","PT","Portugal","EURO",311,40415,6,1549
"2020-06-27","PT","Portugal","EURO",451,40866,6,1555
"2020-06-28","PT","Portugal","EURO",323,41189,6,1561
"2020-06-29","PT","Portugal","EURO",457,41646,3,1564
"2020-06-30","PT","Portugal","EURO",266,41912,4,1568
"2020-07-01","PT","Portugal","EURO",229,42141,8,1576
"2020-07-02","PT","Portugal","EURO",313,42454,3,1579
"2020-07-03","PT","Portugal","EURO",328,42782,8,1587
"2020-07-04","PT","Portugal","EURO",374,43156,11,1598
"2020-07-05","PT","Portugal","EURO",413,43569,7,1605
"2020-07-06","PT","Portugal","EURO",328,43897,9,1614
"2020-07-07","PT","Portugal","EURO",232,44129,6,1620
