"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-04","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-05","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-06","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-07","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-08","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-09","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-10","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-11","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-12","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-13","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-14","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-15","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-16","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-17","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-18","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-19","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-20","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-21","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-22","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-23","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-24","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-25","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-26","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-27","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-28","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-29","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-30","PR","Puerto Rico","AMRO",0,0,0,0
"2020-01-31","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-01","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-02","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-03","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-04","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-05","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-06","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-07","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-08","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-09","PR","Puerto Rico","AMRO",0,0,0,0
"2020-02-10","PR","Puerto Rico","AMRO",0,0,0,0
