"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","QA","Qatar","EMRO",0,0,0,0
"2020-01-04","QA","Qatar","EMRO",0,0,0,0
"2020-01-05","QA","Qatar","EMRO",0,0,0,0
"2020-01-06","QA","Qatar","EMRO",0,0,0,0
"2020-01-07","QA","Qatar","EMRO",0,0,0,0
"2020-01-08","QA","Qatar","EMRO",0,0,0,0
"2020-01-09","QA","Qatar","EMRO",0,0,0,0
"2020-01-10","QA","Qatar","EMRO",0,0,0,0
"2020-01-11","QA","Qatar","EMRO",0,0,0,0
"2020-01-12","QA","Qatar","EMRO",0,0,0,0
"2020-01-13","QA","Qatar","EMRO",0,0,0,0
"2020-01-14","QA","Qatar","EMRO",0,0,0,0
"2020-01-15","QA","Qatar","EMRO",0,0,0,0
"2020-01-16","QA","Qatar","EMRO",0,0,0,0
"2020-01-17","QA","Qatar","EMRO",0,0,0,0
"2020-01-18","QA","Qatar","EMRO",0,0,0,0
"2020-01-19","QA","Qatar","EMRO",0,0,0,0
"2020-01-20","QA","Qatar","EMRO",0,0,0,0
"2020-01-21","QA","Qatar","EMRO",0,0,0,0
"2020-01-22","QA","Qatar","EMRO",0,0,0,0
"2020-01-23","QA","Qatar","EMRO",0,0,0,0
"2020-01-24","QA","Qatar","EMRO",0,0,0,0
"2020-01-25","QA","Qatar","EMRO",0,0,0,0
"2020-01-26","QA","Qatar","EMRO",0,0,0,0
"2020-01-27","QA","Qatar","EMRO",0,0,0,0
"2020-01-28","QA","Qatar","EMRO",0,0,0,0
"2020-01-29","QA","Qatar","EMRO",0,0,0,0
"2020-01-30","QA","Qatar","EMRO",0,0,0,0
"2020-01-31","QA","Qatar","EMRO",0,0,0,0
"2020-02-01","QA","Qatar","EMRO",0,0,0,0
"2020-02-02","QA","Qatar","EMRO",0,0,0,0
"2020-02-03","QA","Qatar","EMRO",0,0,0,0
"2020-02-04","QA","Qatar","EMRO",0,0,0,0
"2020-02-05","QA","Qatar","EMRO",0,0,0,0
"2020-02-06","QA","Qatar","EMRO",0,0,0,0
"2020-02-07","QA","Qatar","EMRO",0,0,0,0
"2020-02-08","QA","Qatar","EMRO",0,0,0,0
"2020-02-09","QA","Qatar","EMRO",0,0,0,0
"2020-02-10","QA","Qatar","EMRO",0,0,0,0
"2020-02-11","QA","Qatar","EMRO",0,0,0,0
"2020-02-12","QA","Qatar","EMRO",0,0,0,0
"2020-02-13","QA","Qatar","EMRO",0,0,0,0
"2020-02-14","QA","Qatar","EMRO",0,0,0,0
"2020-02-15","QA","Qatar","EMRO",0,0,0,0
"2020-02-16","QA","Qatar","EMRO",0,0,0,0
"2020-02-17","QA","Qatar","EMRO",0,0,0,0
"2020-02-18","QA","Qatar","EMRO",0,0,0,0
"2020-02-19","QA","Qatar","EMRO",0,0,0,0
"2020-02-20","QA","Qatar","EMRO",0,0,0,0
"2020-02-21","QA","Qatar","EMRO",0,0,0,0
"2020-02-22","QA","Qatar","EMRO",0,0,0,0
"2020-02-23","QA","Qatar","EMRO",0,0,0,0
"2020-02-24","QA","Qatar","EMRO",0,0,0,0
"2020-02-25","QA","Qatar","EMRO",0,0,0,0
"2020-02-26","QA","Qatar","EMRO",0,0,0,0
"2020-02-27","QA","Qatar","EMRO",0,0,0,0
"2020-02-28","QA","Qatar","EMRO",0,0,0,0
"2020-02-29","QA","Qatar","EMRO",5,5,0,0
"2020-03-01","QA","Qatar","EMRO",2,7,0,0
"2020-03-02","QA","Qatar","EMRO",4,11,0,0
"2020-03-03","QA","Qatar","EMRO",1,12,0,0
"2020-03-04","QA","Qatar","EMRO",0,12,0,0
"2020-03-05","QA","Qatar","EMRO",0,12,0,0
"2020-03-06","QA","Qatar","EMRO",3,15,0,0
"2020-03-07","QA","Qatar","EMRO",1,16,0,0
"2020-03-08","QA","Qatar","EMRO",0,16,0,0
"2020-03-09","QA","Qatar","EMRO",3,19,0,0
"2020-03-10","QA","Qatar","EMRO",3,22,0,0
"2020-03-11","QA","Qatar","EMRO",244,266,0,0
"2020-03-12","QA","Qatar","EMRO",0,266,0,0
"2020-03-13","QA","Qatar","EMRO",0,266,0,0
"2020-03-14","QA","Qatar","EMRO",75,341,0,0
"2020-03-15","QA","Qatar","EMRO",0,341,0,0
"2020-03-16","QA","Qatar","EMRO",64,405,0,0
"2020-03-17","QA","Qatar","EMRO",41,446,0,0
"2020-03-18","QA","Qatar","EMRO",0,446,0,0
"2020-03-19","QA","Qatar","EMRO",10,456,0,0
"2020-03-20","QA","Qatar","EMRO",4,460,0,0
"2020-03-21","QA","Qatar","EMRO",10,470,0,0
"2020-03-22","QA","Qatar","EMRO",11,481,0,0
"2020-03-23","QA","Qatar","EMRO",13,494,0,0
"2020-03-24","QA","Qatar","EMRO",7,501,0,0
"2020-03-25","QA","Qatar","EMRO",25,526,0,0
"2020-03-26","QA","Qatar","EMRO",11,537,0,0
"2020-03-27","QA","Qatar","EMRO",12,549,0,0
"2020-03-28","QA","Qatar","EMRO",13,562,0,0
"2020-03-29","QA","Qatar","EMRO",28,590,0,0
"2020-03-30","QA","Qatar","EMRO",44,634,1,1
"2020-03-31","QA","Qatar","EMRO",59,693,0,1
"2020-04-01","QA","Qatar","EMRO",88,781,1,2
"2020-04-02","QA","Qatar","EMRO",54,835,0,2
"2020-04-03","QA","Qatar","EMRO",240,1075,1,3
"2020-04-04","QA","Qatar","EMRO",0,1075,0,3
"2020-04-05","QA","Qatar","EMRO",250,1325,0,3
"2020-04-06","QA","Qatar","EMRO",279,1604,1,4
"2020-04-07","QA","Qatar","EMRO",228,1832,0,4
"2020-04-08","QA","Qatar","EMRO",378,2210,2,6
"2020-04-09","QA","Qatar","EMRO",166,2376,0,6
