"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-04","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-05","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-06","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-07","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-08","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-09","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-10","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-11","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-12","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-13","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-14","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-15","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-16","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-17","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-18","KR","Republic of Korea","WPRO",0,0,0,0
"2020-01-19","KR","Republic of Korea","WPRO",5,5,0,0
"2020-01-20","KR","Republic of Korea","WPRO",0,5,0,0
"2020-01-21","KR","Republic of Korea","WPRO",0,5,0,0
"2020-01-22","KR","Republic of Korea","WPRO",0,5,0,0
"2020-01-23","KR","Republic of Korea","WPRO",0,5,0,0
"2020-01-24","KR","Republic of Korea","WPRO",1,6,0,0
"2020-01-25","KR","Republic of Korea","WPRO",0,6,0,0
"2020-01-26","KR","Republic of Korea","WPRO",1,7,0,0
"2020-01-27","KR","Republic of Korea","WPRO",1,8,0,0
"2020-01-28","KR","Republic of Korea","WPRO",0,8,0,0
"2020-01-29","KR","Republic of Korea","WPRO",0,8,0,0
"2020-01-30","KR","Republic of Korea","WPRO",2,10,0,0
"2020-01-31","KR","Republic of Korea","WPRO",5,15,0,0
"2020-02-01","KR","Republic of Korea","WPRO",1,16,0,0
"2020-02-02","KR","Republic of Korea","WPRO",3,19,0,0
"2020-02-03","KR","Republic of Korea","WPRO",0,19,0,0
"2020-02-04","KR","Republic of Korea","WPRO",1,20,0,0
"2020-02-05","KR","Republic of Korea","WPRO",2,22,0,0
"2020-02-06","KR","Republic of Korea","WPRO",5,27,0,0
"2020-02-07","KR","Republic of Korea","WPRO",1,28,0,0
"2020-02-08","KR","Republic of Korea","WPRO",0,28,0,0
"2020-02-09","KR","Republic of Korea","WPRO",3,31,0,0
"2020-02-10","KR","Republic of Korea","WPRO",0,31,0,0
"2020-02-11","KR","Republic of Korea","WPRO",1,32,0,0
"2020-02-12","KR","Republic of Korea","WPRO",0,32,0,0
"2020-02-13","KR","Republic of Korea","WPRO",0,32,0,0
"2020-02-14","KR","Republic of Korea","WPRO",0,32,0,0
"2020-02-15","KR","Republic of Korea","WPRO",0,32,0,0
"2020-02-16","KR","Republic of Korea","WPRO",1,33,0,0
"2020-02-17","KR","Republic of Korea","WPRO",1,34,0,0
"2020-02-18","KR","Republic of Korea","WPRO",1,35,0,0
"2020-02-19","KR","Republic of Korea","WPRO",20,55,0,0
"2020-02-20","KR","Republic of Korea","WPRO",53,108,1,1
"2020-02-21","KR","Republic of Korea","WPRO",100,208,0,1
"2020-02-22","KR","Republic of Korea","WPRO",229,437,1,2
"2020-02-23","KR","Republic of Korea","WPRO",169,606,0,2
"2020-02-24","KR","Republic of Korea","WPRO",231,837,5,7
"2020-02-25","KR","Republic of Korea","WPRO",144,981,3,10
"2020-02-26","KR","Republic of Korea","WPRO",284,1265,2,12
"2020-02-27","KR","Republic of Korea","WPRO",505,1770,1,13
"2020-02-28","KR","Republic of Korea","WPRO",571,2341,0,13
"2020-02-29","KR","Republic of Korea","WPRO",813,3154,4,17
"2020-03-01","KR","Republic of Korea","WPRO",586,3740,1,18
"2020-03-02","KR","Republic of Korea","WPRO",476,4216,4,22
"2020-03-03","KR","Republic of Korea","WPRO",600,4816,6,28
"2020-03-04","KR","Republic of Korea","WPRO",516,5332,4,32
"2020-03-05","KR","Republic of Korea","WPRO",438,5770,3,35
"2020-03-06","KR","Republic of Korea","WPRO",518,6288,7,42
