"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-04","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-05","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-06","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-07","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-08","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-09","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-10","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-11","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-12","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-13","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-14","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-15","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-16","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-17","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-18","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-19","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-20","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-21","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-22","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-23","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-24","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-25","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-26","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-27","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-28","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-29","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-30","MD","Republic of Moldova","EURO",0,0,0,0
"2020-01-31","MD","Republic of Moldova","EURO",0,0,0,0
"2020-02-01","MD","Republic of Moldova","EURO",0,0,0,0
"2020-02-02","MD","Republic of Moldova","EURO",0,0,0,0
"2020-02-03","MD","Republic of Moldova","EURO",0,0,0,0
"2020-02-04","MD","Republic of Moldova","EURO",0,0,0,0
"2020-02-05","MD","Republic of Moldova","EURO",0,0,0,0
