"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","RO","Romania","EURO",0,0,0,0
"2020-01-04","RO","Romania","EURO",0,0,0,0
"2020-01-05","RO","Romania","EURO",0,0,0,0
"2020-01-06","RO","Romania","EURO",0,0,0,0
"2020-01-07","RO","Romania","EURO",0,0,0,0
"2020-01-08","RO","Romania","EURO",0,0,0,0
"2020-01-09","RO","Romania","EURO",0,0,0,0
"2020-01-10","RO","Romania","EURO",0,0,0,0
"2020-01-11","RO","Romania","EURO",0,0,0,0
"2020-01-12","RO","Romania","EURO",0,0,0,0
"2020-01-13","RO","Romania","EURO",0,0,0,0
"2020-01-14","RO","Romania","EURO",0,0,0,0
"2020-01-15","RO","Romania","EURO",0,0,0,0
"2020-01-16","RO","Romania","EURO",0,0,0,0
"2020-01-17","RO","Romania","EURO",0,0,0,0
"2020-01-18","RO","Romania","EURO",0,0,0,0
"2020-01-19","RO","Romania","EURO",0,0,0,0
"2020-01-20","RO","Romania","EURO",0,0,0,0
"2020-01-21","RO","Romania","EURO",0,0,0,0
"2020-01-22","RO","Romania","EURO",0,0,0,0
"2020-01-23","RO","Romania","EURO",0,0,0,0
"2020-01-24","RO","Romania","EURO",0,0,0,0
"2020-01-25","RO","Romania","EURO",0,0,0,0
"2020-01-26","RO","Romania","EURO",0,0,0,0
"2020-01-27","RO","Romania","EURO",0,0,0,0
"2020-01-28","RO","Romania","EURO",0,0,0,0
"2020-01-29","RO","Romania","EURO",0,0,0,0
"2020-01-30","RO","Romania","EURO",0,0,0,0
"2020-01-31","RO","Romania","EURO",0,0,0,0
"2020-02-01","RO","Romania","EURO",0,0,0,0
"2020-02-02","RO","Romania","EURO",0,0,0,0
"2020-02-03","RO","Romania","EURO",0,0,0,0
"2020-02-04","RO","Romania","EURO",0,0,0,0
"2020-02-05","RO","Romania","EURO",0,0,0,0
"2020-02-06","RO","Romania","EURO",0,0,0,0
"2020-02-07","RO","Romania","EURO",0,0,0,0
"2020-02-08","RO","Romania","EURO",0,0,0,0
"2020-02-09","RO","Romania","EURO",0,0,0,0
"2020-02-10","RO","Romania","EURO",0,0,0,0
"2020-02-11","RO","Romania","EURO",0,0,0,0
"2020-02-12","RO","Romania","EURO",0,0,0,0
"2020-02-13","RO","Romania","EURO",0,0,0,0
"2020-02-14","RO","Romania","EURO",0,0,0,0
"2020-02-15","RO","Romania","EURO",0,0,0,0
"2020-02-16","RO","Romania","EURO",0,0,0,0
"2020-02-17","RO","Romania","EURO",0,0,0,0
"2020-02-18","RO","Romania","EURO",0,0,0,0
"2020-02-19","RO","Romania","EURO",0,0,0,0
"2020-02-20","RO","Romania","EURO",0,0,0,0
"2020-02-21","RO","Romania","EURO",0,0,0,0
"2020-02-22","RO","Romania","EURO",0,0,0,0
"2020-02-23","RO","Romania","EURO",0,0,0,0
"2020-02-24","RO","Romania","EURO",0,0,0,0
"2020-02-25","RO","Romania","EURO",0,0,0,0
"2020-02-26","RO","Romania","EURO",1,1,0,0
"2020-02-27","RO","Romania","EURO",0,1,0,0
"2020-02-28","RO","Romania","EURO",0,1,0,0
"2020-02-29","RO","Romania","EURO",2,3,0,0
"2020-03-01","RO","Romania","EURO",0,3,0,0
"2020-03-02","RO","Romania","EURO",0,3,0,0
"2020-03-03","RO","Romania","EURO",0,3,0,0
"2020-03-04","RO","Romania","EURO",1,4,0,0
"2020-03-05","RO","Romania","EURO",0,4,0,0
"2020-03-06","RO","Romania","EURO",2,6,0,0
"2020-03-07","RO","Romania","EURO",1,7,0,0
"2020-03-08","RO","Romania","EURO",6,13,0,0
"2020-03-09","RO","Romania","EURO",2,15,0,0
"2020-03-10","RO","Romania","EURO",2,17,0,0
"2020-03-11","RO","Romania","EURO",8,25,0,0
"2020-03-12","RO","Romania","EURO",20,45,0,0
"2020-03-13","RO","Romania","EURO",19,64,0,0
"2020-03-14","RO","Romania","EURO",25,89,0,0
"2020-03-15","RO","Romania","EURO",24,113,0,0
"2020-03-16","RO","Romania","EURO",26,139,0,0
"2020-03-17","RO","Romania","EURO",45,184,0,0
"2020-03-18","RO","Romania","EURO",33,217,0,0
"2020-03-19","RO","Romania","EURO",43,260,0,0
"2020-03-20","RO","Romania","EURO",17,277,0,0
"2020-03-21","RO","Romania","EURO",31,308,0,0
"2020-03-22","RO","Romania","EURO",59,367,0,0
"2020-03-23","RO","Romania","EURO",66,433,2,2
"2020-03-24","RO","Romania","EURO",143,576,5,7
"2020-03-25","RO","Romania","EURO",186,762,4,11
"2020-03-26","RO","Romania","EURO",144,906,2,13
"2020-03-27","RO","Romania","EURO",123,1029,4,17
"2020-03-28","RO","Romania","EURO",263,1292,7,24
"2020-03-29","RO","Romania","EURO",160,1452,5,29
"2020-03-30","RO","Romania","EURO",308,1760,11,40
"2020-03-31","RO","Romania","EURO",192,1952,4,44
"2020-04-01","RO","Romania","EURO",293,2245,25,69
"2020-04-02","RO","Romania","EURO",215,2460,16,85
"2020-04-03","RO","Romania","EURO",278,2738,9,94
"2020-04-04","RO","Romania","EURO",445,3183,39,133
"2020-04-05","RO","Romania","EURO",430,3613,8,141
"2020-04-06","RO","Romania","EURO",251,3864,7,148
"2020-04-07","RO","Romania","EURO",193,4057,9,157
"2020-04-08","RO","Romania","EURO",360,4417,25,182
"2020-04-09","RO","Romania","EURO",344,4761,27,209
"2020-04-10","RO","Romania","EURO",441,5202,20,229
"2020-04-11","RO","Romania","EURO",265,5467,28,257
"2020-04-12","RO","Romania","EURO",523,5990,25,282
"2020-04-13","RO","Romania","EURO",310,6300,24,306
"2020-04-14","RO","Romania","EURO",333,6633,12,318
"2020-04-15","RO","Romania","EURO",246,6879,26,344
"2020-04-16","RO","Romania","EURO",337,7216,28,372
"2020-04-17","RO","Romania","EURO",491,7707,15,387
"2020-04-18","RO","Romania","EURO",360,8067,13,400
"2020-04-19","RO","Romania","EURO",351,8418,17,417
"2020-04-20","RO","Romania","EURO",328,8746,17,434
"2020-04-21","RO","Romania","EURO",190,8936,17,451
"2020-04-22","RO","Romania","EURO",306,9242,32,483
"2020-04-23","RO","Romania","EURO",468,9710,25,508
"2020-04-24","RO","Romania","EURO",386,10096,19,527
"2020-04-25","RO","Romania","EURO",321,10417,25,552
"2020-04-26","RO","Romania","EURO",218,10635,23,575
"2020-04-27","RO","Romania","EURO",401,11036,33,608
"2020-04-28","RO","Romania","EURO",303,11339,23,631
"2020-04-29","RO","Romania","EURO",277,11616,19,650
"2020-04-30","RO","Romania","EURO",362,11978,25,675
"2020-05-01","RO","Romania","EURO",262,12240,42,717
"2020-05-02","RO","Romania","EURO",327,12567,27,744
"2020-05-03","RO","Romania","EURO",165,12732,27,771
"2020-05-04","RO","Romania","EURO",431,13163,9,780
"2020-05-05","RO","Romania","EURO",349,13512,23,803
"2020-05-06","RO","Romania","EURO",325,13837,24,827
"2020-05-07","RO","Romania","EURO",270,14107,31,858
"2020-05-08","RO","Romania","EURO",392,14499,18,876
"2020-05-09","RO","Romania","EURO",312,14811,22,898
"2020-05-10","RO","Romania","EURO",320,15131,28,926
"2020-05-11","RO","Romania","EURO",231,15362,26,952
"2020-05-12","RO","Romania","EURO",226,15588,20,972
"2020-05-13","RO","Romania","EURO",190,15778,30,1002
"2020-05-14","RO","Romania","EURO",224,16002,14,1016
"2020-05-15","RO","Romania","EURO",245,16247,30,1046
"2020-05-16","RO","Romania","EURO",190,16437,10,1056
"2020-05-17","RO","Romania","EURO",267,16704,25,1081
"2020-05-18","RO","Romania","EURO",167,16871,16,1097
"2020-05-19","RO","Romania","EURO",165,17036,10,1107
"2020-05-20","RO","Romania","EURO",155,17191,19,1126
"2020-05-21","RO","Romania","EURO",196,17387,15,1141
"2020-05-22","RO","Romania","EURO",198,17585,10,1151
"2020-05-23","RO","Romania","EURO",127,17712,8,1159
"2020-05-24","RO","Romania","EURO",145,17857,11,1170
"2020-05-25","RO","Romania","EURO",213,18070,9,1179
"2020-05-26","RO","Romania","EURO",213,18283,18,1197
"2020-05-27","RO","Romania","EURO",146,18429,13,1210
"2020-05-28","RO","Romania","EURO",165,18594,9,1219
"2020-05-29","RO","Romania","EURO",197,18791,10,1229
"2020-05-30","RO","Romania","EURO",191,18982,11,1240
"2020-05-31","RO","Romania","EURO",151,19133,13,1253
"2020-06-01","RO","Romania","EURO",124,19257,9,1262
"2020-06-02","RO","Romania","EURO",141,19398,17,1279
"2020-06-03","RO","Romania","EURO",119,19517,0,1279
"2020-06-04","RO","Romania","EURO",152,19669,9,1288
"2020-06-05","RO","Romania","EURO",238,19907,11,1299
"2020-06-06","RO","Romania","EURO",196,20103,9,1308
"2020-06-07","RO","Romania","EURO",187,20290,10,1318
"2020-06-08","RO","Romania","EURO",189,20479,8,1326
"2020-06-09","RO","Romania","EURO",125,20604,8,1334
"2020-06-10","RO","Romania","EURO",145,20749,11,1345
"2020-06-11","RO","Romania","EURO",196,20945,15,1360
"2020-06-12","RO","Romania","EURO",237,21182,9,1369
"2020-06-13","RO","Romania","EURO",222,21404,11,1380
"2020-06-14","RO","Romania","EURO",275,21679,11,1391
"2020-06-15","RO","Romania","EURO",320,21999,19,1410
"2020-06-16","RO","Romania","EURO",166,22165,17,1427
"2020-06-17","RO","Romania","EURO",250,22415,10,1437
"2020-06-18","RO","Romania","EURO",345,22760,14,1451
"2020-06-19","RO","Romania","EURO",320,23080,22,1473
"2020-06-20","RO","Romania","EURO",320,23400,11,1484
"2020-06-21","RO","Romania","EURO",330,23730,16,1500
"2020-06-22","RO","Romania","EURO",315,24045,12,1512
"2020-06-23","RO","Romania","EURO",246,24291,11,1523
"2020-06-24","RO","Romania","EURO",214,24505,16,1539
"2020-06-25","RO","Romania","EURO",321,24826,16,1555
"2020-06-26","RO","Romania","EURO",460,25286,10,1565
"2020-06-27","RO","Romania","EURO",411,25697,14,1579
"2020-06-28","RO","Romania","EURO",325,26022,10,1589
"2020-06-29","RO","Romania","EURO",291,26313,23,1612
"2020-06-30","RO","Romania","EURO",269,26582,22,1634
"2020-07-01","RO","Romania","EURO",388,26970,17,1651
"2020-07-02","RO","Romania","EURO",326,27296,16,1667
"2020-07-03","RO","Romania","EURO",450,27746,20,1687
"2020-07-04","RO","Romania","EURO",420,28166,21,1708
"2020-07-05","RO","Romania","EURO",416,28582,23,1731
"2020-07-06","RO","Romania","EURO",391,28973,19,1750
"2020-07-07","RO","Romania","EURO",250,29223,18,1768
"2020-07-08","RO","Romania","EURO",397,29620,31,1799
"2020-07-09","RO","Romania","EURO",555,30175,18,1817
"2020-07-10","RO","Romania","EURO",614,30789,17,1834
"2020-07-11","RO","Romania","EURO",592,31381,13,1847
"2020-07-12","RO","Romania","EURO",698,32079,24,1871
"2020-07-13","RO","Romania","EURO",456,32535,13,1884
"2020-07-14","RO","Romania","EURO",413,32948,17,1901
"2020-07-15","RO","Romania","EURO",637,33585,30,1931
"2020-07-16","RO","Romania","EURO",641,34226,21,1952
"2020-07-17","RO","Romania","EURO",777,35003,19,1971
"2020-07-18","RO","Romania","EURO",799,35802,17,1988
"2020-07-19","RO","Romania","EURO",889,36691,21,2009
"2020-07-20","RO","Romania","EURO",767,37458,17,2026
"2020-07-21","RO","Romania","EURO",681,38139,12,2038
"2020-07-22","RO","Romania","EURO",994,39133,36,2074
"2020-07-23","RO","Romania","EURO",1030,40163,27,2101
"2020-07-24","RO","Romania","EURO",1112,41275,25,2126
"2020-07-25","RO","Romania","EURO",1119,42394,24,2150
"2020-07-26","RO","Romania","EURO",1284,43678,15,2165
"2020-07-27","RO","Romania","EURO",1120,44798,22,2187
