"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","RW","Rwanda","AFRO",0,0,0,0
"2020-01-04","RW","Rwanda","AFRO",0,0,0,0
"2020-01-05","RW","Rwanda","AFRO",0,0,0,0
"2020-01-06","RW","Rwanda","AFRO",0,0,0,0
"2020-01-07","RW","Rwanda","AFRO",0,0,0,0
"2020-01-08","RW","Rwanda","AFRO",0,0,0,0
"2020-01-09","RW","Rwanda","AFRO",0,0,0,0
"2020-01-10","RW","Rwanda","AFRO",0,0,0,0
"2020-01-11","RW","Rwanda","AFRO",0,0,0,0
"2020-01-12","RW","Rwanda","AFRO",0,0,0,0
"2020-01-13","RW","Rwanda","AFRO",0,0,0,0
"2020-01-14","RW","Rwanda","AFRO",0,0,0,0
"2020-01-15","RW","Rwanda","AFRO",0,0,0,0
"2020-01-16","RW","Rwanda","AFRO",0,0,0,0
"2020-01-17","RW","Rwanda","AFRO",0,0,0,0
"2020-01-18","RW","Rwanda","AFRO",0,0,0,0
"2020-01-19","RW","Rwanda","AFRO",0,0,0,0
"2020-01-20","RW","Rwanda","AFRO",0,0,0,0
"2020-01-21","RW","Rwanda","AFRO",0,0,0,0
"2020-01-22","RW","Rwanda","AFRO",0,0,0,0
"2020-01-23","RW","Rwanda","AFRO",0,0,0,0
"2020-01-24","RW","Rwanda","AFRO",0,0,0,0
"2020-01-25","RW","Rwanda","AFRO",0,0,0,0
"2020-01-26","RW","Rwanda","AFRO",0,0,0,0
"2020-01-27","RW","Rwanda","AFRO",0,0,0,0
"2020-01-28","RW","Rwanda","AFRO",0,0,0,0
"2020-01-29","RW","Rwanda","AFRO",0,0,0,0
"2020-01-30","RW","Rwanda","AFRO",0,0,0,0
"2020-01-31","RW","Rwanda","AFRO",0,0,0,0
"2020-02-01","RW","Rwanda","AFRO",0,0,0,0
"2020-02-02","RW","Rwanda","AFRO",0,0,0,0
"2020-02-03","RW","Rwanda","AFRO",0,0,0,0
"2020-02-04","RW","Rwanda","AFRO",0,0,0,0
"2020-02-05","RW","Rwanda","AFRO",0,0,0,0
"2020-02-06","RW","Rwanda","AFRO",0,0,0,0
"2020-02-07","RW","Rwanda","AFRO",0,0,0,0
"2020-02-08","RW","Rwanda","AFRO",0,0,0,0
"2020-02-09","RW","Rwanda","AFRO",0,0,0,0
