"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","RE","Réunion","AFRO",0,0,0,0
"2020-01-04","RE","Réunion","AFRO",0,0,0,0
"2020-01-05","RE","Réunion","AFRO",0,0,0,0
"2020-01-06","RE","Réunion","AFRO",0,0,0,0
"2020-01-07","RE","Réunion","AFRO",0,0,0,0
"2020-01-08","RE","Réunion","AFRO",0,0,0,0
"2020-01-09","RE","Réunion","AFRO",0,0,0,0
"2020-01-10","RE","Réunion","AFRO",0,0,0,0
"2020-01-11","RE","Réunion","AFRO",0,0,0,0
"2020-01-12","RE","Réunion","AFRO",0,0,0,0
"2020-01-13","RE","Réunion","AFRO",0,0,0,0
"2020-01-14","RE","Réunion","AFRO",0,0,0,0
"2020-01-15","RE","Réunion","AFRO",0,0,0,0
"2020-01-16","RE","Réunion","AFRO",0,0,0,0
"2020-01-17","RE","Réunion","AFRO",0,0,0,0
"2020-01-18","RE","Réunion","AFRO",0,0,0,0
"2020-01-19","RE","Réunion","AFRO",0,0,0,0
"2020-01-20","RE","Réunion","AFRO",0,0,0,0
"2020-01-21","RE","Réunion","AFRO",0,0,0,0
"2020-01-22","RE","Réunion","AFRO",0,0,0,0
"2020-01-23","RE","Réunion","AFRO",0,0,0,0
"2020-01-24","RE","Réunion","AFRO",0,0,0,0
"2020-01-25","RE","Réunion","AFRO",0,0,0,0
"2020-01-26","RE","Réunion","AFRO",0,0,0,0
"2020-01-27","RE","Réunion","AFRO",0,0,0,0
"2020-01-28","RE","Réunion","AFRO",0,0,0,0
"2020-01-29","RE","Réunion","AFRO",0,0,0,0
"2020-01-30","RE","Réunion","AFRO",0,0,0,0
"2020-01-31","RE","Réunion","AFRO",0,0,0,0
"2020-02-01","RE","Réunion","AFRO",0,0,0,0
"2020-02-02","RE","Réunion","AFRO",0,0,0,0
"2020-02-03","RE","Réunion","AFRO",0,0,0,0
"2020-02-04","RE","Réunion","AFRO",0,0,0,0
"2020-02-05","RE","Réunion","AFRO",0,0,0,0
"2020-02-06","RE","Réunion","AFRO",0,0,0,0
"2020-02-07","RE","Réunion","AFRO",0,0,0,0
"2020-02-08","RE","Réunion","AFRO",0,0,0,0
